"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Discapacitat","Nombre"
2016,8,"Nou Barris",46,"el Turó de la Peira","Visuals",110
2016,8,"Nou Barris",47,"Can Peguera","Visuals",21
2016,8,"Nou Barris",48,"la Guineueta","Visuals",104
2016,8,"Nou Barris",49,"Canyelles","Visuals",56
2016,8,"Nou Barris",50,"les Roquetes","Visuals",105
2016,8,"Nou Barris",51,"Verdun","Visuals",106
2016,8,"Nou Barris",52,"la Prosperitat","Visuals",196
2016,8,"Nou Barris",53,"la Trinitat Nova","Visuals",51
2016,8,"Nou Barris",54,"Torre Baró","Visuals",22
2016,8,"Nou Barris",55,"Ciutat Meridiana","Visuals",85
2016,8,"Nou Barris",56,"Vallbona","Visuals",6
2016,9,"Sant Andreu",57,"la Trinitat Vella","Visuals",52
2016,9,"Sant Andreu",58,"Baró de Viver","Visuals",30
2016,9,"Sant Andreu",59,"el Bon Pastor","Visuals",81
2016,9,"Sant Andreu",60,"Sant Andreu","Visuals",361
2016,9,"Sant Andreu",61,"la Sagrera","Visuals",188
2016,9,"Sant Andreu",62,"el Congrés i els Indians","Visuals",92
2016,9,"Sant Andreu",63,"Navas","Visuals",133
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Visuals",242
2016,10,"Sant Martí",65,"el Clot","Visuals",148
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Visuals",72
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Visuals",27
2016,10,"Sant Martí",68,"el Poblenou","Visuals",160
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Visuals",55
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Visuals",166
2016,10,"Sant Martí",71,"Provençals del Poblenou","Visuals",107
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Visuals",172
2016,10,"Sant Martí",73,"la Verneda i la Pau","Visuals",229
2016,1,"Ciutat Vella",1,"el Raval","Auditius",167
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Auditius",73
2016,1,"Ciutat Vella",3,"la Barceloneta","Auditius",66
