"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Persones","Nombre"
2020,2,"Eixample",6,"la Sagrada Família","2 persones",6519
2020,2,"Eixample",7,"la Dreta de l'Eixample","2 persones",5168
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","2 persones",5191
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","2 persones",7391
2020,2,"Eixample",10,"Sant Antoni","2 persones",4844
2020,3,"Sants-Montjuïc",11,"el Poble Sec","2 persones",4565
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","2 persones",128
2020,3,"Sants-Montjuïc",13,"la Marina de Port","2 persones",3394
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","2 persones",1298
2020,3,"Sants-Montjuïc",15,"Hostafrancs","2 persones",2038
2020,3,"Sants-Montjuïc",16,"la Bordeta","2 persones",2455
2020,3,"Sants-Montjuïc",17,"Sants - Badal","2 persones",3102
2020,3,"Sants-Montjuïc",18,"Sants","2 persones",5082
2020,4,"Les Corts",19,"les Corts","2 persones",5732
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","2 persones",2908
2020,4,"Les Corts",21,"Pedralbes","2 persones",1078
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","2 persones",389
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","2 persones",2156
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","2 persones",1338
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","2 persones",2436
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","2 persones",4915
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","2 persones",3348
2020,6,"Gràcia",28,"Vallcarca i els Penitents","2 persones",1863
2020,6,"Gràcia",29,"el Coll","2 persones",899
2020,6,"Gràcia",30,"la Salut","2 persones",1588
2020,6,"Gràcia",31,"la Vila de Gràcia","2 persones",6599
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","2 persones",4481
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","2 persones",3317
2020,7,"Horta-Guinardó",34,"Can Baró","2 persones",1210
2020,7,"Horta-Guinardó",35,"el Guinardó","2 persones",4635
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","2 persones",1138
2020,7,"Horta-Guinardó",37,"el Carmel","2 persones",3997
2020,7,"Horta-Guinardó",38,"la Teixonera","2 persones",1505
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","2 persones",916
2020,7,"Horta-Guinardó",40,"Montbau","2 persones",647
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","2 persones",735
2020,7,"Horta-Guinardó",42,"la Clota","2 persones",66
2020,7,"Horta-Guinardó",43,"Horta","2 persones",3238
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","2 persones",3151
