"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Nacionalitat","Nombre"
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Alta","Espanyols",606
2019,10,"Sant Martí",71,"Provençals del Poblenou","Alta","Espanyols",640
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Alta","Espanyols",686
2019,10,"Sant Martí",73,"la Verneda i la Pau","Alta","Espanyols",752
2019,1,"Ciutat Vella",1,"el Raval","Alta","Estrangers",3746
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Alta","Estrangers",1807
2019,1,"Ciutat Vella",3,"la Barceloneta","Alta","Estrangers",813
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","Estrangers",1197
2019,2,"Eixample",5,"el Fort Pienc","Alta","Estrangers",1063
2019,2,"Eixample",6,"la Sagrada Família","Alta","Estrangers",1643
2019,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Estrangers",1176
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Estrangers",1234
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Estrangers",1531
2019,2,"Eixample",10,"Sant Antoni","Alta","Estrangers",1397
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Estrangers",1804
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Estrangers",24
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Estrangers",575
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Estrangers",249
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Estrangers",494
2019,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Estrangers",352
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Estrangers",620
2019,3,"Sants-Montjuïc",18,"Sants","Alta","Estrangers",1243
2019,4,"Les Corts",19,"les Corts","Alta","Estrangers",691
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Estrangers",403
2019,4,"Les Corts",21,"Pedralbes","Alta","Estrangers",193
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Estrangers",64
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Estrangers",379
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Estrangers",177
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Alta","Estrangers",304
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Alta","Estrangers",720
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Alta","Estrangers",595
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Alta","Estrangers",355
2019,6,"Gràcia",29,"el Coll","Alta","Estrangers",198
2019,6,"Gràcia",30,"la Salut","Alta","Estrangers",288
2019,6,"Gràcia",31,"la Vila de Gràcia","Alta","Estrangers",1471
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Alta","Estrangers",797
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Alta","Estrangers",682
2019,7,"Horta-Guinardó",34,"Can Baró","Alta","Estrangers",212
2019,7,"Horta-Guinardó",35,"el Guinardó","Alta","Estrangers",896
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Alta","Estrangers",152
2019,7,"Horta-Guinardó",37,"el Carmel","Alta","Estrangers",846
2019,7,"Horta-Guinardó",38,"la Teixonera","Alta","Estrangers",270
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","Estrangers",212
2019,7,"Horta-Guinardó",40,"Montbau","Alta","Estrangers",127
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Alta","Estrangers",82
2019,7,"Horta-Guinardó",42,"la Clota","Alta","Estrangers",15
2019,7,"Horta-Guinardó",43,"Horta","Alta","Estrangers",573
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Alta","Estrangers",572
2019,8,"Nou Barris",45,"Porta","Alta","Estrangers",928
2019,8,"Nou Barris",46,"el Turó de la Peira","Alta","Estrangers",563
2019,8,"Nou Barris",47,"Can Peguera","Alta","Estrangers",18
2019,8,"Nou Barris",48,"la Guineueta","Alta","Estrangers",250
2019,8,"Nou Barris",49,"Canyelles","Alta","Estrangers",59
2019,8,"Nou Barris",50,"les Roquetes","Alta","Estrangers",529
2019,8,"Nou Barris",51,"Verdun","Alta","Estrangers",461
2019,8,"Nou Barris",52,"la Prosperitat","Alta","Estrangers",659
2019,8,"Nou Barris",53,"la Trinitat Nova","Alta","Estrangers",227
2019,8,"Nou Barris",54,"Torre Baró","Alta","Estrangers",59
2019,8,"Nou Barris",55,"Ciutat Meridiana","Alta","Estrangers",486
2019,8,"Nou Barris",56,"Vallbona","Alta","Estrangers",25
2019,9,"Sant Andreu",57,"la Trinitat Vella","Alta","Estrangers",401
2019,9,"Sant Andreu",58,"Baró de Viver","Alta","Estrangers",31
2019,9,"Sant Andreu",59,"el Bon Pastor","Alta","Estrangers",378
2019,9,"Sant Andreu",60,"Sant Andreu","Alta","Estrangers",748
2019,9,"Sant Andreu",61,"la Sagrera","Alta","Estrangers",538
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Alta","Estrangers",317
2019,9,"Sant Andreu",63,"Navas","Alta","Estrangers",468
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Alta","Estrangers",1096
2019,10,"Sant Martí",65,"el Clot","Alta","Estrangers",601
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Alta","Estrangers",453
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Alta","Estrangers",183
2019,10,"Sant Martí",68,"el Poblenou","Alta","Estrangers",932
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Alta","Estrangers",247
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Alta","Estrangers",1171
2019,10,"Sant Martí",71,"Provençals del Poblenou","Alta","Estrangers",477
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Alta","Estrangers",504
2019,10,"Sant Martí",73,"la Verneda i la Pau","Alta","Estrangers",578
2019,1,"Ciutat Vella",1,"el Raval","Baixa","Espanyols",1459
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Baixa","Espanyols",585
2019,1,"Ciutat Vella",3,"la Barceloneta","Baixa","Espanyols",551
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Baixa","Espanyols",739
2019,2,"Eixample",5,"el Fort Pienc","Baixa","Espanyols",973
2019,2,"Eixample",6,"la Sagrada Família","Baixa","Espanyols",1673
2019,2,"Eixample",7,"la Dreta de l'Eixample","Baixa","Espanyols",1658
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Baixa","Espanyols",1504
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Baixa","Espanyols",1936
2019,2,"Eixample",10,"Sant Antoni","Baixa","Espanyols",1177
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Baixa","Espanyols",1381
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Baixa","Espanyols",41
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Baixa","Espanyols",781
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Baixa","Espanyols",283
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Baixa","Espanyols",527
2019,3,"Sants-Montjuïc",16,"la Bordeta","Baixa","Espanyols",496
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Baixa","Espanyols",696
2019,3,"Sants-Montjuïc",18,"Sants","Baixa","Espanyols",1467
2019,4,"Les Corts",19,"les Corts","Baixa","Espanyols",1567
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Baixa","Espanyols",591
2019,4,"Les Corts",21,"Pedralbes","Baixa","Espanyols",403
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Baixa","Espanyols",135
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Baixa","Espanyols",986
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Baixa","Espanyols",688
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Baixa","Espanyols",1135
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Baixa","Espanyols",1808
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Baixa","Espanyols",1213
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Baixa","Espanyols",492
2019,6,"Gràcia",29,"el Coll","Baixa","Espanyols",273
2019,6,"Gràcia",30,"la Salut","Baixa","Espanyols",480
2019,6,"Gràcia",31,"la Vila de Gràcia","Baixa","Espanyols",2056
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Baixa","Espanyols",1219
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Baixa","Espanyols",872
2019,7,"Horta-Guinardó",34,"Can Baró","Baixa","Espanyols",314
2019,7,"Horta-Guinardó",35,"el Guinardó","Baixa","Espanyols",1284
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Baixa","Espanyols",314
2019,7,"Horta-Guinardó",37,"el Carmel","Baixa","Espanyols",1014
2019,7,"Horta-Guinardó",38,"la Teixonera","Baixa","Espanyols",401
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Baixa","Espanyols",235
2019,7,"Horta-Guinardó",40,"Montbau","Baixa","Espanyols",152
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Baixa","Espanyols",160
2019,7,"Horta-Guinardó",42,"la Clota","Baixa","Espanyols",21
2019,7,"Horta-Guinardó",43,"Horta","Baixa","Espanyols",896
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Baixa","Espanyols",809
2019,8,"Nou Barris",45,"Porta","Baixa","Espanyols",852
2019,8,"Nou Barris",46,"el Turó de la Peira","Baixa","Espanyols",611
2019,8,"Nou Barris",47,"Can Peguera","Baixa","Espanyols",63
2019,8,"Nou Barris",48,"la Guineueta","Baixa","Espanyols",452
2019,8,"Nou Barris",49,"Canyelles","Baixa","Espanyols",163
2019,8,"Nou Barris",50,"les Roquetes","Baixa","Espanyols",521
2019,8,"Nou Barris",51,"Verdun","Baixa","Espanyols",432
2019,8,"Nou Barris",52,"la Prosperitat","Baixa","Espanyols",844
2019,8,"Nou Barris",53,"la Trinitat Nova","Baixa","Espanyols",258
2019,8,"Nou Barris",54,"Torre Baró","Baixa","Espanyols",81
2019,8,"Nou Barris",55,"Ciutat Meridiana","Baixa","Espanyols",281
2019,8,"Nou Barris",56,"Vallbona","Baixa","Espanyols",23
2019,9,"Sant Andreu",57,"la Trinitat Vella","Baixa","Espanyols",271
2019,9,"Sant Andreu",58,"Baró de Viver","Baixa","Espanyols",66
2019,9,"Sant Andreu",59,"el Bon Pastor","Baixa","Espanyols",411
2019,9,"Sant Andreu",60,"Sant Andreu","Baixa","Espanyols",1760
2019,9,"Sant Andreu",61,"la Sagrera","Baixa","Espanyols",891
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Baixa","Espanyols",465
2019,9,"Sant Andreu",63,"Navas","Baixa","Espanyols",618
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Baixa","Espanyols",1402
2019,10,"Sant Martí",65,"el Clot","Baixa","Espanyols",911
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Baixa","Espanyols",435
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Baixa","Espanyols",271
2019,10,"Sant Martí",68,"el Poblenou","Baixa","Espanyols",1119
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Baixa","Espanyols",428
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Baixa","Espanyols",613
2019,10,"Sant Martí",71,"Provençals del Poblenou","Baixa","Espanyols",543
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Baixa","Espanyols",674
2019,10,"Sant Martí",73,"la Verneda i la Pau","Baixa","Espanyols",666
2019,1,"Ciutat Vella",1,"el Raval","Baixa","Estrangers",4591
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Baixa","Estrangers",1577
2019,1,"Ciutat Vella",3,"la Barceloneta","Baixa","Estrangers",897
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Baixa","Estrangers",1442
2019,2,"Eixample",5,"el Fort Pienc","Baixa","Estrangers",1088
2019,2,"Eixample",6,"la Sagrada Família","Baixa","Estrangers",1657
2019,2,"Eixample",7,"la Dreta de l'Eixample","Baixa","Estrangers",1356
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Baixa","Estrangers",1421
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Baixa","Estrangers",1651
2019,2,"Eixample",10,"Sant Antoni","Baixa","Estrangers",1350
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Baixa","Estrangers",2016
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Baixa","Estrangers",4
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Baixa","Estrangers",564
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Baixa","Estrangers",296
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Baixa","Estrangers",502
2019,3,"Sants-Montjuïc",16,"la Bordeta","Baixa","Estrangers",288
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Baixa","Estrangers",505
2019,3,"Sants-Montjuïc",18,"Sants","Baixa","Estrangers",1173
2019,4,"Les Corts",19,"les Corts","Baixa","Estrangers",647
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Baixa","Estrangers",385
2019,4,"Les Corts",21,"Pedralbes","Baixa","Estrangers",194
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Baixa","Estrangers",55
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Baixa","Estrangers",348
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Baixa","Estrangers",124
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Baixa","Estrangers",392
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Baixa","Estrangers",706
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Baixa","Estrangers",507
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Baixa","Estrangers",298
2019,6,"Gràcia",29,"el Coll","Baixa","Estrangers",149
2019,6,"Gràcia",30,"la Salut","Baixa","Estrangers",262
2019,6,"Gràcia",31,"la Vila de Gràcia","Baixa","Estrangers",1551
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Baixa","Estrangers",819
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Baixa","Estrangers",624
2019,7,"Horta-Guinardó",34,"Can Baró","Baixa","Estrangers",183
2019,7,"Horta-Guinardó",35,"el Guinardó","Baixa","Estrangers",925
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Baixa","Estrangers",82
2019,7,"Horta-Guinardó",37,"el Carmel","Baixa","Estrangers",735
2019,7,"Horta-Guinardó",38,"la Teixonera","Baixa","Estrangers",226
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Baixa","Estrangers",172
2019,7,"Horta-Guinardó",40,"Montbau","Baixa","Estrangers",121
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Baixa","Estrangers",49
2019,7,"Horta-Guinardó",42,"la Clota","Baixa","Estrangers",14
2019,7,"Horta-Guinardó",43,"Horta","Baixa","Estrangers",546
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Baixa","Estrangers",597
2019,8,"Nou Barris",45,"Porta","Baixa","Estrangers",812
2019,8,"Nou Barris",46,"el Turó de la Peira","Baixa","Estrangers",538
2019,8,"Nou Barris",47,"Can Peguera","Baixa","Estrangers",8
2019,8,"Nou Barris",48,"la Guineueta","Baixa","Estrangers",217
2019,8,"Nou Barris",49,"Canyelles","Baixa","Estrangers",42
2019,8,"Nou Barris",50,"les Roquetes","Baixa","Estrangers",548
2019,8,"Nou Barris",51,"Verdun","Baixa","Estrangers",433
2019,8,"Nou Barris",52,"la Prosperitat","Baixa","Estrangers",689
2019,8,"Nou Barris",53,"la Trinitat Nova","Baixa","Estrangers",223
2019,8,"Nou Barris",54,"Torre Baró","Baixa","Estrangers",54
2019,8,"Nou Barris",55,"Ciutat Meridiana","Baixa","Estrangers",469
2019,8,"Nou Barris",56,"Vallbona","Baixa","Estrangers",23
2019,9,"Sant Andreu",57,"la Trinitat Vella","Baixa","Estrangers",382
2019,9,"Sant Andreu",58,"Baró de Viver","Baixa","Estrangers",31
2019,9,"Sant Andreu",59,"el Bon Pastor","Baixa","Estrangers",265
2019,9,"Sant Andreu",60,"Sant Andreu","Baixa","Estrangers",566
2019,9,"Sant Andreu",61,"la Sagrera","Baixa","Estrangers",554
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Baixa","Estrangers",301
2019,9,"Sant Andreu",63,"Navas","Baixa","Estrangers",463
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Baixa","Estrangers",1055
2019,10,"Sant Martí",65,"el Clot","Baixa","Estrangers",604
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Baixa","Estrangers",427
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Baixa","Estrangers",156
2019,10,"Sant Martí",68,"el Poblenou","Baixa","Estrangers",868
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Baixa","Estrangers",263
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Baixa","Estrangers",1110
2019,10,"Sant Martí",71,"Provençals del Poblenou","Baixa","Estrangers",433
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Baixa","Estrangers",497
