"﻿""CODI_CAPA""","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"G008","Serveis religiosos","Esglésies catòliques",428064.956,4583079.94,427973.04600000003,4582878.999,2.1384220000000003,41.394222,5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Parròquia de Sant Gregori Taumaturg","Pl Sant Gregori Taumaturg, s/n","932012121"
"G010","Serveis religiosos","Mesquites",428653.87700000004,4578727.27,428561.961,4578526.369,2.145978,41.355071,3,12,"Sants-Montjuïc","la Marina del Prat Vermell","Centre Cultural islàmic Casa de les Ciències i el Coneixement","C Cisell, 22",""
"G009","Serveis religiosos","Esglésies evangèliques",432018.758,4588648.357,431926.814,4588447.363,2.185085,41.444718,8,52,"Nou Barris","la Prosperitat","Església Evangèlica Centre Cristià Internacional Barcelona","C Formentera, 48","663456560"
"G009","Serveis religiosos","Esglésies evangèliques",433271.407,4583691.66,433179.45,4583490.711,2.2006259999999997,41.400180999999996,10,68,"Sant Martí","el Poblenou","Església Evangèlica Poblenou","C Llull, 161","934854841"
"G008","Serveis religiosos","Esglésies catòliques",427195.61,4581408.283,427103.708,4581207.357,2.128225,41.379087,4,20,"Les Corts","la Maternitat i Sant Ramon","Parròquia de Santa Tecla","Av Madrid, 107*115","933398579"
"G010","Serveis religiosos","Mesquites",432147.02200000006,4586524.848999999,432055.076,4586323.874,2.186859,41.425604,9,61,"Sant Andreu","la Sagrera","Centre Islàmic de Barcelona","Av Meridiana, 0326","933514901"
"G009","Serveis religiosos","Esglésies evangèliques",432441.56700000004,4588964.637,432349.619,4588763.64,2.19011,41.447603,9,57,"Sant Andreu","la Trinitat Vella","Església Evangèlica de Filadèlfia - Trinitat","Via Favència, 441*479",""
"G009","Serveis religiosos","Esglésies evangèliques",429878.265,4582171.992,429786.338,4581971.058,2.160215,41.386204,2,8,"Eixample","l'Antiga Esquerra de l'Eixample","Església Evangèlica Jesus is Lord - Muntaner","C Muntaner, 46","934428575"
"G009","Serveis religiosos","Esglésies evangèliques",429180.69299999997,4583297.172,429088.773,4583096.228,2.151741,41.396277000000005,5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Església Evangèlica Korea Assemblies of Barcelona Full Gospel Church","C Tuset, 28","932159138"
"G009","Serveis religiosos","Esglésies evangèliques",429262.138,4584622.352,429170.218,4584421.396000001,2.15256,41.40822,6,31,"Gràcia","la Vila de Gràcia","Església Evangèlica Baptista de Gràcia","C Verdi, 191","932171037"
"G008","Serveis religiosos","Esglésies catòliques",426749.539,4582725.879,426657.641,4582524.941000001,2.122732,41.390914,5,23,"Sarrià-Sant Gervasi","Sarrià","Parròquia de Sant Ot","Pg Manuel Girona, 25","932037451"
"G003","Serveis religiosos","Centres budistes",430137.64,4582066.058,430045.711,4581865.125,2.163329,41.385273,2,10,"Eixample","Sant Antoni","Dudjom Tersar, Centre budista Yeshe Nyingpo Barcelona","Pl Universitat, 1","666463015"
"G014","Serveis religiosos","Altres",433471.908,4585513.0139999995,433379.94899999996,4585312.048,2.202824,41.416601,10,72,"Sant Martí","Sant Martí de Provençals","Congregació Unitària Universalista de Barcelona","C Andrade, 176","654280743"
"G007","Serveis religiosos","Esglésies adventistes",431973.22799999994,4588688.763,431881.284,4588487.768,2.184535,41.445078,8,52,"Nou Barris","la Prosperitat","Església Adventista Moviment de Reforma","C Palamós, 4","663382276"
"G009","Serveis religiosos","Esglésies evangèliques",431187.001,4583552.859,431095.06299999997,4583351.912,2.175709,41.398754,2,5,"Eixample","el Fort Pienc","Església Evangèlica Cristiana Xinesa de Barcelona - Consell de Cent","C Consell de Cent, 461","935288388"
"G009","Serveis religiosos","Esglésies evangèliques",430189.30600000004,4588300.035,430097.37799999997,4588099.045,2.163227,41.441424,8,49,"Nou Barris","Canyelles","Església Evangèlica de Filadèlfia - Verdun","C Víctor Jara, 1",""
"G009","Serveis religiosos","Esglésies evangèliques",431038.445,4586222.162,430946.50899999996,4586021.191000001,2.173628,41.422783,7,35,"Horta-Guinardó","el Guinardó","Església Evangèlica Assemblea de Germans La Bisbal","C Mascaró, 54 bis",""
"G008","Serveis religiosos","Esglésies catòliques",431423.023,4585943.699,431331.083,4585742.73,2.178261,41.420308,7,35,"Horta-Guinardó","el Guinardó","Parròquia de Santa Isabel d'Aragó i Sant Joaquim","Oblit, 24","934364135"
"G008","Serveis religiosos","Esglésies catòliques",429791.875,4583050.437,429699.94899999996,4582849.495,2.15908,41.394109,2,7,"Eixample","la Dreta de l'Eixample","Parròquia de Sant Ramon de Penyafort","Rbla Catalunya, 115","932150237"
"G009","Serveis religiosos","Esglésies evangèliques",431193.17799999996,4586913.862,431101.24100000004,4586712.884,2.1754,41.429026,8,44,"Nou Barris","Vilapicina i la Torre Llobeta","Església Evangèlica Centre Missioner Bones Noves","C Felip II, 289",""
