"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
7048,606,738,152,142,735,315,1128,61,155,"07-03-2021 11:00:04"
7049,586,652,127,106,674,331,1013,60,165,"07-03-2021 11:00:04"
7050,580,648,142,106,761,219,959,79,190,"07-03-2021 11:00:04"
7051,832,985,235,174,1055,353,1477,106,234,"07-03-2021 11:00:04"
7052,615,652,188,98,628,353,1135,76,56,"07-03-2021 11:00:04"
7053,683,779,175,136,792,359,1323,44,95,"07-03-2021 11:00:04"
7054,757,841,234,165,840,359,1447,56,95,"07-03-2021 11:00:04"
7055,558,639,160,131,570,336,1151,20,26,"07-03-2021 11:00:04"
7056,601,616,156,129,662,270,1065,57,95,"07-03-2021 11:00:04"
7057,690,762,178,160,799,315,1306,29,117,"07-03-2021 11:00:04"
7058,654,708,172,127,733,330,1263,46,53,"07-03-2021 11:00:04"
7059,642,702,150,108,794,292,1053,110,181,"07-03-2021 11:00:04"
7060,910,964,208,165,1126,375,1573,101,200,"07-03-2021 11:00:04"
7061,588,619,151,128,657,271,1059,38,110,"07-03-2021 11:00:04"
7062,669,718,193,133,813,248,1118,64,205,"07-03-2021 11:00:04"
7063,710,759,211,131,816,311,1226,39,204,"07-03-2021 11:00:04"
7064,814,918,206,189,950,387,1391,58,283,"07-03-2021 11:00:04"
7065,842,950,231,177,1014,370,1291,90,411,"07-03-2021 11:00:04"
7066,852,938,219,158,1035,378,1361,81,348,"07-03-2021 11:00:04"
7067,756,853,223,155,930,301,1224,67,318,"07-03-2021 11:00:04"
7068,619,722,186,135,757,263,1024,57,260,"07-03-2021 11:00:04"
7069,706,779,170,143,834,338,1161,44,280,"07-03-2021 11:00:04"
7070,699,784,177,172,821,313,1160,32,291,"07-03-2021 11:00:04"
7071,647,723,159,111,725,375,1165,36,169,"07-03-2021 11:00:04"
7072,650,748,160,149,781,308,1163,48,187,"07-03-2021 11:00:04"
7073,520,629,131,92,615,311,891,32,226,"07-03-2021 11:00:04"
7074,820,906,210,186,950,380,1413,32,281,"07-03-2021 11:00:04"
7075,595,638,123,131,671,308,973,31,229,"07-03-2021 11:00:04"
7076,670,738,170,137,753,348,1139,46,223,"07-03-2021 11:00:04"
7077,666,706,168,149,787,268,1110,37,225,"07-03-2021 11:00:04"
7078,691,722,193,108,817,295,1153,68,192,"07-03-2021 11:00:04"
7079,695,784,179,136,782,382,1162,44,273,"07-03-2021 11:00:04"
7080,863,962,286,172,1049,318,1508,63,254,"07-03-2021 11:00:04"
7081,976,1037,201,207,1146,459,1709,61,243,"07-03-2021 11:00:04"
7082,610,659,138,139,728,264,1037,67,165,"07-03-2021 11:00:04"
7083,660,733,163,133,774,323,1122,41,230,"07-03-2021 11:00:04"
7084,685,689,161,141,791,281,1063,72,239,"07-03-2021 11:00:04"
7085,630,649,146,142,737,254,1074,52,153,"07-03-2021 11:00:04"
7086,704,758,169,123,871,299,1161,56,245,"07-03-2021 11:00:04"
7087,734,875,199,135,904,371,1335,59,215,"07-03-2021 11:00:04"
7088,832,897,237,206,1020,266,1359,71,299,"07-03-2021 11:00:04"
7089,609,748,154,126,702,375,1168,52,137,"07-03-2021 11:00:04"
7090,726,766,227,140,811,314,1295,56,141,"07-03-2021 11:00:04"
7091,584,657,131,139,696,275,1008,52,181,"07-03-2021 11:00:04"
7092,703,870,172,149,863,389,1103,40,430,"07-03-2021 11:00:04"
7093,902,877,207,259,895,418,1375,53,351,"07-03-2021 11:00:04"
7094,572,689,139,94,708,320,1058,34,169,"07-03-2021 11:00:04"
