"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Edat_quinquennal","Nombre"
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Espanyola","5-9 anys",384
2020,8,"Nou Barris",45,"Porta","Dona","Espanyola","5-9 anys",456
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Espanyola","5-9 anys",268
2020,8,"Nou Barris",47,"Can Peguera","Dona","Espanyola","5-9 anys",46
2020,8,"Nou Barris",48,"la Guineueta","Dona","Espanyola","5-9 anys",274
2020,8,"Nou Barris",49,"Canyelles","Dona","Espanyola","5-9 anys",113
2020,8,"Nou Barris",50,"les Roquetes","Dona","Espanyola","5-9 anys",321
2020,8,"Nou Barris",51,"Verdun","Dona","Espanyola","5-9 anys",201
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Espanyola","5-9 anys",426
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Espanyola","5-9 anys",136
2020,8,"Nou Barris",54,"Torre Baró","Dona","Espanyola","5-9 anys",70
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Espanyola","5-9 anys",184
2020,8,"Nou Barris",56,"Vallbona","Dona","Espanyola","5-9 anys",36
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Espanyola","5-9 anys",220
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Espanyola","5-9 anys",64
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Espanyola","5-9 anys",323
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Espanyola","5-9 anys",1187
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Espanyola","5-9 anys",517
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Espanyola","5-9 anys",288
2020,9,"Sant Andreu",63,"Navas","Dona","Espanyola","5-9 anys",347
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Espanyola","5-9 anys",553
2020,10,"Sant Martí",65,"el Clot","Dona","Espanyola","5-9 anys",435
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Espanyola","5-9 anys",286
