"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Home",19651
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home",622
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Home",14836
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home",4846
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Home",7703
2019,3,"Sants-Montjuïc",16,"la Bordeta","Home",9182
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Home",11359
2019,3,"Sants-Montjuïc",18,"Sants","Home",19942
2019,4,"Les Corts",19,"les Corts","Home",21445
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home",11060
2019,4,"Les Corts",21,"Pedralbes","Home",5550
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home",2342
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home",11611
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home",7751
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home",11883
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home",21451
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home",13446
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Home",7440
2019,6,"Gràcia",29,"el Coll","Home",3468
2019,6,"Gràcia",30,"la Salut","Home",6165
2019,6,"Gràcia",31,"la Vila de Gràcia","Home",22790
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home",16046
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Home",11893
2019,7,"Horta-Guinardó",34,"Can Baró","Home",4334
2019,7,"Horta-Guinardó",35,"el Guinardó","Home",17348
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home",4487
2019,7,"Horta-Guinardó",37,"el Carmel","Home",15202
2019,7,"Horta-Guinardó",38,"la Teixonera","Home",5633
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home",3392
2019,7,"Horta-Guinardó",40,"Montbau","Home",2304
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home",2737
2019,7,"Horta-Guinardó",42,"la Clota","Home",354
2019,7,"Horta-Guinardó",43,"Horta","Home",12759
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home",11863
2019,8,"Nou Barris",45,"Porta","Home",12292
2019,8,"Nou Barris",46,"el Turó de la Peira","Home",7259
2019,8,"Nou Barris",47,"Can Peguera","Home",1076
2019,8,"Nou Barris",48,"la Guineueta","Home",7052
2019,8,"Nou Barris",49,"Canyelles","Home",3269
2019,8,"Nou Barris",50,"les Roquetes","Home",7762
2019,8,"Nou Barris",51,"Verdun","Home",5841
2019,8,"Nou Barris",52,"la Prosperitat","Home",12593
2019,8,"Nou Barris",53,"la Trinitat Nova","Home",3631
2019,8,"Nou Barris",54,"Torre Baró","Home",1464
2019,8,"Nou Barris",55,"Ciutat Meridiana","Home",5249
2019,8,"Nou Barris",56,"Vallbona","Home",682
2019,9,"Sant Andreu",57,"la Trinitat Vella","Home",5247
2019,9,"Sant Andreu",58,"Baró de Viver","Home",1263
2019,9,"Sant Andreu",59,"el Bon Pastor","Home",6442
2019,9,"Sant Andreu",60,"Sant Andreu","Home",27326
2019,9,"Sant Andreu",61,"la Sagrera","Home",13725
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Home",6724
2019,9,"Sant Andreu",63,"Navas","Home",10361
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home",18120
2019,10,"Sant Martí",65,"el Clot","Home",12931
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home",7455
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home",4532
2019,10,"Sant Martí",68,"el Poblenou","Home",16367
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home",6617
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Home",12593
2019,10,"Sant Martí",71,"Provençals del Poblenou","Home",10048
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Home",12217
