"Codi_Senyal","Descripció_Senyal"
"ExcTram","Excepte Tramvia"
"FIBICI","Fi carril bici"
"GASPR","Gasolinera y Parquing"
"GAST_Entrada","Gasolinera y Túnel de Lavado Entrada"
"GASTCD","Gasolinera y Túnel de Lavado Curva Derecha"
"GASTCI","Gasolinera y Túnel de Lavado Curva Izquierda"
"GASTD_800m","Gasolinera y Túnel de Lavado Derecha 800m"
"GASTD_950m","Gasolinera y Túnel de Lavado Derecha 800m"
"GASTE","Gasolinera y Túnel de Lavado Izquierda"
"GASTR","Gasolinera y Túnel de Lavado Recto"
"GIRBUSc","Girada Tancada Autobusos"
"GRMOTO","Cajetín Grúa Motos"
"GRUA","Cajetín Grúa"
"ITV_Croquis","ITV Croquis"
"LVPART","Zones de càrrega i descàrrega"
"M111","Calzada de 2 sentidos (2 carriles + Carril Bus)"
"M40","Principio Zona Estacionamiento Regulado"
"M41","Fin Zona Estacionamiento Regulado"
"M91","Circulación Prohibida"
"M91_BT","Circulación Prohibida a Bicicletas y Tractores"
"M91_CM","Circulación Prohibida a Coches y Motos"
"M91_PB","Circulación Prohibida a Peatones y Bicicletas"
"M91_PM","Circulación Prohibida a Peatones y Motos"
"M91_TB","Circulación Prohibida a Bicicletas y Tractores"
"M91_TP","Circulación Prohibida a Tractores y Peatones"
"M92_PBLL","Circulación Prohibida a Peatones, Bicicletas y Mercancías Peligrosas"
"M92_PMLL","Circulación Prohibida a Peatones, Motos y Mercancías Peligrosas"
"MESpar","Mesos parells"
"MESsen","Mesos senars"
"MINDE","Minusválido Derecha"
"MINDI","Minusválido Derecha + Izquierda"
"MINUS","Minusválido"
"MULTI","Zona de Peatones"
"P-1","Intersección con prioridad"
"P-10a","Proximidad paso a nivel o puente movil (lado izquierdo)"
"P-10b","Aproximación a un paso a nivel o puente movil (lado izquierdo)"
"P-10c","Cercanía de un paso a nivel o puente móvil (lado izquierdo)"
"P-11","Situación de un paso a nivel sin barreras"
"P-11a","Situación de un paso a nivel sin barreras de mas de una vía férrea"
"P-12","Aeropuerto"
"P-13a","Curva peligrosa hacia la derecha"
"P-13b","Curva peligrosa hacia la izquierda"
"P-14a","Curvas peligrosas hacia la derecha"
"P-14b","Curvas peligrosas hacia la izquierda"
"P-15","Perfil irregular"
"P-15a","Resalto"
"P-15b","Badén"
"P-16a_10","Bajada con fuerte pendiente"
"P-16a_11","Bajada con fuerte pendiente"
"P-16a_12","Bajada con fuerte pendiente"
"P-16a_13","Bajada con fuerte pendiente"
"P-16a_14","Bajada con fuerte pendiente"
"P-16a_15","Bajada con fuerte pendiente"
"P-16a_16","Bajada con fuerte pendiente"
"P-16a_17","Bajada con fuerte pendiente"
"P-16a_18","Bajada con fuerte pendiente"
"P-16a_19","Bajada con fuerte pendiente"
"P-16a_20","Bajada con fuerte pendiente"
"P-16a_5","Bajada con fuerte pendiente"
"P-16a_6","Bajada con fuerte pendiente"
"P-16a_7","Bajada con fuerte pendiente"
"P-16a_8","Bajada con fuerte pendiente"
"P-16a_9","Bajada con fuerte pendiente"
"P-16b_10","Subida con fuerte pendiente"
"P-16b_11","Subida con fuerte pendiente"
"P-16b_12","Subida con fuerte pendiente"
"P-16b_13","Subida con fuerte pendiente"
"P-16b_14","Subida con fuerte pendiente"
"P-16b_15","Subida con fuerte pendiente"
"P-16b_16","Subida con fuerte pendiente"
"P-16b_17","Subida con fuerte pendiente"
"P-16b_18","Subida con fuerte pendiente"
"P-16b_19","Subida con fuerte pendiente"
"P-16b_20","Subida con fuerte pendiente"
"P-16b_5","Subida con fuerte pendiente"
"P-16b_6","Subida con fuerte pendiente"
"P-16b_7","Subida con fuerte pendiente"
"P-16b_8","Subida con fuerte pendiente"
"P-16b_9","Subida con fuerte pendiente"
"P-17","Estrechamiento de la calzada"
"P-17a","Estrechamiento de la calzada por la derecha"
"P-17b","Estrechamiento de la calzada por la izquierda"
"P-18","Obras"
"P-19","Pavimento deslizante"
"P-1a","Intersección con prioridad"
"P-1b","Intersección con prioridad sobre vía a la izquierda"
"P-1c","Intersección con prioridad sobre incorporación a la derecha"
"P-1d","Intersección con prioridad sobre incorporación a la izquierda"
"P-2","Intersección con prioridad a la derecha"
"P-20","Peatones"
"P-20a","Peatones"
"P-21","Niños"
"P-21LUZ","Peligro niños"
"P-21LUZ2","Peligro niños"
"P-22","Bicicletas"
"P-23","Paso de animales domésticos"
"P-24","Paso de animales en libertad"
"P-25","Circulación en los dos sentidos"
"P-26","Desprendimiento"
"P-27","Muelle"
"P-28","Proyección de gravilla"
"P-29","Viento transversal"
"P-3","Semáforos"
"P-30","Escalón lateral"
"P-31","Congestión"
"P-32","Obstrucción en la Calzada"
"P-33","Visibilidad reducida"
"P-34","Pavimento deslizante por hielo o nieve"
"P-4","Intersección con circulación giratoria"
"P-5","Puente Movil"
"P-50","Otros peligros"
"P-50o","Otros Peligros"
"P-6","Cruce de Tranvía"
"P-7","Paso a nivel con barrera"
"P-8","Paso a nivel sin barrera"
"P-9a","Proximidad paso a nivel o puente movil (lado derecho)"
"P-9b","Aproximación a un paso a nivel o puente movil (lado derecho)"
"P-9c","Cercanía de un paso a nivel o puente móvil (lado derecho)"
"PACIFDIAG","Pacificació Diagonal Diumenges 9-15h"
"PACIFDIAG2","Pacificació Diagonal-Via Augusta Diumenges 9-15h"
"PACIFDIAG3","Pacificació lateral Diagonal Diumenges 9-15h"
"PACIFDIAG4","Pacificació Diagonal-Pau Claris Diumenges 9-15h"
"PACIFDIAG5","Pacificació Diagonal-Sicília Diumenges 9-15h"
"PACIFDIAG6","Pacificació Diagonal-València Diumenges 9-15h"
"PANEL","Panel Direccional Largo Derecha-Izquierda"
"PAP","Prohibició aparcament plaça"
"PARCCOLL","Parc Collserola"
"PROH_TAX_JPeiro","Prohibido parada taxi a pl. Joan Peiró"
"PROHGOS","Prohibit gossos"
"PROHMUS","Prohibició tocar música"
"PROHPILOTA","Prohibido jugar a pelota"
"PuntVerd","PuntVerd genèric"
"R-1","Ceda el paso"
"R-100","Circulación prohibida"
"R-100","Circulación prohibida Bus"
"R-101","Entrada prohibida"
"R-102","Entrada prohibida a vehículos de motor"
"R-103","Entrada prohibida a vehiculos de motor, excepto motocicletas de dos ruedas sin sidecar"
"R-104","Entrada prohibida a motocicletas"
"R-105","Entrada prohibida a ciclomotores"
"R-106","Entrada prohibida a vehículos destinados al transporte de mercancías."
"R-107_1.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_10","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_10.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_11","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_11.5","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_12","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_16","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_16.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_2","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_2.5","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_2.8","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_20","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_20.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_3","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_3.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_30","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_4","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_4.5","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_5.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_6","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_6.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_7","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_7.5","Entrada prohibida a vehículos destinados al transporte de mercancías con mayor masa autorizada que la indicada."
"R-107_8","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_8.5","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_9","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-107_9.5","Entrada prohibida a vehículos destinados al transporte de mercancias"
"R-108","Entrada prohibida a vehículos que transporten mercancías peligrosas"
"R-109","Entrada prohibida a vehículos que transporten mercancías explosivas o inflamables"
"R-110","Entrada prohibida a vehículos que transporten productos contaminantes del agua"
"R-111","Entrada prohibida a vehículos agrícolas de motor"
"R-112","Entrada prohibida a vehículos de motor conremolque, que no sea un semirremolque o un remolque de un solo eje"
"R-113","Entrada prohibida a vehículos de tracción animal"
"R-114","Entrada prohibida a ciclos"
"R-115","Entrada prohibida a carros de mano"
"R-116","Entrada prohibida a peatones"
"R-117","Entrada prohibida a animales de montura"
"R-2","Detención obligatoria"
"R-200","Prohibición de pasar sin detenerse"
"R-200CC","Prohibición de pasar sin detenerse"
"R-200CI","Prohibición de pasar sin detenerse"
"R-201_1.3","Limitación de masa"
"R-201_1.5","Limitación de masa"
"R-201_10","Limitación de masa"
"R-201_11","Limitación de masa"
"R-201_12","Limitación de masa"
"R-201_15","Limitación de masa"
"R-201_16","Limitación de masa"
"R-201_18","Limitación de masa"
"R-201_2.0","Limitación de masa"
"R-201_2.5","Limitación de masa"
"R-201_20","Limitación de masa"
"R-201_3.0","Limitación de masa"
"R-201_3.5","Limitación de masa"
"R-201_4","Limitación de masa"
"R-201_4.5","Limitación de masa"
"R-201_5","Limitación de masa"
"R-201_5.5","Limitación de masa"
"R-201_6","Limitación de masa"
"R-201_6.5","Limitación de masa"
"R-201_7","Limitación de masa"
"R-201_7.5","Limitación de masa"
"R-201_8","Limitación de masa"
"R-201_8.5","Limitación de masa"
"R-201_9","Limitación de masa"
"R-201_9.5","Limitación de masa"
"R-202","Limitación de masa"
"R-202_12","Limitación de masa"
"R-202_2","Limitación de peso por eje"
"R-202_5","Limitación de peso por eje"
"R-202_7","Limitación de peso por eje"
"R-202c","Limitación de peso por eje"
"R-202e","Limitación de peso por eje"
"R-202e3","Limitación de peso por eje"
"R-203_10","Limitación de longitud"
"R-203_12","Limitación de longitud"
"R-203_5","Limitación de longitud"
"R-203_6","Limitación de longitud"
"R-203_7","Limitación de longitud"
"R-203_8","Limitación de longitud"
"R-203_8.5","Limitación de longitud"
"R-204_1.8","Limitación de anchura"
"R-204_2.0","Limitación de anchura"
"R-204_2.1","Limitación de Anchura"
"R-204_2.2","Limitación de anchura"
"R-204_2.3","Limitación de anchura"
"R-204_2.4","Limitación de anchura"
"R-204_2.5","Limitación de anchura"
"R-204_2.6","Limitación de anchura"
"R-204_2.7","Limitación de anchura"
"R-204_2.8","Limitación de anchura"
"R-204_2.9","Limitación de anchura"
"R-204_3","Limitación de anchura"
"R-204_3.1","Limitación de anchura"
"R-204_3.2","Limitación de anchura"
"R-204_3.3","Limitación de anchura"
"R-204_3.4","Limitación de anchura"
"R-204_3.5","Limitación de anchura"
"R-204_3.6","Limitación de anchura"
"R-204_3.7","Limitación de anchura"
"R-204_3.8","Limitación de anchura"
"R-204_3.9","Limitación de anchura"
"R-204_4","Limitación de anchura"
"R-204_4.1","Limitación de anchura"
"R-204_4.2","Limitación de anchura"
"R-204_4.3","Limitación de anchura"
"R-204_4.4","Limitación de anchura"
"R-204_4.5","Limitación de anchura"
"R-205_1.9","Limitación de altura"
"R-205_2","Limitación de altura"
"R-205_2.1","Limitación de altura"
"R-205_2.2","Limitación de altura"
"R-205_2.3","Limitación de altura"
"R-205_2.4","Limitación de altura"
"R-205_2.5","Limitación de altura"
"R-205_2.6","Limitación de altura"
"R-205_2.7","Limitación de altura"
"R-205_2.8","Limitación de altura"
"R-205_2.9","Limitación de altura"
"R-205_3","Limitación de altura"
"R-205_3.1","Limitación de altura"
"R-205_3.2","Limitación de altura"
"R-205_3.3","Limitación de altura"
"R-205_3.4","Limitación de altura"
"R-205_3.5","Limitación de altura"
"R-205_3.6","Limitación de altura"
"R-205_3.7","Limitación de altura"
"R-205_3.8","Limitación de altura"
"R-205_3.9","Limitación de altura"
"R-205_4","Limitación de altura"
"R-205_4.1","Limitación de altura"
"R-205_4.2","Limitación de altura"
"R-205_4.3","Limitación de altura"
"R-205_4.4","Limitación de altura"
"R-205_4.5","Limitación de altura"
"R-205_4.6","Limitación de altura"
"R-205_4.7","Limitación de altura"
"R-205_4.8","Limitación de altura"
"R-205_4.9","Limitación de altura"
"R-205_5","Limitación de altura"
"R-205_5.1","Limitación de altura"
"R-205_5.2","Limitación de altura"
"R-205_5.3","Limitación de altura"
"R-205_5.4","Limitación de altura"
"R-205_5.5","Limitación de altura"
"R-205_5.6","Limitación de altura"
"R-205_5.7","Limitación de altura"
"R-205_5.8","Limitación de altura"
"R-205_5.9","Limitación de altura"
"R-205_6","Limitación de altura"
"R-2o","Detención obligatoria antigua"
"R-3","Calzada con prioridad"
"R-300","Separación minima"
"R-301_10","Velocidad máxima"
"R-301_100","Velocidad Máxima"
"R-301_110","Velocidad Máxima"
"R-301_120","Velocidad máxima"
"R-301_15","Velocidad máxima"
"R-301_20","Velocidad máxima"
"R-301_30","Velocidad máxima"
"R-301_40","Velocidad máxima"
"R-301_50","Velocidad máxima"
"R-301_60","Velocidad máxima"
"R-301_70","Velocidad máxima"
"R-301_80","Velocidad máxima"
"R-301_90","Velocidad máxima"
"R-302","Giro a la derecha prohibido"
"R-303","Giro a la izquierda prohibido"
"R-304","Media vuelta prohibida"
"R-305","Adelantamiento prohibido"
"R-306","Adelantamiento prohibido para camiones"
"R-307","Parada y estacionamiento prohibidos"
"R-307_0-24h","Parada y estacionamiento prohibidos"
"R-307D","Parada y estacionamiento prohibidos"
"R-307D_0-24h","Parada y estacionamiento prohibidos"
"R-307Da","Parada y estacionamiento prohibido"
"R-307I","Parada y estacionamiento prohibidos"
"R-307I_0-24h","Parada y estacionamiento prohibidos 24h"
"R-307Ia","Parada y estacionamiento prohibido"
"R-307L","Parada y estacionamiento prohibidos"
"R-307L_0-24h","Parada y estacionamiento prohibidos 24h"
"R-307La","Parada y estacionamiento prohibidos"
"R-307P","Parada y estacionamiento prohibidos"
"R-307P_Motos","Parada y estacionamiento prohibidos"
"R-307PD","Parada y estacionamiento prohibidos"
"R-307PD_Motos","Parada y estacionamiento prohibidos"
"R-307PI","Parada y estacionamiento prohibidos"
"R-307PL","Parada y estacionamiento prohibidos"
"R-307PL_Motos","Parada y estacionamiento prohibidos"
"R-308","Estacionamiento prohibido"
"R-308_0-24h","Estacionamiento prohibido"
"R-308_Minus","Estacionamiento prohibido"
"R-308_Motos","Estacionamiento prohibido"
"R-308a","Estacionamiento prohibido los días impares"
"R-308b","Estacionamiento prohibido los días pares"
"R-308c","Estacionamiento prohibido la primera quincena"
"R-308CAMPNOU1_A","Prohibit aparcar excepte minus (FCB)"
"R-308CAMPNOU2_A","Prohibit aparcar excepte minus ambdós costats (FCB)"
"R-308CAMPNOU3_C","Prohibit aparcar excepte autocars ambdós costats (FCB)"
"R-308CAMPNOU4_B","Prohibit aparcar ambdós costats (FCB)"
"R-308CAMPNOU5_B","Prohibit aparcar (FCB)"
"R-308cD","Estacionamiento prohibido la primera quincena"
"R-308cI","Estacionamiento prohibido la primera quincena"
"R-308cL","Estacionamiento prohibido la primera quincena"
"R-308d","Estacionamiento prohibido la segunda quincena"
"R-308D_0-24h","Estacionamiento prohibido"
"R-308D_Minus","Estacionamiento prohibido"
"R-308D2","Estacionamiento prohibido"
"R-308dD","Estacionamiento prohibido la segunda quincena"
"R-308dI","Estacionamiento prohibido"
"R-308I","Estacionamiento prohibido"
"R-308I_0-24h","Estacionamiento prohibido"
"R-308I_Minus","Estacionamiento prohibido"
"R-308L","Estacionamiento prohibido"
"R-308L_Minus","Estacionamiento prohibido"
"R-308P","Estacionamiento prohibido"
"R-308P_0-24h","Estacionamiento prohibido"
"R-308P_1-15","Estacionamiento prohibido"
"R-308P_16-31","Estacionamiento prohibido"
"R-308P_Motos","Estacionamiento prohibido"
"R-308PD","Estacionamiento prohibido"
"R-308PD_0-24h","Estacionamiento prohibido"
"R-308PD_Motos","Estacionamiento prohibido"
"R-308PI","Estacionamiento prohibido"
"R-308PI_0-24h","Estacionamiento prohibido"
"R-308PI_Motos","Estacionamiento prohibido"
"R-308PL","Estacionamiento prohibido"
"R-309","Zona de estacionamiento limitado"
"R-310","Estacionamiento prohibido"
"R-4","Fin de Prioridad"
"R-400a","Sentido Obligatorio"
"R-400b","Sentido Obligatorio"
"R-400c","Sentido Obligatorio"
"R-400d","Sentido Obligatorio"
"R-400e","Sentido Obligatorio"
"R-401a","Paso Obligatorio"
"R-401b","Paso Obligatorio"
"R-402","Intersección de sentido giratorio obligatorio"
"R-403a","Sentido obligatorio frente derecha"
"R-403b","Sentido obligatorio frente izquierda"
"R-403c","Sentido Obligatorio"
"R-404","Calzada para automóviles, excepto motocicletas de dos ruedas sin sidecar"
"R-405","Calzada pra motocicletas de dos ruedas sin sidecar"
"R-406","Calzada para camiones y furgones"
"R-407","Via Reservada"
"R-407_FIN","Fin de via reservada"
"R-408","Camino reservado para vehículos de tracción animal"
"R-409","Camino reservado para animales de montura"
"R-410","Obligatorio Peatones"
"R-411_100","Velocidad mínima"
"R-411_20","Velocidad mínima"
"R-411_30","Velocidad mínima"
"R-411_40","Velocidad mínima"
"R-411_50","Velocidad mínima"
"R-411_60","Velocidad mínima"
"R-411_70","Velocidad mínima"
"R-411_80","Velocidad mínima"
"R-411_90","Velocidad mínima"
"R-412","Cadenas para nieve"
"R-413","Alumbrado de corto alcance"
"R-414","Calzada para vehículos que transporten mercancías peligrosas"
"R-415","Calzada para vehículos que transporten productos contaminantes del agua"
"R-416","Calzada para vehículos que transporten mercancias explosivas o inflamables"
"R-417","Uso obligatorio del cinturón de seguridad"
"R-5","Prioridad en sentido contrario"
"R-500","Fin de prohibiciones"
"R-501_100","Fin de la limitación de velocidad"
"R-501_20","Fin de la limitación de velocidad"
"R-501_30","Fin de la limitación de velocidad"
"R-501_40","R-501_40"
"R-501_50","R-501_50"
"R-501_60","Fin de la limitación de velocidad"
"R-501_70","Fin de la limitación de velocidad"
"R-501_80","Fin de la limitación de velocidad"
"R-501_90","Fin de la limitación de velocidad"
"R-502","Fin de la prohibición de adelantamiento"
"R-503","Fin de prohibición de adelantamiento para camiones"
"R-504","Fin de zona de estacionamiento limitado"
"R-505","Fin de la prohibición de advertencias acústicas"
"R-506_20","Fin de velocidad mínima"
"R-506_30","Fin de velocidad mínima"
"R-506_40","Fin de velocidad mínima"
"R-506_50","Fin de velocidad mínima"
"R-506_60","Fin de velocidad mínima"
"R-506_70","Fin de velocidad mínima"
"R-6","Prioridad respecto al sentido contrario"
"S-1","Autopista"
"S-10","Servicio de inspección técnica de vehículos"
"S-100","Puesto de socorro"
"S-101","Base de ambulancia"
"S-102","Servicio de inspección técnica de vehículos"
"S-102D","ITV Derecha"
"S-102I","ITV Izquierda"
"S-102R","ITV Recto"
"S-102RD","ITV Arriba Derecha"
"S-103","Taller de reparación"
"S-104a","Teléfono"
"S-104b","Teléfono de Socorro"
"S-105","Surtidor de carburante"
"S-105_1500","Surtidor de carburante"
"S-105_500","Surtidor de carburante"
"S-105a","Surtidor de carburante con plomo y sin plomo"
"S-105a_100","Surtidor de carburante con plomo y sin plomo"
"S-105a_500","Surtidor de carburante con plomo y sin plomo"
"S-105aD","Surtidor de carburante"
"S-105aI","Otros servicios"
"S-105aR","Otros servicios"
"S-105vi","Túnel de Lavado 180º Izquierda"
"S-106","Taller de reparación y surtidor de carburante"
"S-106_50","Taller de reparación y surtidor de carburante"
"S-107","Campamento"
"S-108","Agua"
"S-109","Lugar pintoresco"
"S-11","Calzada de sentido único"
"S-110","Hotel o motel"
"S-111","Restaurante"
"S-112","Cafetería"
"S-113","Terreno para remolques-vivienda"
"S-114","Merendero"
"S-115","Punto de partida para excursiones a pie"
"S-116","Campamento y terreno para remolques-vivienda"
"S-117","Albergue juvenil"
"S-118","Información turística"
"S-118_100","Información turística"
"S-118_1000","Información turística"
"S-118_200","Información turística"
"S-119","Coto de Pesca"
"S-11a","Calzada de sentido único"
"S-11b","Calzada de sentido único"
"S-12","Tramo de calzada de sentido único"
"S-120","Parque Nacional"
"S-121","Monumento nacional"
"S-122","Otros servicios"
"S-122_Microf","Otros servicios (Gasolinera)"
"S-122_Minus","MINUS"
"S-122_Túnel","Otros servicios (Túnel de Lavado)"
"S-123","Area de descanso"
"S-124","Estacionamiento para usuarios del ferrocarril"
"S-125","Estacionamiento para usuarios del ferrocarril subterraneo"
"S-126","Estacionamiento para usuarios de autobus"
"S-12D","Tramo de calzada de sentido único"
"S-12I","Tramo de calzada de sentido único"
"S-13","Situación de un paso de peatones"
"S-13_AMA","Atenció Pas de Vianants"
"S-14a","Paso superior para peatones"
"S-14b","Paso inferior para peatones"
"S-15a","Preseñalización de calzada sin salida"
"S-15b","Preseñalización de calzada sin salida"
"S-15bI","Preseñalización de calzada sin salida"
"S-15c","Preseñalización de calzada sin salida"
"S-15d","Preseñalización de calzada sin salida"
"S-16","Zona de frenado de emergencia"
"S-17","Estacionamiento"
"S-17_10min","Estacionamiento 10 minutos"
"S-17_20min","Estacionamiento 20 minutos"
"S-17_2h","Estacionamiento 2h"
"S-17_30min","Estacionamiento 2h"
"S-17_Fila","Estacionamiento (Fila)"
"S-17_Glories","Estacionamiento (Glòries)"
"S-17_MINUS","Estacionamiento (Minusválidos)"
"S-17_motos","Estacionamiento (Motos)"
"S-1704","Itinerario de aproximación a aparcamiento"
"S-1707","Itinerario de aproximación a aparcamiento de minusválidos"
"S-1708","Itinerario de aproximación a aparcamiento de autobuses"
"S-17D","Estacionamiento"
"S-17D_MINUS","Estacionamiento (Minusválidos)"
"S-17D_motos","Estacionamiento (motos)"
"S-17I","Estacionamiento"
"S-17I_Fila","Estacionamiento (Fila)"
"S-17I_MINUS","Estacionamiento"
"S-17I_Motos","Estacionamiento (Motos)"
"S-17L","Estacionamiento"
"S-18","Taxi"
"S-18D","Taxi"
"S-18I","Taxi"
"S-18L","Taxi"
"S-18o","Taxi"
"S-18oD","Taxi"
"S-19","Parada de autobuses"
"S-1a","Autovía"
"S-1b","Vía Rápida"
"S-2","Fin de autopista"
"S-20","Parada de Tranvías"
"S-21","Transitabilidad en tramo o puerto de montaña"
"S-21_1a","Transitabilidad en tramo o puerto de montaña"
"S-21_1b","Transitabilidad en tramo o puerto de montaña"
"S-21_2b","Transitabilidad en tramo o puerto de montaña"
"S-21_2c","Transitabilidad en tramo o puerto de montaña"
"S-21_3b","Transitabilidad en tramo o puerto de montaña"
"S-22","Cambio de sentido"
"S-22_050","Cambio de sentido"
"S-22_100","Cambio de sentido"
"S-22_1000","Cambio de sentido"
"S-22_250","Cambio de sentido"
"S-22_500","Cambio de sentido"
"S-23","Hospital"
"S-23A","Hospital"
"S-23B","Hospital"
"S-23o","Hospital"
"S-23o2","Hospital"
"S-24","Fin de obligación de alumbrado de corto alcance"
"S-25","Cambio de sentido a distinto nivel"
"S-26a","Panel de aproximación salida (100 m)"
"S-26ai","Panel de aproximación salida (100 m)"
"S-26b","Panel de aproximación salida (200 m)"
"S-26bi","Panel de aproximación salida (200 m)"
"S-26c","Panel de aproximación salida (300 m)"
"S-26ci","Panel de aproximación salida (300 m)"
"S-27","Auxilio en carretera"
"S-27D","Auxilio en carretera"
"S-28","Zona Residencial"
"S-29","Fin Zona Residencial"
"S-2a","Fin de autovía"
"S-2b","Fin vía rápida"
"S-3","Vía para automóviles"
"S-35","Via para ciclos"
"S-35_Blanca","Via para ciclos"
"S-35_Fin","Fin de via para ciclos"
"S-4","Fin de vía para automóviles"
"S-5","Túnel"
"S-50a","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50a_50","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50a_60","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50a_70","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50b","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50b_50","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50b_60","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50b_70","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50c","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50c_50","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50c_60","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50c_70","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50d","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50d_50","Carriles obligatorios para tráfico lentro y reservados para tráfico rápido"
"S-50d_60","Carriles obligatorios para tráfico lentro y reservados para tráfico rápido"
"S-50d_70","Carriles obligatorios para tráfico lentro y reservados para tráfico rápido"
"S-50e","Carriles obligatorios para tráfico lento y reservados para tráfico rápido"
"S-50e_50","Carriles obligatorios para tráfico lentro y reservados para tráfico rápido"
"S-50e_60","Carriles obligatorios para tráfico lentro y reservados para tráfico rápido"
"S-50e_70","Carriles obligatorios para tráfico lentro y reservados para tráfico rápido"
"S-51","Carril reservado para autobuses"
"S-52","Final de carril destinado a la circulación"
"S-52a","Final de carril destinado a la circulación"
"S-52b","Final de carril destinado a la circulación"
"S-52c1","Final de carril destinado a la circulación"
"S-52c2","Final de carril destinado a la circulación"
"S-52c3","Final de carril destinado a la circulación"
"S-52c4","Final de carril destinado a la circulación"
"S-52d1","Final de carril destinado a la circulación"
"S-52d2","Final de carril destinado a la circulación"
"S-52d3","Final de carril destinado a la circulación"
"S-52d4","Final de carril destinado a la circulación"
"S-53","Paso de uno a dos carriles de circulación"
"S-53a","Paso de uno a dos carriles de circulación con limitación maxima en cada carril"
"S-53b","Paso de dos a tres carriles de circulación"
"S-53c","Paso de dos a tres carriles de circulación con limitación maxima en cada carril"
"S-6","Fin de Tunel"
"S-60a","Bifurcación hacia la izquierda en calzada de dos carriles"
"S-60a11","Bifurcación hacia la izquierda en calzada de dos carriles"
"S-60a12","Bifurcación hacia la izquierda en calzada de tres carriles"
"S-60a21","Bifurcación hacia la izquierda en calzada de tres carriles"
"S-60a22","Bifurcación hacia la izquierda en calzada de cuatro carriles"
"S-60a31","Bifurcación hacia la izquierda en calzada de cuatro carriles"
"S-60a32","Bifurcación hacia la izquierda en calzada de cinco carriles"
"S-60a41","Bifurcación hacia la izquierda en calzada de cinco carriles"
"S-60b","Bifurcación hacia la derecha en calzada de dos carriles"
"S-60b11","Bifurcación hacia la derecha en calzada de dos carriles"
"S-60b12","Bifurcación hacia la derecha en calzada de tres carriles"
"S-60b21","Bifurcación hacia la derecha en calzada de tres carriles"
"S-60b22","Bifurcación hacia la derecha en calzada de cuatro carriles"
"S-60b31","Bifurcación hacia la derecha en calzada de cuatro carriles"
"S-60b32","Bifurcación hacia la derecha en calzada de cinco carriles"
"S-60b41","Bifurcación hacia la derecha en calzada de cinco carriles"
"S-61a","Bifurcación hacia la izquierda en calzada de tres carriles"
