"Codi_Senyal","Descripció_Senyal"
"A-27_ZU","Zona Preferente de Residentes Zona Universitaria"
"A-28","Zona Exclusiva de Residentes"
"A-28_Fi","Fi de Zona Exclusiva de Residentes"
"A-28_R20","Zona Exclusiva de Residentes Zona 20"
"A-28_S1","Zona Exclusiva de Residentes Zona 1 (Sábados)"
"A-28_V10","Zona Exclusiva de Residentes Zona 10 (Viernes)"
"A-28_V1-10","Zona Exclusiva de Residentes Zonas 1 y 10 (Viernes)"
"A-28_V16","Zona Exclusiva de Residentes Zona 16 (Viernes)"
"A-28_V16-17","Zona Exclusiva de Residentes Zona 18 (Viernes)"
"A-28_V18","Zona Exclusiva de Residentes Zona 18 (Viernes)"
"A-28_V6-18","Zona Exclusiva de Residentes Zones 6-18 (Viernes)"
"A-28_V9","Zona Exclusiva de Residentes Zona 9 (Viernes)"
"A-28_V9Fi","Fi de Zona Exclusiva de Residentes Zona 9 (Viernes)"
"A-2a","Aparcament Autoritzat"
"A-2b","Aparcament Autoritzat"
"A-3","Aparcament Autoritzat"
"A-31","Reserves d'aparcament - Ambulàncies"
"A-31a","Reserves d'aparcament - Ambulàncies"
"A-31b","Reserves d'aparcament - Ambulàncies"
"A-32","Reserves d'aparcament - PMR"
"A-32a","Reserves d'aparcament - PMR"
"A-32b","Reserves d'aparcament - PMR"
"A-33","Reserves d'aparcament - PMR amb horari"
"A-33a","Reserves d'aparcament - PMR amb horari"
"A-33b","Reserves d'aparcament - PMR amb horari"
"A-34","Reserves d'aparcament - PMR un vehicle"
"A-34a","Reserves d'aparcament - PMR un vehicle"
"A-34b","Reserves d'aparcament - PMR un vehicle"
"A-35","Reserves d'aparcament - PMR dos vehicles"
"A-35a","Reserves d'aparcament - PMR dos vehicles"
"A-35b","Reserves d'aparcament - PMR dos vehicles"
"A-36","Reserves d'aparcament - PMR tres vehicles"
"A-36a","Reserves d'aparcament - PMR tres vehicles"
"A-36b","Reserves d'aparcament - PMR tres vehicles"
"A-37","Reserves d'aparcament - PMR amb horari un vehicle"
"A-37a","Reserves d'aparcament - PMR amb horari un vehicle"
"A-37b","Reserves d'aparcament - PMR amb horari un vehicle"
"A-38","Reserves d'aparcament - PMR amb horari dos vehicles"
"A-38a","Reserves d'aparcament - PMR amb horari dos vehicles"
"A-38b","Reserves d'aparcament - PMR amb horari dos vehicles"
"A-39","Reserves d'aparcament - Cos Consular"
"A-39a","Reserves d'aparcament - Cos Consular"
"A-39b","Reserves d'aparcament - Cos Consular"
"A-3a","Aparcament Autoritzat - Motos"
"A-3b","Aparcament Autoritzat - Motos"
"A-3c","Aparcament Autoritzat - Motos"
"A-4","Aparcament Autoritzat - Motos amb horari"
"A-40","Reserves d'aparcament - Cos Consular amb horari"
"A-40a","Reserves d'aparcament - Cos Consular amb horari"
"A-40b","Reserves d'aparcament - Cos Consular amb horari"
"A-41","Reserves d'aparcament - Hidrant"
"A-41a","Reserves d'aparcament - Hidrant"
"A-41b","Reserves d'aparcament - Hidrant"
"A-42","Reserves d'aparcament"
"A-42a","Reserves d'aparcament - Hotel"
"A-42b","Reserves d'aparcament - Hotel"
"A-43_44_45_46","BCN Smart City Vehicle Elèctric"
"A-43_Endoll_OBS","Elèctric endoll"
"A-43_OBSOLET","Vehicle elèctric"
"A-44","Zona de recàrrega de turismes elèctrics"
"A-44_OBSOLET","Turismes elèctrics"
"A-44a","Zona de recàrrega de turismes elèctrics"
"A-44a_OBSOLET","Turismes elèctrics"
"A-44b","Zona de recàrrega de turismes elèctrics"
"A-44b_OBSOLET","Turismes elèctrics"
"A-45","Motos elèctriques"
"A-45a","Motos elèctriques"
"A-45b","Motos elèctriques"
"A-46","Zona de recàrrega elèctrica ràpida (excepte serveis públics)"
"A-4a","Aparcament Autoritzat - Motos amb horari"
"A-4b","Aparcament Autoritzat - Motos amb horari"
"A-5","Aparcament Autoritzat"
"A-50","Parquing"
"A-50_Coche","Aproximación a Parquing Turismos"
"A-50_Croquis01","Itinerario de Aproximación a Parquing"
"A-50_Croquis02","Itinerario de Aproximación a Parquing"
"A-50_Croquis03","Itinerario de Aproximación a Parquing"
"A-50_Croquis04","Indicación parking"
"A-50_Croquis05","Itinerario de Aproximación a Parquing"
"A-51","Itinerario de Aproximación a Parquing - Recta"
"A-52a","Itinerario de Aproximación a Parquing - Dreta"
"A-52b","Itinerario de Aproximación a Parquing - Dreta"
"A-52c","Itinerario de Aproximación a Parquing - Dreta"
"A-53a","Itinerario de Aproximación a Parquing - Esquerra"
"A-53b","Itinerario de Aproximación a Parquing - Esquerra"
"A-53c","Itinerario de Aproximación a Parquing - Esquerra"
"A-53d","Itinerario de Aproximación a Parquing - Esquerra"
"A-54","Itinerario de Aproximación a Parquing - Recta i Dreta"
"A-55","Itinerario de Aproximación a Parquing - Recta i Esquerra"
"A-56","Itinerario de Aproximación a Parquing - Dreta i Esquerra"
"A-56a","Itinerario de Aproximación a Parquing - Canvi de sentit"
"A-56a2","Itinerario de Aproximación a Parquing - Canvi de sentit 2"
"A-56b","Itinerario de Aproximación a Parquing - Canvi de calçada"
"A-56c","Itinerario de Aproximación a Parquing - Canvi de calçada"
