"Codi_Inscripció","Descripció_Inscripció"
"MinusI","Persones amb mobilitat reduïda"
"MinusNegativoD","Persones amb mobilitat reduïda"
"MinusNegativoI","Persones amb mobilitat reduïda"
"Moto","Moto"
"PasoNivel","Pas a nivell"
"PeligroCiclista","Perill ciclistes"
"PeligroNiños","Perill nens"
"ProhEstacionar","Prohobició d'estacionar"
"ProhPararYEstac","Prohibició de parar i estacionar"
"StopCiudad","STOP ciutat"
"StopCtra","STOP carretera"
"TxtBicis","Text bicis"
"TxtBus","Text bus"
"TxtBusCtra","Text bus carretera"
"TxtMotos","Text motos"
"TxtSolo","Text solo"
"TxtTaxi","Text taxi"
"TxtTaxiCtra","Text taxi carretera"
"TxtTaxiVert","Text taxi vertical"
"VM10","Limitació de velocitat 10 km/h"
"VM20","Limitació de velocitat 20 km/h"
"VM30","Limitació de velocitat 30 km/h"
"VM40","Limitació de velocitat 40 km/h"
"VM45","Limitació de velocitat 50 km/h"
