"Unnamed: 0","Unnamed: 1","2012","Unnamed: 3","2011","Unnamed: 5","Unnamed: 6","2010","Unnamed: 8","Unnamed: 9","2009","Unnamed: 11","Unnamed: 12","2008","Unnamed: 14","Unnamed: 15","2007","Unnamed: 17","Unnamed: 18"
9,"57. la Trinitat Vella","59,6","","62,6","68,2","","71,3","76,3","","80,8","83,2","","97,4","102,6","","110,2","106,2",""
9,"58. Baró de Viver","75,7","","75,6","81,7","","81,6","97,8","","96,6","91,4","","95,6","104,4","","95,4","121,9",""
9,"59. el Bon Pastor","72,7","","78,0","83,3","","89,4","88,6","","90,4","91,6","","97,5","102,5","","112,9","121,2",""
9,"60. Sant Andreu","70,3","","75,2","80,7","","83,6","85,6","","89,2","91,3","","97,2","102,8","","112,4","116,4",""
9,"61. la Sagrera","68,5","","72,8","79,6","","83,7","85,6","","86,5","87,0","","97,1","102,9","","109,5","114,0",""
9,"62. el Congrés i els Indians","66,0","","70,7","77,4","","81,6","85,8","","91,3","88,6","","96,2","103,8","","115,8","117,3",""
9,"63. Navas","67,3","","71,6","76,5","","83,1","84,3","","90,7","93,1","","96,8","103,2","","109,6","112,8",""
10,"64. el Camp de l'Arpa del Clot","68,3","","74,5","82,8","","86,8","86,1","","89,3","91,4","","96,7","103,3","","112,3","115,7",""
10,"65. el Clot","70,7","","74,7","81,8","","84,6","86,8","","89,6","90,6","","96,6","103,4","","109,2","114,7",""
10,"66. el Parc i la Llacuna del Poblenou","68,4","","75,2","79,2","","89,1","87,1","","92,0","92,9","","99,6","100,4","","107,7","105,9",""
10,"67. la Vila Olímpica del Poblenou","81,7","","87,4","90,8","","90,9","86,9","","91,9","96,9","","95,0","105,0","","104,3","99,9",""
10,"68. el Poblenou","76,9","","82,5","85,1","","88,8","87,0","","87,2","93,5","","99,2","100,8","","107,6","111,6",""
10,"69. Diagonal Mar i el Front Marítim del Poblenou","79,9","","86,5","89,8","","93,9","92,6","","94,1","91,0","","97,8","102,2","","107,0","106,7",""
10,"70. el Besòs i el Maresme","58,8","","63,2","65,5","","72,1","75,3","","76,8","83,1","","95,7","104,3","","109,5","109,5",""
10,"71. Provençals del Poblenou","70,6","","78,7","85,9","","88,6","90,9","","93,7","93,7","","99,5","100,5","","112,0","111,0",""
