"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecopyright","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2010","No","","2011","2011","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87759 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","213 p.","application/pdf","7823","","","Mandat 2007-2011","http://hdl.handle.net/11703/87814","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87759","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2010","Informe al Plenario del Consejo Municipal sobre las actuaciones de la Sindicatura 2010","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015","","","2015-02-27","2015","Informe presentat al Consell Municipal del Plenari del 27-02-2015","","","","","application/pdf","21 p.","application/pdf","18061","","","Mandat 2011-2015","http://hdl.handle.net/11703/86759","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aprenentatge | Creació literària, artística, etc. | Equipaments culturals | Learning | Creation (Literary, artistic, etc.) | Arts facilities | Aprendizaje | Creación literaria, artística, etc. | Equipamientos culturales","Cultura i oci","informes als òrgans de govern","","Informe Xarxa d'Ateneus de Fabricació : espais per a promoure la innovació social ciutadana i la nova industrialització de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Participació i Districtes | Direcció de Serveis de Recerca, Desenvolupament i Innovació | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","2016 | 2017 | 2018 | 2019","","","2019-03","2019-03","Presentat al Plenari del Consell Municipal de 29-03-2019","","","","","application/pdf","62 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113952","cat","","","","","","","","","","","","CC-BY-SA","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","Participació ciutadana | Comunicacions digitals | Política tecnològica | Citizen participation | Digital communications | Technology policy | Participación ciudadana | Comunicaciones digitales | Política tecnológica | Decidim.Barcelona (Plataforma informàtica) | Decidim.Barcelona (Plataforma informática) | Decidim.Barcelona (IT platform)","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Decidim, la plataforma digital oberta i lliure per la participació i la innovació democràtica : informe 2016-2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona | Barcelona | Barcelona","2013","","","2014-02-18","2014","Informe presentat a la Comissió de Cultura, Coneixement, Creativitat i Innovació del 18-02-2014","","","","","application/pdf","18 p.","application/pdf","13035","","","Mandat 2011-2015","http://hdl.handle.net/11703/90223","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cinematografia | Audiovisuals | Política cultural | Motion pictures | Audio-visual materials | Cultural policy | Cine | Materiales audiovisuales | Política cultural","Cultura i oci","informes als òrgans de govern","","Barcelona, una ciutat que promou els rodatges i l'audiovisual : informe rodatges 2013","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2007 | 2008 | 2009 | 2010 | 2011","","","2010-11-30","2010","Informe presentat a la Comissió d'Educació, Cultura i Benestar de 30-11-2010","","","","","application/pdf","28 p.","application/pdf","","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/108273","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona | Patrimoni cultural | Museus | Arxius municipals | Institut de Cultura de Barcelona | Cultural heritage | Museums | Municipal archives | Institut de Cultura de Barcelona | Patrimonio cultural | Museos | Archivos municipales","Cultura i oci","informes als òrgans de govern","Pla Estratègic de Cultura de Barcelona. Nous Accents 2006","Barcelona : museus i patrimoni cultural 2007-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2008","No","","2009","2009","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87812 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","148 p.","application/pdf","10745","","","Mandat 2007-2011","http://hdl.handle.net/11703/87757","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87812","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2008","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Àrea d'Acció Social i Ciutadania","","Barcelona | Barcelona | Barcelona","","","","2010-02-05","2010","A la coberta: Barcelonasocial | Informe presentat al Consell Municipal Plenari de 05-02-2010 | Citat a la Gaseta Municipal de Barcelona, núm. 10 (20-03-2010)","","","","","application/pdf","52 p.","application/pdf","4508","","","Mandat 2007-2011","http://hdl.handle.net/11703/90195","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis socials | Política social | Human services | Social policy | Servicios sociales | Política social","Societat i benestar","informes als òrgans de govern","","Desplegament del Model de Serveis Socials Bàsics de Barcelona : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2019","Si","","2019","2020","","","","","","application/pdf","183 p.","application/pdf","","","","Mandat 2019-","http://hdl.handle.net/11703/117424","cat","Ajuntament de Barcelona","","","","","","<a href=""http://hdl.handle.net/11703/117400"">Els Drets socials copsen gairebé el 30% de les queixes ciutadanes a la Síndica de Greuges de Barcelona</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Sindicatura de Greuges de Barcelona | Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Government liability | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona : Informe 2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Serveis d'Inversions | Direcció de Gestió Econòmica","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","","2011-03-25","2011","Informe presentat al Plenari del Consell Municipal de 25-03-2011 | Citat a la Gaseta Municipal de Barcelona, núm. 19 (30-06-2011)","","","","","application/pdf","42 p.","application/pdf","8064","","","Mandat 2007-2011","http://hdl.handle.net/11703/86833","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/88762 | http://hdl.handle.net/11703/86825","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Política fiscal | Inversions | Economic policy | Fiscal policy | Investments | Política económica | Política fiscal | Inversiones","Economia | Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Inversions Municipals 2008-2011 (Barcelona)","Informe de mandato 2008-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. Distrito 4. Les Corts | Barcelona. District 4. Les Corts","2015 | 2016 | 2017 | 2018 | 2019","Si","","2019-03-06","2019","Presentat al Ple del Consell del Districte de Les Corts de 06-03-2019","","","","","application/pdf","74 p.","application/pdf","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112744","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política econòmica | Política pública | Strategic planning | Social policy | Economic policy | Government policy | Planificación estratégica | Política social | Política económica | Política gubernamental","Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Les Corts (PAD) 2016-2019 (Barcelona)","Informe d’actuació a les Corts 2015-2019","Balanç de mandat : Districte de Les Corts 2015-2019 (PAD)","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Dona i Drets Civils | Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","2010 | 2011 | 2012","","","2012-07-17","2012","Informe presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports del 17-07-2012, per la Sra. Francina Vila i Valls | Citat a la Gaseta Municipal de Barcelona, núm. 27 (10-10-2012)","","","","","application/pdf","28 p.","application/pdf","10813","","","Mandat 2007-2011","http://hdl.handle.net/11703/88712","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils | Homosexuals | Lesbianes | Transsexuals | Bisexuals | Civil rights | Gays | Lesbians | Transsexuals | Bisexuals | Derechos políticos y civiles | Homosexuales | Lesbianas | Transexuales | Bisexuales","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla Municipal per al Col·lectiu Lesbià, Gai, Transsexual i Bisexual 2010-2015 (Barcelona)","Informe d'avaluació sobre el grau d'implementació del Pla Municipal Lesbià, Gai, Transsexual i Bisexual de la Ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","","2014","2014","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87817 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","197 p.","application/pdf","13400","","","Mandat 2011-2015","http://hdl.handle.net/11703/87762","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87817","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2013","Informe al Plenari del Consell Municipal 2013","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia | Direcció de Pressupostos i Política Fiscal | Direcció de Serveis del Pressupost i Inversions","","Barcelona | Barcelona | Barcelona","2019","","","2019","2019","Informes presentats a la Comissió de Govern","","","","","application/pdf","37 documents","application/pdf","","","","","http://hdl.handle.net/11703/112529","cat","","","","","","","","","","","","CC0","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","https://creativecommons.org/choose/zero/?lang=ca","Inversions | Investments | Inversiones","","informes als òrgans de govern","","Inversions informades favorablement per la Comissió de Govern 2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2011","No","","2012","2012","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87815 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","229 p.","application/pdf","10741","","","Mandat 2007-2011","http://hdl.handle.net/11703/87760","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87815","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2011","Informe al Plenari del Consell Municipal sobre l'activitat de la Sindicatura de Greuges de Barcelona 2011","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2007","No","","2008","2008","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87811 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","169 p.","application/pdf","3390","","","Mandat 2003-2007","http://hdl.handle.net/11703/87756","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87811","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2007","Informe al Plenari del Consell Municipal 2007","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Regidoria d'Ocupació, Empresa i Turisme | Àrea d'Empresa, Cultura i Innovació","","Barcelona | Barcelona | Barcelona","2016","","","2016-10-18","2016","Informe presentat a la Comissió d'Economia i Hisenda de 18-10-2016 pel Sr. Agustí Colom Cabau, regidor d'Ocupació, Empresa i Turisme | Citat a la Gaseta Municipal de Barcelona, núm. 31 (30-11-2016), p. 6449-6454","","","","","application/pdf","34 p.","application/pdf","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/99275","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà | Urban tourism | Turismo urbano","Turisme","informes als òrgans de govern","","Informe activitat turística","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea d'Hàbitat Urbà","","Barcelona | Barcelona | Barcelona","","","","2014-02-28","2014","Informe presentat al Consell Municipal del 28-02-2014, pel Sr. Antoni Vives i Tomàs (Tercer Tinent d'Alcalde)","","","","","application/pdf","23 p.","application/pdf","13057","","","Mandat 2011-2015","http://hdl.handle.net/11703/90201","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones de vianants | Pedestrian zones | Zonas peatonales","Urbanisme i infraestructures","informes als òrgans de govern","Programa d'Impuls de Superilles Pilot a Barcelona 2014-","Barris a velocitat humana : programa d'impuls de 5 superilles pilot a Barcelona : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Regidoria de Comerç, Consum i Mercats | Barcelona Activa, S.A. | Àrea d'Economia, Empresa i Ocupació","","Barcelona | Barcelona | Barcelona","2013 | 2014","","","2014-01-22","2014","Informe presentat a la Comissió d'Economia, Empresa i Ocupació del 22-01-2014, pel Sr. Raimond Blasi i Navarro (Regidor de  Comerç, Consum i Mercats i de la d'Adolescència i Joventut. Regidor executiu del Districte de Sant Andreu)","","","","","application/pdf","45 p.","application/pdf","12947","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/88732","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona | Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Comerç | Formació ocupacional | Commerce | Occupational training | Comercio | Formación ocupacional","Comerç","informes als òrgans de govern","","Obert al futur : Programa formatiu per al comerç de proximitat : informe","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","Institut Municipal d'Informàtica (Barcelona)","","Barcelona | Barcelona | Barcelona","","","","2010-12-01","2010","Informe presentat a la Comissió de Presidència, Territori i Funció de 01-12-2010 | Citada a la Gaseta Municipal de Barcelona, núm. 5 (10-02-2011)","","","","","application/pdf","21 p.","application/pdf","8111","","","Mandat 2007-2011","http://hdl.handle.net/11703/88696","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dades obertes | Informació oficial | Administració electrònica | Política pública | Linked data | Government advertising | Internet in public administration | Government policy | Datos enlazados | Información pública | Internet en la administración pública | Política gubernamental","Sector públic","informes als òrgans de govern","","Informe sobre el procés d'obertura de dades públiques (OpenData)","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Districto 1. Ciutat Vella | Raval (Barcelona : Barri) | Raval (Barcelona : Neighborhood) | Raval (Barcelona : Barrio) | Gòtic (Barcelona : Barri) | Gòtic (Barcelona : Neighborhood) | Gòtic (Barcelona : Barrio) | Casc Antic (Barcelona : Barri) | Casc Antic (Barcelona : Neighborhood) | Casc Antic (Barcelona : Barrio) | Barceloneta (Barcelona : Barri) | Barceloneta (Barcelona : Neighborhood) | Barceloneta (Barcelona : Barrio) | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barri) | Sant Pere, Santa Caterina i la Ribera (Barcelona : Neighborhood) | Sant Pere, Santa Caterina i la Ribera (Barcelona : Barrio)","2019","","","2019-12-12","2019-12","Informe presentat al Consell Plenari del Districte de Ciutat Vella de 12-12-2019","","","","","application/pdf","43 p.","application/pdf","","","districtes","Mandat 2019-","http://hdl.handle.net/11703/116295","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Citizen participation | Participación ciudadana | Política social | Social policy | Política social | Promoció econòmica | Economic development | Promoción económica | Espais públics | Public spaces | Espacios públicos | Festes majors | Festivals | Fiestas | Equipaments sanitaris | Health facilities | Servicios de salud","Sector públic","informes d'avaluació i de seguiment | informes als òrgans de govern","Pla de Barris de Raval Sud i Gòtic Sud 2016-2020 (Barcelona)","Informe de Regidoria","","text","info:eu-repo/semantics/report",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2010","No","","2011","2011","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87814 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","212 p.","application/pdf","10743","","","Mandat 2007-2011","http://hdl.handle.net/11703/87759","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87814","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2010","Informe al Plenari del Consell Municipal 2010","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","2015 | 2016","","","2016-07-20","2016-07","Informe presentat al Consell Plenari del Districte de Nou Barris de 20-07-2016","","","","","application/pdf","25 p.","application/pdf","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/117938","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Housing policy | Política de vivienda | Obres públiques | Public works | Obras públicas | Memòria col·lectiva | Collective memory | Memoria colectiva","Sector públic | Habitatge | Cultura i oci","informes als òrgans de govern | informes d'avaluació i de seguiment","","Informe regidora Plenari 20-07-2016 [versió presentació]","","text","info:eu-repo/semantics/report",""
"","","Districte 8. Nou Barris. Consell Plenari","","Barcelona | Barcelona | Barcelona","","","","2017-05-11","2017-05-11","Informe de la regidora de Nou Barris, Janet Sanz, presentat al Consell Plenari de l'11 de maig de 2017","","","","","application/pdf","56","application/pdf","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/106512","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","","informes als òrgans de govern","","Informe regidora Nou Barris Consell Plenari 11/05/2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Güell, Parc (Barcelona) | Güell, Parque  (Barcelona) | Güell, Park  (Barcelona)","2013 | 2014","","","2015-02-17","2015","Informe presentat a la Comissió de Cultura, Coneixement, Creativitat i Innovació el 17-02-2015","","","","","application/pdf","13 p.","application/pdf","17890","","","Mandat 2011-2015","http://hdl.handle.net/11703/86757","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs | Parks | Parques","Urbanisme i infraestructures","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla d'Actuacions al Parc Güell 2012-2015 (Barcelona)","Pla d'actuacions al Park Güell : informe descriptiu del primer any de regulació","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Medi Ambient","","Barcelona | Barcelona | Barcelona","2009 | 2010","","","2010-03-17","2010","Informe presentat a la Comissió de Sostenibilitat, Serveis Urbans i Medi Ambient del 17-03-2010, per la Sra. Imma Mayol i Beltran (Tinenta d'Alcalde de l'Àrea de Medi Ambient)","","","","","application/pdf","24 p.","application/pdf","BAB_10549 | 10549","","","Mandat 2007-2011","http://hdl.handle.net/11703/89217","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Residus | Carrers | Neteja de carrers | Waste products | Streets | Street cleaning | Residuos | Calles | Limpieza urbana","Medi ambient","informes als òrgans de govern","","Balanç implantació nova contracta de neteja i gestió de residus. Novembre 2009 - febrer 2010 : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència d'Educació, Cultura i Benestar | Comissió de Cultura, Educació i Benestar Social","","Barcelona | Barcelona | Barcelona","2010","","","2011-03-15","2011","Informe presentat a la Comissió de Cultura, Educació i Benestar Social el 15-03-2011","","","","","application/pdf","34 p.","application/pdf","7514","","","Mandat 2007-2011","http://hdl.handle.net/11703/86750","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Política social | Prostitution | Social policy | Prostitución | Política social","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Informe Serveis i Recursos del Pla per a l'Abordatge Integral del Treball Sexual (ABITS) : 2010","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea d'Economia, Empresa i Ocupació","","Barcelona | Barcelona | Barcelona","2012 | 2013","","","2012-10-05","2012","Informe presentat al Consell Municipal de 05-10-2012, per la Sra. Sònia Recasens i Alsina (Segona tinent d'alcalde, Àrea d'Economia, Empresa i Ocupació)","","","","","application/pdf","7 p.","application/pdf","9945","","","Mandat 2011-2015","http://hdl.handle.net/11703/90198","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Empreses | Emprenedoria | Política d'ocupació | Serveis de suport | Business enterprises | Entrepreneurship | Manpower policy | Support services (Management) | Empresas | Emprendedores | Política de empleo | Servicios de apoyo","Economia","informes als òrgans de govern","","Informe Programa Reempresa : nou programa de suport a la transmissió d'empreses a Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència d'Educació, Cultura i Benestar | Direcció del Programa de Dones","","Barcelona | Barcelona | Barcelona","2008","","","2009-03-17","2009","Informe presentat a la Comissió de Cultura, Educació i Benestar Social el 17-03-2009","","","","","application/pdf","25 p.","application/pdf","7520","","","Mandat 2007-2011","http://hdl.handle.net/11703/86751","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Política social | Prostitution | Social policy | Prostitución | Política social","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Informe Serveis i Recursos del Pla per l'Abordatge Integral del Treball Sexual (ABITS) : 2008","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
