"Tipus_ens","Nom_ens","Sindicat","Nombre de delegats","Nombre de persones que tenen dispensa d'assistència al treball","Hores autoritzades als delegats per a l'exercici de les seves funcions","Valoració en euros dels costos pel temps dedicat pels delegats a l'activitat sindical"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Sindicato de Agentes de Policia Local","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consorci del Besós","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consorci d'Educació de Barcelona","Sindicato de Agentes de Policia Local","","","",""
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consorci Local Localret","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consorci MACBA","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Sindicato de Agentes de Policia Local",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Intersindical-CSC",1.0,"","40","722"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Intersindical-CSC",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Intersindical-CSC",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Intersindical-CSC",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Intersindical-CSC",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Intersindical-CSC",11.0,"","440","10674,4"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Intersindical-CSC",3.0,"","120","2508"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Intersindical-CSC",1.0,"","20","374"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","Tersa","Intersindical-CSC",5.0,"","200","4308"
"SOCIETATS MERCANTILS","Semesa","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","Siresa","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Intersindical-CSC",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Intersindical-CSC","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci del Besós","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci d'Educació de Barcelona","Intersindical-CSC","","","",""
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci Local Localret","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci MACBA","Intersindical-CSC",0.0,"","0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Intersindical-CSC",2.0,"","40","1067"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Intersindical-CSC",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Intersindical-CSC",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Intersindical-CSC",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Intersindical-CSC",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Intersindical-CSC",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Acción Sindical Independiente",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Acción Sindical Independiente",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Acción Sindical Independiente",3.0,"","120","2164,8"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Acción Sindical Independiente",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Tersa","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Semesa","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Siresa","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Acción Sindical Independiente",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Acción Sindical Independiente","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci del Besós","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci d'Educació de Barcelona","Acción Sindical Independiente","","","",""
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci Local Localret","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci MACBA","Acción Sindical Independiente",0.0,"","0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Acción Sindical Independiente",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Acción Sindical Independiente",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Acción Sindical Independiente",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Acción Sindical Independiente",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Acción Sindical Independiente",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Acción Sindical Independiente",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Sindicat Independent d’Àrea (B:SM)",3.0,"","120","2494"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Tersa","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Semesa","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Siresa","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Sindicat Independent d’Àrea (B:SM)","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci del Besós","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci d'Educació de Barcelona","Sindicat Independent d’Àrea (B:SM)","","","",""
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci Local Localret","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci MACBA","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Sindicat Independent d’Àrea (B:SM)",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Tersa","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Semesa","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Siresa","Col·lectiu de Treballadors de Tractament de Residus",9.0,"","360","7092"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Col·lectiu de Treballadors de Tractament de Residus","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci del Besós","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci d'Educació de Barcelona","Col·lectiu de Treballadors de Tractament de Residus","","","",""
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci Local Localret","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci MACBA","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Col·lectiu de Treballadors de Tractament de Residus",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Unión Sindical Obrera de Catalunya",5.0,"","200","5020"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Unión Sindical Obrera de Catalunya",1.0,"","40","997,6"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Unión Sindical Obrera de Catalunya",4.0,"","80","1704"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","Tersa","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","Semesa","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","Siresa","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Unión Sindical Obrera de Catalunya","","","",""
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci del Besós","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci d'Educació de Barcelona","Unión Sindical Obrera de Catalunya","","","",""
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci Local Localret","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci MACBA","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Unión Sindical Obrera de Catalunya",0.0,"","0","0"
