"Tipus_ens","Nom_ens","Sindicat","Nombre de delegats","Nombre de persones que tenen dispensa d'assistència al treball","Hores autoritzades als delegats per a l'exercici de les seves funcions","Valoració en euros dels costos pel temps dedicat pels delegats a l'activitat sindical"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consorci del Besós","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Comissions Obreres de Catalunya",8.0,0.0,"590","12401,8"
"CONSORCIS","Consorci d'Educació de Barcelona","Comissions Obreres de Catalunya",9.0,"","360","8640"
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Comissions Obreres de Catalunya",3.0,0.0,"45","900"
"CONSORCIS","Consorci Local Localret","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consorci Museu de Ciències Naturals","Comissions Obreres de Catalunya",3.0,0.0,"120","3706,8"
"CONSORCIS","Consorci MACBA","Comissions Obreres de Catalunya",0.0,0.0,"","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Comissions Obreres de Catalunya",7.0,0.0,"40","1066,8"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Comissions Obreres de Catalunya",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Unió General de Treballadors de Catalunya",5.0,0.0,"200","3608"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Unió General de Treballadors de Catalunya",3.0,0.0,"120","2164,8"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Muncipal de Serveis Socials ","Unió General de Treballadors de Catalunya",6.0,0.0,"240","4329,6"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Educació","Unió General de Treballadors de Catalunya",9.0,0.0,"360","6494,4"
"ORGANISMES AUTÒNOMS","Institut Barcelona Esports","Unió General de Treballadors de Catalunya",1.0,0.0,"40","721,6"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Urbanisme","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal  del Paisatge Urbà i Qualitat de vida","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de Parcs i Jardins","Unió General de Treballadors de Catalunya",5.0,0.0,"200","5026"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut de Cultura de Barcelona","Unió General de Treballadors de Catalunya",3.0,0.0,"120","2164,8"
"ENTITAS PÚBLIQUES EMPRESARIALS","Institut Municipal de l'Habitatge i Rehabilitació","Unió General de Treballadors de Catalunya",7.0,0.0,"280","5051,2"
"ENTITAS PÚBLIQUES EMPRESARIALS","Fundació Mies Van der Rohe","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","SPM Barcelona Activa, SA","Unió General de Treballadors de Catalunya",11.0,0.0,"440","10238,8"
"SOCIETATS MERCANTILS","SPM Informació i Comunicació de Barcelona, SA","Unió General de Treballadors de Catalunya",3.0,0.0,"120","2508"
"SOCIETATS MERCANTILS","Barcelona Serveis Municipals  (BSM)","Unió General de Treballadors de Catalunya",10.0,1.0,"525","8788"
"SOCIETATS MERCANTILS","Cementiris de Barcelona, SA","Unió General de Treballadors de Catalunya",1.0,0.0,"20","374"
"SOCIETATS MERCANTILS","Parc Atraccions Tibidabo, SA","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","Mercabarna, SA","Unió General de Treballadors de Catalunya",5.0,0.0,"90","1790,1"
"SOCIETATS MERCANTILS","Tersa","Unió General de Treballadors de Catalunya",2.0,0.0,"80","1723,2"
"SOCIETATS MERCANTILS","Semesa","Unió General de Treballadors de Catalunya",1.0,0.0,"40","861,6"
"SOCIETATS MERCANTILS","Siresa","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"SOCIETATS MERCANTILS","BCN Insfraestructures Municipals SA","Unió General de Treballadors de Catalunya",2.0,0.0,"80","2570,8"
"SOCIETATS MERCANTILS","Foment de Ciutat, SA","Unió General de Treballadors de Catalunya",1.0,0.0,"15","350,1"
"SOCIETATS MERCANTILS","Barcelona Cicle de l'Aigua, SA","Unió General de Treballadors de Catalunya",6.0,0.0,"120","3486"
"CONSORCIS","Consorci Institut d'Infància i Món Urbà","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consorci Campus Universitari Diagonal-Besòs","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Agència de Salut Pública de Barcelona","Unió General de Treballadors de Catalunya",3.0,"","120","2880"
"CONSORCIS","Agència d'Ecologia Urbana de Barcelona","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Agència Local de l'Energia de Barcelona","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consorci del Besós","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consroci de Biblioteques de Barcelona","Unió General de Treballadors de Catalunya",8.0,0.0,"319,5","6715,89"
"CONSORCIS","Consorci d'Educació de Barcelona","Unió General de Treballadors de Catalunya",14.0,"","560","13440"
"CONSORCIS","Consorci del Mercat de les Flors/Centre de les Arts de Moviment","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consorci Local Localret","Unió General de Treballadors de Catalunya",1.0,0.0,"15","440,85"
"CONSORCIS","Consorci Museu de Ciències Naturals","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consorci MACBA","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"CONSORCIS","Consorci de l'Auditori i l'Orquestra ","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Barcelona Cultura","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Fundació Navegació Oceània de Barcelona","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Asociación Red Internacional de Ciudades Educadoras","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Red de Juderías de España, Caminos de Sefarad","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"FUNDACIONS I ASSOCIACIONS","Carles Pi i Sunyer d'estudis autonòmics i locals","Unió General de Treballadors de Catalunya",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Confederació General del Treball",4.0,0.0,"160","2886,4"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Confederació General del Treball",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Confederació General del Treball",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal de Persones amb Discapacitat ","Confederació General del Treball",0.0,0.0,"0","0"
