"Organ Gestor","Núm Exp","Objecte ","Import  Adjudicat","Adjudicatari"
"CONSORCI DE BIBLIOTEQUES DE BARCELONA","20200234_1","Realització analítiques qualitat ambiental de SSCC",242.0,"ARIBAU 70, S.L."
"Institut de Cultura de Barcelona","C190003326","Informe objectius comuns indicadors i diagnostic",6897.0,"G60667813 - FUNDACIO UNIVERSITAT OBERTA CATALUN"
"GERÈNCIA DE MEDI AMBIENT","20200364","Estudi Sistemes Compactació Residus Neteja Viària",9764.7,"GREENLLOOD ECOLOGY SL"
"GERÈNCIA DE MEDI AMBIENT","20200595","Estudi aillament acústic a façana",6897.0,"AUREA ACUSTICA SL"
"GERÈNCIA D'URBANISME","20003535","Coord. i elaboració estudi de regeneració urbana",3593.7,"ROSELL GRATACOS, JOAQUIM"
"GERÈNCIA DE MOBILITAT I INFRAESTRUCTURES","20200614","Estudi impacte Covid19",17962.45,"TISAIRE BERGA, DAVID"
"GERÈNCIA D'ÀREA D'ECONOMIA, RECURSOS I PROMOCIÓ ECONÒMICA","20002869","Anàlisi Enquesta de Clima Empresarial a l'AMB 2020",10890.0,"CAMBRA OFIC COMERÇ IND. I NAVEGACIÓ"
"GERÈNCIA D'ÀREA D'ECONOMIA, RECURSOS I PROMOCIÓ ECONÒMICA","20004149","Estudi Impacte Econ. Ampliació Terrasses BCN",17545.0,"INSTITUT D'ECONOMIA DE BARCELONA"
"GERÈNCIA D'ÀREA DE CULTURA, EDUCACIÓ, CIÈNCIA I COMUNITAT","20004086","Creació document marc Nou Model Casals de Barri",5415.96,"MARGES ITINERARIS TRANSF SCCL"
"GERÈNCIA D'ÀREA DE CULTURA, EDUCACIÓ, CIÈNCIA I COMUNITAT","20004466","Informe històric agregació Sarrià",1089.0,"PUIGFERRAT OLIVA, CARLES"
"GERÈNCIA DE L'AQUITECTE/A EN CAP","20200376","Estudi porperes rehabilitacions naus Can Batlló",10853.7,"LACOL SCCL"
"GERÈNCIA DE RECURSOS","20003804","La vulnerabilitat a Barcelona en temps de covid 19",7986.0,"SPORA SINERGIES SCCL"
"GERÈNCIA DE RECURSOS","20004238","Dictamen Sindicatura de Greuges",11422.0,"FUNDACIO BOSCH I GIMPERA"
"GERÈNCIA DE RECURSOS","20004323","Estudi intervencions temporals a l'espai urbà",14670.65,"FUNDAC PRIVADA ELISAVA ESCOLA UNIV"
"GERÈNCIA DE SEGURETAT I PREVENCIÓ","20204512","Reforma del projecte de millora de videovigilància",9922.0,"MIRABENT I PAGES ASSOCIATS, S.L."
"GERÈNCIA MUNICIPAL","20002427L01","Avaluació Final Pla de Justícia de gènere",3985.44,"DEP INSTITUT SL"
"GERÈNCIA MUNICIPAL","20002427L02","Avaluació Intermèdia Estratègia contra la Feminització",2613.6,"TANDEM SOCIAL SCCL"
"GERÈNCIA MUNICIPAL","20003635","Covid i Polítiques públiques de gènere.",17545.0,"IQCOOP, S.C.C.L."
"GERÈNCIA MUNICIPAL","20003637","Exploració compar. europea carrera professional dones",6048.79,"UNIVERSIDAD AUTONOMA BARCELONA"
"GERÈNCIA MUNICIPAL","20004434","Estudi salut, espai public i genere Sants-Montjuïc",9050.8,"UNIVERSIDAD AUTONOMA BARCELONA"
"GERÈNCIA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200485","Estudi impacte VinclesBCN Covid-19",17883.8,"FUNDACIO UNIVERSITAT OBERTA DE CATA"
