"Organ Gestor","Núm Exp","Objecte ","Import  Adjudicat","Adjudicatari"
"GERÈNCIA DE RECURSOS","20000885","Estudi comparatiu endtre diferents models TV",17962.45,"GATE MEDIA FINANCIAL&FUNDING SERVIC"
"GERÈNCIA DE RECURSOS","20000915","Estudi avaluació procés escolarització",18004.8,"IVÀLUA, INSTITUT CATALÀ D'AVALUACIÓ, DE POLÍTIQUES PÚBLIQUES"
"DISTRICTE DE SARRIÀ SANT GERVASI","20202011","Revisió limitada comptes explotació 2019",3993.0,"UNIAUDIT OLIVER CAMPS, SL"
"DISTRICTE DE SARRIÀ SANT GERVASI","17/2020","Revisió limitada de comptes",10421.73,"FAURA CASAS AUDITORS SL"
"DISTRICTE DE SANT MARTÍ","20192000","Serveis auditoria Lot 1 Gestions cíviques",3552.95,"ERNST & YOUNG"
"DISTRICTE DE SANT MARTÍ","20192000","Serveis auditoria Lot 1 Gestions cíviques",1776.47,"ERNST & YOUNG"
"DISTRICTE DE SANT MARTÍ","20192000","Serveis auditoria Lot 1 Gestions cíviques",1776.47,"ERNST & YOUNG"
"DISTRICTE DE SANT MARTÍ","20192000","Serveis auditoria lot 2 Rev c just.conv.subven.",6217.67,"ERNST & YOUNG"
"DISTRICTE DE SANT MARTÍ","20192000","Serveis auditoria Lot 1 Gestions cíviques",17764.79,"ERNST & YOUNG"
"Agència d'Energia de Barcelona","19000032","Actualització consums energètics edif. Mpals.",5868.5,"EOATSE S.L."
"IMHAB","200004","Estudi viabilitat implantació sistema ATRI",5095.35,"La Hidra Cooperativa SCCL"
"IMHAB","08/19","Informe de valoració reversió General Vives 4",396.3,"Mollà Revilla, Guillermo"
"IMHAB","20/004","Informe idoneitat habitatges tempteig",1149.5,"Coll Ricart, Jorge"
"IMHAB","FS00000252","Valoració mesures urgents per millorar l'accés a l'habitatge",15852.2,"Universitat Politècnica de Catalunya"
"Associació Internacional de Ciutats Educadores","1/2020","Article pel Monogràfic nº 7",700.0,"Tuula Haavisto"
"Associació Internacional de Ciutats Educadores","1/2020","Article pel Monogràfic nº 7",700.0,"Michel Vallée"
"Associació Internacional de Ciutats Educadores","F2000064","Visita d'estudi dins del marc de la XIV Trobada de la RECE",502.15,"Sociedad de Ciencias Aranzadi"
"Barcelona Cicle de l'Aigua, S.A.","EXP17-0134","Anàlisi dels efectes jurídics de la nul.litat dels acords del Consell Metropolità de l'Àrea Metropolitana de Barcelona sobre els serveis inclosos en el cicle integral de l'aigua a l'empara dels quals fou constituïda la societat d'economia mixta ""Aigües de Barcelona, Eª Metropolitana de Gestió del Cicle Integral de l'Aigua, S.A."".",35000.0,"Menendez y Asociados Abogados, S.L."
"Barcelona Cicle de l'Aigua, S.A.","EXP19-0193","Anàlisi de la subestructura d'un mòdul de vigilància de platja",3300.0,"Eskubi-Turró Arquitectes, S.L.P"
"INSTITUT MUNICIPAL DEL PAISATGE URBÀ I LA QUALITAT DE VIDA","U190000060","Estudi de paisatge: Nova Esquerra de l'Eixample",12069.75,"EPU NOVA ESQUERRA DE L'EIXAMPLE, UTE"
"INSTITUT MUNICIPAL DEL PAISATGE URBÀ I LA QUALITAT DE VIDA","U190000060","Estudi paistge: Montbau",10100.48,"2B2 ARQUITECTES, SLP"
"Fundació Casa Amèrica Catalunya","1-14400030","Auditoria de comptes 2019",11101.75,"Busquet, Estudi Jurídic, SL"
"Fundació Casa Amèrica Catalunya","1-14400032","Auditoria de la subvenció de la Diputació de Barcelona 2019",1149.5,"Busquet Estudi Jurídic, SL"
"FOMENT DE CIUTAT SA","2000001105","ESTUDIS ALTERNATIVES ACCESSIBILITAT METR+FGC 30%",4896.87,"UTE KM ZERO"
"FOMENT DE CIUTAT SA","2000002028","ESTUDIS ALTERNATIVES ACCESSIBILITAT METR+FGC 70%",11426.03,"UTE KM ZERO"
"FOMENT DE CIUTAT SA","2000003113","ESTUDI DETECCIÓ INFRAHABITATGE CARMEL (30%)",5263.5,"UNIVERSITAT POLITECNICA CATAL"
"Fundació Barcelona Mobile World Capital Foundation","2020/346","Investigación cualitativa en India para el informe “Gender, professionalisation and digital labour platforms: The case of Beauticians in India”",13550.0,"INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BANGALORE"
"Fundació Barcelona Mobile World Capital Foundation","2020/321","Redacción (en inglés británico) de un informe sobre sistemas automatizados de toma de decisiones (ADMS) y su uso en la digitalización de servicio sociales e impacto sobre mujeres.",14520.0,"Arniani , Marta"
"Fundació Barcelona Mobile World Capital Foundation","2020/265","redacción (en inglés británico) de un informe sobre los impactos ambientales y climáticos de tecnologías emergentes.
 El informe se enmarca en la vertical de trabajo denominada “Tech and the climate emergency” del Think Tank de la Digital Future Society, programa del Mobile World Capital Barcelona",7800.54,"Torrent Bescós, Lluis"
"Fundació Barcelona Mobile World Capital Foundation","2020/355","Redacción (en inglés británico) de un informe sobre respuestas de IA a la emergencia climática: perspectivas y
 soluciones desde España.",7260.0,"Sevilla Molina, Jaime"
"Fundació Barcelona Mobile World Capital Foundation","2020/123","Contrato para la prestación de un servicio de elaboracion de un informe del Observatorio Nacional 5G sobre los proyectos pilotos en españa y cuatro dosieres de uso de 5G en diferentes verticales",59895.0,"DigitalES Asociación Española para la Digitalización"
"Fundació Barcelona Mobile World Capital Foundation","2020/132","Contrato para la prestación de un servicio de elaboración de un informe del Observatorio Nacional de 5G sobre proyectos de I+D en redes 5G a nivel nacional y un manual sobre 5G",56567.5,"DigitalES Asociación Española para la Digitalización"
"Fundació Barcelona Mobile World Capital Foundation","2020/185","Servicio de extracion datos del estado de talento digital en la ciudad de Barcelona para publicar un estudio",4600.0,"MARKET AAD, INVESTIGACIÓN DE MERCADOS SL"
"Fundació Barcelona Mobile World Capital Foundation","2020/186","Servicio de extracion datos del estado de talento digital en la ciudad de Barcelona para publicar un estudio",4000.0,"TALENT UP SOURCING S.L"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20001119","Anàlisi i propostes de millora en els processos de gestió de dipòsits i oficina d’abandonaments, dins el Servei de Grues: Acompliment total de la fase de planificació i comunicació. Acompliment parcial de l'anàlisi de la organització, entrevistes i pla d'implementació de millores.",23603.77,"PANORAM"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P19008176","Servei d’assessorament per la posta en marxa d’un pla de desvinculacions per BSM",16354.5,"MERCER"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20002467","Estructuració, definició, elaboració i redacció del Reglament particular de policia, gestió i explotació del Port Olímpic de Barcelona.",7584.0,"VIBERAND CONSULTING S.L"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P19008044","ISC 2019 Agents Cívics Barris",6639.27,"PSYMA"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P19008048","ISC2019 ESTACIO Fabra i PUIG",2945.0,"PSYMA"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P19008051","ISC2019 ATT CALÀBRIA",3210.93,"PSYMA"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P19008050","ISC 2019 PARK GÜELL",5745.0,"PSYMA"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20000960","ELABORACIÓ D’UN ESTUDI D’IMPLANTACIÓ D’UNA PLATAFORMA INTEGRAL DE COMERÇ ELECTRÒNIC A B:SM",3488.96,"ETAILERS"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20000581","MANTEN. DE PLANES DE AUTOPROTECCIÓN:
 - PAU actualizado + informe de vulnerables, firmado por técnico habilitado 01/01/2019 AL 10/12/2019",1744.48,"QUIRON PREVENCION"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P19010088","Auditoria de seguiment de Certificació B:SM SGE21.",4399.36,"BUREAU VERITAS"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20000597","Elaboració de la Memòria de Sostenibilitat 2019",4904.72,"LA VOLA"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20000457","Servei de verificació de la Memòria de Sostenibilitat i dels Estats d'Informació no financera consolidats",6132.94,"LGAI"
"AGÈNCIA ECOLOGIA URBANA BCN","20/26","AUDITORS",2165.9,"FAURA CASAS"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE412","Informe de l'organ de contractació de dos recursos de SELECTIVA al tribunal de Contractes del Sector Públic",5798.0,"TORNOS ABOGADOS, S.L.P."
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE774","Informe eventual escenari que TERSA superi el 20% del seu volum de negoci en mercat elèctric",3286.48,"IURISDIAGONAL, S.L.P."
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","CTTE507","Estudi de mercat per a Barcelona Energia",24435.0,"INS DYM, INV Y ASES EC DIS,MER Y VTAS SA"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE121","Informe anàlisi diferències interpretatives amb informe de l'AMB",4638.4,"RSM SPAIN AUDITORES, S.L.P."
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE293","Estudi creació departament operacions de Barcelona Energia",13250.0,"TREBOL SOLUCIONES ENERGETICAS SL"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE371","Informe conexió elèctrica entre CUPS",1855.36,"ENERGIA LOCAL, EMP. SERV. ENERGETICOS SL"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE428","Estudi control soroll i vibracions",1342.82,"BUREAU VERITAS INSPECCION Y TESTING,SLU"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE525","Informe reequilibri Ecoenergies",8407.1,"GAB. TECNICO DE AUDITORIA Y CONSULT, S.A"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE579","Suport elaboració estat d'informació no financera 2019",4145.57,"LAVOLA, S.A."
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE546","Auditoria control intern estat d'informació no financera",2087.28,"LGAI TECHNOLOGICAL CENTER SA"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE177","Auditoria certificació ISO9001-ISO14001-EMAS",3362.84,"BUREAU VERITAS IBERIA SL"
"TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.","TE369","Auditoria certificació OSHAS 18001",1681.42,"BUREAU VERITAS IBERIA SL"
"SELECTIVES METROPOLITANES, S.A.","SE254","Informe de l'òrgan de contractació d'oposició al recurs especial interposat per ISM contra adjudicació del Contracte de serveis d'accessos al CTRM de Gavà-Viladecans",2168.0,"TORNOS ABOGADOS, S.L.P."
"SELECTIVES METROPOLITANES, S.A.","SE230","Memòria técnica projecte planta d'envasos del CTRM Gavà-Viladecans",6747.9,"SERGI BOLEA I NOYA"
"Institut de Cultura de Barcelona","C190002378","Informe de prevenció de riscos psicosocial",5130.4,"B61271672 - ICESE PREVENCION, SL"
"Barcelona Activa SAU SPM","815910","Emissió d’informe sobre compte justificatiu de la subvenció pel Programa Treball als Barris 2018 atorgada pel Servei d’Ocupació de Catalunya. ",16577.0,"FAURA-CASAS AUDITORS CONSULTORS SL"
"Barcelona Activa SAU SPM","816237","Estudi sobre la situació, calendari i cost de la rehabilitació de la nau Central de la Fàbrica ""La Escocesa"" per reconvertir-la en una Gastrolab.",17157.8,"Linares Vila González Arquitectura, SLP"
"Barcelona Activa SAU SPM","815525","Informe sobre el futur de l'ocupació en el sector de les cures, centrat en l'àmbit de serveis d'atenció a la gent gran i a la dependència, en el marc del projecte InterregMED + Resilient exp.65/19",35347.12,"TRANSFERENCIA DE RECURSOS AVANÇATS I NOUS SL (U-TRANS)"
"GERÈNCIA D'ÀREA DE DRETS SOCIALS, JUSTICIA GLOBAL, FEMINISMES I LGTBI","20200216","Anàlisi de recursos i necessitats de la XHIB",15972.0,"IVÀLUA, INSTITUT CATALÀ D'AVALUACIÓ, DE POLÍTIQUES PÚBLIQUES"
"GERÈNCIA DE MEDI AMBIENT","20200523","Àrees Gossos: Reduir Impacte Acústic",8833.0,"AUDIOTEC"
"GERÈNCIA D'URBANISME","20200274","Estudi reversió residències a habitatges dotacionals",17787.0,"BENEDITO RIBELLES, MARIA"
"GERÈNCIA D'URBANISME","20200275","Estudi d'usos potencials sòls de serveis tècnics",17605.5,"LAND LAB LABORATORIO DE PAISAJES SL"
"GERÈNCIA D'URBANISME","20200261","Diagnosi impactes teixit econòmic transf urb Eixample",18029.0,"TRESCIENTOSMILKILOMETROSPORSEGUNDO, SL"
"GERÈNCIA D'URBANISME","20200260","Anàlisi i interpretació MPGM Barris La Pau, la Verneda i Sant Martí.",18004.8,"GIMENEZ IMIRIZALDU, ALEJANDRO"
"GERÈNCIA D'URBANISME","20200262","Estudi econòmic PEUAT",16940.0,"DUATIS ARQUITECTES SLP"
"GERÈNCIA D'URBANISME","20200265","Estudi econòmic MPGM 22@",17545.0,"DUATIS ARQUITECTES SLP"
"GERÈNCIA D'URBANISME","20200276","Estudi àmbit d'oportunitat 22@",17932.2,"MURILLO FERRER, SALVADOR"
"GERÈNCIA D'ÀREA D'ECONOMIA, RECURSOS I PROMOCIÓ ECONÒMICA","20000662","Enquesta activitat sector comercial 2020",59952.0,"GABINET D'ESTUDIS SOCIALS I OPINIÓ, PÚBLICA SL"
"GERÈNCIA D'ÀREA D'ECONOMIA, RECURSOS I PROMOCIÓ ECONÒMICA","12001219","Serveis per a l'enfortiment del sistema financer i habitatge cooperatiu.",16940.0,"GOMEZ ROSILLO, JUANA"
"GERÈNCIA DE PRESSUPOSTOS I HISENDA","20001856","Elaboració informe sobre reducció taxa terrasses",5808.0,"UNIVERSITAT POLITECNICA DE CATALUNY"
"GERÈNCIA DE L'AQUITECTE/A EN CAP","20200280","Redacció de les estratègies de relació ciutat-mar.",12190.75,"LAND LAB LABORATORIO DE PAISAJES SL"
"GERÈNCIA DE L'AQUITECTE/A EN CAP","20200290","Redacció informe ciutat turística després de COVID-19",17847.5,"ARIAS SANZ, ALBERT"
"GERÈNCIA DE RECURSOS","094","Estudi ventilació Avinyo, 15",526.35,"EMESET PROJECTES I ENGINYERIA SLP"
"GERÈNCIA DE RECURSOS","105","Estudi ventilació edificis municipals",22022.0,"EMESET PROJECTES I ENGINYERIA SLP"
"DISTRICTE DE L'EIXAMPLE","20192029","Espais i casals de Gent Gran",1464.1,"GABINETE TECNICO DE AUDITORIA Y, CONSULTORIA, SA"
"DISTRICTE DE L'EIXAMPLE","20192029","Centres Cívics",10285.0,"CROWE AUDITORES, SLP"
"DISTRICTE DE L'EIXAMPLE","20192029","Centres esportius",1464.1,"GABINETE TECNICO DE AUDITORIA Y, CONSULTORIA, SA"
"DISTRICTE DE LES CORTS","200400015","Revisions limitades comptes explotació 2019",6897.0,"PLETA AUDITORES SLP"
"DISTRICTE DE GRÀCIA","20200106","Informes revisió limitada 2019 equip.esportius Gràcia",5420.8,"AUDALIA NEXIA AUDITORES SL"
"DISTRICTE DE GRÀCIA","20200105","Informes revisió limitada 2019 equip.culturals Gràcia",8833.0,"FAURA CASAS AUDITORS SL"
"DISTRICTE D'HORTA-GUINARDÓ","063/2020","Revisió compte explotació gestió Ludoteques i Casals Infantils",2032.8,"UNIAUDIT OLIVER CAMPS, SL"
"DISTRICTE D'HORTA-GUINARDÓ","065/2020","Revisió compte explotació Espai Jove Boca Nord",3489.64,"GABINETE TECNICO DE AUDITORIA Y, CONSULTORIA, SA"
"DISTRICTE D'HORTA-GUINARDÓ","067/2020","Informe compte explotació CGG i programes GG",3489.64,"GABINETE TECNICO DE AUDITORIA Y, CONSULTORIA, SA"
"DISTRICTE D'HORTA-GUINARDÓ","066/2020","Revisió compte explotació Centre Cívic Casa Groga",2649.9,"GABINETE TECNICO DE AUDITORIA Y, CONSULTORIA, SA"
"DISTRICTE D'HORTA-GUINARDÓ","064/2020","Revisió compte explotació gestió CC Guinardó",1525.0,"ACORDIA ACR SL"
"DISTRICTE D'HORTA-GUINARDÓ","068/2020","Revisió compte explotació CB Vall Hebron-Can Travi",2521.64,"GABINETE TECNICO DE AUDITORIA Y, CONSULTORIA, SA"
"Agència d'Energia de Barcelona","20000021","Assessoria tècnica Camp del Ferro",2323.2,"ARMENGOL & ROS CONSULTORS I ASSOCIATS SLP"
"Institut Barcelona Esports","E200086","Actualització Pla Equipaments Esportius",2420.0,"B64409386 - ITIK CONS DE L'ESPORT I EL LLEURE"
"Institut Barcelona Esports","E200099","Enquesta entitats - Beques esportives fora horari lectiu",6655.0,"B64409386 - ITIK CONS DE L'ESPORT I EL LLEURE"
"FOMENT DE CIUTAT SA","F190000594","PROPOSTES DISSENY OBSERVATORI RAMBLES",8470.0,"GUIJARRO TUREGANO, BEATRIZ"
"FOMENT DE CIUTAT SA","F190000755","ESTUDI SITUACIÓ HABITATGE CARMEL ",8772.5,"UNIVERSITAT POLITECNICA  CATALUNYA"
"IMEB - Institut Municipal d'Educació de Barcelona","43/20","dinamització i assessorament grups de treball cem",2280.15,"CEREZO ESTEVE"
"IMEB - Institut Municipal d'Educació de Barcelona","35/20","dinamització i assessorament grup de treball cem",943.8,"FIL A L'AGULLA SCCL"
"Barcelona Cicle de l'Aigua, S.A.","E20-0047","Informe de les afectacions produïdes pel temporal Glòria sobre la població i les activitats econòmiques a les platges de Barcelona",2686.0,"Aitor Rumín Caparrós"
"IMHAB","20.007","Xifres d'Habitatge fase 1 i 2",14413.0,"Institut d'Estudis Regionals i Metropolitans de Barcelona"
"IMHAB","028-2020","Estudi i impacte ambiental prom.  APROP Nou de Sant Francesc 10",8708.52,"ECOPENTA, S.L."
"IMHAB","E/200084","Informe propostes modificació impositiva",8435.64,"Duran Sindreu Asesores SL"
"IMHAB","2020036","Informe Estat del Parc gestionat per l'IMHAB",7359.95,"Celobert Arquitectura SCCL"
"PARCS I JARDINS DE BARCELONA, INSTITUT MUNICIPAL","19/0296","Contracte de redacció del document de condicions tècniques dels molls de descàrrega dels espais verds, així com de l'avaluació del seu estat actual",10890.0,"Ondara Arquitectura, SLP"
"Fundació Julio Muñoz Ramonet","20010","Informe especial obres art",713.9,"WINTERMAN MADRID, S.L.P"
"MERCADOS DE ABASTECIMIENTOS DE BARCELONA","15069","Honoraris monogràfic COVID-19. Elaboració d'un Baròmetre  cestorial i dos estudis monogràfics",7078.5,"PROCOM RETAIL, S.L."
"Barcelona Activa SAU SPM","B207014006","Serveis de redacció de l'estudi bàsic de seguretat i salut del projecte dels treballs de substitució del sistema de control i regulació de la climatització en l'equipament del Parc Tecnològic i posteriors treballs de coordinació de seguretat i salut durant l'execució de l'obra.",2625.7,"Vijande Majem, Enrique"
"Barcelona Activa SAU SPM","816256","Estudi d'analisi de dades de l'activitat de les persones usuàries en la plataforma de formació online (LMS) de Barcelona Activa i informe sobre tendències observades",4356.0,"Xavier González Navarro"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P19004042","Treball de Camp per l'estudi de la avaluació d'un volum existent d'indisciplina en l'estacionament fora plaça a la Ciutat de Barcelona, per conèixer quin és el grau existent d'indisciplina i l'evolució del mateix. ",3172.15,"HIGH REMARK "
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20003531","Elaboració de l'Estudi de mercat sobre la demanda de locals d'economia blava a la costa central.",2242.5,"ANTEVERT"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20003007","Elaboració de l'Estudi de mercat sobre la demanda de locals d'economia blava a la costa central (Port Olímpic de Barcelona).",12707.5,"ANTEVERTI"
"BARCELONA DE SERVEIS MUNICIPALS, SA","P20000960","ELABORACIÓ D’UN ESTUDI D’IMPLANTACIÓ D’UNA PLATAFORMA INTEGRAL DE COMERÇ ELECTRÒNIC A B:SM",3488.96,"ETAILERS"
"INFORMACIÓ I COMUNICACIÓ DE BARCELONA S.A.","FRA. A/32805 ","Informe jurídic mercantil",2880.0,"GUILLEN BECARES "
"Fundación Mobile World Capital Barcelona/Digital Future Soci","19-2020/77","Investigación cualitativa en India para el informe “Gender, professionalisation and digital labour platforms: The case of Beauticians in India”",13550.0,"INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY BANGALORE"
"Fundación Mobile World Capital Barcelona/Digital Future Soci","19-2020/67","Redacción (en inglés británico) de un informe sobre sistemas automatizados de toma de decisiones (ADMS) y su uso en la digitalización de servicio sociales e impacto sobre mujeres.",14520.0,"Arniani , Marta"
"Fundación Mobile World Capital Barcelona/Digital Future Soci","19-2020/60","Redacción (en inglés británico) de un informe sobre los impactos ambientales y climáticos de tecnologías emergentes.
El informe se enmarca en la vertical de trabajo denominada “Tech and the climate emergency” del Think Tank de la Digital Future Society, programa del Mobile World Capital Barcelona",7800.54,"Torrent Bescós, Lluis"
"Fundación Mobile World Capital Barcelona/Digital Future Soci","19-2020/80","Sericio de redacción (en inglés británico) de un informe sobre respuestas de IA a la emergencia climática: perspectivas y
soluciones desde España.",7260.0,"Sevilla Molina, Jaime"
"CONSORCI DEL BESÒS","EXP.152/19","Estudi canvi climàtic Tres Xemeneies",10817.4,"LAND LAB LABORATORIOS D PAISAJ"
"CONSORCI DEL BESÒS","EXP.127/19","Projecte revegetació vores Riu Besòs",4991.25,"LARRUY BRUSI JAVIER"
"GERÈNCIA DE MEDI AMBIENT","20200535","Causes davallada ocells salvatges Barcelona",6957.5,"ASSOCIACIO INSTITUT CATALA D'ORNITO"
"GERÈNCIA DE MEDI AMBIENT","20200532","Estudi nivells sonors obres i propostes de millora",17787.0,"ASSOCIACIO CATALANA DE CONSULTORS A"
"GERÈNCIA D'URBANISME","20200300","Estudi reconversió urbanística del sector turístic",17908.0,"FLEXO ARQUITECTURA SLP"
"GERÈNCIA D'URBANISME","20200330","PM Ordenació volumètrica FR2 i FR3 UA1 Lepant",17787.0,"MANCIÑEIRAS-PARES AQUIT.ASSOC.SLP"
"GERÈNCIA D'ÀREA D'ECONOMIA, RECURSOS I PROMOCIÓ ECONÒMICA","20003059","Anàlisi d’impacte econòmic de COVID-19 al comerç",17545.0,"FUNDACIO BOSCH I GIMPERA"
