"dcAccrualPeriodicity","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 33"
"","Servei de Premsa","Barcelona. Barcelona. Districte 7. Horta-Guinardó","","2015","2015-02-18","","","","application/pdf","5 p.","17924","","Mandat 2011-2015","http://hdl.handle.net/11703/89911","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vianants","Urbanisme i infraestructures","dossiers de premsa","","Horta-Guinardó crearà una Xarxa Bàsica de Vianants per connectar els principals serveis del territori amb recorreguts accessibles","","text",""
"","Servei de Premsa","Barcelona","","2009-05-14","2009-05-14","","","","application/pdf","19 p.","DS20090514_PIAD","","Mandat 2007-2011","http://hdl.handle.net/11703/89794","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones. Punts d'Informació i Atenció a les Dones (PIADs). Equip d'Atenció a les Dones (EAD). Cases d'acolliment de dones maltractades (Barcelona). Servei d'Atenció a Nens i Nenes que han patit violència de Gènere en l'àmbit familiar (SAN). Servei d'Atenció a Homes (SAH)","","dossiers de premsa","Pla Municipal contra la Violència vers les Dones 2007-2009 (Barcelona)","Barcelona consolida els serveis i recursos d'atenció a les dones que pateixen violència masclista. Balanç 2008","","text",""
"","Servei de Premsa","Barcelona","","2016-01-15","2016-01-15","","","","application/pdf","11 p.","","","Mandat 2015-","http://hdl.handle.net/11703/86546","cat","","","","","","","","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat urbana. Accidents. Vianants. Automòbils. Motos","Seguretat. Transport","dossiers de premsa","","Balanç accidentalitat 2015","","text",""
"","Servei de Premsa","Barcelona","","2009-11-12","2009-11-12","","","","application/pdf","8 p.","DS20091112_ESCO","","Mandat 2007-2011","http://hdl.handle.net/11703/89808","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Escoles bressol","Urbanisme i infraestructures","dossiers de premsa","Pla d'Escoles Bressol Municipal 2007-2011 (Barcelona)","Escoles Bressol Municipals, un model de qualitat al servei dels infants i les famílies","","text",""
"","Servei de Premsa","Barcelona","","2008-09-15","2008-09-15","","","","application/pdf","11 p.","DS20080915_SOROLL","","Mandat 2007-2011","http://hdl.handle.net/11703/89795","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació acústica. Soroll","Medi ambient","dossiers de premsa","Pla per a la Reducció de la Contaminació Acústica 2010-2020 (Barcelona). Mapa Estratègic del Soroll de Barcelona 2008-","L'Ajuntament elabora el Mapa Estratègic de Soroll de Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2009-07-06","2009-07-06","","","","application/pdf","13 p.","DS2009706_OND","","Mandat 2007-2011","http://hdl.handle.net/11703/89796","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina per la No Discriminació. Discriminació. Drets humans","Societat i benestar","dossiers de premsa","","L'Oficina per la No Discriminació ja ha atès a més de 5.800 persones durant els últims 10 anys","","text",""
"","Servei de Premsa","Barcelona. Districte 4. Les Corts","","2013-06-27","2013-06-27","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","12 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101795","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Integració social. Patrimoni cultural. Comerç al detall. Soroll. Espais públics","Cultura i oci. Societat i benestar","dossiers de premsa","","Balanç de 2 anys de mandat al districte de Les Corts","","text",""
"","Servei de Premsa","Barcelona. Districte 9. Sant Andreu. Mainada, Plaça (Barcelona). Assemblea de Catalunya, Plaça (Barcelona). Filipines, Carrer (Barcelona)","","2013-06-18","2013-06-18","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","18 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101798","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Centres cívics. Rehabilitació urbana. Canòdrom Meridiana (Barcelona)","Societat i benestar. Urbanisme i infraestructures","dossiers de premsa","","Balanç segon any de mandat Districte de Sant Andreu","Sant Andreu construeix i reforma diversos equipaments i actua en la millora de l’espai públic durant el 2013","text",""
"","Servei de Premsa","Barcelona","","2014","2014","","","","application/pdf","15 p.","18242","","Mandat 2011-2015","http://hdl.handle.net/11703/89909","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Família. Conciliació de la vida personal i laboral","Societat i benestar","dossiers de premsa","Programa Municipal per a les Famílies 2013-2016 (Barcelona)","Barcelona 2014, Any de la Família","","text",""
"","Servei de Premsa","Barcelona","","2009-03-17","2009-03-17","","","","application/pdf","7 p.","DS20090317_OMIC","","Mandat 2007-2011","http://hdl.handle.net/11703/89789","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consumidors. Reclamacions","Sector públic","dossiers de premsa","","Memòria OMIC 2008: 15 de març de 2009, dia internacional del consumidor","","text",""
"","Servei de Premsa","Barcelona","","2014-11-08","2014-11-08","","","","application/pdf","5 p.","16767","","Mandat 2007-2011","http://hdl.handle.net/11703/89875","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Senyalització viària. Vianants. Conductors d'automòbils","Urbanisme i infraestructures","dossiers de premsa","","L'Ajuntament de Barcelona millora la senyalització informativa de les primeres 156 cruïlles de la ciutat","","text",""
"","Servei de Premsa","Barcelona","2016","2016-04","2016-04","","","","application/pdf","7 p.","","","Mandat 2015-","http://hdl.handle.net/11703/97334","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Subvencions","Societat i benestar","dossiers de premsa","","Nous ajuts fiscals 2016","","text",""
"","Servei de Premsa","Barcelona. Districte 6. Gràcia","","2013-06-21","2013-06-21","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","10 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101792","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Espais públics. Serveis socials. Convivència. Equipaments culturals. Associacions de comerciants. Instal·lacions esportives","Urbanisme i infraestructures","dossiers de premsa","Pla per Promoure la Convivència i el Civisme a Gràcia (Barcelona)","Gràcia 2011-2013: espai públic de qualitat per a una millor convivència","","text",""
"","Museu d'Història de la Ciutat (Barcelona). Institut de Cultura de Barcelona","Barcelona","2008","2008-06","2008-06","","","","application/pdf","12 p.","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/108284","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Museu d'Història de la Ciutat (Barcelona). Museus","Cultura i oci","dossiers de premsa","Pla Estratègic del Museu d'Història de Barcelona 2008-2011","MUHBA : Pla Estratègic del Museu d'Història de Barcelona : dossier de premsa","","text",""
"","Servei de Premsa","Barcelona. Districte 2. Eixample. Sant Joan, Passeig (Barcelona)","","2013-06-25","2013-06-25","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","15 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101787","cat","","","","","http://hdl.handle.net/11703/91557","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rehabilitació urbana. Autobusos turístics. Soroll. Associacions de comerciants. Centres cívics","Societat i benestar. Urbanisme i infraestructures","dossiers de premsa","Pla BUITS 2012-2014 (Barcelona)","Balanç segon any de mandat: Districte de l'Eixample","","text",""
"","Servei de Premsa","Barcelona","","2017-04-02","2017-04-02","La designació, el desembre de 2015, de Barcelona com a Ciutat de la Literatura UNESCO va representar un reconeixement al teixit literari de la ciutat, format per elements com ara la xarxa de biblioteques públiques, l’àmplia oferta de llibreries, la insòlita concentració editorial, la condició de Barcelona com a escenari literari privilegiat, la seva tradició de ciutat d’acollida d’escriptors d’arreu i la celebració d’una festa tan especial com la de Sant Jordi, el Dia del Llibre. Tots aquests elements configuren un patrimoni literari de pes. Però aquest segell UNESCO, a més d’un reconeixement, també és un repte: obliga la ciutat a ser encara més literària, a donar-se a conèixer com a capital de la lectura i com la ciutat on els llibres tenen un valor afegit.","","","application/pdf","13 p.","","","Mandat 2015-","http://hdl.handle.net/11703/102006","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Diada de Sant Jordi. Llibres i lectura. Activitats culturals","Cultura i oci","dossiers de premsa","","Sant Jordi 2017","","text",""
"","Servei de Premsa","Barcelona","","2014-10-28","2014-10-28","","","","application/pdf","11 p.","16052","","Mandat 2007-2011","http://hdl.handle.net/11703/89873","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Can Batlló (Barcelona). Edificis","Urbanisme i infraestructures","dossiers de premsa","","Can Batlló es transforma","","text",""
"","Servei de Premsa","Barcelona. Barceloneta (Barcelona : Barri). Barcelona. Districte 1. Ciutat Vella","","2015-02-11","2015-02-11","","","","application/pdf","4 p.","18151","","Mandat 2011-2015","http://hdl.handle.net/11703/89849","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Policia. Policia local. Seguretat ciutadana. Edificis públics","","dossiers de premsa","","Primera oficina conjunta de la Guàrdia Urbana i els Mossos d'Esquadra a la Barceloneta","","text",""
"","Servei de Premsa","Barcelona. Catalunya, Rambla (Barcelona). Barcelona. Districte 2. Eixample","","2014-11-03","2014-11-03","","","","application/pdf","14 p.","15949","","Mandat 2011-2015","http://hdl.handle.net/11703/89837","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics. Bars. Restaurants. Terrasses (Hoteleria)","Urbanisme i infraestructures","dossiers de premsa","","Rambla de Catalunya: ordenació singular","","text",""
"","Servei de Premsa","Barcelona. Districte 5. Sarrià-Sant Gervasi. Sant Gervasi-la Bonanova (Barcelona : Barri)","","2013-06-26","2013-06-26","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","11 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101793","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis socials. Comerç al detall. Equipaments col·lectius. Mobilitat urbana. Espais públics. Zones verdes. Participació ciutadana","Societat i benestar. Urbanisme i infraestructures","dossiers de premsa","Pla de Comerç del Districte de Sarrià-Sant Gervasi 2012-2015 (Barcelona)","Balanç de dos anys de mandat a Sarrià-Sant Gervasi","","text",""
"","Servei de Premsa","Barcelona","","2009","2009-05-26","","","","application/pdf","36 p.","DS20090526_PCAP","","Mandat 2007-2011","http://hdl.handle.net/11703/89898","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pobresa. Treball social comunitari","Societat i benestar","dossiers de premsa","Programa d'Acció Contra la Pobresa (Barcelona)","Programa d'Acció Contra la Pobresa","","text",""
"","Servei de Premsa","Barcelona","","2009-11-16","2009-11-16","","","","application/pdf","6 p.","DS20091116_OBRES","","Mandat 2007-2011","http://hdl.handle.net/11703/89809","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques","Urbanisme i infraestructures","dossiers de premsa","","380 obres, 380 preguntes : l'Ajuntament potencia l'accés del ciutadà a la informació sobre les obres","","text",""
"","Servei de Premsa","Barcelona","","2014","2014-03-31","","","","application/pdf","7 p.","18155","","Mandat 2011-2015","http://hdl.handle.net/11703/89905","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació. Economia. Desenvolupament econòmic. Barcelona Activa, S.A.","","dossiers de premsa","","Barcelona Activa, més a prop del ciutadà","","text",""
"","Servei de Premsa","Barcelona. Barcelona. Districte 2. Eixample. Sant Antoni (Barcelona : Barri)","","2015-02-21","2015-02-21","","","","application/pdf","7 p.","18150","","Mandat 2011-2015","http://hdl.handle.net/11703/89848","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques. Mercat de Sant Antoni (Barcelona). Mercats","","dossiers de premsa","","Les obres del Mercat de Sant Antoni avancen cap a la última fase de remodelació","","text",""
"","Servei de Premsa","Barcelona. Glòries Catalanes, Plaça (Barcelona). Barcelona. Districte 2. Eixample. Barcelona. Districte 10. Sant Martí","","2014-10-21","2014-10-21","","","","application/pdf","12 p.","17548","","Mandat 2011-2015","http://hdl.handle.net/11703/89881","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques","Urbanisme i infraestructures","dossiers de premsa","","La Transformació de la plaça de les Glòries i la seva utilització ciutadana avança, un cop enderrocada l'anella viària","","text",""
"","Servei de Premsa","Barcelona","","2009-10-20","2009-10-20","","","","application/pdf","11 p.","2984","","Mandat 2007-2011","http://hdl.handle.net/11703/89862","cat","","","","","","","CC-BY [només pel text]","Tots els drets reservats [per les fotografies]. openAccess","","Ajuntament de Barcelona. http://creativecommons.org/licenses/by/4.0/deed.ca","","Economia","dossiers de premsa","","Economia urbana. Desenvolupament econòmic","Barcelona, una economia que avança cap a un nou model productiu de futur","text",""
"","Servei de Premsa","Barcelona","","2012","2012","","","","application/pdf","13 p.","18348","","Mandat 2011-2015","http://hdl.handle.net/11703/89856","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Accidents. Circulació. Circulació urbana. Seguretat viària","Transport. Seguretat","dossiers de premsa","","Anàlisi de l'accidentalitat 2012","","text",""
"","Servei de Premsa","Barcelona","","2014-11-19","2014-11-19","","","","application/pdf","23 p.","16922","","Mandat 2011-2015","http://hdl.handle.net/11703/89878","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Nadal","Cultura i oci","dossiers de premsa","","Nadal 2014: un Nadal per compartir","","text",""
"","Servei de Premsa","Barcelona","","2015","2015-02-28","","","","application/pdf","9 p.","18146","","Mandat 2011-2015","http://hdl.handle.net/11703/89903","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Transparència política. Participació ciutadana","Sector públic","dossiers de premsa","","Balanç 2011-2015: Governar amb les persones","","text",""
"","Servei de Premsa","Barcelona. Diagonal, Avinguda (Barcelona). Barcelona. Districte 2. Eixample. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 10. Sant Martí","","2010-03-18","2010-03-18","","","","application/pdf","9 p.","4809","","Mandat 2007-2011","http://hdl.handle.net/11703/89871","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme","Urbanisme i infraestructures","dossiers de premsa","Pla de Mobilitat Urbana de Barcelona 2013-2018","Diagonal: una avinguda, dos projectes","","text",""
"","Servei de Premsa","Barcelona","","2015-11-15","2015-11-15","","","","application/pdf","7 p.","","","Mandat 2015-","http://hdl.handle.net/11703/84112","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació urbana. Desenvolupament sostenible","Medi ambient","dossiers de premsa","","Dia Sense Cotxes","Setmana de la mobilitat sostenible i segura : 17 d'octubre","text",""
"","Servei de Premsa","Barcelona","2017","2017-05-02","2017-05-02","Del 20 al 26 de maig, la Setmana d’Arquitectura 2017 convertirà la ciutat en l’epicentre d’un ampli ventall d’esdeveniments relacionats amb el món de l’arquitectura per tal que la ciutadania la pugui viure d’una manera amena, didàctica i atractiva","","","application/pdf","6 p.","","","Mandat 2015-","http://hdl.handle.net/11703/102005","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arquitectura. Activitats culturals","Cultura i oci","dossiers de premsa","","Barcelona viurà una setmana plena d'activitats i actes per fixar la mirada ciutadana en la seva arquitectura","","text",""
"","Servei de Premsa","Barcelona","","2009-11-18","2009-11-18","","","","application/pdf","4 p.","DS20091118_BEN","","Mandat 2007-2011","http://hdl.handle.net/11703/89815","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Emigració i immigració. Integració social","Demografia","dossiers de premsa","Programa Benvinguda a Barcelona","L'Ajuntament presenta el Programa Benvinguda a Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2015","2015","","","","application/pdf","9 p.","18349","","Mandat 2011-2015","http://hdl.handle.net/11703/89913","cat","Institut de Cultura","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política cultural","Cultura i oci","dossiers de premsa","","Polítiques i programes culturals a Barcelona 2011-2015","","text",""
"","Servei de Premsa","Barcelona","","2014","2014-02-26","","","","application/pdf","8 p.","14159","","Mandat 2011-2015","http://hdl.handle.net/11703/89894","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones de vianants","Urbanisme i infraestructures","dossiers de premsa","Pla de Mobilitat Urbana de Barcelona 2013-2018. Compromís Ciutadà per la Sostenibilitat 2012-2022 (Barcelona). Pla del Verd i la Biodiversitat de Barcelona 2012-2020","L'Ajuntament impulsarà cinc superilles pilot a Barcelona en els propers 4 anys","","text",""
"","Servei de Premsa","Barcelona. Districte 1. Ciutat Vella","","2013-06-19","2013-06-19","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","15 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101786","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme. Neteja de carrers. Soroll. Delinqüència. Intervenció social","Societat i benestar. Urbanisme i infraestructures","dossiers de premsa","Pla d'Argent de Ciutat Vella 2012-2018 (Barcelona). Pla Dintres Ciutat Vella 2014 (Barcelona). Raval Cultural 2013-2018 (Barcelona)","Ciutat Vella: balanç de dos anys de govern","L'escola Mediterrània es trasllada aquest estiu per començar les classes al nou edifici al setembre","text",""
"","Servei de Premsa","Barcelona","","2009","2009-04","","","","application/pdf","21 p.","Preso_Model_reformes_2009","","Mandat 2007-2011","http://hdl.handle.net/11703/89899","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Presons. Presó Model de Barcelona","Urbanisme i infraestructures","dossiers de premsa","Pla Director de Transformació de la Presó Model de Barcelona","Criteris i continguts per a la redacció del pla director de transformació de la presó Model de Barcelona","","text",""
"","Servei de Premsa","Barcelona. Diagonal, Avinguda (Barcelona). Barcelona. Districte 2. Eixample. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 10. Sant Martí","","2010-04-27","2010-04-27","","","","application/pdf","15 p.","4810","","Mandat 2007-2011","http://hdl.handle.net/11703/89872","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme. Participació ciutadana. Democràcia directa. Opinions consultives","Urbanisme i infraestructures","dossiers de premsa","","108 punts de votació per la consulta electrònica de la Diagonal","","text",""
"","Servei de Premsa","Barcelona. Glòries Catalanes, Plaça (Barcelona). Barcelona. Districte 2. Eixample. Barcelona. Districte 10. Sant Martí","","2014-02-12","2014-02-12","","","","application/pdf","15 p.","13791","","Mandat 2011-2015","http://hdl.handle.net/11703/89833","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques","Urbanisme i infraestructures","dossiers de premsa","","Afectacions a la mobilitat per les obres de desconstrucció de l'anella viària de la plaça de les Glòries. Fase 1","","text",""
"","Servei de Premsa","Barcelona","","2009-09-21","2009-09-21","","","","application/pdf","4 p.","DS20090921_SEMAFORS","","Mandat 2007-2011","http://hdl.handle.net/11703/89805","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Semàfors","Transport","dossiers de premsa","","Barcelona renova tota la xarxa de semàfors","","text",""
"","Servei de Premsa","Barcelona. Glòries Catalanes, Plaça (Barcelona). Barcelona. Districte 2. Eixample. Barcelona. Districte 10. Sant Martí","","2014-02-12","2014-02-12","","","","application/pdf","11 p.","17547","","Mandat 2011-2015","http://hdl.handle.net/11703/89884","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques","Urbanisme i infraestructures","dossiers de premsa","","Afectacions importants en la mobilitat per les obres de transformació de la plaça de les Glòries","","text",""
"","Servei de Premsa","Barcelona","","2009-11-20","2009-11-20","","","","application/pdf","6 p.","DS20091120_WIFI_FUT","","Mandat 2007-2011","http://hdl.handle.net/11703/89816","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Internet sense fil","Ciència i tecnologia","dossiers de premsa","Projecte Barcelona WiFi","Seus amb Servei Barcelona Wifi","","text",""
"","Servei de Premsa","Barcelona","","2015-01-12","2015-01-12","","","","application/pdf","9 p.","17550","","Mandat 2011-2015","http://hdl.handle.net/11703/89858","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Accidents. Circulació. Circulació urbana. Seguretat viària","Transport. Seguretat","dossiers de premsa","","Anàlisis de l'accidentalitat 2014","","text",""
"","Servei de Premsa","Barcelona","","2015-02-26","2015-02-26","","","","application/pdf","4 p.","18149","","Mandat 2011-2015","http://hdl.handle.net/11703/89847","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura. Lleure","Cultura i oci","dossiers de premsa","","Gaudir més Barcelona: s'amplia l'oferta de serveis per acostar l'oci i la cultura a tota la ciutadania","","text",""
"","Servei de Premsa","Barcelona","","2014-12-30","2014-12-30","","","","application/pdf","9 p.","17481","","Mandat 2011-2015","http://hdl.handle.net/11703/89880","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme. Rehabilitació urbana","Urbanisme i infraestructures","dossiers de premsa","Pla General Metropolità de Barcelona. Pla Cor-Ciutat Vella 2012-2018 (Barcelona)","L'Ajuntament impulsa l'aprovació inicial del Pla Especial d'Ordenació de la Rambla","","text",""
"","Servei de Premsa","Barcelona","","2007-11-21","2007-11-21","","","","application/pdf","","DS20071121_PHB2008-2016","","Mandat 2007-2011","http://hdl.handle.net/11703/89785","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Habitatge","dossiers de premsa","Pla d'Habitatge de Barcelona 2008-2016","Mesura de govern amb els compromisos per al Pla d'Habitatge 2008 - 2016","","text",""
"","Servei de Premsa","Barcelona","","2009","2009","","","","application/pdf","7 p.","POQB2008-2011_CP09_01_2009","","Mandat 2007-2011","http://hdl.handle.net/11703/89891","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació","Ocupació","dossiers de premsa","Pacte per a l'Ocupació de Qualitat a Barcelona 2008-2011","Prop de 4.000 llocs de treball es crearan a Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2009-04-20","2009-04-20","","","","application/pdf","14 p.","DS20090420_BCIP","","Mandat 2007-2011","http://hdl.handle.net/11703/89792","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pau. Castell de Montjuïc (Barcelona). Centre de Recursos Internacional per la Pau de Barcelona. Drets humans","Societat i benestar","dossiers de premsa","","Barcelona Centre Internacional per la Pau","","text",""
