"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 47"
"Ajuntament de Barcelona | Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","","No","2013-06-28","2013-07-30","2018-12-19","2013-09-25","Aprovada pel Plenari del Consell Municipal de 28-06-2013","","Modifica l'Ordenança municipal de mercats [2008] [http://hdl.handle.net/11703/86852]","","","application/pdf","10 p.","application/pdf","13286","","Butlletí Oficial de la Província de Barcelona (30-07-2013)","organismes autònoms","","http://hdl.handle.net/11703/86853","cat","","","","","","","","","http://hdl.handle.net/11703/86852","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Legislació i justícia | Comerç","ordenances municipals","Ordenança municipal de mercats [2008] : modificació [2013-06-28]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1984-07-17","1985-01-01","1999-05-21","1985-01-02","Aprovada pel Plenari del Consell Municipal de 17-07-1984","","Modifica l'Ordenança sobre els aliments i els establiments alimentaris [1983] [http://hdl.handle.net/11703/91640]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 1 (01-01-1985), p. 5 | Gaseta Municipal de Barcelona, núm. 2 (20-01-1985)","","","http://hdl.handle.net/11703/99068","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91640","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Comerç | Establiments comercials | Alimentació | Mercats | Commerce | Retail stores | Diet | Markets | Comercio | Comercios | Alimentación | Mercados","Legislació i justícia | Comerç | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenança sobre els aliments i els establiments alimentaris [1983] : modificació [1985-01-02]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2001-02-16","2001-04-14","2011-05-31","2001-03-15","Aprovada pel Plenari del Consell Municipal de 16-02-2001","","Modifica l'Ordenança d'establiments i centres de comerç alimentari [1999] [http://hdl.handle.net/11703/91608]","","","application/pdf","2 p.","application/pdf","9925","","Butlletí Oficial de la Província de Barcelona, núm. 63 (14-04-2001), p. 35-36","","","http://hdl.handle.net/11703/91609","cat","","","","","","","","","http://hdl.handle.net/11703/91608","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Comerç | Establiments comercials | Alimentació | Commerce | Retail stores | Diet | Comercio | Comercios | Alimentación","Legislació i justícia | Comerç","ordenances municipals","Ordenança d'establiments i centres de comerç alimentari [1999] : modificació [2001-02-16]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1942-07-14","1942-08-01","","1942-07-20","Aprovada pel Plenari del Consell Municipal de 14-07-1942","","Modifica les Ordenanzas municipales de la ciudad de Barcelona [1891] [http://hdl.handle.net/11703/100152]","","","application/pdf","21 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 30-31 (01-08-1942), p. 384-404","","","http://hdl.handle.net/11703/106772","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/100152","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Ordenances municipals | Municipal ordinances | Ordenanzas municipales","Habitatge | Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenanzas municipales de la ciudad de Barcelona [1891] : modificació [1941-07-14]","Reforma de las Ordenanzas Municipales de Barcelona en materia de edificación","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1986-04-05","1986-04-04","1997-12-31","1986-04-05","Aprovada pel Plenari del Consell Municipal de 27-12-1985 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91617 (ed. 1993), http://hdl.handle.net/11703/91618 (ed. 1986)","Modificada pel Plenari del Consell Municipal de 12-06-1988 [http://hdl.handle.net/11703/99385] | Modificada pel Plenari del Consell Municipal de 25-10-1996 [http://hdl.handle.net/11703/97240] | Derogada per l'Ordenança de cementiris [1997] [http://hdl.handle.net/11703/86847] | Derogada per l'Ordenança reguladora dels serveis funeraris de Barcelona [1997] [http://hdl.handle.net/11703/88836]","Deroga els art. 1980-2117 de les Ordenanzas municipales [1947] [ed. 1978] | Deroga l'Ordenança reguladora del Servei d'incineració de cadàvers i despulles humanes [1981] [http://hdl.handle.net/11703/91610]","Digitalitzat pel SEDAC","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 81, Annex I (04-04-1986), p. 19-25 | Publicada també a la Gaseta Municipal de Barcelona, núm. 11 (20-04-1986)","","","http://hdl.handle.net/11703/97239","cat","","http://hdl.handle.net/11703/91617 | http://hdl.handle.net/11703/91618","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/86847 | http://hdl.handle.net/11703/88836","http://hdl.handle.net/11703/96474","","http://hdl.handle.net/11703/91610","http://hdl.handle.net/11703/99385 | http://hdl.handle.net/11703/97240","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Cementiris | Cemeteries | Cementerios","Legislació i justícia | Societat i benestar","ordenances municipals | documents digitalitzats","Ordenança de cementiris [1985]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1990-09-28","1990-12-20","2004-01-15","1990-12-21","Aprovada pel Plenari del Consell Municipal de 28-09-1990","","Modifica l'Ordenança dels establiments de concurrència pública [1987] [http://hdl.handle.net/11703/91635]","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 305 Annex 1 (20-12-1990), p. 26-27 | Publicada també a Gaseta Municipal de Barcelona, núm. 5 (20-02-1991), p. 118-119","","","http://hdl.handle.net/11703/98732","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91635","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Establiments de concurrència pública | Public areas | Establecimientos de concurrencia pública","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenança dels establiments de concurrència pública [1987] : modificació [1990-09-28]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia | Barcelona. District 6. Gràcia | Barcelona. Distrito 6. Gràcia","","No","1975-01-21","1975-09-30","1999-01-15","1975-10-02","Aprovada pel Plenari del Consell Municipal de 21-01-1975 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96474 (ed. 1978 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99389 (ed. 1993 en català)","Derogat l'art. 5 per les Normes reguladores de les activitats desenvolupades a la via pública [1987] [http://hdl.handle.net/11703/91616] | Derogada per l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] [http://hdl.handle.net/11703/89244","Derogat l'art. 5 per les Normes reguladores de les activitats desenvolupades a la via pública [1987] [http://hdl.handle.net/11703/91616","Digitalitzat pel SEDAC","","application/pdf","9 p.","application/pdf","6518","","Boletín Oficial de la Provincia de Barcelona, núm. 219 (12-09-1975), p. 14 | Gaseta Municipal de Barcelona, núm. 27 (30-09-1975), p. 661-662","",8476096089.0,"http://hdl.handle.net/11703/91615","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/96474 | http://hdl.handle.net/11703/99389","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/89244","http://hdl.handle.net/11703/91616","","","http://hdl.handle.net/11703/91616","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Espais públics | Comerç | Public spaces | Commerce | Espacios públicos | Comercio","Sector públic | Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenança sobre ocupació de les voravies del passeig de Gràcia per a instal·lacions particulars [1975]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2001-04-10","2001-05-02","2011-05-19","2001-10-01","Aprovada pel Plenari del Consell Municipal de 10-04-2001","","Modifica l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 105 (02-05-2001), p. 3-4","","","http://hdl.handle.net/11703/97149","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91612","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Establiments de concurrència pública | Environment | Public areas | Medio ambiente | Establecimientos de concurrencia pública","Legislació i justícia | Medi ambient","ordenances municipals | documents digitalitzats","Ordenança general del medi ambient urbà [1999] : modificació [2001-04-10]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2006-07-21","2006-08-09","2011-05-19","2006-08-09","Aprovada pel Plenari del Consell Municipal de 21-07-2006","","Modifica l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","","","application/pdf","25 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 189 (09-08-2006), p. 18-42 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona, núm. 258 (22-10-2006), p 29","","","http://hdl.handle.net/11703/97152","cat","","","","","","","","","http://hdl.handle.net/11703/91612","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Establiments de concurrència pública | Environment | Public areas | Medio ambiente | Establecimientos de concurrencia pública","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança general del medi ambient urbà [1999] : modificació [2006-07-21]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1927-08-05","1927-08-08","","1927-08-08","Aprovada pel Plenari del Consell Municipal de 08-08-1927 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96477 (ed. 1927 en castellà)","","","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 31 (08-08-1927), p. 681-685","","","http://hdl.handle.net/11703/100154","spa","","http://hdl.handle.net/11703/96477","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Establiments comercials | Alimentació | Retail stores | Diet | Comercios | Alimentación","Comerç | Legislació i justícia | Salut","documents digitalitzats | ordenances municipals","Reglamento u ordenanza de carnicerías [1927]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1926-01-16","1927-12-05","","","Aprovades pel Plenari del Consell Municipal de 16-01-1926","","","","","application/pdf","1 p.","application/pdf","","","Gaceta municipal de Barcelona., núm. 48 (05-12-1927), p. 949","","","http://hdl.handle.net/11703/106693","spa","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Urbanisme | Edificis | City planning | Buildings | Urbanismo | Edificios","Habitatge | Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenanzas Especiales para la edificación privada en la zona de Vallcarca [1926]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1983-03-18","1983-09-30","1999-06-16","1983-09-08","Aprovat pel Plenari del Consell Municipal de 21-09-1982 i de 18-03-1983 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96489 (ed. 1983 en català i castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99352 [ed. 1994]","Modificada pel Plenari del Consell Municipal de 27-04-1990 [http://hdl.handle.net/11703/98910] | Modificada pel Plenari del Consell Municipal de 24-04-1992 [http://hdl.handle.net/11703/107758] | Derogada per l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","Deroga l'Ordenança sobre activitats en les quals s'originin radiacions ionitzants [1982] | Deroga els art. 97-101 de l'Ordenança de policia de la via pública [1964] [http://hdl.handle.net/11703/100459] | Deroga l'art. 14 de les Normes de caràcter general relatives a instal·lacions industrials [1967] [http://hdl.handle.net/11703/99622]","Digitalitzat pel SEDAC","","application/pdf","37 p.","application/pdf","6484","","Boletín Oficial de la Provincia de Barcelona, núm. 214 (07-09-1983), p. 9 | Publicada també a la Gaseta municipal de Barcelona, núm. 27 (30-09-1983), p. 507-522","",8476096453.0,"http://hdl.handle.net/11703/91639","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/96489 | http://hdl.handle.net/11703/99352","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91612","http://hdl.handle.net/11703/100459 | http://hdl.handle.net/11703/99622","","","http://hdl.handle.net/11703/98910 | http://hdl.handle.net/11703/107758","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Medi ambient | Contaminació | Environment | Pollution | Medio ambiente | Contaminación","Sector públic | Legislació i justícia | Medi Ambient","ordenances municipals | documents digitalitzats","Ordenança sobre el control de la contaminació per agents físics [1983]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1999-07-16","1999-07-30","2007-12-31","1999-05-31","Aprovada pel Plenari del Consell Municipal de 16-07-1999","","Modifica l'Ordenança de mercats [1968] [http://hdl.handle.net/11703/96461]","Digitalitzat pel SEDAC","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 181 (30-07-1999), p. 30-32","","","http://hdl.handle.net/11703/97224","cat","","","","","","","","","http://hdl.handle.net/11703/96461","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Legislació i justícia | Comerç | Indústria","ordenances municipals","Ordenanzas municipales sobre mercados [1968] : modificació [1999-07-16]","Ordenanza de mercados [1968] : modificació [1999-07-16] | Ordenança de mercats [1968] : modificació [1999-07-16]","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1986-03-11","1986-04-05","1999-06-19","1986-04-06","Aprovada pel Plenari del Consell Municipal de 11-03-1986 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91628 (ed. 1986 en català i castellà) | Referenciat pel Decret de l'Alcaldia de Condicions d'atorgament de les llicències de col·locació de banderoles i pancartes a la via pública [1990] [http://hdl.handle.net/11703/109486]","Modificada pel Plenari del Consell Municipal de 25-05-1990 [http://hdl.handle.net/11703/98730] | Modificada pel Plenari del Consell Municipal de 29-11-1991 [http://hdl.handle.net/11703/99048] | Modificada pel Plenari del Consell Municipal de 25-04-1996 [http://hdl.handle.net/11703/97326] | Derogada per l'Ordenança dels usos del paisatge urbà de la ciutat de Barcelona [1999][http://hdl.handle.net/11703/89240]","Deroga l'Ordenança de publicitat [1979] [http://hdl.handle.net/11703/99960]","Digitalitzat pel SEDAC","","application/pdf","14 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 86  (05-04-1986), p. 6-19 | Publicada també a la Gaseta Municipal de Barcelona, núm. 13 (10-05-1986), p. 432-452","","","http://hdl.handle.net/11703/91627","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/91628","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/109486","http://hdl.handle.net/11703/89240","","","http://hdl.handle.net/11703/99960","http://hdl.handle.net/11703/98730 | http://hdl.handle.net/11703/99048 | http://hdl.handle.net/11703/97326","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Campanyes publicitàries | Advertising | Publicidad","Legislació i justícia | Habitatge","ordenances municipals | documents digitalitzats","Ordenança de les instal·lacions i activitats publicitàries [1986]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1991-11-29","1992-06-19","1999-06-19","1992-06-20","Aprovada pel Plenari del Consell Municipal de 29-11-1991","","Modifica l'Ordenança de les instal·lacions i activitats publicitàries [1986] [http://hdl.handle.net/11703/91627]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 147(19-06-1992), p. 44 | Publicada també a la Gaseta municipal núm 25 (10-09-1992)","","","http://hdl.handle.net/11703/98731","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91627","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Campanyes publicitàries | Advertising | Publicidad","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenança de les instal·lacions i activitats publicitàries [1986] : modificació [1991-11-29]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1971-04-26","1972-04-30","1999-01-15","1972-04-28","Aprovada pel Plenari del Consell Municipal de 25-04-1970 i de 26-04-1971 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91646 (ed. 1994 en català) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/101446 (ed. 1993 en castellà)","Modificada per acord del consell plenari de 14-03-1984 [http://hdl.handle.net/11703/100996] | Derogats els art. 8 (apartats a, c, i, n), 13-16 i 30 (epígraf 2, apartats d i e; epígraf 3, apartat e)per les Normes reguladores de les activitats desenvolupades a la via pública [1987] [http://hdl.handle.net/11703/91616] | Modificada per acord del consell plenari de 22-03-1991 [http://hdl.handle.net/11703/98740] | Derogada per l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] [http://hdl.handle.net/11703/89244]","Deroga els arts. 33 i 34 (paràgraf 1), 35 (paràgrafs 1 i 2), 36-43 i 69-79 de l'Ordenança de Policia de la Via Pública [1964] [http://hdl.handle.net/11703/100459]","Digitalitzat pel SEDAC","","application/pdf","18 p.","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 85 (08-04-1972), p. 7 | Gaseta Municipal de Barcelona, núm 12 (30-04-1972), p. 309-314","","","http://hdl.handle.net/11703/91650","cat","","http://hdl.handle.net/11703/91646 | http://hdl.handle.net/11703/101446","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/89244","http://hdl.handle.net/11703/100459","","","http://hdl.handle.net/11703/100996 | http://hdl.handle.net/11703/91616 | http://hdl.handle.net/11703/98740","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Obres públiques | Public spaces | Public works | Espacios públicos | Obras públicas","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenanza sobre utilización de bienes de uso público municipal [1971]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1993-09-17","1993-11-04","1999-01-15","1993-11-05","Aprovada pel Plenari del Consell Municipal de 17-09-1993","","Modifica l'Ordenança sobre llicències d'accés de vehicles als locals (guals) [1990] [http://hdl.handle.net/11703/91647]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 110 (04-11-1993), p. 22 | Publicada també a la Gaseta Municipal de Barcelona,  núm. 13 (30-11-1993), p.895","","","http://hdl.handle.net/11703/100847","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91647","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Aparcaments | Automòbils | Vehicles de motor | Parking garages | Automobiles | Motor vehicles | Aparcamiento | Automóviles | Vehículos de motor","Legislació i justícia | Transport","documents digitalitzats | ordenances municipals","Ordenança sobre llicències d'accés de vehicles als locals (guals) [1990] : modificació [1993-09-07]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1962-08-04","1963-03-31","1976-12-27","","Aprovada pel Plenari del Consell Municipal de 04-08-1963","Derogada per l'Ordenanza sobre minas, pozos de agua y acueductos [1972] [http://hdl.handle.net/11703/91648]","Deroga els art. 1437-1439 de les Ordenanzas Municipales [1947] [http://hdl.handle.net/11703/96474]","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm 3 (31-03-1963), p. 180-181","","","http://hdl.handle.net/11703/100493","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91648","http://hdl.handle.net/11703/96474","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Aigua | Environment | Water | Medio ambiente | Agua","Legislació i justícia | Medi ambient","documents digitalitzats | ordenances municipals","Ordenanza sobre minas y conducciones de agua [1962]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1998-04-22","1998-05-05","2007-12-31","1998-05-06","Aprovada pel Plenari del Consell Municipal de 22-04-1998","","Modifica l'Ordenança de mercats [1968] [http://hdl.handle.net/11703/96461]","Digitalizat pel SEDAC","","application/pdf","1 p","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 107 (05-05-1998), p. 29 | Correcció d'errades: Butlletí Oficial de la Província de Barcelona, núm. 116 (15-05-1998), p. 26","","","http://hdl.handle.net/11703/99013","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/96461","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenanzas municipales sobre mercados [1968] : modificació [1998-05-05]","Ordenanza de mercados [1968] : modificació [1998-05-05] | Ordenança de mercats [1968] : modificació [1998-05-05]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1999-07-16","1999-07-30","2011-05-19","1999-07-31","Aprovada pel Plenari del Consell Municipal de 16-07-1999","Derogada per l'Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de barcelona [2001] [http://hdl.handle.net/11703/89255]","Complementa l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 181 (30-07-1999), p. 21-25","","","http://hdl.handle.net/11703/98936","cat","","","","","","","","http://hdl.handle.net/11703/89255","http://hdl.handle.net/11703/91612","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Establiments de concurrència pública | Medi ambient | Public areas | Environment | Establecimientos de concurrencia pública | Medio ambiente","Legislació i justícia | Medi ambient | Comerç","ordenances municipals","Norma complementària a l'Ordenança general de medi ambient urbà de Barcelona, sobre les activitats sotmeses a llicència municipal d'obertura d'establiments i a comunicació prèvia","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1964-04-10","1964-04-30","2011-05-30","1964-04-25","Aprovada pel Plenari del Consell Municipal de 10-04-1964 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96481 (ed. 1966 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96474 (ed. 1978 en castellà)","Modificat art. 2 per acord del Consell Plenari de 20-04-1966 [GM 12 (20-04-1966), p. 258] | Modificada pel Plenari del Consell Municipal de 14-03-1980 [http://hdl.handle.net/11703/96474] | Derogada per l'Ordenança d'establiments i comerç alimentari [2011] [http://hdl.handle.net/11703/88842]","Deroga els art. 206-217 de les Ordenanzas Municipales [http://hdl.handle.net/11703/96474]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Boletín Oficial de la Provincia de Barcelona, núm. 99 (24-04-1964), p. 2 | Gaseta Municipal de Barcelona, núm. 4 (30-04-1964), p. 269-270","","","http://hdl.handle.net/11703/100494","spa","","http://hdl.handle.net/11703/96481 | http://hdl.handle.net/11703/96474","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/88842","http://hdl.handle.net/11703/96474","","","http://hdl.handle.net/11703/100996","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Fleques | Pa | Establiments comercials | Bakers and bakeries | Bread | Retail stores | Panaderías | Pan | Comercios","Comerç | Legislació i justícia","documents digitalitzats | ordenances municipals","Ordenanza de policía de abastos sobre panaderías [1963]","Ordenança de policia d’avituallament de fleques [1963]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1990-09-28","1990-11-20","1999-06-19","1990-11-20","Aprovada pel Plenari del Consell Municipal de 28-09-1990","","Modifica l'Ordenança de les instal·lacions i activitats publicitàries [1986] [http://hdl.handle.net/11703/91627]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 278 (20-11-1990), p. 21 | Publicada també a la Gaseta Municipal de Barcelona, núm. 37 (20-12-1990)","","","http://hdl.handle.net/11703/98730","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91627","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Campanyes publicitàries | Advertising | Publicidad","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenança de les instal·lacions i activitats publicitàries [1986] : modificació [1990-05-25]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
