"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 47"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2000-06-24","2000-07-17","","2000-07-18","Aprovada pel Plenari del Consell Municipal de 24-06-2000","","Modifica l'Ordenança de cementiris [1997] [http://hdl.handle.net/11703/86847]","","","application/pdf","1 p.","application/pdf","15213","","Butlletí Oficial de la Província de Barcelona, núm. 170 (17-07-2000), p. 10","","","http://hdl.handle.net/11703/89261","cat","","","","","","","","","http://hdl.handle.net/11703/86847","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Cementiris | Cemeteries | Cementerios","Legislació i justícia | Societat i benestar","ordenances municipals","Ordenança de cementiris [1997] : modificació [2000-06-24]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1983-09-27","1984-04-03","1999-05-22","1984-03-04","Aprovada pel Plenari del Consell Municipal de 27-09-1983 | Podeu consultar la versió no oficial en català a: http://hdl.handle.net/11703/91624 (ed. 1983) | Podeu consultar la versió no oficial en castellà a: http://hdl.handle.net/11703/91625 (ed. 1984)","Derogada per l'Ordenança d'establiments i centres de comerç alimentari [1999] [http://hdl.handle.net/11703/91608]","","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 54 (08-03-1984), p. 10-11 | Gaseta Municipal de Barcelona, núm. 8 (20-03-1984), p. 193-203","","","http://hdl.handle.net/11703/97127","cat","","http://hdl.handle.net/11703/97127","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91608","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Comerç | Establiments comercials | Alimentació | Commerce | Retail stores | Diet | Comercio | Comercios | Alimentación","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenança de galeries i centres privats d'alimentació [1983]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1991-11-29","1992-06-19","1999-06-19","1992-06-21","Aprovada pel Plenari del Consell Municipal de 29-11-1991","","Modifica l'Ordenança de les instal·lacions i activitats publicitàries [1986] [http://hdl.handle.net/11703/91627]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 147 (19-06-1992), p. 44 | Publicada també a la Gaseta Municipal de Barcelona, núm. 25 (10-09-1992), p. 782","","","http://hdl.handle.net/11703/99048","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91627","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Campanyes publicitàries | Advertising | Publicidad","Legislació i justícia | Comerç | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenança de les instal·lacions i activitats publicitàries [1986] : modificació [1991-11-29]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1979-06-29","1980-01-20","1999-01-16","1979-12-29","Aprovada pel Plenari del Consell Municipal de 29-06-1979","","Modifica l'Ordenanza de policía de vía pública [1964] [http://hdl.handle.net/11703/100459]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Gaseta Municipal de Barcelona, núm. 2 (20-01-1980), p. 22","","","http://hdl.handle.net/11703/100504","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/100459","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Vianants | Public spaces | Pedestrians | Espacios públicos | Peatones","Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenança de policia de la via pública [1964] : modificació [1979-06-29]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","Barcelona | Barcelona | Barcelona","","No","2018-06-29","2018-07-12","","2018-07-13","Aprovada pel Plenari del Consell Municipal de 29-06-2018","","Modifica l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","Annex 1. Interpretacions gràfiques | Annex 2. Relació d'espais regulats per ordenacions singulars i distribucions prèvies","application/pdf","3 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (12-07-2018) | Gaseta Municipal de Barcelona (12-07-2018)","organismes autònoms","","http://hdl.handle.net/11703/110274","cat","","","","","","","","","http://hdl.handle.net/11703/86856","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Terrasses (Hoteleria) | Establiments de concurrència pública | Bar terraces | Public areas | Terrazas (Hostelería) | Establecimientos de concurrencia pública","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenança de terrasses [2013] : modificació [2018-06-29]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2003-12-22","2004-01-09","2014-07-25","2004-01-10","Aprovada pel Plenari del Consell Municipal de 22-12-2003 | Podeu consultar la versió oficial en català a: http://hdl.handle.net/11703/96457","Modificada per l'Ordenança reguladora del procediment sancionador [2010] [http://hdl.handle.net/11703/89239 | Derogada per l'Ordenança sobre la protecció, la tinença i la venda d'animals [2014] [http://hdl.handle.net/11703/86855]","Deroga el Títol VII de l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612] | Deroga l'Ordenança sobre venda d'animals [2002] [http://hdl.handle.net/11703/91613] | Modifica l'Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] [http://hdl.handle.net/11703/89255]","","","application/pdf","26 p.","application/pdf","18962","","Butlletí Oficial de la Província de Barcelona, núm. 8, Annex II (09-01-2004), p. 8-32","","","http://hdl.handle.net/11703/91614","spa","","http://hdl.handle.net/11703/96457","","","","","","http://hdl.handle.net/11703/86855","http://hdl.handle.net/11703/91612 | http://hdl.handle.net/11703/89255","","http://hdl.handle.net/11703/91613","http://hdl.handle.net/11703/89239","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Animals | Animals | Animales","Legislació i justícia | Medi ambient","ordenances municipals","Ordenanza sobre la protección, la tenencia y la venta de animales [2003]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1990-09-28","1990-11-20","1997-07-29","1990-11-20","Aprovada pel Plenari del Consell Municipal de 28-09-1990 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/98766 (ed. 1993 en català)","Derogada per l'Ordenança sobre instal.lació d'antenes [1997] [http://hdl.handle.net/11703/91645]","","Digitalitzat pel SEDAC","","application/pdf","10 p.","application/pdf","6489","","Butlletí Oficial de la Província de Barcelona, núm. 278 (20-11-1990), p. 21 | Publicada també a la Gaseta municipal de Barcelona, núm. 37 (20-12-1990","","","http://hdl.handle.net/11703/91644","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/98766","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91645","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Antenes (Electrònica) | Antennas (Electronics) | Antenas (Electrónica)","Legislació i justícia | Ciència i tecnologia | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenança sobre instal·lació d'antenes [1990]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2006-04-28","2006-07-13","","2006-07-13","Aprovada pel Plenari del Consell Municipal de 28-04-2006","","","","","application/pdf","11 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 166, Annex 1 (13-07-2006), p. 19-29","","","http://hdl.handle.net/11703/97217","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/96461"" target=""_blank"">Ordenanzas municipales sobre mercados [1968]</a> | <a href=""http://hdl.handle.net/11703/89273"" target=""_blank"">Ordenances fiscals 2006 i anys següents</a>","","http://hdl.handle.net/11703/96461 | http://hdl.handle.net/11703/91726 | http://hdl.handle.net/11703/97217 | http://hdl.handle.net/11703/91735 | http://hdl.handle.net/11703/101465","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Impostos locals | Markets | Local taxation | Mercados | Impuestos locales","Comerç | Hisenda","ordenances fiscals | ordenances municipals | reglaments","Modificació de diverses directrius en el marc dels acords adoptats amb motiu de la modificació de la forma de gestió dels serveis públics de mercats centrals (fruites i hortalisses i peix)","Ordenanzas municipales sobre mercados [1968] : modificació [2006-04-28] | Ordenanza de mercados [1968]modificació [2006-04-28] | Ordenança de mercats [1968] : modificació [2006-04-28] | Ordenances fiscals 2006 i anys següents: 3.6 Mercats | Reglament de funcionament del Mercat del Peix [2006] | Reglament de funcionament del Mercat Central de Fruites i Hortalisses [2006]","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1984-11-27","1985-04-26","2007-12-31","1985-04-27","Aprovada pel Plenari del Consell Municipal de 27-11-1984","","Modifica l'Ordenança de mercats [1968] [http://hdl.handle.net/11703/96461]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 100 (26-04-1985), p. 6 | Gaseta municipal de Barcelona, núm. 14 (20-05-1985), p. 310","","","http://hdl.handle.net/11703/99002","cat","","","","","","","","","http://hdl.handle.net/11703/96461","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Legislació i justícia | Comerç","ordenances municipals","Ordenanzas municipales sobre mercados [1968] : modificació [1985-04-26]","Ordenanza de mercados [1968] : modificació [1985-04-26] | Ordenança de mercats [1968] : modificació [1985-04-26]","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1982-09-21","1983-03-01","1999-06-16","1983-03-02","Aprovada pel Plenari del Consell Municipal de 21-09-1982 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96489 (ed. 1983 en català i castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99152 (ed. 1994 en català)","Modificada pel Plenari del Consell Municipal de 27-11-1992 [http://hdl.handle.net/11703/107764] | Derogada per l'Ordenança General del Medi Ambient Urbà [1999]   [http://hdl.handle.net/11703/91612]","Deroga l'Ordenanza sobre instalaciones susceptibles de emitir humo, gases, vapores y polvo [1980] [http://hdl.handle.net/11703/100019]","Digitalitzat pel SEDAC","","application/pdf","","application/pdf","6442","","Butlletí Oficial de la Província de Barcelona, núm. 51 (01-03-1983), p. 10 | També publicada a la Gaseta Municipal de Barcelona, núm. 7 (10-03-1983), p. 133-141 | Correccions d'errades publicades a la Gaseta Municipal de Barcelona, núm. 13 (10-05-1983), p. 277","","","http://hdl.handle.net/11703/91637","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/96489 | http://hdl.handle.net/11703/99152","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91612","","","http://hdl.handle.net/11703/96488 | http://hdl.handle.net/11703/100019","http://hdl.handle.net/11703/107764","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Atmosfera | Medi ambient | Atmosphere | Environment | Atmósfera | Medio ambiente","Legislació i justícia | Medi ambient","ordenances municipals | documents digitalitzats","Ordenança de protecció de l'atmosfera [1982]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Distrito 2. Eixample","","No","2000-09-21","2000-10-12","2002-12-12","2000-12-13","Aprovada pel Plenari del Consell Municipal de 21-09-2000","","Modifica l'Ordenança de rehabilitació i millora de l'Eixample [1986] [http://hdl.handle.net/11703/96475]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona,  núm. 245 (12-10-2000), p. 76","","","http://hdl.handle.net/11703/98857","cat","","","","","","","","","http://hdl.handle.net/11703/96475","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Rehabilitació urbana | Urban renewal | Rehabilitación urbana","Legislació i justícia | Urbanisme i infraestructures | Habitatge","ordenances municipals","Ordenança de rehabilitació i millora de l'Eixample [1986] : modificació [2000-09-21]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2006-03-24","2006-05-04","2009-03-26","2006-05-05","Aprovada pel Plenari del Consell Municipal de 24-03-2006 | Podeu consultar la versió oficial en català a: http://hdl.handle.net/11703/91603 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/91604","Substituïda per l'Ordenança reguladora de l'administració electrònica [2009] [http://hdl.handle.net/11703/89260]","","","","application/pdf","33 p.","application/pdf","3176","","Publicada també al Butlletí Oficial de la Província de Barcelona, núm.106 (04-05-2006), p. 17-29","","","http://hdl.handle.net/11703/91605","eng","","http://hdl.handle.net/11703/91603 | http://hdl.handle.net/11703/91604","","","","","","http://hdl.handle.net/11703/89260","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Administració electrònica | Internet in public administration | Internet en la administración pública","Legislació i justícia | Ciència i tecnologia","ordenances municipals","Ordinance on Electronic Government [2006]","","text","info:eu-repo/semantics/other",""
