"dcAccrualPeriodicity","dcAccrualPolicy","dccontributor","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 46"
"","","","Direcció de Gestió Econòmica | Direcció de Serveis d'Inversions","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","2011-03-25","2011","Informe presentat al Plenari del Consell Municipal de 25-03-2011 | Citat a la Gaseta Municipal de Barcelona, núm. 19 (30-06-2011)","","","application/pdf","42 p.","application/pdf","8065","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86825","eng","","http://hdl.handle.net/11703/86833 | http://hdl.handle.net/11703/88762","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Política fiscal | Inversions | Economic policy | Fiscal policy | Investments | Política económica | Política fiscal | Inversiones","Economia | Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Inversions Municipals 2008-2011 (Barcelona)","Mandate Report : 2008-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Dona i Drets Civils","","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015","","2015-04","2015-04","","","","application/pdf","44 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113683","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes | Gender equality | Igualdad de género","Societat i benestar","informes d'avaluació i de seguiment","Pla Municipal per a la Igualtat d'Oportunitats Real i Efectiva entre Dones i Homes 2012-2015 (Barcelona)","Pla municipal per a la igualtat d’oportunitats real i efectiva entre dones i homes (2012-2015) : balanç de mandat de la Regidoria de Dona i Drets Civils","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Salvador, María | Artazcoz Lazcano, Lucía | Bastida, Andrea | Martínez, Soraya | Juárez-Martínez, Olga","","Barcelona | Barcelona | Barcelona","","","2018","2018","","","","application/pdf","76 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115437","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència de Salut Pública de Barcelona","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Educació sanitària | Public health | Health education | Salud pública | Educación sanitaria","Salut","informes d'avaluació i de seguiment | revistes i anuaris","","Programes de promoció de la salut en centres d'educació primària i secundària de Barcelona : avaluació. Curs 2016-17","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Ajuntament de Barcelona","","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | 22@ (Barcelona) | 22@ (Barcelona) | 22@ (Barcelona)","2008","","2008-12","2008","","","","application/pdf","26 p.","application/pdf","3211","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86821","spa","","http://hdl.handle.net/11703/86820 | http://hdl.handle.net/11703/86822","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme | Infraestructures urbanes | Innovacions tecnològiques | City planning | Urban infrastructures | Technological innovations | Urbanismo | Infraestructuras urbanas | Innovaciones tecnológicas","Ciència i tecnologia","informes d'avaluació i de seguiment","22@Barcelona (Projecte)","Barcelona 22@ el distrito de la innovación : estado de ejecución","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Qualitat de Vida, Igualtat i Esports | Regidoria de Dona i Drets Civils | Direcció del Programa de Dona","","Barcelona | Barcelona | Barcelona","2011 | 2012","","2013-06-18","2013","Informe presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 18-06-2013","","","application/pdf","39 p.","application/pdf","13355","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86756","cat","Ajuntament de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Tràfic de persones | Prostitution | Human trafficking | Prostitución | Trata de personas","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Informe 2012 de l'estat d'execució i impacte de les actuacions de l'Agència ABITS per a l'abordatge integral de la prostitució","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2012","","2013","2013","","","","application/pdf","111 p.","application/pdf","14121","","","","Mandat 2011-2015","http://hdl.handle.net/11703/102250","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació Municipal (PAM) 2012-2015 (Barcelona)","Marc estratègic de l'Ajuntament de Barcelona: balanç 2012","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Sector de Serveis Personals","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010","","2004-04-12","2004","Informe presentat al Consell de Ciutat del 12-04-2007","","","application/pdf","37 p.","application/pdf","1597","","","","Mandat 2003-2007","http://hdl.handle.net/11703/89205","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política de l'habitatge | Habitatge públic | Rehabilitació de l'habitatge | Housing policy | Public housing | Housing rehabilitation | Política de vivienda | Viviendas de protección oficial | Rehabilitación de viviendas","Habitatge","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla d'Habitatge de Barcelona 2004-2010","Pla d'habitatge de Barcelona 2004-2010: informe de progrés","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Consorci Sanitari de Barcelona | Ajuntament de Barcelona | Agència de Salut Pública de Barcelona","","","","","2012-05","2012","","","","application/pdf","56 p.","application/pdf","14035","","","","Mandat 2011-2015","http://hdl.handle.net/11703/88829","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona | Consorci Sanitari de Barcelona | Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Salut | Public health | Health | Salud pública | Salud","Sector públic","informes d'avaluació i de seguiment","Programa Salut als Barris (Barcelona)","Salut als Barris: Avaluació: Ciutat Meridiana, Torre Baró i Vallbona : 2012","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 1. Ciutat Vella","","Raval (Barcelona : Barri) | Raval (Barcelona : Barrio) | Raval (Barcelona : Neighborhood) | Barcelona. Districte 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella","","","2017-10-19","2017-10-19","Plenari de 19-10-2017","","","application/pdf","22 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/114059","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Drogues | Seguretat ciutadana | Salut | Drogoaddicció | Espais públics | Delictes contra la propietat | Delinqüència | Drugs of abuse | Public security | Health | Drug addiction | Public spaces | Crimes against property | Crime | Drogas | Seguridad ciudadana | Salud | Drogadicción | Espacios públicos | Delitos contra la propiedad | Delincuencia","Societat i benestar","informes d'avaluació i de seguiment","Pla de Xoc per Abordar la Venda i el Consum de Drogues al Raval 2017-2020","Situació actual de la problemàtica de les drogues al Raval i intervencions realitzades : octubre 2017","Informe pla de xoc","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris | Roquetes (Barcelona : Barri) | Roquetes (Barcelona : Neighborhood) | Roquetes (Barcelona : Barrio) | Verdun (Barcelona : Barri) | Verdun (Barcelona : Neighborhood) | Verdun (Barcelona : Barrio) | Trinitat Nova (Barcelona : Barri) | Trinitat Nova (Barcelona : Neighborhood) | Trinitat Nova (Barcelona : Barrio) | Vilapicina i la Torre Llobeta (Barcelona : Barri) | Vilapicina i la Torre Llobeta (Barcelona : Neighborhood) | Vilapicina i la Torre Llobeta (Barcelona : Barrio) | Turó de la Peira (Barcelona : Barri) | Turó de la Peira (Barcelona : Neighborhood) | Turó de la Peira (Barcelona : Barrio) | Porta (Barcelona : Barri) | Porta (Barcelona : Neighborhood) | Porta (Barcelona : Barrio) | Canyelles (Barcelona : Barri) | Canyelles (Barcelona : Neighborhood) | Canyelles (Barcelona : Barrio) | Prosperitat (Barcelona : Barri) | Prosperitat (Barcelona : Neighborhood) | Prosperitat (Barcelona : Barrio) | Guineueta (Barcelona : Barri) | Guineueta (Barcelona : Neighborhood) | Guineueta (Barcelona : Barrio) | Can Peguera (Barcelona : Barri) | Can Peguera (Barcelona : Neighborhood) | Can Peguera (Barcelona : Barrio) | Ciutat Meridiana (Barcelona : Barri) | Ciutat Meridiana (Barcelona : Neighborhood) | Ciutat Meridiana (Barcelona : Barrio) | Torre Baró (Barcelona : Barri) | Torre Baró (Barcelona : Neighborhood) | Torre Baró (Barcelona : Barrio) | Vallbona (Barcelona : Barri) | Vallbona (Barcelona : Neighborhood) | Vallbona (Barcelona : Barrio)","2015 | 2016 | 2017 | 2018 | 2019","","2019-03-05","2019","Informe presentat al Plenari del Consell de Districte de Nou Barris de 05-03-2019","","","application/pdf","92 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/117775","cat","","","<a href=""http://hdl.handle.net/11703/117776"">Resum</a>","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica | Política social | Social policy | Política social | Política pública | Government policy | Política gubernamental | Política econòmica | Economic policy | Política económica | Política ambiental | Environmental policy | Política ambiental | Política educativa | Educational policy | Política educativa","","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Nou Barris (PAD) 2016-2019 (Barcelona)","Balanç de Mandat : Districte de Nou Barris : 2015-2019","","text","info:eu-repo/semantics/report",""
