"dcAccrualPeriodicity","dcAccrualPolicy","dccontributor","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 46"
"Anual","Oberta","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2007","No","2008","2008","","","","application/pdf","","application/pdf","1968","","","entitats públiques empresarials","Mandat 2003-2007","http://hdl.handle.net/11703/88049","cat","Institut de Cultura de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Institut de Cultura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona | Cultura | Institut de Cultura de Barcelona | Culture | Institut de Cultura de Barcelona | Cultura","Cultura i oci","memòries | informes d'avaluació i de seguiment","","Balanç 2007","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Dones i Joventut | Direcció del Programa de Dones","","Barcelona | Barcelona | Barcelona","2007 | 2008 | 2009 | 2010 | 2011","","2011","2011-04","","","","application/pdf","33 p.","application/pdf","7348","","","","Mandat 2003-2007 | Mandat 2007-2011","http://hdl.handle.net/11703/89235","cat","Regidoria de Dones i Joventut","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones maltractades | Violència envers les dones | Igualtat entre els sexes | Abused women | Violence against women | Gender equality | Mujeres maltratadas | Violencia contra las mujeres | Igualdad de género","Societat i benestar","informes d'avaluació i de seguiment","Pla Municipal per a les Dones 2005-2009 (Barcelona) | Pla Municipal contra la Violència vers les Dones 2007-2009 (Barcelona) | Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Balanç de polítiques de Dones i d'Igualtat de Gènere : 2007-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Sector de Serveis Urbans i Medi Ambient","","Barcelona | Barcelona | Barcelona","2004","","2004-10-27","2004","","","","application/pdf","21 p.","application/pdf","3104","","","","Mandat 2003-2007","http://hdl.handle.net/11703/86823","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Civisme | Animals de companyia | Civics | Pets | Civismo | Animales de compañía","Societat i benestar","informes d'avaluació i de seguiment","Pla per la Promoció del Civisme a Barcelona","Balanç de la primera fase del Pla de Promoció del Civisme, març-octubre 2004 : aquesta tardor s'inicia una campanya per la tinença responsable de gossos","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Institut Barcelona Esports | Associació Esportiva Sarrià-Sant Gervasi (Barcelona) | Carrasco, Mireia G. | Díez, Elia | Burrueco, Toni | Jofra, Mercè | Carroggio, Maite","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017","","2018","2018","","","","application/pdf","30 p.","application/pdf","","","","","","http://hdl.handle.net/11703/110906","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Agència de Salut Pública de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Parcs | Esports | Parks | Sports | Parques | Deportes","Salut","informes d'avaluació i de seguiment | revistes i anuaris","Programa Salut als Barris (Barcelona) | Programa Activa't als Parcs 2008- (Barcelona)","Activa't als Parcs de Barcelona : Barcelona salut als Barris : Avaluació. 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Regidoria d'Educació i Universitats | Àrea de Cultura, Coneixement, Creativitat i Innovació | Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","2012 | 2013","","2013-01-22","2013","","","","application/pdf","15 p.","application/pdf","10796","","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/90220","cat","Ajuntament de Barcelona. Direcció de Promoció Educativa","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política educativa | Educació familiar | Família i escola | Aprenentatge | Educational policy | Domestic education | Home-school relationships | Learning | Política educativa | Educación familiar | Relaciones familia-escuela | Aprendizaje","Educació","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa de Suport Educatiu a les Famílies 2012-2013 (Barcelona)","Programa de Suport Educatiu a les Famílies : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2008","No","2009","2009","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87757 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","158 p.","application/pdf","3394","","","","Mandat 2007-2011","http://hdl.handle.net/11703/87812","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87757","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2008","Informe al Plenario del Consejo Municipal sobre la actividad de la Sindicatura en 2008","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Direcció d'Espais Verds i Biodiversitat | Gerència d'Ecologia Urbana | Martí Carral, Izaskun","","Barcelona | Barcelona | Barcelona","2017","","2017-12-21","2017","Podeu consultar la Mesura de govern a: http://hdl.handle.net/11703/97350","","","application/pdf","15 p.","application/pdf","","","","","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/108025","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/97350","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones verdes | Espais públics | Herbicides | Open spaces | Public spaces | Herbicides | Zonas verdes | Espacios públicos | Herbicidas","Medi ambient","informes d'avaluació i de seguiment","Pla del Verd i la Biodiversitat de Barcelona 2012-2020","Informe de seguiment de la mesura d’eradicació de l’ús del glifosat en els espais verds i la via pública de Barcelona 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Drets de Ciutadania, Cultura, Participació i Transparència","","Barcelona | Barcelona | Barcelona","2017","","2018-02","2018-02-16","Fa referència al Manifest dels municipis en la celebració del dia internacional de lluita contra la islamofòbia [http://hdl.handle.net/11703/108296] | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/114532","","","application/pdf","24 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/108295","cat","","http://hdl.handle.net/11703/114532","","","","","","","http://hdl.handle.net/11703/108296","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Islamofòbia | Drets civils | Islamophobia | Civil rights | Islamofobia | Derechos políticos y civiles","Societat i benestar","informes d'avaluació i de seguiment","Pla de Lluita Contra la Islamofòbia 2015-2018 (Barcelona)","Pla municipal de lluita contra la islamofòbia : primer any d'aplicació de la mesura [versió presentació]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","","Direcció de Serveis de Relacions Internacionals | Gerència d’Àrea Agenda 2030, Transició Digital i Esports","","Barcelona | Barcelona | Barcelona","2015 | 2016 | 2017 | 2018 | 2019","Si","2019","2019-05","Podeu consultar la versió en català a: http://hdl.handle.net/11703/117006 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/117019","","Una relació de les Declaracions Internacionals adoptades per Barcelona durant el Mandat 2015-2019","application/pdf","38 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/117017","spa","","http://hdl.handle.net/11703/117006 | http://hdl.handle.net/11703/117019","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció de Serveis de Relacions Internacionals | Direcció de Serveis de Relacions Internacionals | Direcció de Serveis de Relacions Internacionals | Política exterior | Foreign policy | Política exterior","Sector públic","memòries | informes d'avaluació i de seguiment","","Memoria : los diez principales ámbitos de actuación : mandato 2015-2019","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","","Direcció del Programa de Dones | Gerència d'Educació, Cultura i Benestar","","Barcelona | Barcelona | Barcelona","2009","","2010-04-20","2010","Informe presentat a la Comissió de Cultura, Educació i Benestar Social del 20-04-2010, per la Sra. Elsa Blasco i Riera (Presidenta Consell Municipal del Districte de Gràcia)","","","application/pdf","28 p.","application/pdf","7521","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86763","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Política social | Prostitution | Social policy | Prostitución | Política social","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Informe Serveis i Recursos del Pla per l'Abordatge Integral del Treball Sexual (ABITS) : 2009","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","2013 | 2014 | 2015 | 2016","","2014-07-07","2014","Informe presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports el 07-07-2014","","","application/pdf","64 p.","application/pdf","16651","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86755","cat","Ajuntament de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Joventut | Adolescents | Política de la joventut | Youth | Teenagers | Youth policy | Juventud | Adolescentes | Política de juventud","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016 : pla d'accions 2013 : informe de resultats","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. Distrito 8. Nou Barris | Barcelona. District 8. Nou Barris","2015 | 2016 | 2017 | 2018 | 2019","","2019","2019","","","","application/pdf","56 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/114028","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política econòmica | Strategic planning | Social policy | Economic policy | Government policy | Planificación estratégica | Política social | Política económica | Política pública | Política gubernamental","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Nou Barris (PAD) 2016-2019 (Barcelona)","Balanç de mandat : Districte de Nou Barris 2015-2019 [versió presentació]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015 | 2016 | 2017","","2017","2017","","","","application/pdf","9 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114671","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament sostenible | Desarrollo sostenible | Sustainable development | Participació ciutadana | Participación ciudadana | Citizen participation","Medi ambient","informes d'avaluació i de seguiment","Compromís Ciutadà per la Sostenibilitat 2012-2022 (Barcelona)","Compromís Ciutadà per la Sostenibilitat 2012-2022 : anàlisi en relació als objectius de desenvolupament sostenible","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Institut Municipal d'Educació (Barcelona) | Fundació BCN Formació Professional | Consorci d'Educació de Barcelona","","Barcelona | Barcelona | Barcelona","2012 | 2013","","2013-10-18","2013","Informe presentat al Consell Municipal del 18-10-2013, pel Sr. Gerard Ardanuy i Mata (Regidor)","","","application/pdf","15 p.","application/pdf","11711","","","consorcis | fundacions | organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/88768","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Alimentació | Escolars | Menjadors escolars | Occupational training | High school students | Educational policy | Formación ocupacional | Estudiantes de enseñanza secundaria | Política educativa","Ocupació","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa de recuperació acadèmica de l'alumnat de 16 a 19 anys per promoure la seva qualificació i inserció laboral (Barcelona)","Pla 16-19 : per a la recuperació acadèmica de l'alumnat de 16 a 19 anys, facilitar la seva qualificació i inserció laboral : balanç curs escolar 2012-2013 : informe d'execució","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Institut de Cultura de Barcelona | Instituto DYM, S.A.","","Barcelona | Barcelona | Barcelona","","","2015-12-01","2015-12-01","Sol·licitant de l'informe: Institut de Cultura de Barcelona","","","application/pdf","47 p.","application/pdf","","C150001572","","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/112248","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Festival d'Estiu de Barcelona (Grec) | Teatre Grec (Barcelona) | Espectacles | Festival d'Estiu de Barcelona (Grec) | Teatre Grec (Barcelona) | Amusements | Festival d'Estiu de Barcelona (Grec) | Teatre Grec (Barcelona) | Espectáculos","Cultura i oci","informes d'avaluació i de seguiment | informes altres","","Estudi de Valoració del festival Grec 2015","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","","Suriñach Caralt, Jordi | López-Tamayo, Jordi | Vayá, Esther | Universitat de Barcelona. Laboratori de Transferència en Economia Aplicada | Regidoria de Comerç, Consum i Mercats | Àrea d'Economia, Empresa i Ocupació","","Barcelona | Barcelona | Barcelona","","","2014-11-19","2014-11","Informe presentat a la Comissió d'Economia, Empresa i Ocupació de 19-11-2014 | Informe elaborat per: AQR-Lab-Laboratori de Transferència en Economia Aplicada a la UB | Equip investigador: Jordi Suriñach (dir.), Jordi López Tamayo, Esther Vayá","","","application/pdf","30 p.","application/pdf","16762","","","","Mandat 2011-2015","http://hdl.handle.net/11703/88731","cat","Universitat de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Horaris comercials | Comerç | Establiments comercials | Business hours | Commerce | Retail stores | Horarios comerciales | Comercio | Comerciosl","Comerç","informes als òrgans de govern | informes d'avaluació i de seguiment","","Avaluació de l'obertura dels comerços als diumenges d'estiu a la ciutat de Barcelona : informe","","text","info:eu-repo/semantics/report",""
"","","","Departament de Transversalitat de Gènere | Gerència Municipal | Àrea de Drets Socials, Justícia Global, Feminismes i LGTBI","","Barcelona | Barcelona | Barcelona","2018 | 2019 | 2020","","2019","2019-10","","","","application/pdf","43 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/116106","cat","Ajuntament de Barcelona","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Igualtat entre els sexes | Política pública | Política laboral | Política econòmica | Gender equality | Government policy | Labor policy | Economic policy | Igualdad de género | Política gubernamental | Política laboral | Política económica","Societat i benestar","informes d'avaluació i de seguiment","Pla per la Justícia de Gènere 2016-2020 (Barcelona)","Pla per la Justícia de Gènere : seguiment del programa d'actuació 2018-2020","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2004 | 2005 | 2006 | 2007","","2006-09","2006","","","","application/pdf","453 p.","application/pdf","PAM2004-2007_INF_200609","","","","Mandat 2003-2007","http://hdl.handle.net/11703/111719","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació Municipal (PAM) 2004-2007 (Barcelona)","Informe de Seguiment del Programa d’Actuació Municipal 2004 –2007","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Direcció de Serveis d'Estratègia i Cultura de Sostenibilitat | Gerència d'Ecologia Urbana | Universitat de Barcelona. Facultat d’educació | Elias Andreu, Marina | Recasens Guitart, Josefina | Sánchez-Gelabert, Albert | Crespo Atero, Albert","","Barcelona | Barcelona | Barcelona","","","2018","2018-11","","","","application/pdf","74 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115327","cat","","","","","","","","","","CC-BY-NC","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc/4.0/deed.ca","Desenvolupament sostenible | Desarrollo sostenible | Sustainable development | Educació ambiental | Educación ambiental | Environmental education | Escoles | Escuelas | Schools","Medi ambient","informes d'avaluació i de seguiment","Agenda 21 Escolar | Programa Escoles + Sostenibles 2000- (Barcelona)","Avaluació de l'impacte del programa Agenda 21 Escolar (Escoles + Sostenibles) : [ Informe final ]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Ariza, Carles | Casamitjana, Montserrat | Juárez-Martínez, Olga | Serral, Jaume | Vallverdú, Imma","","Barcelona | Barcelona | Barcelona","","","2018","2018","","","","application/pdf","61 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115440","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència de Salut Pública de Barcelona","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública | Educació sanitària | Public health | Health education | Salud pública | Educación sanitaria","Salut","informes d'avaluació i de seguiment | revistes i anuaris","Programa Salut i Escola (Barcelona)","Avaluació del Programa Salut i Escola, Barcelona. Curs 2016-17","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Gerència de Drets Socials | Fundación para la Acreditación y Desarrollo Asistencial (FADA)","","Barcelona. Districte 2. Eixample | Barcelona. Distrito 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Districte 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Barcelona. District 10. Sant Martí","","","2017","2018","Sol·licitant de l'informe: Gerència de Drets Socials","","","application/pdf","50 p.","application/pdf","","Núm. exp. 20170369","","","Mandat 2015-2019 | Mandat 2015-2019","http://hdl.handle.net/11703/112224","cat","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Treball social amb les persones grans | Solitud | Noves tecnologies de la informació i de la comunicació | Internet i persones grans | Social work with older people | Solitude | Information technology | Internet and older people | Trabajo social con ancianos | Soledad | Tecnología de la información | Internet y ancianos","Societat i benestar","informes d'avaluació i de seguiment | informes altres","Projecte Vincles BCN 2014-","Informe d'avaluació de l'efecte del Programa Vincles en els seus usuaris","Disseny i desenvolupament de l'avaluació resultats prova pilot projecte vincles","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2018","No","2018","2019","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/115743 | Podeu consultar la nota de premsa de presentació de l'informe a: http://hdl.handle.net/11703/112380","","","application/pdf","160 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/112374","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/115743 | http://hdl.handle.net/11703/112380","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona : Informe 2018","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2010","No","2011","2011","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87759 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","213 p.","application/pdf","7823","","","","Mandat 2007-2011","http://hdl.handle.net/11703/87814","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87759","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2010","Informe al Plenario del Consejo Municipal sobre las actuaciones de la Sindicatura 2010","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Regidoria de Feminismes i LGTBI | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","2017 | 2018","","2018-11","2018-12","","","","application/pdf","53 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111736","cat","","","","","","","<a href=""http://hdl.handle.net/11703/84165"">Millora del sistema per l’abordatge integral de les violències masclistes a Barcelona : mesura de govern</a>","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Masclisme | Violència envers les dones | Machismo | Violence against women | Machismo | Violencia contra las mujeres","Societat i benestar","informes d'avaluació i de seguiment","Pla Estratègic contra el Sexisme a la Ciutat 2017-2022 (Barcelona)","Informe de seguiment 2017-2018 de la mesura de govern : millora del sistema per l'abordatge integral de les violències masclistes","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Participació i Districtes | Direcció de Serveis de Recerca, Desenvolupament i Innovació | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","2016 | 2017 | 2018 | 2019","","2019-03","2019-03","Presentat al Plenari del Consell Municipal de 29-03-2019","","","application/pdf","62 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113952","cat","","","","","","","","","","CC-BY-SA","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","Participació ciutadana | Comunicacions digitals | Política tecnològica | Citizen participation | Digital communications | Technology policy | Participación ciudadana | Comunicaciones digitales | Política tecnológica | Decidim.Barcelona (Plataforma informàtica) | Decidim.Barcelona (Plataforma informática) | Decidim.Barcelona (IT platform)","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació Municipal (PAM) 2016-2019 (Barcelona)","Decidim, la plataforma digital oberta i lliure per la participació i la innovació democràtica : informe 2016-2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","","Direcció de Serveis de Relacions Internacionals | Gerència d’Àrea Agenda 2030, Transició Digital i Esports","","Barcelona | Barcelona | Barcelona","2015 | 2016 | 2017 | 2018 | 2019","Si","2019","2019-05","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/117017 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/117019","","Una relació de les Declaracions Internacionals adoptades per Barcelona durant el Mandat 2015-2019","application/pdf","38 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/117006","cat","","http://hdl.handle.net/11703/117017 | http://hdl.handle.net/11703/117019","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció de Serveis de Relacions Internacionals | Direcció de Serveis de Relacions Internacionals | Direcció de Serveis de Relacions Internacionals | Política exterior | Foreign policy | Política exterior","Sector públic","memòries | informes d'avaluació i de seguiment","","Memòria : els deu principals àmbits d'actuació : mandat 2015-2019","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","2008","","2008-07","2008-07","","","","application/pdf","28 p.","application/pdf","3475","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/88826","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política ambiental | Política econòmica | Ordenació del territori | Rehabilitació urbana | Desenvolupament urbà sostenible | Strategic planning | Social policy | Environmental policy | Economic policy | Regional planning | Urban renewal | Sustainable urban development | Planificación estratégica | Política social | Política ambiental | Política económica | Ordenación del territorio | Rehabilitación urbana | Desarrollo urbano sostenible","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Les Corts (PAD) 2008-2011 (Barcelona)","Informe de l'estat d'execució del PAD Les Corts 2008-2011 : 1r semestre 2008","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
