"Tipus_despesa","Codi_Organic","Descripcio_organic","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Despeses de capital",502,"Medi Ambient i Serveis Urbans",0.0,0.0,22.6,0.0,0.0,0.3,0.3,2.9,0.0,1.8
"Despeses de capital",503,"Urbanisme",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despeses de capital",504,"Infraestructures i coordinació urbana / Mobilitat i infraestructures",0.0,0.0,0.0,6.0,12.3,17.5,4.4,13.1,5.6,5.2
"Despeses de capital",601,"Ciutat Vella",0.1,0.1,1.4,2.3,2.7,1.2,1.1,1.5,1.3,1.9
"Despeses de capital",602,"Eixample",0.1,0.1,2.6,2.7,2.6,1.7,1.4,1.1,0.9,1.6
"Despeses de capital",603,"Sants-Montjuïc",8.8,6.0,3.3,4.1,4.0,3.9,1.7,1.0,0.8,1.0
"Despeses de capital",604,"Les Corts",4.0,1.0,1.2,1.9,3.1,2.1,1.2,1.1,1.0,0.5
"Despeses de capital",605,"Sarrià-St.Gervasi",7.6,1.8,1.4,3.7,1.6,2.3,0.9,1.0,0.9,0.8
"Despeses de capital",606,"Gràcia",6.6,4.8,11.5,3.2,3.4,1.9,2.5,1.3,0.8,0.7
"Despeses de capital",607,"Horta-Guinardó",1.9,6.9,2.6,3.7,4.0,3.1,1.5,1.4,1.4,1.1
"Despeses de capital",608,"Nou Barris",0.1,0.0,1.4,2.1,1.8,2.5,2.5,4.4,2.4,2.9
"Despeses de capital",609,"St. Andreu",10.4,10.8,10.8,10.1,20.7,4.3,1.8,0.9,1.1,0.8
"Despeses de capital",610,"St. Martí",1.3,2.3,4.6,2.5,3.6,4.9,1.2,0.9,0.7,1.2
"Despeses de capital",701,"Economia / Presidència i Economia",0.0,0.0,0.0,0.0,0.0,34.7,93.4,19.3,0.7,6.0
"Despeses de capital",701,"Promoció econòmica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despeses de capital",702,"Empresa i Ocupació / Ocupació, Empresa i Turisme",0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.1,0.2,0.0
"Despeses de capital",703,"Serveis Centrals",0.0,0.0,279.2,216.8,446.2,317.3,284.0,320.2,338.4,300.9
"Despeses de capital",704,"Gerència turisme, comerç i mercats",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despeses de capital",801,"Cultura, Coneix., Creativ. i Innov. / Drets Ciutadania, Particip. i Transp.",0.0,0.0,8.0,4.2,5.2,5.0,4.7,0.9,4.7,7.2
"Despeses de capital",801,"Educació, Cultura i Benestar",9.6,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despeses de capital",9901,"Serveis Centrals",438.9,338.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despeses de capital",9902,"Serveis Centrals FEOSL",81.7,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa no financera",101,"Recursos",0.0,0.0,203.5,194.6,200.7,172.5,132.5,141.7,140.9,148.3
"Despesa no financera",101,"Serveis generals i Coord. Territ.",175.0,174.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa no financera",102,"Recursos Humans i Organització",6.6,6.4,6.0,6.4,6.4,6.6,7.1,7.7,8.1,8.9
"Despesa no financera",103,"Finances",28.5,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa no financera",104,"Gerència Municipal",4.6,3.4,3.0,3.9,10.4,8.9,4.3,8.3,89.0,83.7
"Despesa no financera",201,"Acció Social i Ciutadania",112.8,118.4,0.0,0.0,0.0,0.0,0.0,0.0,361.8,0.0
"Despesa no financera",201,"Qualitat de Vida, Igualtat i Esports / Drets Socials",0.0,0.0,177.6,185.4,194.5,239.8,360.8,341.3,0.0,365.5
"Despesa no financera",301,"Medi Ambient",432.3,387.8,0.0,0.0,0.0,0.0,0.0,229.8,0.0,0.0
"Despesa no financera",401,"Prevenció, Seguretat i Mobilitat / Seguretat i Prevenció",247.5,237.1,230.8,239.1,243.9,251.5,258.8,238.1,249.2,267.9
"Despesa no financera",501,"Hàbitat Urbà / Ecologia Urbana",0.0,0.0,68.3,64.0,89.0,81.0,68.7,68.8,86.6,54.7
"Despesa no financera",501,"Urbanisme i Infraestructures",71.3,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa no financera",502,"Medi Ambient",0.0,0.0,0.0,349.6,309.7,0.0,0.0,0.0,282.2,0.0
"Despesa no financera",502,"Medi Ambient i Serveis Urbans",0.0,0.0,365.7,0.0,0.0,314.6,277.1,288.6,0.0,285.6
"Despesa no financera",503,"Urbanisme",0.0,0.0,0.0,3.7,6.8,5.4,3.5,3.9,3.8,3.3
"Despesa no financera",504,"Infraestructures i coordinació urbana / Mobilitat i infraestructures",0.0,0.0,0.0,8.5,48.3,60.2,37.6,47.7,198.5,231.5
