"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributoreditor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"","","Àrea de Drets Socials | Gerència de Drets Socials | Institut d'Estudis Regionals i Metropolitans de Barcelona","","","Barcelona | Barcelona | Barcelona","2013 | 2014","","2015","2016-12","Sol·licitant de l’informe: Gerència de Drets Socials | Les mencions de responsabilitat s'han basat en els crèdits facilitats per l'àrea responsable","","","application/pdf","67 p.","application/pdf","","Núm. Exp. 20150768","","Mandat 2015-2019","http://hdl.handle.net/11703/115625","cat","","","","","","","MCVL (Mostra Continua de Vides Laborals)","Tots els drets reservats","info:eu-repo/semantics/embargoAccess","Ajuntament de Barcelona | Institut d'Estudis Regionals i Metropolitans de Barcelona","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","","","Renda bàsica | Contractes de treball | Salaris | Pensions | Guaranteed annual income | Labor contract | Wages | Pensions | Renta básica garantizada | Contratos de trabajo | Salarios | Pensiones","Economia | Ocupació | Societat i benestar","informes altres","","Anàlisi de l’estructura de la renda de les persones domiciliades a Barcelona : dades de la MCVL. 2014 i 2013","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Medi Ambient i Serveis Urbans | Paris, Antoni","","","Barcelona | Barcelona | Barcelona","2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018","","2019","2019-12","Sol·licitant de l’informe: Gerència de Medi Ambient i Serveis Urbans","","","application/pdf","147 p.","application/pdf","","Núm. Exp. 20190386","","Mandat 2019-","http://hdl.handle.net/11703/117441","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Residus | Recollida de residus | Reciclatge (Residus, etc.) | Waste products | Refuse collection | Recycling (Waste, etc.) | Residuos | Recogida de residuos | Reciclaje (Residuos, etc.)","Medi ambient","informes altres","","Els residus municipals a Barcelona : balanç 2001-2018","","text","info:eu-repo/semantics/report",""
"","","Barcelona Activa, S.A. | Coworking Barcelona, S. L.","","","Catalunya | Cataluña | Catalonia","","","2017-06-12","2018-03-01","Sol·licitant de l'informe: Barcelona Activa, S.A.","","","application/pdf","33 p.","application/pdf","","Núm. Exp. 811445","","Mandat 2015-2019","http://hdl.handle.net/11703/112759","eng","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Negocis | Oficines | Economia col·laborativa | Business | Offices | Sharing economy | Negocios | Oficinas | Economía colaborativa","Economia | Indústria | Ocupació","informes altres","","Coworkings in Catalonia, state of the art","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Drets de Ciutadania, Participació i Transparència | Universitat de Barcelona | Fernández Bessa, Cristina | Di Masso Tarditti, Andrés","","","Barcelona | Barcelona | Barcelona","2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016","","2017-01","2017-02-27","Sol·licitant de l’informe: Gerència de Drets de Ciutadania, Participació i Transparència | Es basa en l'Ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic de Barcelona [2005] [http://hdl.handle.net/11703/89246]","","","application/pdf","62 p.","application/pdf","","Núm. Exp. 722/17 | Núm. Contracte 17002456","","Mandat 2015-2019","http://hdl.handle.net/11703/111436","cat","","","http://hdl.handle.net/11703/89246","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Universitat de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Espais públics | Convivència | Civisme | Ciutadania | Drets humans | Public spaces | Coexistence | Civics | Citizenship | Human rights | Espacios públicos | Convivencia | Civismo | Ciudadanía | Derechos humanos","Sector públic | Societat i benestar","informes altres","","L'aplicació de l'ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic de Barcelona des de la perspectiva dels drets humans : informe","Mesures enfocament ddhh de polítiques públiques a l'espai públic","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Miralles-Guasch, Carme | Delclòs Alió, Xavier | Gómez Varo, Irene | Vich Callejo, Guillem","","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris | Vallbona (Barcelona : Barri) | Vallbona (Barcelona : Neighborhood) | Vallbona (Barcelona : Barrio) | Ciutat Meridiana (Barcelona : Barri) | Ciutat Meridiana (Barcelona : Neighborhood) | Ciutat Meridiana (Barcelona : Barrio) | Torre Baró (Barcelona : Barri) | Torre Baró (Barcelona : Neighborhood) | Torre Baró (Barcelona : Barrio) | Trinitat Nova (Barcelona : Barri) | Trinitat Nova (Barcelona : Neighborhood) | Trinitat Nova (Barcelona : Barrio) | Roquetes (Barcelona : Barri) | Roquetes (Barcelona : Neighborhood) | Roquetes (Barcelona : Barrio) | Canyelles (Barcelona : Barri) | Canyelles (Barcelona : Neighborhood) | Canyelles (Barcelona : Barrio) | Prosperitat (Barcelona : Barri) | Prosperitat (Barcelona : Neighborhood) | Prosperitat (Barcelona : Barrio) | Verdun (Barcelona : Barri) | Verdun (Barcelona : Neighborhood) | Verdun (Barcelona : Barrio) | Guineueta (Barcelona : Barri) | Guineueta (Barcelona : Neighborhood) | Guineueta (Barcelona : Barrio) | Can Peguera (Barcelona : Barri) | Can Peguera (Barcelona : Neighborhood) | Can Peguera (Barcelona : Barrio) | Turó de la Peira (Barcelona : Barri) | Turó de la Peira (Barcelona : Neighborhood) | Turó de la Peira (Barcelona : Barrio) | Porta (Barcelona : Barri) | Porta (Barcelona : Neighborhood) | Porta (Barcelona : Barrio) | Vilapicina i la Torre Llobeta (Barcelona : Barri) | Vilapicina i la Torre Llobeta (Barcelona : Neighborhood) | Vilapicina i la Torre Llobeta (Barcelona : Barrio)","","","2019-04-09","2019-10","Sol·licitant de l’informe: Districte 8. Nou Barris","","","application/pdf","66 p.","application/pdf","","Núm. Contracte. 19001588 | Núm. Exp. 19010097","districtes","Mandat 2019-","http://hdl.handle.net/11703/117502","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Barris | Carrers | Integració social | Accessibilitat | Neighborhood | Streets | Social integration | Accessibility | Barrios | Calles | Integración social | Accesibilidad","Transport | Urbanisme i infraestructures","informes altres","","La vitalitat urbana al Districte de Nou Barris de Barcelona : anàlisi de les condicions morfològiques per a la vitalitat urbana","","text","info:eu-repo/semantics/report",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","Barcelona | Barcelona | Barcelona","","","2017","2017","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","","application/pdf","9 p.","application/pdf","","Núm. Exp. P17001589","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111402","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Aparcaments | Aplicacions mòbils | Opinió pública | Anàlisi DAFO | Parking garages | Mobile apps | Public opinion | SWOT analysus | Aparcamiento | Aplicaciones para móviles | Opinión pública | Análisis DAFO","Transport","informes altres","","Àrea verda : informe general","Estudi seguint la tècnica del focus group als usuaris de l'àrea verda","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gabinet Tècnic de Programació | Departament d'Estudis d'Opinió | Institut Opinòmetre (Firma) | Parc d'Atraccions del Tibidabo, S.A. | Barcelona de Serveis Municipals, S.A. (BSM)","","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Tibidabo, Parc d'atraccions (Barcelona) | Barcelona. District 5. Sarrià-Sant Gervasi | Tibidabo, Amusement park (Barcelona) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Tibidabo, Parque de atracciones (Barcelona)","2017","","2017","2017","Sol·licitant de l'informe: Parc d'Atraccions del Tibidabo, S.A.","","","application/pdf","3 documents","application/pdf","","Núm. Reg. Públic d'Enquestes: r17021 | Núm. Exp. P17001482","societats mercantils","","http://hdl.handle.net/11703/108345","cat","Ajuntament de Barcelona","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs d'atraccions | Opinió pública | Amusement parks | Public opinion | Parques de atracciones | Opinión pública","Cultura i oci","enquestes | informes altres","","Enquesta dels visitants al Parc d'Atraccions del Tibidabo. 2017","Informe ISC (Índex de Satisfacció del Client) Tibidabo 2017 | Estudi: enquestes usuaris 4t trimestre","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A. | Paris, Antoni","","","Barcelona | Barcelona | Barcelona","","Si","2017","2018-10","Sol·licitant de l'informe: Barcelona Cicle de l'Aigua, S.A.","","","application/pdf","29 p.","application/pdf","","Núm. Exp. EXP18-0171","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/112392","cat | spa | eng","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Barcelona Cicle de l'Aigua, S.A.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Barcelona Cicle de l'Aigua, S.A. | Aigua | Platges | Clavegueram | Barcelona Cicle de l'Aigua, S.A. | Water | Beaches | Sewerage | Barcelona Cicle de l'Aigua, S.A. | Agua | Playas | Alcantarillado","Energia","informes altres","","Memòria 2017 [versió en català, castellà i anglès]","Gestió Sostenible i millora contínua del cicle de l'aigua a Barcelona","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Enrich Giménez, Carles | Jiménez Cerrada, César | Zúñiga Guzmán, Diana","","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris | Vallbona (Barcelona : Barri) | Vallbona (Barcelona : Neighborhood) | Vallbona (Barcelona : Barrio)","","","2018","2018-12","Sol·licitant de l’informe: Institut Municipal del Paisatge Urbà i la Qualitat de Vida","","","application/pdf","198 p.","application/pdf","","Núm. Exp. 20180641","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/117953","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Institut Municipal del Paisatge Urbà i la Qualitat de Vida","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Arquitectura del paisatge urbà | Ordenació del territori | Patrimoni cultural | Urban landscape | Regional planning | Cultural heritage | Arquitectura del paisaje urbano | Ordenación del territorio | Patrimonio cultural","Urbanisme i infraestructures","informes altres","","Estudi paisatge : Vallbona","","text","info:eu-repo/semantics/report",""
"","","Gerència de Drets Socials | Direcció de Serveis d'Estratègia i Innovació | Departament de Recerca i Coneixement | Universitat Pompeu Fabra | Institut d'Estudis Regionals i Metropolitans de Barcelona | Julià Pérez, Mireia | Pardo Fuertes, Javier | Belvis Costes, Francesc Xavier | Benach, Joan","","","Barcelona | Barcelona | Barcelona","2016","","2015","2016","Sol·licitant de l’informe: Gerència de Drets Socials | Fa referència a l'Enquesta de Condicions de Vida de Barcelona 2016 [http://hdl.handle.net/11703/102248] | Les mencions de responsabilitat s'han basat en els crèdits facilitats per l'àrea responsable","","","application/pdf","101 p.","application/pdf","","Núm. Exp. 20150768","","Mandat 2015-2019","http://hdl.handle.net/11703/115617","cat","","","","","","","http://hdl.handle.net/11703/102248","Tots els drets reservats","info:eu-repo/semantics/embargoAccess","Ajuntament de Barcelona | Universitat Pompeu Fabra","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","","","Treball precari | Salut en el treball | Serveis socials | Precarious employment | Industrial hygiene | Human services | Trabajo precario | Higiene industrial | Servicios sociales","Ocupació | Salut | Societat i benestar","informes altres","","Qualitat de l’ocupació i salut en la població usuària dels serveis socials de la ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
