"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributoreditor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"","","Barcelona Cicle de l'Aigua, S.A. | Agromapping, S.L. | Akis International, S.L. | García Ruíz, Fran | Falguera Pascual, Víctor | Fonseca Salcedo, Francisco | Lordan Sanahuja, Joan | Montilla Prieto, Victor | Papió Toda, Josep","","","Barcelona | Barcelona | Barcelona","2017","","2017","2017-10","Sol·licitant de l’informe: Barcelona Cicle de l'Aigua, S.A.","","","application/pdf","31 p.","application/pdf","","Núm. Exp. 17-0153","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/110273","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Parcs | Jardins | Aigua | Regatge | Vegetació | Parks | Gardens | Water | Irrigation | Plants | Parques | Jardines | Agua | Riego | Vegetación","Medi ambient","informes altres","","Caracterització hídrica dels parcs de Barcelona : informe final","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","Barcelona. Districte 6. Gràcia | Güell, Parc (Barcelona) | Barcelona. Distrito 6. Gràcia | Güell, Parque  (Barcelona) | Barcelona. District 6. Gràcia | Güell, Park  (Barcelona)","2016 | 2017","","2017","2017","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","","application/pdf","117 p.","application/pdf","","Núm. Exp. P17001575","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111181","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Parcs | Opinió pública | Consumidors | Avaluació | Parks | Public opinion | Consumers | Evaluation | Parques | Opinión pública | Consumidores | Evaluación","Cultura i oci","informes altres","","Estudi client invisible Park Güell","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència d'Urbanisme | Gerència d'Àrea d'Ecologia Urbana | Manzano, Marc | Caballero Sierra, Victoria | Villaverde, Montserrat","","","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Camp de l'Arpa del Clot (Barcelona : Barri) | Camp de l'Arpa del Clot (Barcelona : Neighborhood) | Camp de l'Arpa del Clot (Barcelona : Barrio)","2019","","2019-12","2019-12","Sol·licitant de l’informe: Gerència d'Urbanisme","","","application/pdf","14 p.","application/pdf","","Núm. Exp. 20190677","","Mandat 2019-","http://hdl.handle.net/11703/117914","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Arquitectura del paisatge urbà | Ordenació del territori | Patrimoni cultural | Urban landscape | Regional planning | Cultural heritage | Arquitectura del paisaje urbano | Ordenación del territorio | Patrimonio cultural","Urbanisme i infraestructures","informes altres","","Estudi de paisatge urbà del Camp de l'Arpa : Barcelona","","text","info:eu-repo/semantics/report",""
"","","Parc d'Atraccions del Tibidabo, S.A. | Taiko Meteorologia (Firma)","","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Tibidabo, Parc d'atraccions (Barcelona) | Collserola, Serra de (Catalunya) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Tibidabo, Parque de atracciones (Barcelona) | Collserola, Serra de (Cataluña) | Barcelona. District 5. Sarrià-Sant Gervasi | Tibidabo, Amusement park (Barcelona) | Collserola, Serra de (Catalonia)","2013 | 2014 | 2015 | 2016","","2017","2017-01-10","Sol·licitant de l’informe: Parc d'Atraccions del Tibidabo, S.A.","","","application/pdf","5 p.","application/pdf","","Núm. Exp. P16001669","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111419","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Parc d'Atraccions del Tibidabo, S.A. | Taiko Meteorologia (Firma)","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Parc d'Atraccions del Tibidabo, S.A. | Climatologia | Tempestes | Llamps | Parc d'Atraccions del Tibidabo, S.A. | Storms | Lighting | Climatology | Parc d'Atraccions del Tibidabo, S.A. | Tormentas | Rayos | Climatología","Medi ambient","informes altres","","Estudi caiguda llamps : Parc d'Atraccions Tibidabo","Estudi caiguda llamps i prediccions llarg termini","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència d'Urbanisme | Riosta Barcelona, S.L. | Maspoch Oller, Mònica | Castells Buenaventura, Eloi | Camarasa Torrens, Jordina","","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Vallvidrera (Barcelona : Barri) | Vallvidrera (Barcelona : Neighborhood) | Vallvidrera (Barcelona : Barrio)","","","2019","2019-07","Sol·licitant de l’informe: Gerència d'Urbanisme","","","application/pdf","227 p.","application/pdf","","Núm. Exp. 20190467","","Mandat 2019-","http://hdl.handle.net/11703/118019","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Riosta Barcelona, S.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Antic Hotel Buenos Aires (Barcelona) | Història | Patrimoni cultural | Antic Hotel Buenos Aires (Barcelona) | History | Cultural heritage | Antic Hotel Buenos Aires (Barcelona) | Historia | Patrimonio cultural","Urbanisme i infraestructures | Cultura i oci","informes altres","","Estudi històric de l'Antic Hotel Buenos Aires, Vallvidrera (Barcelona)","","text","info:eu-repo/semantics/report",""
"","","Institut de Cultura de Barcelona | Institut d'Estudis Catalans | Societat Catalana d’Estudis Numismàtics | Casanova i Mandri, Rossend","","","Barcelona | Barcelona | Barcelona","","","2017-08-17","2017-08-29","Sol·licitant de l'informe: Institut de Cultura de Barcelona","","","application/pdf","45 p.","application/pdf","","Núm. exp. C170002572","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/112225","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Institut de Cultura de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Medalles d'Honor de Barcelona | Condecoracions | Medalles | Medalles d'Honor de Barcelona | Decorations of honor | Medals | Medalles d'Honor de Barcelona | Condecoraciones | Medallas","Cultura i oci","informes altres","","Informe relatiu a la Medalla de la Ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona | Instituto DYM, S.A.","","","Barcelona | Barcelona | Barcelona","","","2015-12-01","2015-12-01","Sol·licitant de l'informe: Institut de Cultura de Barcelona","","","application/pdf","47 p.","application/pdf","","C150001572","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/112248","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Festival d'Estiu de Barcelona (Grec) | Teatre Grec (Barcelona) | Espectacles | Festival d'Estiu de Barcelona (Grec) | Teatre Grec (Barcelona) | Amusements | Festival d'Estiu de Barcelona (Grec) | Teatre Grec (Barcelona) | Espectáculos","Cultura i oci","informes d'avaluació i de seguiment | informes altres","","Estudi de Valoració del festival Grec 2015","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report",""
"","","Districte 2. Eixample | Modelo Ingeniería acústica y audiovisual, S.C.P. | Lacal Alonso, Diego","","","Barcelona. Districte 2. Eixample | Antiga Esquerra de l'Eixample (Barcelona : Barri) | Nova Esquerra de l'Eixample (Barcelona : Barri) | Sagrada Família (Barcelona : Barri) | Sant Antoni (Barcelona : Barri) | Universitat, Plaça (Barcelona) | Barcelona. District 2. Eixample | Antiga Esquerra de l'Eixample (Barcelona : Neighborhood) | Nova Esquerra de l'Eixample (Barcelona : Neighborhood) | Sagrada Família (Barcelona : Neighborhood) | Sant Antoni (Barcelona : Neighborhood) | Universitat, Square (Barcelona) | Barcelona. Distrito 2. Eixample | Antiga Esquerra de l'Eixample (Barcelona : Barrio) | Nova Esquerra de l'Eixample (Barcelona : Barrio) | Sagrada Família (Barcelona : Barrio) | Sant Antoni (Barcelona : Barrio) | Universitat, Plaza (Barcelona)","","","2017","2017","Sol·licitant de l’informe: Districte 2. Eixample","","","application/pdf","2 documents","application/pdf","","Núm. Exp. 17004205 | Núm. Exp. 20176006","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/109505","spa","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Modelo Ingeniería acústica y audiovisual, S.C.P.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Concerts | Contaminació acústica | Espais públics | Música | Concerts | Noise pollution | Public spaces | Music | Conciertos | Contaminación acústica | Espacios públicos | Música","Medi ambient","informes altres","","Estudio impacto acústico : conciertos Plaza Sagrada Família y conciertos Plaça Universitat","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Drets Socials | Fundación para la Acreditación y Desarrollo Asistencial (FADA)","","","Barcelona. Districte 2. Eixample | Barcelona. Distrito 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Districte 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Barcelona. District 10. Sant Martí","","","2017","2018","Sol·licitant de l'informe: Gerència de Drets Socials","","","application/pdf","50 p.","application/pdf","","Núm. exp. 20170369","","Mandat 2015-2019 | Mandat 2015-2019","http://hdl.handle.net/11703/112224","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Treball social amb les persones grans | Solitud | Noves tecnologies de la informació i de la comunicació | Internet i persones grans | Social work with older people | Solitude | Information technology | Internet and older people | Trabajo social con ancianos | Soledad | Tecnología de la información | Internet y ancianos","Societat i benestar","informes d'avaluació i de seguiment | informes altres","Projecte Vincles BCN 2014-","Informe d'avaluació de l'efecte del Programa Vincles en els seus usuaris","Disseny i desenvolupament de l'avaluació resultats prova pilot projecte vincles","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","Barcelona. Districte 3. Sants-Montjuïc | Poble Sec (Barcelona : Barri) | Olímpic, Passeig (Barcelona) | Barcelona. Distrito 3. Sants-Montjuïc | Poble Sec (Barcelona : Barrio) | Olímpic, Paseo (Barcelona) | Barcelona. District 3. Sants-Montjuïc | Poble Sec (Barcelona : Neighborhood) | Olímpic, Boulevard (Barcelona)","","","2017","2017","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","","application/pdf","17 p.","application/pdf","","Núm. Exp. P17001590","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111415","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Estadi Olímpic Lluís Companys (Barcelona) | Estrangers | Opinió pública | Estadi Olímpic Lluís Companys (Barcelona) | Foreigner | Public opinion | Estadi Olímpic Lluís Companys (Barcelona) | Extranjeros | Opinión pública","Cultura i oci","informes altres","","Focus group turistes extrangers : Estadi Olímpic : informe","Estudi utilitzant la tècnica del focus group a la porta marató de la anella olímpica","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Drets de Ciutadania, Participació i Transparència | Institut de Drets Humans de Catalunya | Garcia Chueca, Eva","","","Barcelona | Barcelona | Barcelona","","","2017-06-15","2018-01-23","Sol·licitant de l’informe: Gerència de Drets de Ciutadania, Participació i Transparència | Podeu consultar La Carta Europea de Salvaguarda dels Drets Humans a la Ciutat a: http://hdl.handle.net/11703/90886","","","application/pdf","77 p.","application/pdf","","Núm. Exp. 864/17 | Núm. Contracte 17003124","","Mandat 2015-2019","http://hdl.handle.net/11703/111963","cat","","http://hdl.handle.net/11703/90886","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Gerència de Drets de Ciutadania, Participació i Transparència | Institut de Drets Humans de Catalunya","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Drets humans | Municipis | Política pública | Human rights | Municipal corporations | Government policy | Derechos humanos | Municipios | Política gubernamental","Demografia | Sector públic | Societat i benestar","informes altres","","Balanç i perspectives de futur de la Carta Europea de Salvaguarda dels Drets Humans a la Ciutat","Informe i nota conceptual sobre conferència CESDHC","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Municipal d'Educació (Barcelona) | Institut Infància i Adolescència de Barcelona | Saurí, Enric","","Sintes Pascual, Elena","Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 10. Sant Martí | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 10. Sant Martí | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 10. Sant Martí","2016 | 2017","","2017","2017-10","És base per l'elaboració del resum executiu [http://hdl.handle.net/11703/108125] | Sol·licitant de l’informe: Institut Municipal d'Educació (Barcelona)","","","application/pdf","86 p.","application/pdf","","Núm. Exp. I160000040","consorcis | organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/106067","cat","","","","http://hdl.handle.net/11703/108125","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Institut Infància i Adolescència de Barcelona","","","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Patis escolars | Activitats extraescolars | Barris | Playgrounds | Student activities | Neighborhood | Patios escolares | Actividades extraescolares | Barrios","Educació | Societat i benestar","informes d'avaluació i de seguiment | informes altres","Programa Patis Escolars Oberts al Barri 2005- (Barcelona)","Avaluació del Programa patis escolars oberts al barri : eines per un seguiment i avaluació : informe","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Drets de Ciutadania, Participació i Transparència | Palou-Loverdos, Jordi | Associació Iridia, Centre per la Defensa dels Drets Humans","","Mata, Pedro | Institut Internacional per l'Acció Noviolenta (NOVACT) | Institut de Drets Humans de Catalunya | International Institute for Nonviolent Action | Lafede.cat-Federació d’Organitzacions per a la Justícia Global | Grup de Periodistes Ramon Barnils","Barcelona | Catalunya | Barcelona | Catalonia | Barcelona | Cataluña","2017","","2017-10","2017-12","Sol·licitant de l'informe: Gerència de Drets de Ciutadania, Participació i Transparència","","","application/pdf","57 p.","application/pdf","","Núm. Exp. 499/17 | Núm. Contracte 17001578","","Mandat 2015-2019","http://hdl.handle.net/11703/112179","spa","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona. Gerència de Drets de Ciutadania, Participació i Transparència | Associació Iridia, Centre per la Defensa dels Drets Humans","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Drets civils | Drets polítics | Referèndum | Civil rights | Political rights | Referendum | Derechos políticos y civiles | Derechos políticos | Referéndum","Legislació i justícia | Sector públic | Societat i benestar","informes altres","","Violación de derechos civiles y políticos : Cataluña, Septiembre y Octubre 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Cementiris de Barcelona, S.A. | Faura-Casas Auditors Consultors, S.L.","","","Barcelona","","","2018-02-28","2018-05-07","","","","application/pdf","17 p.","application/pdf","","Núm. exp. CM00064/2018-S","","Mandat 2015-2019","http://hdl.handle.net/11703/112183","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Serveis funeraris | Cementiris | Cementiris de Barcelona, S.A. | Undertakers and undertaking | Cementiris de Barcelona, S.A. | Servicios funerarios | Cementerios | Cemeteries | Cementiris de Barcelona, S.A.","Economia","informes altres","","Estudi viabilitat conjunta CBSA incorporada l'activitat de serveis funeraris","Estudi de la viabilitat conjunta de Cementiris de Barcelona, S.A. i la prestació de Serveis Funeraris Municipals","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 2. Eixample | Tarpuna, S.C.C.L.","","","Barcelona. Districte 2. Eixample | Sant Antoni (Barcelona : Barri) | Antiga Esquerra de l'Eixample (Barcelona : Barri) | Nova Esquerra de l'Eixample (Barcelona : Barri) | Fort Pienc (Barcelona : Barri) | Sagrada Família (Barcelona : Barri) | Barcelona. District 2. Eixample | Sant Antoni (Barcelona : Neighborhood) | Antiga Esquerra de l'Eixample (Barcelona : Neighborhood) | Nova Esquerra de l'Eixample (Barcelona : Neighborhood) | Fort Pienc (Barcelona : Neighborhood) | Sagrada Família (Barcelona : Neighborhood) | Barcelona. Distrito 2. Eixample | Sant Antoni (Barcelona : Barrio) | Antiga Esquerra de l'Eixample (Barcelona : Barrio) | Nova Esquerra de l'Eixample (Barcelona : Barrio) | Fort Pienc (Barcelona : Barrio) | Sagrada Família (Barcelona : Barrio)","2017","","2017","2017-12","Sol·licitant de l’informe: Districte 2. Eixample","","","application/pdf","36 p.","application/pdf","","Núm. Exp. 20176012 | Núm. Exp. 17006558","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/108931","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Tarpuna, S.C.C.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Compostatge | Residus orgànics | Recollida selectiva | Agricultura urbana | Compost | Organic wastes | Source separation (Recycling) | Urban agriculture | Compostaje | Residuos orgánicos | Recogida selectiva de basura | Agricultura urbana","Medi ambient","informes altres","Pla de Prevenció de Residus Municipals de Barcelona 2012-2020","Projecte de creació d’una xarxa de compostatge comunitari al barri de Sant Antoni o a un dels barris de l’Esquerra de l’Eixample, així com la implicació dels horts en aquesta xarxa de compostatge: Prospecció de les ubicacions potencials al Districte de l'Eixample : informe","Creació d'una xarxa de compostatge comunitari a l'Eixample","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Gestió Urbanística, S.A. | Gabinet d'Estudis Socials i Opinió Pública, S.L. (GESOP)","","","Barcelona. Districte 6. Gràcia | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Raval (Barcelona : Barri) | Vila de Gràcia (Barcelona : Barri) | Trinitat Nova (Barcelona : Barri) | Baró de Viver (Barcelona : Barri) | Bon Pastor (Barcelona : Barri) | Besòs i el Maresme (Barcelona : Barri) | Barcelona. Districte 1. Ciutat Vella | Barcelona. District 6. Gràcia | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Raval (Barcelona : Neighborhood) | Vila de Gràcia (Barcelona : Neighborhood) | Trinitat Nova (Barcelona : Neighborhood) | Baró de Viver (Barcelona : Neighborhood) | Bon Pastor (Barcelona : Neighborhood) | Besòs i el Maresme (Barcelona : Neighborhood) | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí | Raval (Barcelona : Barrio) | Vila de Gràcia (Barcelona : Barrio) | Trinitat Nova (Barcelona : Barrio) | Baró de Viver (Barcelona : Barrio) | Bon Pastor (Barcelona : Barrio) | Besòs i el Maresme (Barcelona : Barrio) | Barcelona. Distrito 1. Ciutat Vella","2016 | 2017","","2016-09-30","2017-04","Sol·licitant de l’informe: Barcelona Gestió Urbanística, S.A.","","","application/pdf","45 p.","application/pdf","","Núm. Exp. DIR16090009","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/108007","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Gabinet d'Estudis Socials i Opinió Pública, S.L. (GESOP)Barcelona Gestió Urbanística, S.A.","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatges | Política de l'habitatge | Censos | Dwellings | Housing policy | Census | Viviendas | Política de vivienda | Censos","Habitatge","informes altres","Pla d'Habitatge de Barcelona 2014-2020","Cens d'habitatges buits a la ciutat de Barcelona : informe de resultats","Serveis planificació, coordinació i anàlisi estudi habitatges buits a diferents barris de la ciutat de Barcelona","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona | Straddle3 Constructors, S.L.","","","Barcelona | Barcelona | Barcelona","","","2017-10-20","2017-12","","","","application/pdf","34 p.","application/pdf","","Núm. Exp. C170003639","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/112350","cat","","","","","Reproducció digital del document en suport original","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Institut de Cultura de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Música | Espais públics | Music | Public spaces | Música | Espacios públicos","Cultura i oci","informes altres | documents digitalitzats","","Estudi de viabilitat per a nous punts de música al carrer","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 2. Eixample | Innovación, Transferencia y Desarrollo (Firma)","","","Barcelona. Districte 2. Eixample | Sant Antoni (Barcelona : Barri) | Barcelona. District 2. Eixample | Sant Antoni (Barcelona : Neighborhood) | Barcelona. Distrito 2. Eixample | Sant Antoni (Barcelona : Barrio)","2017","","2017","2018-02","Sol·licitant de l’informe: Districte 2. Eixample","","","application/pdf","34 p.","application/pdf","","Núm. Exp. 20172035 | Núm. Exp. 17002963","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/108911","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | ITD Innovación, Transferencia y Desarrollo","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Participació ciutadana | Joventut | Associacions, institucions, etc. | Equipaments col·lectius | Citizen participation | Youth | Associations, institutions, etc. | Infrastructure (Economics) | Participación ciudadana | Jóvenes | Asociaciones, instituciones, etc. | Equipamientos colectivos","Societat i benestar","informes altres","","Les expectatives de participació dels i les joves de Sant Antoni","Estudi de les necessitats de la població d'entre 15 i 25 anys del barri de Sant Antoni","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | Doymo, S.A.","","","Barcelona | Barcelona | Barcelona","2017","","2017","2017-06","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","Annex: fitxes detallades de les actuacions","application/pdf","23 p.","application/pdf","","Núm. Exp. P17005579","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111692","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | Doymo, S.A.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Servei Municipal de Grues | Opinió pública | Automòbils | Motocicletes | Servei Municipal de Grues | Public opinion | Automobiles | Motorcycles | Servei Municipal de Grues | Opinión pública | Automóviles | Motocicletas","Transport","informes altres","","Informe dels resultats de l'estudi de client invisible a la Unitat de Grues de BSM","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | Doymo, S.A.","","","Güell, Parc (Barcelona) | Güell, Parque (Barcelona) | Güell, Park (Barcelona) | Barcelona. Districte 6. Gràcia | Barcelona. Distrito 6. Gràcia | Barcelona. District 6. Gràcia","2016 | 2017","","2017-04-12","2017-04-12","Sol·licitant de l'informe: Barcelona de Serveis Municipals, S.A. (BSM) | Podeu consultar ""Enquesta d'usuaris del Park Güell. 2017"" a: 	http://hdl.handle.net/11703/108309","","","application/pdf","13 p.","application/pdf","","Exp. Núm. P17003371","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/112359","cat","","http://hdl.handle.net/11703/108309","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | Doymo, S.A.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Opinió pública | Parcs | Public opinion | Parks | Opinión pública | Parques","Cultura i oci","informes altres | enquestes","","Enquestes vinculades a l'informe aforaments del Park Güell - març 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A. | Green Blue Management, S.L.P","","","Barcelona | Barcelona | Barcelona","","","2018-04","2018-10","Sol·licitant de l'informe: Barcelona Cicle de l'Aigua, S.A.","","","application/pdf","125 p.","application/pdf","","Núm. Exp. EXP17-0152","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/112398","spa","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Aigua de pluja | Medi ambient | Rain-water | Environment | Agua de lluvia | Medio ambiente","Medi ambient","informes altres","Pla Tècnic per l'Aprofitament dels Recursos Hídrics Alternatius a Barcelona 1998- | Pla del Verd i la Biodiversitat de Barcelona 2012-2020 | Pla de Mobilitat Urbana de Barcelona 2013-2018","Estudio de aprovechamiento de las aguas pluviales mediante Sistemas Urbanos de Drenaje Sostenible (SUDS) en la actualización del Plan Técnico para el Aprovechamiento de los Recursos Hídricos Alternativos de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Medi Ambient i Serveis Urbans | Panoram Consulting, S.L.","","","Barcelona | Barcelona | Barcelona","2018","","2019","2019-12","Sol·licitant de l’informe: Gerència de Medi Ambient i Serveis Urbans","","","application/pdf","39 p.","application/pdf","","Núm. Exp. 20190432","","Mandat 2019-","http://hdl.handle.net/11703/117439","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Panoram Consulting, S.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Direcció de Serveis de Drets dels Animals | Auditoria interna | Direcció de Serveis de Drets dels Animals | Internal auditing | Direcció de Serveis de Drets dels Animals | Auditoría interna","Sector públic","informes altres","","Anàlisi organitzativa i de procediments en la Direcció de Serveis de Drets dels Animals : document final","","text","info:eu-repo/semantics/report",""
