"dccontributorauthor","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","Unnamed: 44"
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia","No","1994-02-16","1994-06-04","2002-04-26","1994-06-04","Aprovat pel Plenari del Consell Municipal de 16-02-1994","Substituït pel Pla especial d'usos del districte de Gràcia [2001] [http://hdl.handle.net/11703/103400]","","","","","4 p.","","","Butlletí Oficial de la Província de Barcelona, núm.133 (04-06-1994), p. 37-40","","","http://hdl.handle.net/11703/101818","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/103400","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Comerç. Legislació i justícia","documents digitalitzats. plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Gràcia [1994]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 7. Horta-Guinardó","No","2005-06-17","2005-07-02","2015-06-09","2005-06-17","Aprovat pel Plenari del Consell Municipal de 17-06-2005","Derogat pel Pla especial d'establiments de concurrència pública i altres activitats a l'àmbit del casc antic d'Horta, del districte d'Horta-Guinardó [2015] [http://hdl.handle.net/11703/86878]","","","","","9 p.","","Exp. núm. 03PC1053","Butlletí Oficial de la Província de Barcelona (02-07-2005)","","","http://hdl.handle.net/11703/97424","cat","","","","","","","","http://hdl.handle.net/11703/86878","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Comerç. Legislació i justícia","plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats a l'àmbit del casc d'Horta del Districte d'Horta-Guinardó [2005]","Normativa del Pla especial d'establiments de concurrència pública, hoteleria i altres activitats a l'àmbit del casc d'Horta del Districte d'Horta-Guinardó [2005]","text",""
"Ajuntament de Barcelona","Barcelona. Districte 10. Sant Martí","No","2006-07-21","2006-09-08","2016-09-11","2006-09-08","Aprovat pel Plenari del Consell Municipal de 21-07-2006","Substituït pel Pla especial d'establiments de concurrència pública i dels comerços alimentaris amb degustació al districte de Sant Martí [2016] [http://hdl.handle.net/11703/98144]","Substitueix el Pla especial d'establiments de concurrència pública al Districte de Sant Martí [2002] [http://hdl.handle.net/11703/102151]","","","application/pdf","6 p.","6177","","Butlletí Oficial de la Província de Barcelona, núm. 215 (08-09-2006), p. 24-29","","","http://hdl.handle.net/11703/89282","cat","","","","","","","","http://hdl.handle.net/11703/98144","","","http://hdl.handle.net/11703/89250","http://hdl.handle.net/11703/102151","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres serveis del Districte de Sant Martí [2006]","","text",""
"Ajuntament de Barcelona","Barcelona","No","2011-02-25","2011-03-23","2015-05-07","2011-03-23","Aprovat pel Plenari del Consell Municipal de 25-02-2011","Art. 17.1, 21.1, 24.1 i 2, 28.1, 29, 30.1 i 32 anul·lats per la Sentència aprovada pel Tribunal Superior de Justícia de Catalunya [2014] [http://hdl.handle.net/11703/91555]. Derogat pel Pla especial d'equipament comercial alimentari de Barcelona (PECAB) [2015] [http://hdl.handle.net/11703/86879]","Deroga el Pla especial d'equipament comercial alimentari de Barcelona (PECAB) [1999] [http://hdl.handle.net/11703/91553]","","Pla. Correcció d'errades","application/pdf","12 p.","8562. 8561","","Butlletí Oficial de la Província de Barcelona (23-03-2011). Correccions d'errades: Butlletí Oficial de la Província de Barcelona (28-11-2011)","","","http://hdl.handle.net/11703/91554","cat","","","","","","","","http://hdl.handle.net/11703/86879","","","","http://hdl.handle.net/11703/91553","http://hdl.handle.net/11703/91555","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments comercials. Alimentació. Restaurants","Legislació i justícia. Comerç","plans especials","Pla especial de l'equipament comercial alimentari de Barcelona (PECAB) [2011]","PECAB","text",""
"Comissió d'Urbanisme de Barcelona","Barcelona. Districte 4. Les Corts","No","1993-05-19","1994-03-08","2015-02-25","1994-03-09","Aprovat definitivament per la Comissió d'Urbanisme de Barcelona de 19-05-1993","Substituït pel Pla especial d'establiments de concurrència pública del Districte de Les Corts [2015] [http://hdl.handle.net/11703/86877]","","Digitalitzat pel SEDAC","","application/pdf","3 p.","6186","","Butlletí Oficial de la Província de Barcelona, núm. 57 (08-03-1994), p. 57-59. L'aprovació definitiva es va publicar al Diari Oficial de la Generalitat de Catalunya, núm. 1780, (06-08-1993)","","","http://hdl.handle.net/11703/91550","cat","","","","http://hdl.handle.net/11703/97412","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/86877","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria","Legislació i justícia. Comerç","plans especials. documents digitalitzats","Pla especial d'establiments de concurrència pública del Districte de Les Corts [1993]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 10. Sant Martí","No","2002-11-22","2002-12-17","2006-09-07","2002-12-18","Aprovat pel Plenari del Consell Municipal de 22-11-2002","Substituït pel Pla especial d'establiments de concurrència pública, hoteleria i altres serveis del Districte de Sant Martí [2006] [http://hdl.handle.net/11703/89282]","","","","application/pdf","6 p.","","","Butlletí Oficial de la Província de Barcelona, núm. 301 (17-02-2002), p. 7-12","","","http://hdl.handle.net/11703/102151","cat","","","","","","","","http://hdl.handle.net/11703/89282","","","http://hdl.handle.net/11703/89250","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials. Hoteleria","Comerç. Legislació i justícia","plans especials","Pla especial d'establiments de concurrència pública al Districte de Sant Martí [2002]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","No","2005-06-17","2005-07-02","2010-09-29","2005-07-02","Aprovat pel Plenari del Consell Municipal de 17-06-2005","Substituït pel Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2010] [http://hdl.handle.net/11703/91548]","Substitueix el Pla especial d'establiments de concurrència pública, hoteleria i altres activitats de Ciutat Vella [2000] [http://hdl.handle.net/11703/91545]","","","application/pdf","8 p.","6176","","Butlletí Oficial de la Província de Barcelona, núm. 157 (02-07-2005) , p. 25-32","","","http://hdl.handle.net/11703/91546","cat","","","","","http://hdl.handle.net/11703/91547","","","http://hdl.handle.net/11703/91548","","","","http://hdl.handle.net/11703/91545","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2005]","","text",""
"Comissió d'Urbanisme de Barcelona","Barcelona. Districte 5. Sarrià-Sant Gervasi","No","1993-09-22","1994-01-11","2007-01-26","1994-01-11","Aprovat per la Comissió d'Urbanisme de Barcelona de 22-09-1993","Substituït pel Pla especial d'establiments de concurrència pública i altres activitats del Districte de Sarrià-Sant Gervasi [2006] [http://hdl.handle.net/11703/89281]","","Digitalitzat pel SEDAC","","application/pdf","7 p.","8537","","Butlletí Oficial de la Província de Barcelona, núm. 9 (11-01-1994), p. 30-36","","","http://hdl.handle.net/11703/91551","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/89281","","","","","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials. documents digitalitzats","Pla especial d'establiments de concurrència pública i altres activitats del Districte de Sarrià-Sant Gervasi [1993]","Pla especial d'ordenació d'establiments de concurrència pública del Districte de Sarrià-Sant Gervasi","text",""
"Comissió d'Urbanisme de Barcelona","Barcelona. Districte 4. Les Corts","No","1993-05-19","1993-08-06","2015-02-25","1993-05-19","Aprovat definitivament per la Comissió d'Urbanisme de Barcelona de 19-05-1993","","","","","","2 p.","","Exp. 648/93","Diari Oficial de la Generalitat de Catalunya, núm. 1780, (06-08-1993)","","","http://hdl.handle.net/11703/97412","cat","","","","","http://hdl.handle.net/11703/91550","","","http://hdl.handle.net/11703/86877","","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Comerç. Legislació i justícia","plans especials. documents digitalitzats","Pla especial dels establiments de concurrència pública del Districte de Les Corts [1993]","","text",""
"Comissió d'Urbanisme de Barcelona","Barcelona. Districte 1. Ciutat Vella","No","1992-04-14","1992-10-30","2000-12-14","1992-10-30","Aprovat per la Comissió d'Urbanisme de 14-04-1992","Modificat per la Comissió d'Urbanisme de 21-05-1997 [http://hdl.handle.net/11703/91544]. Substituït pel Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2000] [http://hdl.handle.net/11703/91545]","","Digitalitzat pel SEDAC","","application/pdf","5 p.","9076","","Butlletí Oficial de la Província de Barcelona, núm. 261 (30-10-1992), p. 30-34. Publicada l'aprovació definitiva al Diari Oficial de la Generalitat de Catalunya de 08-05-1992","","","http://hdl.handle.net/11703/91543","cat","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/91545","","","","","http://hdl.handle.net/11703/91544","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials. documents digitalitzats","Pla especial de regulació dels establiments de concurrència pública i hoteleria del Districte de Ciutat Vella [1992]","","text",""
