"ANY","CONCEPTE","CODI_OPERACIÓ","TIPUS_OPERACIÓ","CODI_CAPÍTOL","NOM_CAPÍTOL","AJUNTAMENT_INDIVIDUAL","AGREGAT_NO_CONSOLIDAT","ELIMINACIÓ_ TRANSFERENCIES_INTERNES","TOTAL_CONSOLIDAT"
2010,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",41197,41675,0,41675
2010,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",837800,960720,-462277,498443
2010,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",573224,641637,-25729,615908
2010,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",22624,35108,-19555,15553
2010,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",8000,15584,0,15584
2010,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",101220,103871,0,103871
2011,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",806836,806836,0,806836
2011,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",54012,54012,0,54012
2011,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",288928,356602,-296,356306
2011,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",953253,1410452,-411074,999378
2011,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",69744,76374,0,76374
2011,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",18525,21366,-2841,18525
2011,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",41040,71191,-15538,55653
2011,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,55,0,55
2011,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",1232,1232,0,1232
2011,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",350701,572819,0,572819
2011,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",524299,749089,-931,748158
2011,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",40823,40901,0,40901
2011,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",838654,904388,-410439,493949
2011,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",346031,373561,-7055,366506
2011,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",22831,34159,-11324,22835
2011,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",9000,21540,0,21540
2011,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",101232,101665,0,101665
2012,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",828920,828920,0,828920
2012,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",51599,51599,0,51599
2012,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",270477,398575,-404,398172
2012,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",904341,1423123,-494070,929052
2012,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",38713,65278,-2038,63240
2012,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",12204,60516,0,60516
2012,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",23395,54455,-11135,43321
2012,"INGRESSOS","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",0,11916,0,11916
2012,"INGRESSOS","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",166232,192901,0,192901
2012,"DESPESES","A","OPERACIONS CORRENTS",1,"DESPESES DE PERSONAL",350617,617018,0,617018
2012,"DESPESES","A","OPERACIONS CORRENTS",2,"DESP. BÉNS CORRENTS I SERVEIS",548892,844222,-404,843818
2012,"DESPESES","A","OPERACIONS CORRENTS",3,"DESPESES FINANCERES",46109,58065,0,58065
2012,"DESPESES","A","OPERACIONS CORRENTS",4,"TRANSFÈRENCIES CORRENTS",889178,962334,-496108,466225
2012,"DESPESES","B","OPERACIONS DE CAPITAL",6,"INVERSIONS REALS",333118,424855,0,424855
2012,"DESPESES","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",28736,39871,-11135,28736
2012,"DESPESES","C","OPERACIONS FINANCERES",8,"ACTIUS FINANCERS",8000,11902,0,11902
2012,"DESPESES","C","OPERACIONS FINANCERES",9,"PASSIUS FINANCERS",91232,129018,0,129018
2014,"INGRESSOS","A","OPERACIONS CORRENTS",1,"IMPOSTOS DIRECTES",879467,879467,0,879467
2014,"INGRESSOS","A","OPERACIONS CORRENTS",2,"IMPOSTOS INDIRECTES",49163,49163,0,49163
2014,"INGRESSOS","A","OPERACIONS CORRENTS",3,"TAXES I ALTRES INGRESSOS",269303,344593,-557,344036
2014,"INGRESSOS","A","OPERACIONS CORRENTS",4,"TRANSFERÈNCIES CORRENTS",1084174,1585334,-476406,1108928
2014,"INGRESSOS","A","OPERACIONS CORRENTS",5,"INGRESSOS PATRIMONIALS",31113,36964,0,36964
2014,"INGRESSOS","B","OPERACIONS DE CAPITAL",6,"VENDA D´INVERSIONS REALS",7522,7522,0,7522
2014,"INGRESSOS","B","OPERACIONS DE CAPITAL",7,"TRANSFERÈNCIES DE CAPITAL",15957,28233,-8693,19540
