"Codi_tipologia_operacions","Tipologia_operacions","Codi_capitol","Nom_capitol","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"A","Operacions Corrents ",1,"Despeses de personal",244.7,248.2,248.8,256.0,260.9,272.1,271.1,294.0,301.6,319.4,336.4,366.1,344.1,341.5,329.2,346.6,344.3,357.3,399.7,374.7,395.9,415.4
"A","Operacions Corrents ",2,"Despeses en béns i serveis corrents",234.2,251.5,252.5,266.2,294.3,323.7,347.5,379.6,405.0,444.9,485.0,527.2,527.5,523.3,528.2,533.9,545.8,576.0,570.8,607.5,574.6,571.6
"A","Operacions Corrents ",3,"Despeses financeres (interessos)",133.3,123.4,113.3,120.3,77.8,66.8,59.8,42.1,35.4,35.5,28.5,26.2,21.0,33.9,32.4,33.3,29.7,23.4,18.5,17.6,11.9,18.1
"A","Operacions Corrents ",4,"Transferències corrents",345.2,342.2,350.9,406.7,447.9,489.5,520.7,580.0,642.9,708.9,780.4,814.1,880.8,891.3,918.2,924.5,965.7,1071.4,1104.5,1102.6,1194.1,1228.7
"A","Operacions Corrents ",5,"Fons de contingència",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"B","Operacions de Capital",6,"Inversions reals",98.4,109.5,77.9,94.8,125.4,94.8,52.2,95.9,151.0,199.9,180.3,463.7,293.5,179.7,394.4,311.7,454.8,396.8,370.6,355.0,345.4,330.0
"B","Operacions de Capital",7,"Transferències de capital",266.9,252.5,194.8,273.9,564.0,549.5,425.2,361.7,384.9,379.2,426.7,407.4,440.0,351.6,32.3,22.4,158.4,52.1,64.6,67.6,67.4,17.5
"C","Operacions Financeres",8,"Actius financers",0.8,1.8,6.2,5.7,1.2,15.5,5.5,0.2,0.0,8.3,10.0,8.0,8.0,21.3,10.9,7.8,17.4,16.3,16.6,19.5,22.2,22.9
