"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Hort Urbà de Sarrià-Sant Gervasi (Barcelona) | Sant Gervasi-la Bonanova (Barcelona : Barri) | Iradier, Carrer (Barcelona)","2018 | 2019 | 2020 | 2021","","2018-06-14","2018-07-13","2021-07","2018-07","Aprovat per la Comissió de Govern de 14-06-2018","","","","","application/pdf","3 documents","application/pdf","","","Gaseta Municipal de Barcelona (13-07-2018) | Butlletí Oficial de la Província de Barcelona (27-06-2018)","districtes","","http://hdl.handle.net/11703/110290","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Horts | Agricultura urbana","Medi ambient | Urbanisme i infraestructures","protocols","","Protocol d'ús dels horts del carrer Iradier al Districte de Sarrià-Sant Gervasi","","text","info:eu-repo/semantics/other",""
"Ministerio de Cultura | Consorci del Museu d'Art Contemporani de Barcelona","","Barcelona | Barcelona | Barcelona","","","2007-06-18","2007","","","Aprovat per la Ministra de Cultura i el President del Consorci el 18-06-2007","","","","","application/pdf","3 p.","application/pdf","","","","consorcis","","http://hdl.handle.net/11703/106717","cat | spa","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ministerio de Cultura | Consorci del Museu d'Art Contemporani de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Museu d'Art Contemporani de Barcelona | Ministerio de Cultura | Finançament | Consorci del Museu d'Art Contemporani de Barcelona | Ministerio de Cultura | Funding | Consorci del Museu d'Art Contemporani de Barcelona | Ministerio de Cultura | Financiación","Cultura i oci","protocols | documents digitalitzats","","Protocol general entre el Ministeri de Cultura i el Consorci Museu d'Art Contemporani de Barcelona per a la incorporació del Ministeri de Cultura al Consorci Museu d'Art Contemporani de Barcelona [versió en català i castellà]","Protocolo general entre el Ministerio de Cultura y el Consorci Museu d'Art Contemporani de Barcelona para la incorporación del Ministerio de Cultura en el Consorci Museu d'Art Contemporani de Barcelona [versió en català i castellà]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2018","2018","","","Fa referència al Decret de l'Alcaldia de Contractació pública sostenible de l'Ajuntament de Barcelona [2017] [http://hdl.handle.net/11703/101966]","","","","","application/pdf","12 p.","application/pdf","","","","","","http://hdl.handle.net/11703/115735","cat","","","","","","","","","http://hdl.handle.net/11703/101966 | Llei estatal 5/2011. Economia social","","","Tots els drets reservats","info:eu-repo/semantics/embargoAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","Ajuntament de Barcelona | Barcelona Activa, S.A.","","Contractes administratius | Public contracts | Contratos administrativos | Adjudicació de contractes | Letting of contracts | Adjudicación administrativa | Economia social | Social economy | Economía social | Empreses | Business enterprises | Empresas","Sector públic | Societat i benestar","protocols","","Protocol per a l'aplicació de la clàusula social 3.1 : subcontractació amb empreses d'economia social","","text","info:eu-repo/semantics/other",""
"Regidoria de Feminismes i LGTBI | Macaya-Andrés, Laura | Saliente Andrés, Anna | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2018-05","2018-05","","","Podeu consultar la versió en castellà a:  http://hdl.handle.net/11703/108612 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/109241 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/109242 | Podeu consultar el cartell de la campanya a: http://hdl.handle.net/11703/117121","","","Annex 1. Materials del protocol a la sala | Annex 2. Díptic per a la persona agredida en casos greus","","application/pdf","29 p.","application/pdf","","","","","","http://hdl.handle.net/11703/108611","cat","","http://hdl.handle.net/11703/108612 | http://hdl.handle.net/11703/109241 | http://hdl.handle.net/11703/109242 | http://hdl.handle.net/11703/117121","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vida nocturna | Discoteques | Bars | Sales de concerts | Festivals de música | Assetjament sexual | Delictes sexuals | Nightlife | Nightclubs | Bars (Drinking establishments) | Concert halls | Music festivals | Sexual harassment | Sex crimes | Vida nocturna | Discotecas | Bares | Salas de conciertos | Festivales musicales | Acoso sexual | Delitos sexuales","Cultura i oci | Societat i benestar","protocols","","Protocol ""No Callem"" contra les agressions i els assetjaments sexuals en espais d'oci nocturn privat","","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia","Barberà, Xavier | Martín, Mari Cruz","Barcelona | Barcelona | Barcelona","","","2011","2011","","","","","","","Drets revisats. No s'ha parlat amb els responsables de les il·lustracions i fotografies, per tant s'ha establert CC-BY [només pel text] ; Tots els drets reservats [per les fotografies].","application/pdf","45 p.","application/pdf","8236","","","districtes","","http://hdl.handle.net/11703/90785","cat","Ajuntament de Barcelona. Districte de Gràcia","","","","","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","info:eu-repo/semantics/openAccess","","De l'edició: Ajuntament de Barcelona | Dels textos: els seus autors | De les fotografies: els seus autors","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes | Festivals | Fiestas","Cultura i oci","monografies | protocols","","Protocol festiu de la Vila de Gracia","","text","info:eu-repo/semantics/book",""
"Gerència Municipal","","Barcelona | Barcelona | Barcelona","","","2016-05-27","2016","","","Aprovat per la Gerència Municipal de 27-05-2016","","","","","application/pdf","1 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106714","cat","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contractes de treball | Contractes administratius | Labor contract | Public contracts | Contratos de trabajo | Contratos administrativos","Sector públic","protocols | documents digitalitzats","","Protocol que aprova la vinculació dels perfils de contractant de l'Ajuntament de Barcelona en la Plataforma de Serveis de contractació pública de la Generalitat de Catalunya","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","Fa referència al Decret de l'Alcaldia de Contractació pública sostenible de l'Ajuntament de Barcelona [2017] [http://hdl.handle.net/11703/101966]","","","","","application/pdf","14 p.","application/pdf","","","","","","http://hdl.handle.net/11703/115738","cat","","","","","","","","","http://hdl.handle.net/11703/101966","","","Tots els drets reservats","info:eu-repo/semantics/embargoAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","Ajuntament de Barcelona","","Contractes administratius | Public contracts | Contratos administrativos | Aturats | Unemployed | Parados | Marginació social | Social marginality | Marginación social | Adjudicació de contractes | Letting of contracts | Adjudicación administrativa","Sector públic | Societat i benestar","protocols","","Protocol per a l'aplicació de la clàusula social 3.5 : contractació de persones en situació d'atur amb dificultats especials d'inserció laboral o d'exclusió social","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Generalitat de Catalunya | Ministerio de Indústria, Turismo y Comercio | Fira Internacional de Barcelona | Cambra Oficial de Comerç, Indústria i Navegació de Barcelona | Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","","","2011-06-15","2011","","","Aprovat pel Ministre d'Indústria, Turisme i Comerç , el Conseller d'Empresa i Ocupació de la Generalitat de Catalunya i l'Alcalde de Barcelona el 15-06-2011 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/106702 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/106704","","","","","application/pdf","3 p.","application/pdf","","","","fundacions","","http://hdl.handle.net/11703/106705","spa","","http://hdl.handle.net/11703/106702 | http://hdl.handle.net/11703/106704","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Generalitat de Catalunya | Ajuntament de Barcelona | Ministerio de Indústria, Turismo y Comercio","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Mobile World Capital Foundation | Inversions | Fundació Barcelona Mobile World Capital Foundation | Investments | Fundació Barcelona Mobile World Capital Foundation | Inversiones","Economia","protocols | documents digitalitzats","","Protocolo de apoyo a la candidatura de Barcelona a Mobile World Capital","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Direcció d'Atenció al Ciutadà | Alcaldia","","Barcelona | Barcelona | Barcelona","","No","2007-11-30","2007-12-10","2017-06-15","","Aprovat per Decret de l'Alcaldia de 30-12-2007","Derogat per Decret de l'Alcaldia de 15-06-2017","","","","application/pdf","2 documents","application/pdf","","Ref. 5325 | S1/D/2017-2018","Derogació : Gaseta Municipal de Barcelona (11-07-2017) | Gaseta Municipal de Barcelona, núm. 32 (10-12-2007), p. 1994","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/104940","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Campanyes publicitàries | Comunicació | Advertising | Communication | Publicidad | Comunicación","Sector públic","protocols","","Procediment per la planificació i aprovació d’un calendari anual de les campanyes que impliquin l’atenció als ciutadans","Procediment per la planificació i aprovació d’un calendari anual de les campanyes que impliquin l’atenció als ciutadans i la presentació de sol·licituds i/o reclamacions a les Oficines d’Atenció al Ciutadà dels Districtes","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","","2016","","2016-05-05","2016-09-10","","","Aprovat pel Plenari del Consell Municipal de 05-05-2016","","Modifica les bases 28 i 40 de les Bases d'execució del Pressupost General de l'Ajuntament prorrogat 2015 per a l'exercici 2016: modificació [2016-05-05] [http://hdl.handle.net/11703/97262]","","","application/pdf","3 p.","application/pdf","","","Publicat també a la Gaseta Municipal de Barcelona, núm. 23 (10-09-2016), p. 4957-4964 | Butlletí Oficial de la Província de Barcelona (19-09-2016)","","","http://hdl.handle.net/11703/98125","cat","","","","","","","","http://hdl.handle.net/11703/97262","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Adjudicació de contractes | Contractes administratius | Pressupostos municipals | Letting of contracts | Public contracts | Municipal budgets | Adjudicación administrativa | Contratos administrativos | Presupuestos municipales","Sector públic | Economia","","","Protocol d'aplicació de les regulacions en matèria de contractació contingudes en la Base 28ena d'execució del pressupost 2016","","text","info:eu-repo/semantics/other",""
