"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"Àrea de Drets Socials, Justícia Global, Feminismes i LGTBI","","Barcelona | Barcelona | Barcelona","2020","","2020-01-23","2020-02-05","","","Aprovat per la Comissió de Govern de 23-01-2020","","","","","application/pdf","25 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (05-02-2020)","","","http://hdl.handle.net/11703/117203","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vacances | Casals de joves | Casals de vacances | Colònies de vacances | Lleure | Vacations | Youth centers | Camps | Leisure | Vacaciones | Centros juveniles | Campamentos | Colonias de vacaciones | Tiempo libre","Cultura i oci","protocols","","Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2020 : protocol","","text","info:eu-repo/semantics/other",""
"Gerència de Presidència i Economia | Direcció de Programa de Consorcis i Fundacions","","Barcelona | Barcelona | Barcelona","","","2013-07","2013","","","Es basa en el Protocol d'actuació per a la tramitació de les propostes de creació, adhesió i modificació d'estatuts de consorcis, fundacions i associacions per part de l'Ajuntament de Barcelona i els seus ens dependents [http://hdl.handle.net/11703/106710]","","","","","application/pdf","12 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106709","cat","","","","http://hdl.handle.net/11703/106710","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorcis | Fundacions | Associacions, institucions, etc. | Estatuts de societats | Endowments | Endowments | Associations, institutions, etc. | By-laws | Consorcios | Fundaciones | Asociaciones, instituciones, etc. | Estatutos de sociedades","Sector públic","protocols","","Protocol d’actuació per la creació, adhesió i modificació d’estatuts de consorcis, fundacions i associacions [versió presentació]","","text","info:eu-repo/semantics/other",""
"Parcs i Jardins de Barcelona, Institut Municipal | Departament de Protecció del Verd | Àrea de Planejament i Gestió del Verd","","Barcelona | Barcelona | Barcelona","","","2007-01","2007","","","","","","","","application/pdf","24 p.","application/pdf","4038","","","entitats públiques empresarials","","http://hdl.handle.net/11703/91565","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbres en les ciutats | Monuments naturals | Trees in cities | Natural monuments | Árboles en las ciudades | Monumentos naturales","Medi ambient","protocols","","Protocol de catalogació dels arbres d'interès local de la ciutat de Barcelona","","text","info:eu-repo/semantics/other",""
"Institut Català de les Dones | Consorci Sanitari de Barcelona | Universitat de Barcelona. Grup d'Estudis Avançats en Violència de la Dona | Direcció del Programa de Dona | Ajuntament de Barcelona | Circuit Barcelona contra la violència vers les dones | Álvarez Freijo, Marta | Andrés Pueyo, Antonio | Augè Gomà, Mònica | Choy Vilana, Anna | Fernández Velasco, Rocío | Fernández Rodríguez, Carme | Foulon, Hubert | López Ferré, Sandra | Martínez-Izquierdo, M. Teresa | Martínez Bueno, Cristina","","Barcelona | Barcelona | Barcelona","","","2011-12-15","2011","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/91572 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/91574","","","","","application/pdf","82 p.","application/pdf","10964","","","","","http://hdl.handle.net/11703/91573","spa","","http://hdl.handle.net/11703/91574 | http://hdl.handle.net/11703/91572","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Dones maltractades | Violència envers les dones | Abused women | Violence against women | Mujeres maltratadas | Violencia contra las mujeres","Societat i benestar | Seguretat","protocols","","RVD-BCN : protocolo de valoración del riesgo de violencia contra la mujer por parte de su pareja o ex pareja","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2014-01-14","2014","","","Aprovat per Decret de l'Alcaldia de 14-01-2014 | És base pel Protocol d’actuació per la creació, adhesió i modificació d’estatuts de consorcis, fundacions i associacions [versió presentació] [http://hdl.handle.net/11703/106709] | Podeu consultar el decret d'aprovació a: http://hdl.handle.net/11703/107603","","","","","application/pdf","6 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106710","cat","","http://hdl.handle.net/11703/107603","","","http://hdl.handle.net/11703/106709","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorcis | Fundacions | Associacions, institucions, etc. | Estatuts de societats | Endowments | Endowments | Associations, institutions, etc. | By-laws | Consorcios | Fundaciones | Asociaciones, instituciones, etc. | Estatutos de sociedades","Sector públic","protocols | documents digitalitzats","","Protocol d'actuació per a la tramitació de les propostes de creació, adhesió i modificació d'estatuts de consorcis, fundacions i associacions per part de l'Ajuntament de Barcelona i els seus ens dependents","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Generalitat de Catalunya | Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2009 | 2010","","2009-05-04","2009","","","Aprovat pel Conseller de Cultura i Mitjans de Comunicació de la Generalitat de Catalunya i l'Alcalde de Barcelona el 04-05-2009","","","","","application/pdf","7 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106703","cat","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Generalitat de Catalunya | Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Museus | Cultura | Patrimoni cultural | Museums | Culture | Cultural heritage | Museos | Cultura | Patrimonio cultural","Cultura i oci","protocols | documents digitalitzats","Pla d’Actuació Municipal de Cultura 2008-2011 (Barcelona)","Protocol de col·laboració entre la Generalitat de Catalunya i l'Ajuntament de Barcelona per la posada en marxa d'equipaments museístics i culturals a la capital de Catalunya","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Gerència de Seguretat i Prevenció","","Barcelona | Barcelona | Barcelona","","","2017-12-22","2018-01-25","","","Aprovació inicial per la Comissió de Presidència, Drets de Ciutadania, Participació i Seguretat i Prevenció de 20-09-2017 | Aprovació definitiva pel Plenari del Consell Municipal de 22-12-2017 | Substitueix el Protocol d'actuació davant alts nivells de contaminació atmosfèrica [http://hdl.handle.net/11703/101489]","","","","","application/pdf","3 documents","application/pdf","","Núm. Exp. 167/2017","Butlletí Oficial de la Província de Barcelona (25-01-2018) | Gaseta Municipal de Barcelona (24-01-2018)","","","http://hdl.handle.net/11703/107779","cat","","","","","","","","","","http://hdl.handle.net/11703/101489","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Contaminació atmosfèrica | Qualitat de l'aire | Política ambiental | Atmospheric pollution | Air quality | Environmental policy | Contaminación atmosférica | Calidad del aire | Política ambiental","Medi ambient | Sector públic","protocols","Pla per a la Millora de la Qualitat de l'Aire 2015-2018 (Barcelona)","Protocol d'actuació per alts nivells de contaminació atmosfèrica a la ciutat de Barcelona","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2015 | 2016 | 2017 | 2018","","2014-12-17","2015-01-09","","","Aprovat per la Comissió de Govern de 17-12-2015","Modificat per la Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2016 : protocol [http://hdl.handle.net/11703/97173] | Modificat per la Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2017 : protocol  [http://hdl.handle.net/11703/99555]","","Conté relació de les entitats organitzadores adherides al protocol de la campanya d'activitats de vacances d'estiu 2015 per a infants i adolescents, publicada al Butlletí Oficial de la Província de Barcelona (22-04-2015)","","application/pdf","","application/pdf","17491","","Butlletí Oficial de la Província de Barcelona (09-01-2015)","","","http://hdl.handle.net/11703/91596","cat","","","","","","","","","","","http://hdl.handle.net/11703/97173 | http://hdl.handle.net/11703/99555","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vacances | Casals de joves | Casals de vacances | Colònies de vacances | Lleure | Vacations | Youth centers | Camps | Camps | Leisure | Vacaciones | Centros juveniles | Campamentos | Colonias de vacaciones | Tiempo libre","Cultura i oci","protocols","","Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2015-2018 : protocol","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Consorci de la Zona Franca de Barcelona","","Barcelona. Districte 9. Sant Andreu | Gran de Sant Andreu, Carrer (Barcelona) | Palomar, Carrer (Barcelona) | Coronel Monasterio, Carrer (Barcelona) | Santa Coloma, Passeig (Barcelona) | Barcelona. District 9. Sant Andreu | Gran de Sant Andreu, Street (Barcelona) | Palomar, Street (Barcelona) | Coronel Monasterio, Street (Barcelona) | Santa Coloma, Street (Barcelona) | Barcelona. Distrito 9. Sant Andreu | Gran de Sant Andreu, Calle (Barcelona) | Palomar, Calle (Barcelona) | Coronel Monasterio, Calle (Barcelona) | Santa Coloma, Calle (Barcelona)","2018 | 2019","","2018-07-27","2018-10-24","","2018-07-28","","","","","","application/pdf","7 p.","application/pdf","","","Gaseta Municipal de Barcelona (24-10-2018)","","","http://hdl.handle.net/11703/111284","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge públic | Public housing | Viviendas de protección oficial","Habitatge","protocols","","Protocol d'intencions per al desenvolupament de les determinacions de la Modificació del Pla General Metropolità a les Casernes de Sant Andreu relatives al PAU 2 i al Sector de Millora Urbana","","text","info:eu-repo/semantics/other",""
"Departament de Vialitat | Àrea de Medi Ambient | Direcció d'Inversions i Espai Vial","","Barcelona | Barcelona | Barcelona","","","","2008-10","","","","","","Protocol de Recepció - Reglament d'Explotació - Servei de Manteniment","","application/pdf","8 p.","application/pdf","4049","Ref.: VEA.0096-08/v1 | Ref. VEA.0096-8/v1","","","","http://hdl.handle.net/11703/91563","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Escales mecàniques | Obres públiques | Escalators | Public works | Escaleras mecánicas | Obras públicas","Urbanisme i infraestructures","protocols","","Condicions per a posar en funcionament escales mecàniques [versió 1]","","text","info:eu-repo/semantics/other",""
"Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","2016 | 2017","","2016-04-08","2016","","","","","","","","application/pdf","6 p.","application/pdf","","","","","","http://hdl.handle.net/11703/97413","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Escoles bressol | Família i escola | Kindergarten | Home-school relationships | Guarderías | Relaciones familia-escuela","Educació","protocols","","Les escoles bressol municipals : preinscripció curs 2016-2017","","text","info:eu-repo/semantics/other",""
"Comissió Paritària per a la Dignitat i la No-discriminació en el Treball","","","","","","2013-12","","","","","","","","application/pdf","42 p.","application/pdf","13888","","","","","http://hdl.handle.net/11703/91591","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discriminació en el treball | Funcionaris i empleats municipals | Discrimination in employment | Municipal officials and employees | Discriminación en el trabajo | Funcionarios locales","Ocupació","protocols","","Protocol per a la prevenció, detecció i actuació amb relació als casos que afectin la dignitat i la discriminació en el treball","","text","info:eu-repo/semantics/other",""
"Institut Català de les Dones | Consorci Sanitari de Barcelona | Universitat de Barcelona. Grup d'Estudis Avançats en Violència de la Dona | Direcció del Programa de Dona | Ajuntament de Barcelona | Circuit Barcelona contra la violència vers les dones | Álvarez Freijo, Marta | Andrés Pueyo, Antonio | Augè Gomà, Mònica | Choy Vilana, Anna | Fernández Velasco, Rocío | Fernández Rodríguez, Carme | Foulon, Hubert | López Ferré, Sandra | Martínez-Izquierdo, M. Teresa | Martínez Bueno, Cristina","","Barcelona | Barcelona | Barcelona","","","2011-12-15","2011","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/91572 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/91573","","","","","application/pdf","82 p.","application/pdf","10962","","","","","http://hdl.handle.net/11703/91574","eng","","http://hdl.handle.net/11703/91572 | http://hdl.handle.net/11703/91573","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Dones maltractades | Violència envers les dones | Abused women | Violence against women | Mujeres maltratadas | Violencia contra las mujeres","Societat i benestar | Sector públic | Seguretat","protocols","","The RVD-BCN risk assessment guide for violence against women perpetrated by their partner of former partner","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2017-03-02","2017-03-22","","","Aprovat per la Comissió de Govern de 02-03-2017 | Substituït pel Protocol d'actuació per alts nivells de contaminació atmosfèrica a la ciutat de Barcelona [http://hdl.handle.net/11703/107779]","","","","","application/pdf","8 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (22-03-2017), p. 1-8 | Publicat també a la Gaseta Municipal de Barcelona, núm. 9 (20-03-2017), p. 2067-2071 | Correccions d'errades i text íntegre publicats a la Gaseta Municipal de Barcelona, núm 10 (30-03-2017), p. 2418-2426","","","http://hdl.handle.net/11703/101489","cat","","","","","","","http://hdl.handle.net/11703/107779","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Contaminació atmosfèrica | Qualitat de l'aire | Política ambiental | Atmospheric pollution | Air quality | Environmental policy | Contaminación atmosférica | Calidad del aire | Política ambiental","Medi ambient","protocols","","Protocol d'actuació davant alts nivells de contaminació atmosfèrica","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos Humans i Organització | Regidoria de Feminismes i LGTBI | Comissió Tècnica del Pla d'Igualtat","","Barcelona | Barcelona | Barcelona","","","2019-01-21","2019","","","Aprovat per la Mesa General de 21-01-2019","","","","","application/pdf","58 p.","application/pdf","","","","","","http://hdl.handle.net/11703/113599","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Assetjament sexual | Acoso sexual | Sexual harassment | Igualtat entre els sexes | Igualdad de género | Gender equality","Sector públic","protocols","","Protocol per a la prevenció, la detecció, l'actuació i la resolució de situacions d'assetjament per raó d'orientació sexual, de la identitat de gènere i d'expressió de gènere","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos Humans i Organització | Regidoria de Feminismes i LGTBI | Comissió Tècnica del Pla d'Igualtat | Àrea de Drets de Ciutadania, Participació i Transparència","","","","","2017-03-23","2017","","","Aprovat per la Comissió Paritària de Seguiment del Pla d'Igualtat  el 23-03-2017","","","","","application/pdf","43 p.","application/pdf","","","","","","http://hdl.handle.net/11703/101553","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Assetjament sexual | Discriminació en el treball | Igualtat entre els sexes | Sexual harassment | Discrimination in employment | Gender equality | Acoso sexual | Discriminación en el trabajo | Igualdad de género","Ocupació | Societat i benestar","","Pla d'Igualtat d'Oportunitats entre Homes i Dones de l'Ajuntament de Barcelona 2015-2019","Protocol per a la prevenció, la detecció, l'actuació i la resolució de situacions d'assetjament sexual i d'assetjament per raó de sexe","","text","info:eu-repo/semantics/book",""
"Gerència de Serveis Centrals | Alcaldia","","","","","1997-04-03","1997-04-30","","","Aprovat per Decret de l'Alcaldia de 03-04-1997 | Adequat pel Decret de l'Alcaldia de 18-06-2008 [http://hdl.handle.net/11703/91581]","Substituït pel Procediment aplicable a les inversions a dur a terme per les empreses i organismes autònoms municipals per encàrrec de l'Ajuntament [http://hdl.handle.net/11703/91580]","","","","application/pdf","2 p.","application/pdf","","Ref. 848","Gaseta Municipal de Barcelona, núm. 13 (30-04-1997)","","","http://hdl.handle.net/11703/91579","cat","","","","","","","http://hdl.handle.net/11703/91580","http://hdl.handle.net/11703/91581","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Inversions | Organismes de l'administració pública | Empreses públiques | Investments | Administrative agencies | Government business enterprises | Inversiones | Organismos administrativos | Empresas públicas","Economia","protocols | documents digitalitzats","","Procediment aplicable a les inversions a dur a terme per les empreses i organismes autònoms municipals per encàrrec de l'Ajuntament","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2013-06-20","2013","","","","","","","","application/pdf","6 p.","application/pdf","18009","","","","","http://hdl.handle.net/11703/91595","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Citizen participation | Participación ciudadana","Sector públic","protocols","","Projecte de millora de la gestió cívica: conceptualització de la gestió cívica","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos | Departament de Transversalitat de Gènere","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","Fa referència al Decret de l'Alcaldia de Contractació pública sostenible de l'Ajuntament de Barcelona [2017] [http://hdl.handle.net/11703/101966]","","","","","application/pdf","9 p.","application/pdf","","","","","","http://hdl.handle.net/11703/115684","cat","","","","","","","","","http://hdl.handle.net/11703/101966 | Llei 17/2015. Igualtat efectiva de dones i homes","","","Tots els drets reservats","info:eu-repo/semantics/embargoAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","Ajuntament de Barcelona","","Contractes administratius | Public contracts | Contratos administrativos | Igualtat entre els sexes | Gender equality | Igualdad de género | Adjudicació de contractes | Letting of contracts | Adjudicación administrativa","Sector públic | Societat i benestar","protocols","","Protocol per a la incorporació, seguiment i verficació del compliment de les clàusules d'igualtat de gènere en els contractes públics de l'Ajuntament de Barcelona","Procediment d'aplicació per a unitats promotores i empreses contractistes","text","info:eu-repo/semantics/other",""
"Sector d'Urbanisme i Infraestructures","","","","","2011","2011","","","Aquest protocol té per objecte clarificar i homogeneïtzar la tramitació de projectes d'obra  ordinària d'infraestructures i/o elements d'urbanització així com els els projectes d'urbanització que realitzen les societats municipals que tramiten els projectes a través del Sector d'Urbanisme i Infraestructures  Així mateix, l'apartat IV.1. i VI són d'aplicació amb caràcter general a la redacció de projectes i al seguiment i recepció d'obres municipals que corresponen tramitar al Sector d'Urbanisme i Infraestructures i a l'Àrea de Medi Ambient. | S'adopta aquest protocol i la seva aplicació a partir del 02-02-2009","","","","","application/pdf","26 p.","application/pdf","11654","","","","","http://hdl.handle.net/11703/91588","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques | Public works | Obras públicas","Urbanisme i infraestructures","protocols","","Protocol de tramitació del Sector d'Urbanisme i Infraestructures dels projectes d'obres ordinàries d'infraestructures i/o elements d'urbanització i dels projectes d'urbanització de les societats municipals","","text","info:eu-repo/semantics/other",""
"Àrea d'Hàbitat Urbà","","","","","2013-06-20","2014-09","","","A la portada: 20 de juny de 2013. Revisat : Setembre 2014","","","","","application/pdf","18 p.","application/pdf","16403","","","","","http://hdl.handle.net/11703/91592","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme | City planning | Urbanismo","Sector públic","protocols","","Temari per a la redacció d'estudis o avant projectes","Protocol de projectes","text","info:eu-repo/semantics/other",""
"Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona | Barcelona | Barcelona","2017 | 2018 | 2019 | 2020","","2016-11-25","2016","","","Presentada al Consell Plenari del 25-11-2016 | Citada a la Gaseta Municipal de Barcelona, núm. 34 (30-12-2016)","","","Protocol d'actuació en episodis d'alta contaminació","","application/pdf","41 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/99264","cat","","","","http://hdl.handle.net/11703/85163 | http://hdl.handle.net/11703/83944","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació atmosfèrica | Atmospheric pollution | Contaminación atmosférica","Medi ambient","mesures de govern | protocols | plans estratègics","Programa Metropolità de Mesures Contra la Contaminació Atmosfèrica 2017-2020 (Barcelona)","Programa de mesures contra la contaminació atmosfèrica : mesura de govern","Protocol d'actuació en episodis d'alta contaminació","text","info:eu-repo/semantics/other",""
"Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","2018","","2017-12-21","2018-01-08","","","Aprovat per la Comissió de Govern de 21-12-2017","","Modifica la Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2015-2018 : protocol [http://hdl.handle.net/11703/91596]","Relació de les entitats organitzadores adherides al protocol de la campanya d'activitats de vacances d'estiu 2018 per a infants i adolescents","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (08-01-2018) | Butlletí Oficial de la Província de Barcelona (03-07-2018)","","","http://hdl.handle.net/11703/107238","cat","","","","","","","","http://hdl.handle.net/11703/91596","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vacances | Casals de joves | Casals de vacances | Colònies de vacances | Lleure | Vacations | Youth centers | Camps | Leisure | Vacaciones | Centros juveniles | Campamentos | Colonias de vacaciones | Tiempo libre","Cultura i oci","protocols","","Convocatòria de campanya d'activitats de vacances per a infants i adolescents, per a l'any 2018 : protocol","","text","info:eu-repo/semantics/other",""
"Albarracín, Maite | Direcció de Dona i Drets Civils | Direcció de Benestar Social | Sector de Serveis Personals | Saiz Lloret, Margarida | Alemany Vidal, Rosa M. | Gabarró, Helga | Garriga, Rosa | Hernández Maidagan, Mariana | Jorba, Rosa | Lligades, Meritxell | Massip, Júlia | Paíno, Montse | Pérez, Assumpta | Roca Cortés, Neus","","Barcelona | Barcelona | Barcelona","","","2007-07","2007","","","Forma part de la col·lecció: SSA protocolització intervenció grupal juliol 07","","","","","application/pdf","81 p.","application/pdf","10767","","","","","http://hdl.handle.net/11703/91570","cat","Direcció Dona i Drets Civils","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Treball social de grup | Violència envers les dones | Dones maltractades | Social group work | Violence against women | Abused women | Trabajo social con grupos | Violencia contra las mujeres | Mujeres maltratadas","Societat i benestar | Sector públic | Seguretat","protocols","","Protocolització de la intervenció grupal amb dones que pateixen o han patit violència de gènere","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2011 | 2012 | 2013 | 2014","","2010-12-09","2010-12-24","","","Aprovat per resolució de l'Alcaldia de 09-12-2010 | Publicat al Butlletí Oficial de la Província de Barcelona de 24-12-2010","","","","","application/pdf","","application/pdf","8233 | 8234 | 8235","","","","","http://hdl.handle.net/11703/91562","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vacances | Colònies de vacances | Lleure | Vacations | Camps | Leisure | Vacaciones | Colonias de vacaciones | Tiempo libre","Cultura i oci","protocols","","Campanya d'activitats de vacances per a infants i adolescents 2011-2014 : protocol","","text","info:eu-repo/semantics/other",""
"Sector d'Urbanisme i Infraestructures","","Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","","","","2011","","","Aquest protocol té per objecte regular la redacció, supervisió i tramitació dels projectes, així com el seguiment i la recepció de les obres ordinàries d'infraestructures, instal·lacions, reforma o reordenació d'elements d'urbanització d'àmbit de districte que realitzen els diferents operadors municipals; d'acord amb el Decret de l' Alcaldia de 26-01-2010","","","","","application/pdf","75 p.","application/pdf","11652","","","districtes","","http://hdl.handle.net/11703/91567","cat","Ajuntament de Barcelona","","","http://hdl.handle.net/11703/85872","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques | Public works | Obras públicas","Urbanisme i infraestructures","protocols","","Protocol de tramitació pels districtes dels projectes d'obres ordinàries d'infraestructures io elements d'urbanització","","text","info:eu-repo/semantics/other",""
"Departament d'Acció Social i Ciutadania. Secretaria de Polítiques Familiars i Drets de Ciutadania | Direcció del Programa de Dones | Consell de l'Audiovisual de Catalunya | Consell de la Informació de Catalunya | Associació de Dones Periodistes de Catalunya | Col·legi de Periodistes de Catalunya | Associació Observatori de les Dones en els Mitjans de Comunicació | Diputació de Barcelona. Àrea d'Igualtat i Ciutadania | Generalitat de Catalunya. Programa de Seguretat contra la Violència Masclista | Institut Català de les Dones","","Catalunya | Catalonia | Cataluña","","","2009-11","2010-02","","","","","","","","application/pdf","14 p.","application/pdf","2935 | 2934","","","consells | associacions","","http://hdl.handle.net/11703/99276","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Consell de l'Audiovisual de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones | Mitjans de comunicació de massa | Periodisme | Violence against women | Mass media | Journalism | Violencia contra las mujeres | Medios de comunicación social | Periodismo","Societat i benestar","protocols","","Recomanacions sobre el tractament de la violència masclista als mitjans de comunicació","El tractament de la violència masclista als mitjans de comunicació : recomanacions","text","info:eu-repo/semantics/other",""
