"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Consorci el Far (Barcelona)","","","No","2008-09-26","2009-04-07","","","Aprovats pel Plenari del Consell Municipal de 26-09-2008","Substituït pels Estatuts del Consorci el Far, Centre dels Treballs del Mar [2015] [http://hdl.handle.net/11703/88576]","Substitueix els Estatuts del Consorci el Far, Centre dels Treballs del Mar [2006] [http://hdl.handle.net/11703/106198]","","","application/pdf","4 p.","application/pdf","5607","","Butlletí Oficial de la Província de Barcelona, núm. 83 (07-04-2009)","consorcis","http://hdl.handle.net/11703/88575","cat","","","","","","","http://hdl.handle.net/11703/88576","","http://hdl.handle.net/11703/106198","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci el Far (Barcelona) | Consorci el Far (Barcelona) | Consorci el Far (Barcelona)","Sector públic","estatuts","","Estatuts del Consorci el Far, Centre dels Treballs del Mar [2008 text refós]","","text","info:eu-repo/semantics/other",""
"Barcelona de Serveis Municipals, S.A. (BSM)","","","Si","2017-10-06","2017","","","Aprovats pel Plenari del Consell Municipal de 06-10-2017","Substitueix els Estatuts de Barcelona de Serveis Municipals, S.A. (BSM) [2011 text refós no oficial] [http://hdl.handle.net/11703/85204]","","","","application/pdf","9 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106228","cat","","","","","","","","","http://hdl.handle.net/11703/85204","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona de Serveis Municipals, S.A. (BSM)","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona de Serveis Municipals, S.A. (BSM) | Barcelona de Serveis Municipals, S.A. (BSM) | Barcelona de Serveis Municipals, S.A. (BSM)","Sector públic","estatuts","","Estatuts de Barcelona de Serveis Municipals, S.A. (BSM) [2017 text refós no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Privada Mobilitat Sostenible i Segura","","","Si","2007","2007","","","Aprovats pel Patronat i el Protectorat de la Fundació de 2007 | Acta notarial, 2007, dóna fe el notari Don Lorenzo P. Valverde García","","Substitueix els Estatuts de la Fundació Privada Mobilitat Sostenible i Segura [2003 text no oficial] [http://hdl.handle.net/11703/88637]","Digitalitzat pel SEDAC","","application/pdf","7 p.","application/pdf","17830","","","fundacions","http://hdl.handle.net/11703/88638","cat","","","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/88637","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada Mobilitat Sostenible i Segura","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Mobilitat Sostenible i Segura | Fundació Privada Mobilitat Sostenible i Segura | Fundació Privada Mobilitat Sostenible i Segura","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada Mobilitat Sostenible i Segura [2007 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Selectives Metropolitanes, S.A. (SEMESA)","Tractament i Selecció de Residus, S.A. (TERSA)","","Si","1992-10-29","1992-12-03","","1992-10-29","Acta notarial, 29 d'octubre de 1992, dóna fe el notari Fernando Hospital Rusiñol | Aprovats el 29-10-1992","Modificats per la Junta General Ordinària de 10-02-1995 [http://hdl.handle.net/11703/106443] | Substituït pels Estatutos de Selectives Metropolitanes, S.A. (SEMESA) [2013 text no oficial] [http://hdl.handle.net/11703/106442]","","Digitalitzat per Selectives Metropolitanes S.A. (SEMESA)","Acta notarial de la constitució, estatuts, actes, certificats del registre mercantil, documents bancaris, augments de capital, etc.","application/pdf","26 p.","application/pdf","","Núm. 5132","","societats mercantils","http://hdl.handle.net/11703/85335","spa","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106442","","","http://hdl.handle.net/11703/106443","CC-BY","info:eu-repo/semantics/openAccess","","Selectives Metropolitanes (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Selectives Metropolitanes, S.A. (SEMESA) | Selectives Metropolitanes, S.A. (SEMESA) | Selectives Metropolitanes, S.A. (SEMESA)","Medi ambient | Sector públic","estatuts | documents digitalitzats","","Estatuts i constitució de Selectives Metropolitanes, S.A. (SEMESA) [1992 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci del Museu d'Art Contemporani de Barcelona","","","Si","2015-01-30","2015-07-24","","","Aprovat pel Plenari del Consell Municipal de 30-01-2015 | Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106574 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106573","","Substitueix els Estatuts del Consorci del Museu d'Art Contemporani de Barcelona [2008 text refós] [http://hdl.handle.net/11703/88567]","","","application/pdf","2 documents","application/pdf","19824 | 18453","","Butlletí Oficial de la Província de Barcelona (24-07-2015) | Publicat també al Diari Oficial de la Generalitat de Catalunya, núm. 6847 (09-04-2015)","consorcis","http://hdl.handle.net/11703/86739","cat","","http://hdl.handle.net/11703/106574 | http://hdl.handle.net/11703/106573","","","","","","","http://hdl.handle.net/11703/88567","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Museu d'Art Contemporani de Barcelona | Consorci del Museu d'Art Contemporani de Barcelona | Consorci del Museu d'Art Contemporani de Barcelona","Sector públic","estatuts","","Estatuts del Consorci del Museu d'Art Contemporani de Barcelona [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Consorci Barcelona Mobile World Capital","","","Si","2012-10-26","2013-04-29","","","Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106416Aprovat pel Plenari del Consell Municipal de 26-10-2012","","","","","application/pdf","7 p.","application/pdf","10955","","Butlletí Oficial de la Província de Barcelona (29-04-2013)","consorcis","http://hdl.handle.net/11703/88545","cat","","http://hdl.handle.net/11703/106416","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Barcelona Mobile World Capital | Consorci Barcelona Mobile World Capital | Consorci Barcelona Mobile World Capital","Sector públic","estatuts | convenis de col·laboració","","Estatuts del Consorci Barcelona Mobile World Capital [2013] ; Conveni de col·laboració entre l’Administració General de l’Estat, la Generalitat de Catalunya, l’Ajuntament de Barcelona i la Fundació Barcelona Mobile World Capital Foundation per a la creació del Consorci ""Barcelona Mobile World Capital""","Estatuts del Consorci Barcelona Mobile World Capital [2013] | Conveni de col·laboració entre l’Administració General de l’Estat, la Generalitat de Catalunya, l’Ajuntament de Barcelona i la Fundació Barcelona Mobile World Capital Foundation per a la creació del Consorci ""Barcelona Mobile World Capital","text","info:eu-repo/semantics/other",""
"Institut Municipal d'Educació (Barcelona)","","","Si","2019-03-29","2019-05-23","","2019-05-24","Aprovats pel plenari del Consell Municipal de 29-03-2019 [http://hdl.handle.net/11703/114191] | Basat en la instrucció relativa a la descentralització funcional i als mitjans propis de l'Ajuntament de Barcelona [http://hdl.handle.net/11703/110771]","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (23-05-2019) | Gaseta Municipal de Barcelona (24-05-2019)","organismes autònoms","http://hdl.handle.net/11703/114172","cat","","","http://hdl.handle.net/11703/114191 | http://hdl.handle.net/11703/110771","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajutament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal d'Educació (Barcelona) | Institut Municipal d'Educació (Barcelona) | Institut Municipal d'Educació (Barcelona)","Sector públic","estatuts","","Estatuts de l'Organisme Autònom Local Institut Municipal d'Educació de Barcelona [2005 text refós] : modificació [2019-03-29]","","text","info:eu-repo/semantics/other",""
"Institut Europeu de la Mediterrània (Barcelona)","","","Si","2002-04-16","2002-04-19","","2002-04-19","Aprovats pel Decret 116/2002 de 16-04-2002 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106124","Modificats per la Junta de Govern del Institut Europeu de la Mediterrània de 19-03-2004 [http://hdl.handle.net/11703/88653] | Modificats per la Junta de Govern del Institut Europeu de la Mediterrània de 07-03-2006 [http://hdl.handle.net/11703/86748]","","","","application/pdf","2 p.","application/pdf","5647","","Diari Oficial de la Generalitat de Catalunya, núm. 3619 (19-04-2002)","consorcis","http://hdl.handle.net/11703/88652","cat","","http://hdl.handle.net/11703/106124","","","","","","","","http://hdl.handle.net/11703/88653 | http://hdl.handle.net/11703/86748","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Europeu de la Mediterrània (Barcelona) | Institut Europeu de la Mediterrània (Barcelona) | Institut Europeu de la Mediterrània (Barcelona)","Sector públic","estatuts","","Estatuts Institut Europeu de la Mediterrània [2002]","","text","info:eu-repo/semantics/other",""
"Institut Municipal de Mercats (Barcelona)","","","Si","2005-12-23","2006-01-24","","2006-01-25","Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106536 | Aprovats pel Plenari del Consell Municipal de 23-12-2005","Modificat pels Estatuts de l'Institut Municipal de Mercats de Barcelona [2005 text refós] : modificació [2019-03-29] [http://hdl.handle.net/11703/114170]","Substitueix els Estatuts de l'Institut Municipal de Mercats de Barcelona [1992] [http://hdl.handle.net/11703/88654]","","","application/pdf","5 p.","application/pdf","5849","","Butlletí Oficial de la Província de Barcelona, núm. 20 (24-01-2006), p. 30-34","organismes autònoms","http://hdl.handle.net/11703/84296","cat","","http://hdl.handle.net/11703/106536","","","","","","","http://hdl.handle.net/11703/88654","http://hdl.handle.net/11703/114170","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal de Mercats (Barcelona) | Institut Municipal de Mercats (Barcelona) | Institut Municipal de Mercats (Barcelona)","Sector públic","estatuts","","Estatuts de l'Institut Municipal de Mercats de Barcelona [2005 text refós]","","text","info:eu-repo/semantics/other",""
"Fundació Mies van der Rohe","","","Si","2009-10-30","2009-11-17","","2009-11-18","Aprovats pel Plenari del Consell Municipal de 30-10-2009 | Canvi de nom. Fins aleshores: Institut Municipal Fundació Mies van der Rohe | Anunciat al DOGC 5528 (17-12-2009) | Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106451","Modificats per Estatuts de l'Entitat Pública Empresarial Local Fundació Mies van der Rohe [2009] : modificació [2019-03-2019] [http://hdl.handle.net/11703/114180]","","","","application/pdf","6 p.","application/pdf","5862","","Butlletí Oficial de la Província de Barcelona,  núm. 275 Annex I (17-11-2009), p. 37-41","entitats públiques empresarials","http://hdl.handle.net/11703/84055","cat","","http://hdl.handle.net/11703/106451","","","","","","","","http://hdl.handle.net/11703/114180","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundació Mies van der Rohe | Fundació Mies van der Rohe | Fundació Mies van der Rohe","Sector públic","estatuts","","Estatuts de l'Entitat Pública Empresarial Local Fundació Mies van der Rohe [2009]","","text","info:eu-repo/semantics/other",""
