"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Fira Internacional de Barcelona","","","Si","2012-07-23","2012","","","Aprovats pel Consell General de la Fira de 23-07-2012","","Substitueix els Estatuts de l'any 2000 [http://hdl.handle.net/11703/88594]","","","application/pdf","2 documents","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106136","cat","","","","","","","","","http://hdl.handle.net/11703/88594","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fira Internacional de Barcelona | Fira Internacional de Barcelona | Fira Internacional de Barcelona","Sector públic","estatuts","","Estatuts de la Fira Internacional de Barcelona [2012 text refós no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació BCN Formació Professional","","","No","2006-02-24","2006","","","Aprovats pel Plenari del Consell Municipal de 24-02-2006 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/89191","Substituït pels Estatuts de la Fundació BCN Formació Professional [2006 text refós no oficial] [http://hdl.handle.net/11703/106335]","","","","application/pdf","11 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106334","cat","","http://hdl.handle.net/11703/89191","","","","","http://hdl.handle.net/11703/106335","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació BCN Formació Professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació BCN Formació Professional | Fundació BCN Formació Professional | Fundació BCN Formació Professional","Sector públic","estatuts","","Estatuts de la Fundació BCN Formació Professional [2006 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci Mercat de les Flors","","","Si","2015-04-07","2015-04-09","","","Aprovats per acord de Govern de la Generalitat de 07-04-2015 | Canvi de nom. Fins aleshores: Consorci Mercat de les Flors/Centre de les Arts de Moviment | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106096","","Substitueix els Estatuts del Consorci Mercat de les Flors/Centre de les Arts de Moviment [2015 text refós] [ http://hdl.handle.net/11703/88487]","","","application/pdf","10 p.","application/pdf","18452","","Diari Oficial de la Generalitat de Catalunya, núm. 6847 (09-04-2015)","consorcis","http://hdl.handle.net/11703/88584","cat","","http://hdl.handle.net/11703/106096","","","","","","","http://hdl.handle.net/11703/88487","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Mercat de les Flors | Consorci Mercat de les Flors | Consorci Mercat de les Flors","Sector públic","estatuts","","Estatuts del Consorci Mercat de les Flors [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Serveis Funeraris de Barcelona, S.A.","","","No","1997-04-25","1997-09-10","","","Aprovada pel Plenari del Consell Municipal de 25-04-1997","","Modifica els Estatuts de Serveis Funeraris de Barcelona [1997][http://hdl.handle.net/11703/86749]","","","application/pdf","1 p.","application/pdf","5816","","Gaseta Municipal de Barcelona, núm. 10 (10-09-1997), p. 1077","societats mercantils","http://hdl.handle.net/11703/88666","cat","","","","","","","","http://hdl.handle.net/11703/86749","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A.","Societat i benestar","estatuts","","Estatuts de Serveis Funeraris de Barcelona [1997] : modificació [1997-04-25]","","text","info:eu-repo/semantics/other",""
"Fundació Privada AAVC","","","Si","2012-12-19","2013","","","Acta notarial, 19 de desembre de 2012, dóna fe el notari Don Miquel Tarragona Coromina","","","","","application/pdf","19 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106329","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada AAVC","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada AAVC | Fundació Privada AAVC | Fundació Privada AAVC","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada AAVC [2012 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Gran Teatre del Liceu. Consorci","","","Si","1994-06-28","1994-08-08","","","Aprovats pel Decret 208/1994 de 28-06-1994","Substituït pels Estatuts de l'any 2006. Podeu consultar el text no oficial a: http://hdl.handle.net/11703/106203","","Digitalitzat pel SEDAC","","application/pdf","3 p.","application/pdf","5609","","Diari Oficial de la Generalitat de Catalunya, núm. 1931 (08-08-1994)","consorcis","http://hdl.handle.net/11703/88565","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106203","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Gran Teatre del Liceu. Consorci | Gran Teatre del Liceu. Consorci | Gran Teatre del Liceu. Consorci","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci del Gran Teatre del Liceu [1994 text refós]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Casa Àsia","","","Si","2006-12-15","2007","","","Aprovats pel Consell Rector del Consorci de 15-12-2006 | Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/88547 | El contingut del document està especificat al camp “Altres títols”","","Substitueix els Estatutos de la Casa Asia [2002 texto no oficial] [http://hdl.handle.net/11703/106197]","","","application/pdf","2 documents","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106202","spa","","http://hdl.handle.net/11703/88547","","","","","","","http://hdl.handle.net/11703/106197","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Casa Àsia","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Casa Àsia | Consorci Casa Àsia | Consorci Casa Àsia","Sector públic | Cultura i oci","estatuts | convenis de col·laboració","","Estatutos de la Casa Asia [2006 texto no oficial]","Convenio de colaboración entre el Ministerio de Asuntos Exteriores, la Generalitat de Catalunya y el Ayuntamiento de Barcelona para la creación de ""Casa Asia""","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Barcelona Gestió Urbanística, S.A.","","","Si","2012-12-21","2013-01-18","","","Aprovats pel Plenari del Consell Municipal de 21-12-2012","Modificats pel Plenari del Consell Municipal de 24-07-2013 [http://hdl.handle.net/11703/97450]","Substitueix els Estatuts de la Societat Municipal Barcelona Gestió Urbanística [2004 text refós] [http://hdl.handle.net/11703/89201]","","","application/pdf","7 p.","application/pdf","10370","","Butlletí Oficial de la Província de Barcelona (18-01-2013)","societats mercantils","http://hdl.handle.net/11703/85192","cat","","","","","","","","","http://hdl.handle.net/11703/89201","http://hdl.handle.net/11703/97450","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Barcelona Gestió Urbanística, S.A. | Barcelona Gestió Urbanística, S.A. | Barcelona Gestió Urbanística, S.A.","Sector públic | Urbanisme i infraestructures","estatuts","","Estatuts de la Societat Municipal Barcelona Gestió Urbanística [2012 text refós]","","text","info:eu-repo/semantics/other",""
"Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","","Si","2013-04-26","2014","","","Aprovats en l'Assemblea General celebrada el 10-05-2013 en Ciudad de Cuenca (Equador)","","Substitueix els Estatutos Fundacionales del Centro Iberoamericano de Desarrollo Estratégico Urbano - CIDEU [1993 text no oficial] [http://hdl.handle.net/11703/106594]","","","application/pdf","12 p.","application/pdf","17061","","","associacions","http://hdl.handle.net/11703/88519","cat","","","","","","","","","http://hdl.handle.net/11703/106594","","CC-BY","info:eu-repo/semantics/openAccess","","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","http://creativecommons.org/licenses/by/4.0/deed.ca","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","Sector públic","estatuts","","Estatutos fundacionales del Centro Iberoamericano de Desarrollo Estratégico Urbano - CIDEU [2013 text no oficial]","","text","info:eu-repo/semantics/other",""
"Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA)","","","Si","2016","2016","","","","","","","","application/pdf","8 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106562","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) | Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) | Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA)","Sector públic","estatuts","","Estatuts de la Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) [2016 text no oficial]","","text","info:eu-repo/semantics/other",""
"Informació i Comunicació de Barcelona, S.A.","","","No","1983-06-13","1983-12","1996-07-04","1983-06-13","Aprovats pel Plenari del Consell Municipal de 13-06-1983 | Acta notarial, 1 de desembre de 1983, dóna fe el notari Juan José Suárez Losada","Substituït pels Estatuts d'Informació i Comunicació de Barcelona [1995] [http://hdl.handle.net/11703/85285]","","Digitalitzat per Informació i Comunicació de Barcelona, S.A.","","application/pdf","31 p.","application/pdf","","Núm. 2062","","entitats públiques empresarials","http://hdl.handle.net/11703/85283","spa","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/85285","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Informació i Comunicació de Barcelona, S.A. | Informació i Comunicació de Barcelona, S.A. | Informació i Comunicació de Barcelona, S.A.","Cultura i oci | Sector públic","estatuts | documents digitalitzats","","Estatuts de la S.P.M Informació Cartogràfica i de Base [1983]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Associació de Municipis i Entitats per l'Aigua Pública","","","Si","2017-07-11","2017","","","","","","","","application/pdf","13 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106582","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Associació de Municipis i Entitats per l'Aigua Pública","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació de Municipis i Entitats per l'Aigua Pública | Associació de Municipis i Entitats per l'Aigua Pública | Associació de Municipis i Entitats per l'Aigua Pública","Sector públic","estatuts","","Estatuts de l'Associació de Municipis i Entitats per l'Aigua Pública [2017 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci del Parc de Collserola (Catalunya)","","","Si","2011-04-28","2011-05-09","","","Aprovats per l'Assemblea General del Consorci del Parc de Collserola de 28-04-2011 | Podeu consultar-ne a altres versions a: http://hdl.handle.net/11703/106130","","Substitueix els Estatuts del Consorci del Parc de Collserola [2009] [http://hdl.handle.net/11703/89184]","","","application/pdf","11 p.","application/pdf","17308","","Butlletí Oficial de la Província de Barcelona (09-05-2011)","consorcis","http://hdl.handle.net/11703/88571","cat","","http://hdl.handle.net/11703/106130","","","","","","","http://hdl.handle.net/11703/89184","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya) | Consorci del Parc de Collserola (Catalunya)","Sector públic","estatuts","","Estatuts del Consorci del Parc de Collserola [2011]","","text","info:eu-repo/semantics/other",""
"Parc d'Atraccions del Tibidabo, S.A.","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Tibidabo, Parc d'atraccions (Barcelona) | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona (Metropolitan area) | Tibidabo, Amusement park (Barcelona) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona (Área metropolitana) | Tibidabo, Parque de atracciones (Barcelona)","Si","2008","2008","","","","Modificats pels Estatuts del Parc d'Atraccions del Tibidabo, S.A. [2008] : modificació [2019-05-03] [http://hdl.handle.net/11703/114175]","","","","application/pdf","21 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/85209","cat","","","","","Reproducció digital del document en suport original","","","","","http://hdl.handle.net/11703/114175","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Parc d'Atraccions del Tibidabo, S.A. | Parc d'Atraccions del Tibidabo, S.A. | Parc d'Atraccions del Tibidabo, S.A.","Sector públic","estatuts | documents digitalitzats","","Estatuts del Parc d'Atraccions del Tibidabo, S.A. [2008]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Privada Casa Amèrica a Catalunya","","","No","2006-02-24","2006","","","Acta notarial, 24 de febrer de 2006, dóna fe el notari Don Jesús-Luís Jiménez Pérez | Aprovats pel Plenari del Consell Municipal de 24-02-2006 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/88629","Substituït pels Estatuts de la Fundació Privada Casa Amèrica a Catalunya [2012 text refós no oficial] [http://hdl.handle.net/11703/88630]","","","","application/pdf","19 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106340","cat | spa","","http://hdl.handle.net/11703/88629","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/88630","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada Casa Amèrica a Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Casa Amèrica a Catalunya | Fundació Privada Casa Amèrica a Catalunya | Fundació Privada Casa Amèrica a Catalunya","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada Casa Amèrica Catalunya [2006 text no oficial] [versió en català i castellà]","Estatutos de la Fundación Privada Casa América Catalunya [2006 text no oficial] [versió en català i castellà]","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Privada I2CAT Internet i Innovació Digital a Catalunya","","","Si","2007","2007","","","Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/89193","","","","","application/pdf","15 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106343","cat","","http://hdl.handle.net/11703/89193","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada I2CAT Internet i Innovació Digital a Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada I2CAT, Internet i Innovació digital a Catalunya | Fundació Privada I2CAT, Internet i Innovació digital a Catalunya | Fundació Privada I2CAT, Internet i Innovació digital a Catalunya","Sector públic","estatuts","","Estatuts de la Fundació Privada I2CAT Internet i Innovació Digital a Catalunya [2007 text no oficial]","","text","info:eu-repo/semantics/other",""
"Autoritat del Transport Metropolità","","","No","2005","2005-06","","","Aprovats per Decret 151/2002 de 28-05-2002 | Inclou les modificacions de 31-05-2005 | Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/88543","Substituït pels Estatuts del Consorci Autoritat del Transport Metropolità [2017 text refós no oficial] [http://hdl.handle.net/11703/106577]","","","","application/pdf","20 p.","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106098","cat","","http://hdl.handle.net/11703/88543","","","","","http://hdl.handle.net/11703/106577","","","","CC-BY","info:eu-repo/semantics/openAccess","","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità | Autoritat del Transport Metropolità | Autoritat del Transport Metropolità","Sector públic","estatuts","","Estatuts del Consorci Autoritat del Transport Metropolità [2005 text no oficial]","","text","info:eu-repo/semantics/other",""
"Junta de Museos de Barcelona","","","No","1947-11-29","1947","","","Aprovats pel Ple de l'Ajuntament el 29-11-1947","","","Digitalitzat pel SEDAC","","application/pdf","7 p.","application/pdf","7953","","","","http://hdl.handle.net/11703/86728","spa","","","","","Reproducció digital del document en suport original","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Junta de Museos de Barcelona | Junta de Museos de Barcelona | Junta de Museos de Barcelona","Sector públic","estatuts | documents digitalitzats","","Estatutos de la Junta de Museos del Excelentísimo Ayuntamiento de Barcelona [1947 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Associació Catalana de Municipis i Comarques","","","No","2003-09-27","2003","","","Aprovats per l'Assamblea de l'Associació de 27-09-2003","Substituït pels Estatuts de l'Associació Catalana de Municipis i Comarques [2013 text no oficial] [http://hdl.handle.net/11703/86732]","","","","application/pdf","18 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106396","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/86732","","","","CC-BY","info:eu-repo/semantics/openAccess","","Associació Catalana de Municipis i Comarques","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació Catalana de Municipis i Comarques | Associació Catalana de Municipis i Comarques | Associació Catalana de Municipis i Comarques","Sector públic","estatuts | documents digitalitzats","","Estatuts de l'Associació Catalana de Municipis i Comarques [2003 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Joan Miró","","","No","2005-12-14","2006","","","Acta notarial, 14 de desembre de 2005, dóna fe el notari Don Xavier Roca Ferrer | Aprovats per la Junta de la Fundació de 14-12-2005","Substituït pels Estatuts de la Fundació Joan Miró [2007 text no oficial] [http://hdl.handle.net/11703/106354]","Substitueix els Estatuts de la Fundació Joan Miró [2004 text refós no oficial] [http://hdl.handle.net/11703/106351]","","","application/pdf","9 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106352","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106354","","http://hdl.handle.net/11703/106351","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Joan Miró","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Joan Miró | Fundació Joan Miró | Fundació Joan Miró","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Joan Miró [2005 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci el Far (Barcelona)","","","No","2006-07-03","2007-01-30","2009-04-08","2007-01-31","Aprovats pel Consell General de 03-07-2006","Substituït pels Estatuts del Consorci el Far, Centre dels Treballs del Mar [2008 text refós] [http://hdl.handle.net/11703/88575]","","","","application/pdf","4 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 26 (30-01-2007), p. 91-94","consorcis | consorcis","http://hdl.handle.net/11703/106198","cat","","","","","","","http://hdl.handle.net/11703/88575","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci el Far (Barcelona) | Consorci el Far (Barcelona) | Consorci el Far (Barcelona)","Sector públic","estatuts","","Estatuts del Consorci el Far, Centre dels Treballs del Mar [2006]","","text","info:eu-repo/semantics/other",""
"Agència d'Ecologia Urbana de Barcelona","","","No","2007-03-28","2007","","","Aprovats per l'Assemblea General de l'Agència de 28-03-2007 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/89167","Substituït pels Estatuts de l'Agència d'Ecologia Urbana de Barcelona [2011 text no oficial] [http://hdl.handle.net/11703/106095]","","","","application/pdf","14 p.","application/pdf","","","","consorcis | consorcis","http://hdl.handle.net/11703/106588","cat","","http://hdl.handle.net/11703/89167","","","","","http://hdl.handle.net/11703/106095","","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència d'Ecologia Urbana de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Agència d'Ecologia Urbana de Barcelona | Agència d'Ecologia Urbana de Barcelona | Agència d'Ecologia Urbana de Barcelona","Sector públic","estatuts","","Estatuts de l'Agència d'Ecologia Urbana de Barcelona [2007 text no oficial]","","text","info:eu-repo/semantics/other",""
"Unión de Ciudades Capitales Iberoamericanas (UCCI)","","","Si","2016-06-13","2016","","","Aprovats per la XVII Assamblea General de la UCCI de 13 i 14 de juny de 2016","","","","","application/pdf","11 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106410","spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Unión de Ciudades Capitales Iberoamericanas (UCCI)","http://creativecommons.org/licenses/by/4.0/deed.ca","Unión de Ciudades Capitales Iberoamericanas (UCCI) | Unión de Ciudades Capitales Iberoamericanas (UCCI) | Unión de Ciudades Capitales Iberoamericanas (UCCI)","Sector públic","estatuts","","Estatutos de la Unión de Ciudades Capitales Iberoamericanas [2016 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Institut d'Humanitats de Barcelona","","","No","2005-03-29","2005","","","Aprovats pel Patronat de la Fundació de 29-03-2005 | Aprovada pel Plenari del Consell Municipal de 18-10-2013 la renúncia al càrrec de patró que ostenta l'Ajuntament de Barcelona sobre aquesta Fundació","","","Digitalitzat pel SEDAC","","application/pdf","24 p.","application/pdf","11733 | 11736","","","fundacions","http://hdl.handle.net/11703/86745","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Institut d'Humanitats de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Institut d'Humanitats de Barcelona | Fundació Institut d'Humanitats de Barcelona | Fundació Institut d'Humanitats de Barcelona","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Institut d'Humanitats de Barcelona [2005 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundació Privada Institut d'Arquitectura de Barcelona","","","Si","2008","2008","","","","Modificats pel Patronat de la Fundació 23-11-2011 [http://hdl.handle.net/11703/106361]","","","","application/pdf","20 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106360","cat","","","","","","","","","","http://hdl.handle.net/11703/106361","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada Institut d'Arquitectura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Institut d'Arquitectura de Barcelona | Fundació Privada Institut d'Arquitectura de Barcelona | Fundació Privada Institut d'Arquitectura de Barcelona","Sector públic","estatuts","","Estatuts de la Fundació Privada Institut d'Arquitectura de Barcelona [2008 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci de l'Habitatge de Barcelona","","","Si","2009-09-17","2009-10-30","","","Aprovada per la Junta General del Consorci de l'Habitatge de Barcelona de 17-09-2009","","Modifica els Estatuts del Consorci de l'Habitatge de Barcelona [2009 text refós] [http://hdl.handle.net/11703/88557]","","","application/pdf","2 p.","application/pdf","17359","","Diari Oficial de la Generalitat de Catalunya, núm. 5495 (30-10-2009)","consorcis","http://hdl.handle.net/11703/88558","cat","","","","","","","","http://hdl.handle.net/11703/88557","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci de l'Habitatge de Barcelona | Consorci de l'Habitatge de Barcelona | Consorci de l'Habitatge de Barcelona","Sector públic","estatuts","","Estatuts del Consorci de l'Habitatge de Barcelona [2009 text refós] : modificació [2009-09-17]","","text","info:eu-repo/semantics/other",""
"Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona","","","Si","2001-08-28","2001-12-03","","","Aprovats pel Govern de la Generalitat el 28-08-2001","Modificats per acord de Govern de la Generalitat de 17-01-2006 [http://hdl.handle.net/11703/88574] | Modificats per acord de Govern de la Generalitat de 04-08-2015 [http://hdl.handle.net/11703/106100]","","","","application/pdf","3 p.","application/pdf","5652","","Diari Oficial de la Generalitat de Catalunya, núm. 3526 (03-12-2001)","consorcis","http://hdl.handle.net/11703/88573","cat","","","","","Reproducció digital del document en suport original","","","","","http://hdl.handle.net/11703/88574 | http://hdl.handle.net/11703/106101","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona | Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona | Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci del Pla de Rehabilitació i Equipament de Teatres de Barcelona [2001]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Fundación Privada Centro de Estudios Internacionales","","","Si","2010-04-30","2010-06-01","","","Aprovat pel Plenari del Consell Municipal de 30-04-2010","Substituït pels Estatuts de l'any 2015. Podeu consultar el text no oficial a: [http://hdl.handle.net/11703/106591]","","","","application/pdf","3 p.","application/pdf","17432","","Butlletí Oficial de la Província de Barcelona, núm.130 (01-06-2010)","fundacions","http://hdl.handle.net/11703/89192","cat","","","","","","","http://hdl.handle.net/11703/106591","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundación Privada Centro de Estudios Internacionales | Fundación Privada Centro de Estudios Internacionales | Fundación Privada Centro de Estudios Internacionales","Sector públic","estatuts","","Estatuts de la Fundación Privada Centro de Estudios Internacionales [2010]","","text","info:eu-repo/semantics/other",""
"Consorci per a la Normalització Lingüística","","","Si","1988-10-11","1988","","","Aprovat pel Consell Executiu de la Generalitat de 11-10-1988","Modificats per acord de Govern de la Generalitat de 04-08-2015 [http://hdl.handle.net/11703/106100]","","","","application/pdf","12 p.","application/pdf","5640","","","consorcis","http://hdl.handle.net/11703/88587","cat","","","","","","","","","","http://hdl.handle.net/11703/106102","CC-BY","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística | Consorci per a la Normalització Lingüística | Consorci per a la Normalització Lingüística","Sector públic","estatuts","","Estatuts del Consorci per a la Normalització Lingüística [1988 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci del Besòs (Barcelona)","","","No","2003-03-15","2003-03-26","","","Aprovada pel Plenari del Consell Municipal de 15-03-2003","","Modifica els Estatuts del Consorci del Besòs [2002] [http://hdl.handle.net/11703/89175]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","5605 | 18041","","Butlletí Oficial de la Província de Barcelona, núm. 73 (26-03-2003)","consorcis","http://hdl.handle.net/11703/89176","cat","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/89175","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci del Besòs (Barcelona) | Consorci del Besòs (Barcelona) | Consorci del Besòs (Barcelona)","Sector públic","estatuts","","Estatuts del Consorci del Besòs [2002] : modificació [2003-03-15]","","text","info:eu-repo/semantics/other",""
