"Número registre","Òrgan gestor","Títol","Dotació econòmica directa","Data formalització","Data finalització","Entitats i organitzacions"
"C20000177","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, L'INSTITUT D'ESTADÍSTICA, DE CATALUNYA, L'ÀREA METROPOLITANA DE BARCELONA I L'INSTITUT D'ESTUDIS REGIONALS I METROPOLITANS DE BARCELONA PER AL DESENVOLUPAMENT DEL PROJECTE ESTIMACIONS TERRITORIALS DE L'ENQUESTA DE CONDICIONS DE VIDA  DE CATALUNYA L'ANY 2020 (ECV 2020) HOMOLOGABLE ALS ESTÀNDARDS EUROPEUS (EU-SILC)",22125.0,"10/12/2020","31/07/2021","INSTITUT D'ESTADISTICA DE CATALUNYA; AREA METROPOLITANA DE BARCELONA; INST. ESTUDIS REGIONALS I METROPOLITANS"
"C20000178","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LES FEDERACIONS NACIONALS DEL METALL, CONSTRUCCIÓ I AFINS DE LA UNIÓ GENERAL DE TREBALLADORS I DE LA CONFEDERACIÓ SINDICAL DE LA COMISSIÓ OBRERA NACIONAL DE CATALUNYA PER A LA COL·LABORACIÓ EN MATÈRIA DE SEGURETAT I SALUT LABORAL EN OBRES PÚBLIQUES MUNICIPALS",150000.0,"10/12/2020","31/12/2021","FED. NACIONAL DEL METALL; CONFED. SINDICAL COMISSIÓ OBRERA NACIONAL DE CATALUNYA"
"C20000179","GERENCIA DRETS SOCIALS","CONVENI REGULADOR DE LA SUBVENCIÓ CONCEDIDA ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ BARCELONA ACTUA  PER A L'EXECUCIÓ DEL PROJECTE ""PLA D'ACOMPANYAMENT SOCIAL I COMUNITARI I SOLUCIONS HABITACIONALS PER A PERSONES JOVES AFECTADES PER LA CRISI DE LA COVID-19",135608.0,"04/12/2020","","FUNDACIÓ BARCELONA ACTUA"
"C20000180","GERENCIA DRETS SOCIALS","CONVENI REGULADOR DE LA SUBVENCIÓ CONCEDIDA PER L'AJUNTAMENT DE BARCELONA A L'ENTITAT CONSELL DE LA JOVENTUT DE BARCELONA PER A L'EXECUCIÓ DEL PROJECTE PROGRAMA JUSTÍCIA GLOBAL 2020",40000.0,"30/11/2020","","CONSELL DE LA JOVENTUT DE BARCELONA"
"C20000181","DISTRICTE DE SANTS-MONTJUÏC","CONVENI ENTRE EL DISTRICTE DE SANTS-MONTJUÏC I LA FEDERACIÓ D'ASSOCIACIONS I COMISSIONS DE CARRERS DE LA FESTA MAJOR DE SANTS PER A L'ORGANITZACIÓ DE LA FESTA MAJOR DE SANTS 2020",58000.0,"04/12/2020","","FED. ASS. I COMISSIONS DE CARRERS DE LA FESTA MAJOR SANTS"
"C20000182","SEGURETAT I MOBILITAT","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL DEPARTAMENT D'INTERIOR DE LA GENERALITAT DE CATALUNYA PER LA COL·LABORACIÓ ENTRE EL CENTRE D'ATENCIÓ I GESTIÓ DE TRUCADES D'URGÈNCIA 112 CATALUNYA PER A DUR A TERME TASQUES D'INTEGRACIÓ TECNOLÒGICA DELS SERVEIS D'EMERGÈNCIA DE L'AJUNTAMENT EN ELS SISTEMES DEL CENTRE D'ATENCIÓ I GESTIÓ DE TRUCADES D'URGÈNCIA 112 CATALUNYA",0.0,"14/12/2020","","CONSELLERIA D'INTERIOR"
"C20000183","AJUNTAMENT DE BARCELONA","CONVENI ENTRE L'AJUNTAMENT I EL CONSORCI D'EDUCACIÓ DE BARCELONA PER AL DESENVOLUPAMENT DEL PROJECTE DIVERSIFICACIÓ CURRICULAR",0.0,"04/12/2020","","CONSORCI EDUCACIO DE BARCELONA"
"C20000184","AJUNTAMENT DE BARCELONA","CONVENI ENTRE L'AJUNTAMENT,  EL SERVEI CATALÀ DE LA SALUT I EL CONSORCI SANITARI DE BARCELONA PER A L'OCUPACIÓ DEL PAVELLÓ DE LA VALL D'HEBRON COM A PAV-SALUT",0.0,"14/09/2020","14/09/2020","SERVEI CATALA DE LA SALUT; CONSORCI SANITARI DE BARCELONA"
"C20000185","AJUNTAMENT DE BARCELONA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA RED ESPAÑOLA PER AL DESENVOLUPAMENT SOSTENIBLE (REDS) PER A LA PROMOCIÓ DEL SEGUIMENT I L'AVALUACIÓ DE L'AGENDA 2030 DE DESENVOLUPAMENT SOSTENIBLE A BARCELONA",18400.0,"11/12/2020","31/12/2020","RED ESPAÑOLA PARA EL DESARROLLO SOSTENIBLE"
"C20000186","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA ORGANIZACIÓN MUNDIAL DE CIUDADES Y GOBIERNOS LOCALES UNIDOS (CGLU) PER AL DESENVOLUPAMENT DEL PROJECTE DE LA SECRETARIA TÈCNICA DE L'OBSERVATORI INTERNACIONAL DE LA DEMOCRÀCIA PARTICIPATIVA (OIDP)",70000.0,"30/11/2020","31/12/2020","ORG. MUNDIAL CIUDADES Y GOBIERNOS LOCALES UNIDOS"
"C20000187","SERVEIS GENERALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I EL CONSELL DE LA JOVENTUT DE BARCELONA PER AL DESENVOLUPAMENT DEL PROJECTE ""TERRITORI I PARTICIPACIÓ COMUNITÀRIA DEL CJB 2020-2021""",46550.0,"20/11/2020","31/12/2021","CONSELL DE LA JOVENTUT DE BARCELONA"
"C20000188","INSTITUT BARCELONA ESPORTS","CONVENI ENTRE L'IBE I LA DIPUTACIÓ DE BARCELONA PER AL FINANÇAMENT D'ESDEVENIMENTS ESPORTIUS D'ESPECIAL INTERÈS PER A LA CIUTAT DE BARCELONA A CELEBRAR DURANT L'ANY 2020",0.0,"16/10/2020","30/06/2021","DIPUTACIO DE BARCELONA"
"C20000189","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'INSTITUT MUNICIPAL DE SERVEIS SOCIALS I CARITAS DIOCESANA DE BARCELONA EN MATÈRIA DE PROJECTES D'ATENCIÓ SOCIAL A SECTORS DE POBLACIÓ EN RISC A BARCELONA",0.0,"17/12/2020","31/12/2021","CARITAS DIOCESANA DE BARCELONA"
"C20000190","CULTURA, CONEIX.CREAT. INNOVAC","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ PRIVADA INSTITUT DE SALUT GLOBAL DE BARCELONA PER AL DESENVOLUPAMENT DEL PROJECTE ""REFORÇAR LA CIUTAT DE BARCELONA COM A REFERENT EN RECERCA I TRANSLACIÓ EN SALUT GLOBAL",250000.0,"18/12/2020","31/12/2020","INSTITUT SALUT GLOBAL DE BARCELONA"
"C20000191","AJUNTAMENT DE BARCELONA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ I2CAT, INTERNET I INNOVACIÓ DIGITAL A CATALUNYA",597000.0,"21/12/2020","21/12/2022","FUNDACIÓ PRIVADA I2 CAT,INTERNET"
"C20000192","ECOLOGIA URBANISME MOBILITAT","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, L'ÀREA METROPOLITANA DE BARCELONA,  LA CIUTAT DE SANTA COLOMA DE GRAMENET I  LA CIUTAT DE SANT ADRIÀ DE BESÒS PER AL MANTENIMENT, CONSERVACIÓ I MILLORES DE LES RONDES DE BARCELONA I EL TRAM MUNICIPAL DE LA GRAN VIA NORD",5975872.0,"23/12/2020","23/12/2024","AREA METROPOLITANA DE BARCELONA; CIUTAT DE SANTA COLOMA DE GRAMENET; CIUTAT DE SANT ADRIA DE BESOS"
"C20000193","GERENCIA DRETS SOCIALS","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA FUNDACIÓ PRIVADA PERE RELATS DE 21 DE JULIOL DE 2020 PER A UNA PERMUTA DE PROPIETATS A LA CIUTAT DE BARCELONA",0.0,"21/12/2020","31/03/2021","FUNDACIÓ PRIVADA PERE RELATS"
"C20000194","PROMOCIO ECONOMICA","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA, EL MINISTERI D'HISENDA, EL CONSELL SUPERIOR D'ESPORTS I LA FUNDACIÓ NAVEGACIÓ OCEÀNICA DE BARCELONA PER A LA CREACIÓ DE LA COMISSIÓ INTERADMINISTRATIVA DE L'ACONTEIXEMENT D'EXCEPCIONAL INTERÈS PÚBLIC 4A. EDICIÓ DE LA BARCELONA WORLD RACE",0.0,"19/03/2020","01/10/2024","MINIST. D'ECONOMIA I HISENDA; CONSELL SUPERIOR D'ESPORTS; FUNDACIÓ NAVEGACIO OCEANICA BARCELONA"
"C20000195","ECOLOGIA URBANISME MOBILITAT","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I LA GENERALITAT DE CATALUNYA, MITJANÇANT EL DEPARTAMENT D'ENSENYAMENT I EL CONSORCI D'EDUCACIÓ DE BARCELONA PER A LA PRIMERA ADDENDA PER A LES OBRES DE NOVA CONSTRUCCIÓ DE L'ESCOLA ANGLESOLA DE 2 LÍNIES D'AQUEST MUNICIPI",1002000.0,"18/12/2020","","DEPARTAMENT D'ENSENYAMENT; CONSORCI EDUCACIO DE BARCELONA"
"C20000196","ECOLOGIA URBANISME MOBILITAT","CONVENI ENTRE L'AJUNTAMENT DE BARCELONA I ONU-HABITAT, PROGRAMA DE LES NACIONS UNIDES PER ALS ASSENTAMENTS HUMANS, ESTABLIMENT I CONTINUACIÓ DEL PROGRAMA GLOBAL DE CIUTATS RESILIENTS D'ONU HABITAT",800000.0,"05/10/2020","","ONU-HABITAT"
