"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisformatof","dcrelationisrequiredby","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 37"
"Alcaldia | Serra, Narcís","Barcelona | Barcelona | Barcelona","1982","","1982","1982-09-28","","","","","application/pdf","2 p.","application/pdf",10018.0,"","Gaseta Municipal de Barcelona, núm. 29 (20-10-82), p. 529-530","Mandat 1979-1983","http://hdl.handle.net/11703/86610","","cat","","","Reproducció digital del document en suport original","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Propaganda electoral | Neteja de carrers | Advertising, Political | Street cleaning | Propaganda política | Limpieza urbana","Sector públic","bans | documents digitalitzats","","Ban ""Quant a la neteja de la ciutat : prevenció de l'embrutiment produït com a conseqüència de les activitats públiques en període electoral""","","text","info:eu-repo/semantics/other",""
"Alcaldia | Trias Vidal de Llobatera, Xavier","Barcelona | Barcelona | Barcelona","2011","","2011","2011-09","","","","","application/pdf","1 p.","application/pdf",8229.0,"","","Mandat 2011-2015","http://hdl.handle.net/11703/86599","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes majors | Festes de la Mercè (Barcelona) | Festivals | La Mercè (Barcelona) | Fiestas | La Mercè (Barcelona)","Cultura i oci","bans","","Ban de la Mercè 2011","","text","info:eu-repo/semantics/other",""
"Alcaldia | Hereu Boher, Jordi","Vila de Gràcia (Barcelona : Barri) | Vila de Gràcia (Barcelona : Neighborhood) | Vila de Gràcia (Barcelona : Barrio)","2008","","2008","2008-08","","","","","application/pdf","1 p.","application/pdf",8394.0,"","","Mandat 2007-2011","http://hdl.handle.net/11703/86602","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes majors | Festivals | Fiestas","Cultura i oci","bans","","Ban de la Festa Major de Gràcia 2008","","text","info:eu-repo/semantics/other",""
"Alcaldia | Clos Matheu, Joan","Barcelona | Barcelona | Barcelona","2004","","2004","2004-05","","","","","application/pdf","1 p.","application/pdf",8403.0,"","","Mandat 2003-2007","http://hdl.handle.net/11703/86605","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fòrum Universal de les Cultures Barcelona 2004, S.A. | Fòrum Universal de les Cultures Barcelona 2004, S.A. | Fòrum Universal de les Cultures Barcelona 2004, S.A.","Cultura i oci","bans","","Obrim les portes del Fòrum","","text","info:eu-repo/semantics/other",""
"Alcaldia | Seguí, Benito | Roger, Ignacio | Prats, Benito | Ros, Eudaldo | Bordeje Piña, Hilarion | Ribot, José","Barcelona | Barcelona | Barcelona","","","1843-03-02","1843","","Aprovat pel Plenari del Consell de 02-03-1843 | Publicat el maig de 1839 | Revisat i modificat el 1842","","Digitalitzat pel SEDAC","application/pdf","32 p.","application/pdf",13956.0,"","","Mandats anteriors a 1979","http://hdl.handle.net/11703/96431","","spa","Imprenta del Constitucional","","Reproducció digital del document en suport original","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Edificis | Incendis | Seguretat ciutadana | Neteja de carrers | Urbanisme | Aliments | Establiments comercials | Buildings | Fires | Public security | Street cleaning | City planning | Food | Retail stores | Edificios | Incendios | Seguridad ciudadana | Limpieza urbana | Urbanismo | Alimentos | Comercios","Sector públic | Legislació i justícia","bans | documents digitalitzats","","Bando general de buen gobierno, o de policía urbana para esta ciudad de Barcelona : publicado por su Escmo. Ayuntamiento Constitucional en mayo de 1839 y revisado y adicionado por el de 1842","","text","info:eu-repo/semantics/other",""
"Maragall Mira, Pasqual | Alcaldia","Barcelona | Barcelona | Barcelona","","","1989-11-15","1990","","","","Digitalitzat per l’empresa Artyplan per encàrrec del SEDAC","application/pdf","1 p.","application/pdf","","","La Municipal, núm. 001 (1990)","Mandat 1987-1991","http://hdl.handle.net/11703/99721","","cat","Ajuntament de Barcelona","","Reproducció digital del document en suport original","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desplaçaments en bicicleta | Bicicletes | Desplazamientos en bicicleta | Bicycles | Desplazamientos en bicicleta | Bicicletas","Sector públic | Transport","bans","","Ban ""Circulació de bicicletes""","","text","info:eu-repo/semantics/other",""
"Alcaldia | Maragall Mira, Pasqual","Barcelona | Barcelona | Barcelona","1992","","1991","1991-12","","","","","application/pdf","2 p.","application/pdf",8395.0,"","","Mandat 1991-1995","http://hdl.handle.net/11703/86603","","cat","","","Reproducció digital del document en suport original","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Jocs Olímpics | Civisme | Olympics | Civics | Juegos Olímpicos | Civismo","Esport","bans | documents digitalitzats","","Ban als ciutadans de Barcelona amb motiu dels Jocs Olímpics","","text","info:eu-repo/semantics/other",""
"Alcaldia | Hereu Boher, Jordi","Barcelona | Barcelona | Barcelona","2010","","2010","2010-10","","Ban amb motiu de la visita a Barcelona del Papa Benet XVI, el 6 i 7 de novembre de 2010","","","application/pdf","1 p.","application/pdf",6590.0,"","","Mandat 2007-2011","http://hdl.handle.net/11703/86598","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Societat i benestar","bans","","Barcelona dóna la Benvinguda al Papa Benet XVI","","text","info:eu-repo/semantics/other",""
"Alcaldia | Maragall Mira, Pasqual","Barcelona | Barcelona | Barcelona","1997","","1997","1997-05-30","","","","","application/pdf","2 p.","application/pdf",8412.0,"","","Mandat 1995-1999","http://hdl.handle.net/11703/86608","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Incendis | Prevenció | Fires | Prevention | Incendios | Prevención","Seguretat","bans","","Prevenció d'incendis forestals","","text","info:eu-repo/semantics/other",""
"Alcaldia | Hereu Boher, Jordi","Diagonal, Avinguda (Barcelona) | Diagonal, Boulevard (Barcelona) | Diagonal, Avenida (Barcelona)","2009","","2009","2009-03","","","","","application/pdf","1 p.","application/pdf",8392.0,"","","Mandat 2007-2011","http://hdl.handle.net/11703/86600","","cat","","","Reproducció digital del document en suport original","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Urbanisme | Citizen participation | City planning | Participación ciudadana | Urbanismo","Urbanisme i infraestructures","bans | documents digitalitzats","","Fem Barcelona, fem la nova Diagonal","","text","info:eu-repo/semantics/other",""
