"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Oberta","Centre de Documentació del Museu de Ciències Naturals (Barcelona)","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","9468","","","Mandat 2007-2011","http://hdl.handle.net/11703/87464","cat","Museu de Ciències Naturals de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Centre de Documentació del Museu de Ciències Naturals (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Documentació del Museu de Ciències Naturals (Barcelona)","Medi ambient","memòries","","Memòria 2009","","text",""
"Quinquennal","Tancada","Sector de Via Pública","","Barcelona","1998. 1999. 2000. 2001. 2002","No","2003","2003","","","","","application/pdf","68 p.","17400","","","Mandat 1999-2003","http://hdl.handle.net/11703/91518","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació. Mobilitat urbana","Transport","memòries","Pacte per la Mobilitat 1998-2002 (Barcelona)","Pacte per a la Mobilitat Barcelona : memòria de gestió 1998-2002","","text",""
"Anual","Oberta","Mercabarna, S.A.","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","10436","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87950","cat","Mercabarna, S.A.","","","","","","http://hdl.handle.net/11703/87950","","","","","","","CC-BY","openAccess","Mercabarna","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercabarna, S.A.. Consum (Economia). Mercats","Comerç","memòries","","Estats financers 2011","","text",""
"Anual","Oberta","Barcelona de Serveis Municipals, S.A. (BSM)","","Barcelona","2014","No","2015","2015","","","","","application/pdf","","19940","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/89626","cat","Barcelona de Serveis Municipals, S.A. (BSM)","","","","","","","","","","","","","CC-BY","openAccess","Barcelona de Serveis Municipals, S.A. (BSM)","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona de Serveis Municipals, S.A. (BSM). Finances. Esports. Mobilitat. Lleure","Economia. Transport","memòries","","Memòria de sostenibilitat 2014","","text",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona","2014","No","2015","2015","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87763. Informe presentat al Plenari del Consell Municipal","","","application/pdf","225 p.","","","","Mandat 2011-2015","http://hdl.handle.net/11703/97500","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/87763","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona. Responsabilitat administrativa","Societat i benestar","informes als òrgans de govern. memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2014","Informe al Plenario del Consejo Municipal sobre la actividad de la Sindicatura en 2014","text",""
"Anual","Oberta","Consorci Parc de Salut Mar de Barcelona","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","10431","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/88006","cat","Consorci Parc de Salut del Mar de Barcelona. Hospitals","","","","","","","","","","","","","CC-BY","openAccess","Consorci Parc de Salut del Mar de Barcelona. Hospitals","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Parc de Salut Mar de Barcelona. Salut pública. Hospitals","Salut","memòries","","Memòria 2011","","text",""
"Anual","Tancada","Direcció del Programa de Dona. Districte 4. Les Corts","","Barcelona","2013","No","2014","2014","","","","","application/pdf","45 p.","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/97807","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció del Programa de Dona. Violència envers les dones","Societat i benestar","memòries","","Punt d'informació i atenció a les dones de Les Corts : Memòria 2013","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2004","No","2005-06-16","2005","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89382. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/89388","","","application/pdf","138 p.","1025","","","Mandat 2003-2007","http://hdl.handle.net/11703/89393","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/89382. http://hdl.handle.net/11703/89388","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Annual report City of Barcelona 2004","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2005","No","2006-09-29","2006","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89620","","","application/pdf","141 p.","19912","","","Mandat 2003-2007","http://hdl.handle.net/11703/89618","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/89620","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Informe anual del Ayuntamiento de Barcelona 2005","","text",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA)","","Barcelona","2010","No","2011","2011","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87871","","","application/pdf","","8573","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87889","cas","Tractament i Selecció de Residus (Barcelona)","http://hdl.handle.net/11703/87871","","","","","","","","","","","http://hdl.handle.net/11703/87888. http://hdl.handle.net/11703/87887","CC-BY","openAccess","Tractament i Selecció de Residus, S.A. (TERSA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Tractament i Selecció de Residus, S.A. (TERSA). Reciclatge (Residus, etc.)","Medi ambient","memòries","","Memoria 2010","","text",""
"Quinquennal","Tancada","Àmbit d'Urbanisme i Serveis Municipals","","Barcelona","1987. 1988. 1989. 1990. 1991","No","1992","1992","","És continuació de: Memòria 1983-1987 / Primera Tinència d'Alcaldia. Forma part de la col·lecció: llibres digitalitzats d'Urbanisme","Digitalitzat per l'empresa Artyplan per encàrrec de la Biblioteca d'Urbanisme","","application/pdf","164 p.","19342","","","Mandat 1987-1991","http://hdl.handle.net/11703/97777","cat","","","","","","Reproducció digital del document en suport original","","","","","","http://hdl.handle.net/11703/97783","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Àmbit d'Urbanisme i Serveis Municipals. Urbanisme","Urbanisme i infraestructures","memòries. documents digitalitzats","","Memòria 1987-1991","Memòria 1983-1987 de la Tinència d'Alcaldia de Planificació i Ordenació de la Ciutat","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2014","Si","2015","2015","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87834. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/87779","","","application/pdf","","19417","","","Mandat 2011-2015","http://hdl.handle.net/11703/87839","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/87834. http://hdl.handle.net/11703/87779","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Management Report 2014","","text",""
"Quadriennal","Oberta","Cementiris de Barcelona, S.A.","","Barcelona","2016. 2017. 2018. 2019","Si","2016-01-01","2016-01-01",2020.0,"","","","application/pdf","14 p.","","","societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/86564","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cementiris","Sector públic","memòries","Pla Estratègic de Cementiris de Barcelona 2016-2019","Memòria del Pla Estratègic 2016-2019 : Cementiris de Barcelona, S.A.","","text",""
"Anual","Oberta","Oficina Municipal d'Informació al Consumidor (Barcelona)","","Barcelona","2009","No","2010","2010","","És continuació de la Memòria 2008 [http://hdl.handle.net/11703/89521]. Continua com Memòria 2010 [http://hdl.handle.net/11703/87782]","","","application/pdf","","4545","","","Mandat 2007-2011","http://hdl.handle.net/11703/87781","cat","Regidoria de Promoció Econòmica, Ocupació, Comerç i Turisme","","","","","","","http://hdl.handle.net/11703/87782","","","","http://hdl.handle.net/11703/89521","","CC-BY","openAccess","Oficina Municipal d'Informació al Consumidor (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina Municipal d'Informació al Consumidor (Barcelona). Consum (Economia). Consumidors. Serveis d'informació a la comunitat","Comerç","memòries","","Memòria 2009","","text",""
"Anual","Tancada","Sector d'Urbanisme i Infraestructures","","Barcelona","2007","No","2007","2008","","","","","application/pdf","","murb_2007","","","Mandat 2007-2011","http://hdl.handle.net/11703/89501","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Sector d'Urbanisme i Infraestructures","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector d'Urbanisme i Infraestructures","Urbanisme i infraestructures","memòries","","Memòria 2007","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","2003","No","2004","2004","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89466","","","application/pdf","","2093","","consells","Mandat 1999-2003","http://hdl.handle.net/11703/89467","cas","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89466","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memoria 2003","","text",""
"Anual","Oberta","Districte 2. Eixample","","Barcelona. Districte 2. Eixample","2005","No","2006","2006","","","","","application/pdf","","mem_ei_2005","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89538","cat","Districte 2. Eixample","","","","","","","","","","","","","CC-BY","openAccess","Districte 2. Eixample","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 2. Eixample","Sector públic","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Barcelona Activa, S.A.","","Barcelona","1999","No","2000","2000","","","","","application/pdf","","442","","societats mercantils","Mandat 1995-1999","http://hdl.handle.net/11703/89581","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","CC-BY","openAccess","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Desenvolupament econòmic. Serveis municipals","Economia. Ocupació","memòries","","Memòria d'activitats 1999","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2005","No","2006","2006","","","","","application/pdf","","3337","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87651","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Arxiu Històric de la Ciutat de Barcelona","","Barcelona","2011","No","2011","2011","","","","","application/pdf","35 p.","11447","","","Mandat 2011-2015","http://hdl.handle.net/11703/87439","cat","Arxiu Històric de la Ciutat de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arxiu Històric de la Ciutat de Barcelona. Arxius municipals","Cultura i oci","memòries","","Memòria 2011","","text",""
"Anual","Oberta","Consell Econòmic i Social de Barcelona","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","1762","","consells","Mandat 1999-2003","http://hdl.handle.net/11703/89431","cat","Consell Economic i Social de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Econòmic i Social de Barcelona. Economia. Finances","Economia","memòries","","Memòria d'activitats 2002","","text",""
"Anual","Oberta","Consorci de Biblioteques de Barcelona","","Barcelona","2004","No","2005","2005","","","","","application/pdf","","CBB_2004","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/89496","cat","Consorci de Biblioteques de Barcelona","","","http://hdl.handle.net/11703/87684. http://hdl.handle.net/11703/87725. http://hdl.handle.net/11703/87724","","","","","","","","","","CC-BY","openAccess","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de Biblioteques de Barcelona","Cultura i oci","memòries","","Memòria 2004","","text",""
"Anual","Oberta","Oficina Municipal d'Informació al Consumidor (Barcelona)","","Barcelona","2014","No","2015","2015","","És continuació de la Memòria 2013 [http://hdl.handle.net/11703/87785]. Continua com Memòria 2015 [http://hdl.handle.net/11703/98298]","","","application/pdf","","18454","","","Mandat 2011-2015","http://hdl.handle.net/11703/87786","cat","Regidoria de Promoció Econòmica, Ocupació, Comerç i Turisme","","","","","","","http://hdl.handle.net/11703/98298","","","","http://hdl.handle.net/11703/87785","","CC-BY","openAccess","Oficina Municipal d'Informació al Consumidor (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina Municipal d'Informació al Consumidor (Barcelona). Consum (Economia). Consumidors. Serveis d'informació a la comunitat","Comerç","memòries","","Memòria 2014","","text",""
"Anual","Oberta","Patronat Municipal de l'Habitatge de Barcelona","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","10428","","entitats públiques empresarials","Mandat 2011-2015","http://hdl.handle.net/11703/88030","cat","Patronat Municipal de l'Habitatge de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Patronat Municipal de l'Habitatge de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patronat Municipal de l'Habitatge de Barcelona","Habitatge","memòries","","Memòria 2011","","text",""
"Anual","Oberta","Consorci el Far (Barcelona)","","Barcelona","2013","No","2014-03-20","2014-03-20","","","","","application/pdf","50 p.","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/84032","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci el Far (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci el Far (Barcelona)","Medi ambient. Educació","memòries","","Memòria 2013","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","1995","No","1996","1996","","","","","application/pdf","","3341","","consorcis","Mandat 1995-1999","http://hdl.handle.net/11703/87642","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 1995","","text",""
"Anual","Oberta","Oficina per la No Discriminació","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","1697","","","Mandat 1999-2003","http://hdl.handle.net/11703/89522","cat","Oficina per la No Discriminació","","","","","","","","","","","","","CC-BY","openAccess","Oficina per la No Discriminació","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina per la No Discriminació. Dones. Drets civils","Societat i benestar. Demografia","memòries","","Informe de gestió 2002","","text",""
"Anual","Oberta","Sector de Manteniment i Serveis","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","3383","","","Mandat 1999-2003","http://hdl.handle.net/11703/87766","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Sector de Manteniment i Serveis","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Manteniment i Serveis","Medi ambient","memòries","","Informe anual 2002","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","8270","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/87598","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria d’activitats 2010","","text",""
"Anual","Tancada","Sector de Serveis Personals. Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2005","No","2006","2006","","","","","application/pdf","","SSPPD2005_SS","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/89553","cat","Districte 5. Sarrià-Sant Gervasi","","","","","","","","","","","","","CC-BY","openAccess","Districte 5. Sarrià-Sant Gervasi","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 5. Sarrià-Sant Gervasi","Sector públic","memòries","","Memòria 2005","","text",""
"Anual","","Fundació Navegació Oceànica Barcelona","","Barcelona","2016","Si","2017","2017-08","","","","Conté també informació comptable de la Fundació de 2015-2016","application/pdf","17 p.","","","fundacions","Mandat 2015-","http://hdl.handle.net/11703/105277","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Navegació Oceànica Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Navegació Oceànica Barcelona","Comerç. Turisme","memòries","","Memòria d'activitats 2016","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","2002","No","2003","2003","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89464","","","application/pdf","","2094","","consells","Mandat 1999-2003","http://hdl.handle.net/11703/89465","cas","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89464","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memoria 2002","","text",""
"Quadriennal","Tancada","Sector d'Urbanisme","","Barcelona","1995. 1996. 1997. 1998","No","1999","1999","","És continuació de:Memòria 1991-1994 / Àmbit d'Urbanisme i Serveis Municipals. Forma part de la col·lecció: llibres digitalitzats d'Urbanisme","Digitalitzat per l'empresa Artyplan per encàrrec de la Biblioteca d'Urbanisme","","application/pdf","180 p.","","","","Mandat 1995-1999","http://hdl.handle.net/11703/97779","cat","","","","","","Reproducció digital del document en suport original","","","","","","http://hdl.handle.net/11703/97770","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Urbanisme i infraestructures","memòries. documents digitalitzats","","Memòria 1995-1998","","text",""
"Anual","Tancada","Àrea d'Hisenda i Promoció Econòmica. Consell Municipal de Consum (Barcelona)","","Barcelona","2010","No","2011","2011","","","","","application/pdf","17 p.","7835","","","Mandat 2007-2011","http://hdl.handle.net/11703/97855","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Associacions de consumidors. Associació de Consumidors de la Província de Barcelona. Associació de Consumidors i Usuaris de Barcelona. Associació d'Usuaris de Bancs, Caixes i Assegurances de Catalunya. Associació de Joves Consumidors de Catalunya. Coordinadora d'Usuaris de la Sanitat i Consum (Barcelona). Associació Promotora de l'Orientació del Consum de la Gent Gran. Unió de Consumidors de Catalunya. Federació de Cooperatives de Consumidors i Usuaris de Catalunya","Hisenda. Economia","memòries","","Resum d'activitats facilitat per les associacions de consumidors que formen part del Consell Municipal de Consum [2010]","","text",""
"Anual","","Fira Internacional de Barcelona","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/98310","","","application/pdf","107 p.","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/98314","eng","","http://hdl.handle.net/11703/98310","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fira Internacional de Barcelona","Comerç","memòries","","Report 2013","","text",""
"Anual","Oberta","Consell Tributari Municipal (Barcelona)","","Barcelona","1994","No","1995","1995","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/89451","","","application/pdf","","2163","","consells","Mandat 1991-1995","http://hdl.handle.net/11703/89450","cas","Consell Tributari Municipal (Barcelona)","http://hdl.handle.net/11703/89451","","","","","","","","","","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Tributari Municipal (Barcelona). Finances municipals. Impostos locals","Economia. Hisenda","memòries","","Memoria 1994","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2010. 2011","No","2012","2012","","","","","application/pdf","","9012","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87558","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social","Societat i benestar","memòries","","Memòria 2010-2011","","text",""
"Anual","Oberta","Clavegueram de Barcelona, S.A.","","Barcelona","2008","No","2009","2009","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87898","","","application/pdf","","3351","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87906","eng","Clavegueram de Barcelona, S.A.","http://hdl.handle.net/11703/87898","","","","","","","","","","","","CC-BY","openAccess","Clavegueram de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Clavegueram de Barcelona, S.A.","Medi ambient. Urbanisme i infraestructures","memòries","","Annual report 2008","","text",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87816. Informe presentat al Plenari del Consell Municipal","","","application/pdf","204 p.","10735","","","Mandat 2011-2015","http://hdl.handle.net/11703/87761","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87816","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona. Responsabilitat administrativa","Societat i benestar","informes als òrgans de govern. memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2012","Informe al Plenari del Consell Municipal 2012","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","3290","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/88012","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","Memòria tècnica 2002","","text",""
"Anual","Oberta","Consorci el Far (Barcelona)","","Barcelona","2006","No","2007-02-02","2007-02","","","","","application/pdf","54 p.","","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/84024","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci el Far (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci el Far (Barcelona)","Medi ambient. Educació","memòries","","Memòria 2006","","text",""
"Anual","Oberta","Institut de Cultura de Barcelona","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","6775","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/88044","cat","Institut de Cultura de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Institut de Cultura de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut de Cultura de Barcelona. Cultura","Cultura i oci","memòries","","Memòria 2009","","text",""
"Anual","Oberta","Direcció del Programa de Dona. Districte 5. Sarrià-Sant Gervasi","","Barcelona","2013","No","2014","2014","","","","","application/pdf","39 p.","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/97808","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció del Programa de Dona. Violència envers les dones","Societat i benestar","memòries","","Punt d'informació i atenció a les dones de Sarrià-Sant Gervasi : Memòria 2013","","text",""
"Anual","Oberta","Mercabarna, S.A.","","Barcelona","2013","No","2014","2014","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87966","","","application/pdf","","18366","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87969","cas","Mercabarna, S.A.","http://hdl.handle.net/11703/87966","","","","","http://hdl.handle.net/11703/87952","","","","","","","CC-BY","openAccess","Mercabarna","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercabarna, S.A.. Consum (Economia). Mercats","Comerç","memòries","","Memoria 2013","","text",""
"Anual","Oberta","Barcelona Sagrera Alta Velocitat, S.A.","","Barcelona","2014","Si","2015","2015","","","","","application/pdf","","18469","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87963","cat. cas","Barcelona Sagrera Alta Velocitat","","","","","","","","","","","","","CC-BY","openAccess","Barcelona Sagrera Alta Velocitat, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Sagrera Alta Velocitat, S.A.. Trens d'alta velocitat. Ferrocarrils","Urbanisme i infraestructures. Transport","memòries","","Memòria = Memoria 2014","","text",""
"Anual","Tancada","Sector de Serveis Personals","","Barcelona","2005","No","2006","2006","","","","","application/pdf","","1350","","","Mandat 2003-2007","http://hdl.handle.net/11703/89512","cat","","","","","","","","","","","","","","CC-BY","openAccess","Sector de Serveis Personals","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Serveis Personals. Serveis socials","Societat i benestar","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Consorci el Far (Barcelona)","","Barcelona","2011","No","2012-03-30","2012-03-30","","","","","application/pdf","38 p.","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/84029","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci el Far (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci el Far (Barcelona)","Medi ambient. Educació","memòries","","Memòria 2011","","text",""
"Anual","Oberta","Consorci del Parc de Collserola (Catalunya)","","Barcelona","2002","No","2003","2003","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87634","","","application/pdf","","3306","","consorcis","Mandat 1999-2003","http://hdl.handle.net/11703/87606","cat","Consorci del Parc de Collserola (Catalunya)","http://hdl.handle.net/11703/87634","","","","","","","","","","","","CC-BY","openAccess","Consorci del Parc de Collserola (Catalunya)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Collserola (Catalunya). Educació ambiental. Natura. Zones verdes","Medi ambient","memòries","","Memòria de gestió 2002","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2008","No","2009","2009","","","","","application/pdf","","3727","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/88026","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","http://hdl.handle.net/11703/88011","","","","","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","L'IMAS en dades 2008","","text",""
