"32","2020","Viatge de Laia Bonet el 8012020 a Madrid per assistir a diverses reunions sobre Agenda 2030","LAIA BONET RULL","REUNIONS A MADRID PER TEMES D'AGENDA 2030","Altres despeses","14175","08012020","080120201","MADRID","Espanya","Regidora"
549,2020,"Viatge de MONTSERRAT BALLARIN a MADRID el 04/02/2020 per ponència"," MONTSERRAT BALLARIN ESPUÑA","PONÈNCIA SEMINARIO FISCALIDAD INMOBILIARIA, SITUACIÓN ACTUAL Y PERSPECT","Altres despeses",40.75,"04.02.2020","04.02.2020","MADRID","Espanya","Regidor/a"
312,2020,"Viatge Janet Sanz a Madrid el 6 de febrer de 2020","JANET SANZ CID","TROBADES A MADRID AMB DIVERSOS ARQUITECTES PEL PROJECTE DE SUPERILLES","Allotjament",517.89,"06.02.2020","09.02.2020","MADRID","Espanya","Regidor/a"
312,2020,"Viatge Janet Sanz a Madrid el 6 de febrer de 2020","JANET SANZ CID","TROBADES A MADRID AMB DIVERSOS ARQUITECTES PEL PROJECTE DE SUPERILLES","Altres despeses",285.33,"06.02.2020","09.02.2020","MADRID","Espanya","Regidor/a"
312,2020,"Viatge Janet Sanz a Madrid el 6 de febrer de 2020","JANET SANZ CID","TROBADES A MADRID AMB DIVERSOS ARQUITECTES PEL PROJECTE DE SUPERILLES","Desplaçament",187.55,"06.02.2020","09.02.2020","MADRID","Espanya","Regidor/a"
358,2020,"Viatge de Laia Bonet del 7-10 de febrer a Abu Dhabi per assistir al Forum Urban Mundial","LAIA BONET RULL","VIATGE PER ASSISTIR AL FORUM URBAN MUNDIAL","Allotjament",560.0,"07.02.2020","10.02.2020","ABU DHABI","E.A.U.","Regidor/a"
358,2020,"Viatge de Laia Bonet del 7-10 de febrer a Abu Dhabi per assistir al Forum Urban Mundial","LAIA BONET RULL","VIATGE PER ASSISTIR AL FORUM URBAN MUNDIAL","Altres despeses",273.02,"07.02.2020","10.02.2020","ABU DHABI","E.A.U.","Regidor/a"
358,2020,"Viatge de Laia Bonet del 7-10 de febrer a Abu Dhabi per assistir al Forum Urban Mundial","LAIA BONET RULL","VIATGE PER ASSISTIR AL FORUM URBAN MUNDIAL","Desplaçament",800.0,"07.02.2020","10.02.2020","ABU DHABI","E.A.U.","Regidor/a"
483,2020,"Assistència al World Urban Forum (WUF10 de Abu Dhabi","MIQUEL RODRIGUEZ PLANAS","ASSISTÈNCIA AL WORLD URBAN FORUM (WUF10 DE ABU DHABI","Allotjament",435.0,"09.02.2020","12.02.2020","ABU DHABI","E.A.U.","Comissionat/da"
483,2020,"Assistència al World Urban Forum (WUF10 de Abu Dhabi","MIQUEL RODRIGUEZ PLANAS","ASSISTÈNCIA AL WORLD URBAN FORUM (WUF10 DE ABU DHABI","Altres despeses",249.42,"09.02.2020","12.02.2020","ABU DHABI","E.A.U.","Comissionat/da"
483,2020,"Assistència al World Urban Forum (WUF10 de Abu Dhabi","MIQUEL RODRIGUEZ PLANAS","ASSISTÈNCIA AL WORLD URBAN FORUM (WUF10 DE ABU DHABI","Desplaçament",790.0,"09.02.2020","12.02.2020","ABU DHABI","E.A.U.","Comissionat/da"
531,2020,"Xavier Marcé_Viatge a Nàpols per intervenció en debat sobre turistificació_12 i 13 febrer 2020","FRANCESC XAVIER MARCE CAROL","PARTICIPACIÓ EN DEBAT SOBRE TURISTIFICACIÓ. ' NAPOLI, FIRENZE E BARCELLONA A CONFRONTO'","Altres despeses",46.2,"12.02.2020","13.02.2020","NAPOLS","Itàlia","Regidor/a"
531,2020,"Xavier Marcé_Viatge a Nàpols per intervenció en debat sobre turistificació_12 i 13 febrer 2020","FRANCESC XAVIER MARCE CAROL","PARTICIPACIÓ EN DEBAT SOBRE TURISTIFICACIÓ. ' NAPOLI, FIRENZE E BARCELLONA A CONFRONTO'","Desplaçament",300.0,"12.02.2020","13.02.2020","NAPOLS","Itàlia","Regidor/a"
709,2020,"Viatge Sr.Albert Batlle a Madrid,17/02/20,reunió sec.estat seguretat i pres.i portaveu com. interior","ALBERT BATLLE BASTARDAS","REUNIÓ AMB SECRETARI ESTAT SEGURETAT I AMB PORTAVEU COMISSIÓ D'INTERIOR CONGRÉS","Allotjament",140.71,"17.02.2020","18.02.2020","MADRID","Espanya","Regidor/a"
709,2020,"Viatge Sr.Albert Batlle a Madrid,17/02/20,reunió sec.estat seguretat i pres.i portaveu com. interior","ALBERT BATLLE BASTARDAS","REUNIÓ AMB SECRETARI ESTAT SEGURETAT I AMB PORTAVEU COMISSIÓ D'INTERIOR CONGRÉS","Altres despeses",32.55,"17.02.2020","18.02.2020","MADRID","Espanya","Regidor/a"
709,2020,"Viatge Sr.Albert Batlle a Madrid,17/02/20,reunió sec.estat seguretat i pres.i portaveu com. interior","ALBERT BATLLE BASTARDAS","REUNIÓ AMB SECRETARI ESTAT SEGURETAT I AMB PORTAVEU COMISSIÓ D'INTERIOR CONGRÉS","Desplaçament",189.3,"17.02.2020","18.02.2020","MADRID","Espanya","Regidor/a"
1044,2020,"Viatge Marc Serra a Madrid el 24/02/20, acompanyant alcaldessa reunions ministres","MARC SERRA SOLE","ACOMPANYA ALCALDESSA A REUNIÓ AMB MINISTRE D'INCLUSIÓ","Altres despeses",17.55,"24.02.2020","24.02.2020","MADRID","Espanya","Regidor/a"
1044,2020,"Viatge Marc Serra a Madrid el 24/02/20, acompanyant alcaldessa reunions ministres","MARC SERRA SOLE","ACOMPANYA ALCALDESSA A REUNIÓ AMB MINISTRE D'INCLUSIÓ","Desplaçament",187.55,"24.02.2020","24.02.2020","MADRID","Espanya","Regidor/a"
1123,2020,"Viatge Lucia Martín a Madrid el 24-02-2020, per acompanyar a l'alcaldessa a una reunió","LUCIA MARTIN GONZALEZ","VIATGE A MADRID ACOMPANYANT A L'ALCALDESSA A UNA REUNIÓ","Altres despeses",21.45,"24.02.2020","24.02.2020","MADRID","Espanya","Regidor/a"
1123,2020,"Viatge Lucia Martín a Madrid el 24-02-2020, per acompanyar a l'alcaldessa a una reunió","LUCIA MARTIN GONZALEZ","VIATGE A MADRID ACOMPANYANT A L'ALCALDESSA A UNA REUNIÓ","Desplaçament",187.55,"24.02.2020","24.02.2020","MADRID","Espanya","Regidor/a"
2666,2020,"Reunió del projecte AI-FORA (Artificial Intelligence For Assessment) - Universitat de Girona","MICHAEL SERAFIN DONALDSON CARBON","REUNIÓ DEL PROJECTE ARTIFICIAL INTELLIGENCE FOR ASSESSMENT - UNIVERSITAT DE GIRONA","Altres despeses",26.67,"26.02.2020","26.02.2020","GIRONA","Espanya","Comissionat/da"
2666,2020,"Reunió del projecte AI-FORA (Artificial Intelligence For Assessment) - Universitat de Girona","MICHAEL SERAFIN DONALDSON CARBON","REUNIÓ DEL PROJECTE ARTIFICIAL INTELLIGENCE FOR ASSESSMENT - UNIVERSITAT DE GIRONA","Desplaçament",30.0,"26.02.2020","26.02.2020","GIRONA","Espanya","Comissionat/da"
1114,2020,"20200227 1a TROBADA CÀRRECS ELECTES XARXA MUNICPIS ECONOMIA SOCIAL I SOLIDÀRIA","ALVARO PORRO GONZALEZ","1A TROBADA CÀRRECS ELECTES XARXA MUNICPIS ECONOMIA SOCIAL I SOLIDÀRIA","Altres despeses",35.87,"28.02.2020","28.02.2020","CARDEDEU","Espanya","Comissionat/da"
979,2020,"Viatge Marc Serra a Lisboa el 28/02/20, per entrevistar-se amb regidoria Participació","MARC SERRA SOLE","INTERCANVIAR EXPERIÈNCIES AMB LA REGIDORIA DE PARTICIPACIÓ AJUNTAMENT DE LISBOA","Allotjament",237.3,"28.02.2020","03.03.2020","LISBOA","Portugal","Regidor/a"
979,2020,"Viatge Marc Serra a Lisboa el 28/02/20, per entrevistar-se amb regidoria Participació","MARC SERRA SOLE","INTERCANVIAR EXPERIÈNCIES AMB LA REGIDORIA DE PARTICIPACIÓ AJUNTAMENT DE LISBOA","Altres despeses",69.5,"28.02.2020","03.03.2020","LISBOA","Portugal","Regidor/a"
979,2020,"Viatge Marc Serra a Lisboa el 28/02/20, per entrevistar-se amb regidoria Participació","MARC SERRA SOLE","INTERCANVIAR EXPERIÈNCIES AMB LA REGIDORIA DE PARTICIPACIÓ AJUNTAMENT DE LISBOA","Desplaçament",184.94,"28.02.2020","03.03.2020","LISBOA","Portugal","Regidor/a"
988,2020,"Viatge Janet Sanz a Madrid el 3 de març de 2020","JANET SANZ CID","TROBADES A MADRID AMB DIVERSOS ARQUITECTES PEL PROJECTE SUPERILLES","Altres despeses",160.6,"03.03.2020","04.03.2020","MADRID","Espanya","Regidor/a"
988,2020,"Viatge Janet Sanz a Madrid el 3 de març de 2020","JANET SANZ CID","TROBADES A MADRID AMB DIVERSOS ARQUITECTES PEL PROJECTE SUPERILLES","Desplaçament",187.55,"03.03.2020","04.03.2020","MADRID","Espanya","Regidor/a"
1219,2020,"Viatge Albert Dalmau a Munich i Cannes del 9 al 12 de març","ALBERT DALMAU MIRANDA","PARTICIPACIO BARCELONA MUNICH DAY I FIRA MIPIM AMB LA FINALITAT DE PROMOURE BARCELONA","Allotjament",150.0,"09.03.2020","10.03.2020","MUNICH","Alemanya","Comissionat/da"
1219,2020,"Viatge Albert Dalmau a Munich i Cannes del 9 al 12 de març","ALBERT DALMAU MIRANDA","PARTICIPACIO BARCELONA MUNICH DAY I FIRA MIPIM AMB LA FINALITAT DE PROMOURE BARCELONA","Altres despeses",568.52,"09.03.2020","10.03.2020","MUNICH","Alemanya","Comissionat/da"
1219,2020,"Viatge Albert Dalmau a Munich i Cannes del 9 al 12 de març","ALBERT DALMAU MIRANDA","PARTICIPACIO BARCELONA MUNICH DAY I FIRA MIPIM AMB LA FINALITAT DE PROMOURE BARCELONA","Desplaçament",1200.0,"09.03.2020","10.03.2020","MUNICH","Alemanya","Comissionat/da"
1543,2020,"Viatge Albert Dalmau a Madrid del 8 al 11 de març","ALBERT DALMAU MIRANDA","TROBADAS AMB DIFERENTS MINISTRES DEL GOBERN ESPANYOL","Allotjament",500.0,"08.03.2020","11.03.2020","MADRID","Espanya","Comissionat/da"
1543,2020,"Viatge Albert Dalmau a Madrid del 8 al 11 de març","ALBERT DALMAU MIRANDA","TROBADAS AMB DIFERENTS MINISTRES DEL GOBERN ESPANYOL","Altres despeses",560.02,"08.03.2020","11.03.2020","MADRID","Espanya","Comissionat/da"
1543,2020,"Viatge Albert Dalmau a Madrid del 8 al 11 de març","ALBERT DALMAU MIRANDA","TROBADAS AMB DIFERENTS MINISTRES DEL GOBERN ESPANYOL","Desplaçament",450.0,"08.03.2020","11.03.2020","MADRID","Espanya","Comissionat/da"
1219,2020,"Viatge Albert Dalmau a Munich i Cannes del 9 al 12 de març","ALBERT DALMAU MIRANDA","PARTICIPACIO BARCELONA MUNICH DAY I FIRA MIPIM AMB LA FINALITAT DE PROMOURE BARCELONA","Allotjament",150.0,"10.03.2020","12.03.2020","NIÇA","Itàlia","Comissionat/da"
1219,2020,"Viatge Albert Dalmau a Munich i Cannes del 9 al 12 de març","ALBERT DALMAU MIRANDA","PARTICIPACIO BARCELONA MUNICH DAY I FIRA MIPIM AMB LA FINALITAT DE PROMOURE BARCELONA","Altres despeses",174.3,"10.03.2020","12.03.2020","NIÇA","Itàlia","Comissionat/da"
1219,2020,"Viatge Albert Dalmau a Munich i Cannes del 9 al 12 de març","ALBERT DALMAU MIRANDA","PARTICIPACIO BARCELONA MUNICH DAY I FIRA MIPIM AMB LA FINALITAT DE PROMOURE BARCELONA","Desplaçament",1200.0,"10.03.2020","12.03.2020","NIÇA","Itàlia","Comissionat/da"
2688,2020,"Viatge de David Escudé del 28 al 29 de juliol de 2020 a MADRID - vàries reunions","DAVID ESCUDE RODRIGUEZ","VIATGE DE DAVID ESCUDÉ DEL 28 AL 29 DE JULIOL 2020 A MADRID - AJ. MADRID REGID. ESPORTS","Allotjament",105.59,"28.07.2020","29.07.2020","MADRID","Espanya","Regidor/a"
2688,2020,"Viatge de David Escudé del 28 al 29 de juliol de 2020 a MADRID - vàries reunions","DAVID ESCUDE RODRIGUEZ","VIATGE DE DAVID ESCUDÉ DEL 28 AL 29 DE JULIOL 2020 A MADRID - AJ. MADRID REGID. ESPORTS","Altres despeses",59.85,"28.07.2020","29.07.2020","MADRID","Espanya","Regidor/a"
2688,2020,"Viatge de David Escudé del 28 al 29 de juliol de 2020 a MADRID - vàries reunions","DAVID ESCUDE RODRIGUEZ","VIATGE DE DAVID ESCUDÉ DEL 28 AL 29 DE JULIOL 2020 A MADRID - AJ. MADRID REGID. ESPORTS","Desplaçament",309.6,"28.07.2020","29.07.2020","MADRID","Espanya","Regidor/a"
2888,2020,"Albert Dalmau viatge a Madrid","ALBERT DALMAU MIRANDA","ACOMPANYAMENT 1R TINET A REUNIONS DIVERSES AMB POLÍTICS A MADRID","Allotjament",200.0,"10.09.2020","11.09.2020","MADRID","Espanya","Comissionat/da"
2888,2020,"Albert Dalmau viatge a Madrid","ALBERT DALMAU MIRANDA","ACOMPANYAMENT 1R TINET A REUNIONS DIVERSES AMB POLÍTICS A MADRID","Altres despeses",194.1,"10.09.2020","11.09.2020","MADRID","Espanya","Comissionat/da"
2888,2020,"Albert Dalmau viatge a Madrid","ALBERT DALMAU MIRANDA","ACOMPANYAMENT 1R TINET A REUNIONS DIVERSES AMB POLÍTICS A MADRID","Desplaçament",500.0,"10.09.2020","11.09.2020","MADRID","Espanya","Comissionat/da"
2877,2020,"Viatge de Jaume Collboni a Madrid, el 10 de setembre per visites institucionals","JAIME COLLBONI CUADRADO","VIATJE A MADRID PER VISITES INSTITUCIONALS","Allotjament",253.08,"10.09.2020","13.09.2020","MADRID","Espanya","Regidor/a"
2877,2020,"Viatge de Jaume Collboni a Madrid, el 10 de setembre per visites institucionals","JAIME COLLBONI CUADRADO","VIATJE A MADRID PER VISITES INSTITUCIONALS","Altres despeses",296.65,"10.09.2020","13.09.2020","MADRID","Espanya","Regidor/a"
2877,2020,"Viatge de Jaume Collboni a Madrid, el 10 de setembre per visites institucionals","JAIME COLLBONI CUADRADO","VIATJE A MADRID PER VISITES INSTITUCIONALS","Desplaçament",189.3,"10.09.2020","13.09.2020","MADRID","Espanya","Regidor/a"
2886,2020,"Viatge D. Escudé Madrid 29-09-2020, reunió Sec. Estat i Aj. Madrid - Política esportiva post COVID","DAVID ESCUDE RODRIGUEZ","VIATGE D. ESCUDÉ MADRID 29-09-2020, REUNIÓ SEC. ESTAT I AJ. MADRID - POLÍTICA ESPORTIVA","Allotjament",95.0,"29.09.2020","30.09.2020","MADRID","Espanya","Regidor/a"
2886,2020,"Viatge D. Escudé Madrid 29-09-2020, reunió Sec. Estat i Aj. Madrid - Política esportiva post COVID","DAVID ESCUDE RODRIGUEZ","VIATGE D. ESCUDÉ MADRID 29-09-2020, REUNIÓ SEC. ESTAT I AJ. MADRID - POLÍTICA ESPORTIVA","Altres despeses",74.4,"29.09.2020","30.09.2020","MADRID","Espanya","Regidor/a"
2886,2020,"Viatge D. Escudé Madrid 29-09-2020, reunió Sec. Estat i Aj. Madrid - Política esportiva post COVID","DAVID ESCUDE RODRIGUEZ","VIATGE D. ESCUDÉ MADRID 29-09-2020, REUNIÓ SEC. ESTAT I AJ. MADRID - POLÍTICA ESPORTIVA","Desplaçament",77.59,"29.09.2020","30.09.2020","MADRID","Espanya","Regidor/a"
3110,2020,"Participació debat Agenda Urbana: La metamorfosis de nuestras ciudades","MICHAEL SERAFIN DONALDSON CARBON","PARTICIPACIÓ DEBAT AGENDA URBANA: LA METAMORFOSIS DE NUESTRAS CIUDADES","Altres despeses",71.42,"14.10.2020","15.10.2020","SEVILLA","Espanya","Comissionat/da"
