"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Anual","Obert","Ajuntament de Barcelona","","Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","2020","Si","2019-12-05 | 2019-12-19","2019-12-16","2020-01-30","2020-01-02","Aprovada per la Comissió de Govern de 05-12-2019 | Correcció d'errades aprovada per la Comissió de Govern 19-12-2019 | Requereix les bases reguladores aprovades per la Comissió de Govern de 03-12-2015 [http://hdl.handle.net/11703/84030] | Requereix el Reglament que estableix la forma telemàtica obligatòria en la presentació de sol·licituds i/o documents adreçats a l’Ajuntament de Barcelona relatius a la Convocatòria de subvencions per dur a terme projectes, activitats i serveis de districte i de ciutat [2019] [http://hdl.handle.net/11703/117279]","","","","","application/pdf","4 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (16-12-2019) | Correcció d'errades: Butlletí Oficial de la Província de Barcelona (27-12-2019) | Gaseta Municipal de Barcelona (22-01-2020) | Correcció d'errades: Gaseta Municipal de Barcelona (22-01-2020)","","","http://hdl.handle.net/11703/116150","cat","","","","","","","","","","","http://hdl.handle.net/11703/84030 | http://hdl.handle.net/11703/117279","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Activitats culturals | Serveis municipals | Serveis socials | Cultural animation | Municipal services | Human services | Animación cultural | Servicios municipales | Servicios sociales","Economia","ajuts i subvencions","","Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2020 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Àrea de Treball, Economia i Planificació Estratègica | Gerència de Política Econòmica i Desenvolupament Local","","Barcelona | Barcelona | Barcelona","2017","No","2017-04-06","2017-04-27","","2017-04-28","Aprovació inicial per la Comissió de Govern de 06-04-2017 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades | Bases requerides pel document Programa de subvencions de l'Ajuntament de Barcelona per l'impuls socioeconòmic del territori 2018 : convocatòria [http://hdl.handle.net/11703/108916]","","","","","application/pdf","2 documents","application/pdf","","","Gaseta Municipal de Barcelona (22-06-2017) | Butlletí Oficial de la Província de Barcelona (27-04-2017)","","","http://hdl.handle.net/11703/106022","cat","","","","","","","","http://hdl.handle.net/11703/108916","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Economia social | Desenvolupament comunitari | Ocupació | Emprenedoria | Social economy | Community development | Employment (Economic theory) | Entrepreneurship | Economía social | Desarrollo comunitario | Empleo | Emprendedores","Economia | Ocupació | Societat i benestar","ajuts i subvencions","","Programa de subvencions de l'Ajuntament de Barcelona per l'impuls socioeconòmic del territori 2017 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2018","Si","2018-06-14","2018-07-17","","2018-07-18","Aprovada per la Comissió de Govern de 14-06-2018","","Modifica les Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2018 : convocatòria [http://hdl.handle.net/11703/106683]","","","application/pdf","1 p.","application/pdf","","Exp. núm. 31/2018","Gaseta Municipal de Barcelona (17-07-2018)","","","http://hdl.handle.net/11703/110551","cat","","","","","","","","http://hdl.handle.net/11703/106683","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Gerència d'Ecologia Urbana | Gerència d'Ecologia Urbana | Gerència d'Ecologia Urbana","Economia","ajuts i subvencions","","Subvencions per a la realització de projectes, activitats i serveis de districte i de ciutat 2018 : convocatòria : modificació [2018-06-14]","Ampliació de l'import de l'autorització de despeses corresponent a la Convocatòria General de Subvencions","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2017-05-18","2017-05-31","","2017-06-01","Aprovació inicial per la Comissió de Govern de 18-05-2017 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades | Bases requerides pel document Arranjament i adequació de locals d'entitats de caire cultural representatives d'altres ciutats i comunitats autònomes amb seu social a Barcelona 2018 : convocatòria [http://hdl.handle.net/11703/108868]","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (31-05-2017)","","","http://hdl.handle.net/11703/106019","cat","","","","","","","","http://hdl.handle.net/11703/108868","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Associacions, institucions, etc. | Equipaments col·lectius | Cases regionals | Associations, institutions, etc. | Infrastructure (Economics) | Regional houses | Asociaciones, instituciones, etc. | Equipamientos colectivos | Cases regionals","Cultura i oci | Urbanisme i infraestructures","ajuts i subvencions","","Arranjament i adequació de locals d'entitats de caire cultural representatives d'altres ciutats i comunitats autònomes amb seu social a Barcelona 2017 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"Anual","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2017","Si","2017-03-08","2017-04-07","","2017-04-08","Aprovada per  la Comissió Municipal Permanent del Consorci de l'Habitatge de Barcelona de 08-03-2016 | Les subvencions previstes en aquesta convocatòria es regeixen per: | Bases Reguladores aprovades per la Junta General del Consorci de l'Habitatge de Barcelona de 13-10-2016 [http://hdl.handle.net/11703/98790] i per la seva modificació aprovada el 08-03-2017 [http://hdl.handle.net/11703/101780]","","","","","application/pdf","6 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (07-04-2017)","consorcis","","http://hdl.handle.net/11703/101783","cat","","","","http://hdl.handle.net/11703/98790 | http://hdl.handle.net/11703/101780","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge de lloguer | Habitatge públic | Arrendament | Rental housing | Public housing | Leases | Vivienda de alquiler | Viviendas de protección oficial | Arrendamiento","Habitatge","ajuts i subvencions","Programa de la Borsa d'Habitatges de Lloguer de la Ciutat de Barcelona 2016-","Inclusió d'habitatges al Programa de la borsa d'habitatges de lloguer de la ciutat de Barcelona 2017 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2014","","2014-05-30","2014-06-12","","","Aprovada pel gerent de l'Institut Municipal d'Hisenda el  30-05-2014 | Podeu consultar les Bases generals reguladores a: http://hdl.handle.net/11703/87018","","","","","application/pdf","","application/pdf",13813.0,"","Butlletí Oficial de la Província de Barcelona (12-06-2014)","organismes autònoms","","http://hdl.handle.net/11703/87044","cat","","","","","","","","","","","http://hdl.handle.net/11703/87018","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Viduïtat | Real property tax | Human services | Widowhood | Impuestos inmobiliarios | Servicios sociales | Viudez","Economia | Societat i benestar","ajuts i subvencions","","Subvenció de l'impost sobre béns immobles, corresponent al domicili habitual, per a persones vídues majors de 65 anys amb pocs recursos econòmics 2014 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2019","No","2019-02-26","2019-03-15","","","Aprovat per la Junta General del Consorci de l'Habitatge de Barcelona de 26-02-2019","","","","","application/pdf","2 documents","application/pdf","","Ref. BDNS 443031","Butlletí Oficial de la Província de Barcelona (15-03-2019) | Modificació: Butlletí Oficial de la Província de Barcelona (08-07-2019)","consorcis","","http://hdl.handle.net/11703/112751","cat | spa","","","","","","","","","","","<a href=""http://hdl.handle.net/11703/86996"">Bases reguladores</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política de l'habitatge | Política de vivienda | Housing policy | Rehabilitació de l'habitatge | Rehabilitación de viviendas | Housing rehabilitation","Habitatge","ajuts i subvencions","Programa de la Borsa d'Habitatges de Lloguer de la Ciutat de Barcelona 2016-","Ajuts a la rehabilitació d'interiors d'habitatges per incorporar a la Borsa d'Habitatges de Lloguer de Barcelona per a l'any 2019 [versió en català i castellà]","Ayudas a la rehabilitación de interiores de viviendas para incorporar la Bolsa de Viviendas de Alquiler de Barcelona para el año 2019 [versió en català i castellà]","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2017","Si","2017-03-09","2017-03-10","","2017-04","Aprovació inicial per la Comissió de Govern de 09-03-2017 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades | Requerit per la Subvenció equivalent a la quota líquida de l'impost sobre béns immobles, corresponent al domicili habitual, a aquelles persones amb pocs recursos econòmics 2018 : convocatòria [http://hdl.handle.net/11703/109278]","Modificades per la Comissió de Govern de 28-09-2017 [http://hdl.handle.net/11703/109277]","","","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (10-03-2017)","","","http://hdl.handle.net/11703/109276","cat","","","","","","","","http://hdl.handle.net/11703/109278","","","http://hdl.handle.net/11703/109277","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Arrendador i arrendatari | Real property tax | Human services | Landlord and tenant | Impuestos inmobiliarios | Servicios sociales | Arrendadores y arrendatarios","Habitatge | Hisenda | Societat i benestar","ajuts i subvencions","","Subvenció equivalent a la quota líquida de l'impost sobre béns immobles, corresponent al domicili habitual, a aquelles persones amb pocs recursos econòmics 2017 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","","","2018-09-14","2018-10-23","","","Aprovats per la Gerència de l'Institut de Cultura de Barcelona el 14-09-2018 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","12 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (23-10-2018)","entitats públiques empresarials","","http://hdl.handle.net/11703/112573","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Activitats culturals | Animación cultural | Cultural animation | Política cultural | Política cultural | Cultural policy | Finançament de projectes | Financiación de proyectos | Project finance","Cultura i oci","ajuts i subvencions","","Subvencions per a activitats, projectes i serveis artístics i culturals amb durada plurianual 2018","","text","info:eu-repo/semantics/other",""
"","","Direcció de Serveis de Justícia Global i Cooperació Internacional | Gerència de Presidència i Economia","","Barcelona | Barcelona | Barcelona","2016","No","2016-04-07","2016-04-19","","2016-04-20","Aprovat per la Comissió de Govern de 07-04-2016 | Hauran de complir els requisits exigits al punt 4 de les Bases aprovades per la Comissió de Govern amb data de 17/03/2016 [http://hdl.handle.net/11703/97206]","","","","","application/pdf","19 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (19-04-2016)","","","http://hdl.handle.net/11703/96971","cat","","","","","","","","","","","http://hdl.handle.net/11703/97206","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cooperació internacional | Justícia | Moviment antiglobalització | International cooperation | Justice | Anti-globalization movement | Cooperación internacional | Justicia | Movimientos antiglobalización","Societat i benestar","ajuts i subvencions","Programa de Cooperació per a la Justícia Global 2016- (Barcelona) | Programa de Cooperació per a la Justícia Global a Ciutats Específiques 2016- (Barcelona) | Programa d'Educació per a la Justícia Global 2016- (Barcelona)","Subvencions en el marc de diversos programes 2016 : convocatòria","","text","info:eu-repo/semantics/other",""
