"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Taxa_mil_hab","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Taxa per mil habitants",82.2
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Taxa per mil habitants",89.6
2019,1,"Ciutat Vella",3,"la Barceloneta","Taxa per mil habitants",83.7
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Taxa per mil habitants",80.2
2019,2,"Eixample",5,"el Fort Pienc","Taxa per mil habitants",35.8
2019,2,"Eixample",6,"la Sagrada Família","Taxa per mil habitants",36.3
2019,2,"Eixample",7,"la Dreta de l'Eixample","Taxa per mil habitants",43.0
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Taxa per mil habitants",46.5
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Taxa per mil habitants",35.9
2019,2,"Eixample",10,"Sant Antoni","Taxa per mil habitants",38.6
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Taxa per mil habitants",49.8
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Taxa per mil habitants",31.8
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Taxa per mil habitants",23.6
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Taxa per mil habitants",34.7
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Taxa per mil habitants",41.3
2019,3,"Sants-Montjuïc",16,"la Bordeta","Taxa per mil habitants",22.7
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Taxa per mil habitants",29.9
2019,3,"Sants-Montjuïc",18,"Sants","Taxa per mil habitants",31.2
2019,4,"Les Corts",19,"les Corts","Taxa per mil habitants",24.5
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Taxa per mil habitants",26.3
2019,4,"Les Corts",21,"Pedralbes","Taxa per mil habitants",35.4
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Taxa per mil habitants",15.8
