"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Sexe","Edat_mitjana"
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Home",34.0
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Home",33.4
2019,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Home",33.5
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Home",32.6
2019,3,"Sants-Montjuïc",18,"Sants","Alta","Home",32.8
2019,4,"Les Corts",19,"les Corts","Alta","Home",32.9
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Home",32.2
2019,4,"Les Corts",21,"Pedralbes","Alta","Home",31.5
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Home",31.7
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Home",32.3
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Home",32.6
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Alta","Home",33.4
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Alta","Home",33.8
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Alta","Home",33.5
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Alta","Home",33.5
2019,6,"Gràcia",29,"el Coll","Alta","Home",30.9
2019,6,"Gràcia",30,"la Salut","Alta","Home",32.5
2019,6,"Gràcia",31,"la Vila de Gràcia","Alta","Home",33.0
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Alta","Home",33.1
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Alta","Home",35.9
2019,7,"Horta-Guinardó",34,"Can Baró","Alta","Home",34.6
2019,7,"Horta-Guinardó",35,"el Guinardó","Alta","Home",33.5
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Alta","Home",34.0
2019,7,"Horta-Guinardó",37,"el Carmel","Alta","Home",32.7
2019,7,"Horta-Guinardó",38,"la Teixonera","Alta","Home",31.5
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","Home",32.8
2019,7,"Horta-Guinardó",40,"Montbau","Alta","Home",37.5
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Alta","Home",35.1
2019,7,"Horta-Guinardó",42,"la Clota","Alta","Home",33.3
2019,7,"Horta-Guinardó",43,"Horta","Alta","Home",32.6
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Alta","Home",34.2
2019,8,"Nou Barris",45,"Porta","Alta","Home",32.8
2019,8,"Nou Barris",46,"el Turó de la Peira","Alta","Home",30.8
2019,8,"Nou Barris",47,"Can Peguera","Alta","Home",27.4
2019,8,"Nou Barris",48,"la Guineueta","Alta","Home",31.8
2019,8,"Nou Barris",49,"Canyelles","Alta","Home",34.1
2019,8,"Nou Barris",50,"les Roquetes","Alta","Home",30.6
2019,8,"Nou Barris",51,"Verdun","Alta","Home",32.4
2019,8,"Nou Barris",52,"la Prosperitat","Alta","Home",33.5
2019,8,"Nou Barris",53,"la Trinitat Nova","Alta","Home",32.3
2019,8,"Nou Barris",54,"Torre Baró","Alta","Home",33.2
2019,8,"Nou Barris",55,"Ciutat Meridiana","Alta","Home",27.6
2019,8,"Nou Barris",56,"Vallbona","Alta","Home",44.6
2019,9,"Sant Andreu",57,"la Trinitat Vella","Alta","Home",30.3
2019,9,"Sant Andreu",58,"Baró de Viver","Alta","Home",35.8
2019,9,"Sant Andreu",59,"el Bon Pastor","Alta","Home",34.2
2019,9,"Sant Andreu",60,"Sant Andreu","Alta","Home",32.1
2019,9,"Sant Andreu",61,"la Sagrera","Alta","Home",32.1
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Alta","Home",32.7
2019,9,"Sant Andreu",63,"Navas","Alta","Home",34.2
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Alta","Home",33.4
2019,10,"Sant Martí",65,"el Clot","Alta","Home",32.4
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Alta","Home",34.1
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Alta","Home",33.1
2019,10,"Sant Martí",68,"el Poblenou","Alta","Home",32.3
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Alta","Home",33.3
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Alta","Home",30.8
2019,10,"Sant Martí",71,"Provençals del Poblenou","Alta","Home",31.6
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Alta","Home",32.1
2019,10,"Sant Martí",73,"la Verneda i la Pau","Alta","Home",32.9
2019,1,"Ciutat Vella",1,"el Raval","Alta","Dona",31.9
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Alta","Dona",32.4
2019,1,"Ciutat Vella",3,"la Barceloneta","Alta","Dona",33.9
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Alta","Dona",34.0
2019,2,"Eixample",5,"el Fort Pienc","Alta","Dona",35.3
2019,2,"Eixample",6,"la Sagrada Família","Alta","Dona",34.9
2019,2,"Eixample",7,"la Dreta de l'Eixample","Alta","Dona",36.5
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Alta","Dona",35.8
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Alta","Dona",34.8
2019,2,"Eixample",10,"Sant Antoni","Alta","Dona",34.7
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Alta","Dona",33.5
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Alta","Dona",25.5
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Alta","Dona",33.4
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Alta","Dona",34.2
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Alta","Dona",36.4
2019,3,"Sants-Montjuïc",16,"la Bordeta","Alta","Dona",36.0
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Alta","Dona",35.2
2019,3,"Sants-Montjuïc",18,"Sants","Alta","Dona",33.7
2019,4,"Les Corts",19,"les Corts","Alta","Dona",35.1
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Alta","Dona",33.8
2019,4,"Les Corts",21,"Pedralbes","Alta","Dona",34.3
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Alta","Dona",36.8
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Alta","Dona",35.5
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Alta","Dona",34.7
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Alta","Dona",34.9
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Alta","Dona",36.2
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Alta","Dona",35.6
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Alta","Dona",35.5
2019,6,"Gràcia",29,"el Coll","Alta","Dona",35.4
2019,6,"Gràcia",30,"la Salut","Alta","Dona",35.4
2019,6,"Gràcia",31,"la Vila de Gràcia","Alta","Dona",34.1
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Alta","Dona",34.8
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Alta","Dona",34.9
2019,7,"Horta-Guinardó",34,"Can Baró","Alta","Dona",34.2
2019,7,"Horta-Guinardó",35,"el Guinardó","Alta","Dona",35.3
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Alta","Dona",32.4
2019,7,"Horta-Guinardó",37,"el Carmel","Alta","Dona",34.1
2019,7,"Horta-Guinardó",38,"la Teixonera","Alta","Dona",36.3
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Alta","Dona",34.1
2019,7,"Horta-Guinardó",40,"Montbau","Alta","Dona",37.3
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Alta","Dona",37.4
2019,7,"Horta-Guinardó",42,"la Clota","Alta","Dona",37.4
2019,7,"Horta-Guinardó",43,"Horta","Alta","Dona",35.5
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Alta","Dona",33.3
2019,8,"Nou Barris",45,"Porta","Alta","Dona",34.3
2019,8,"Nou Barris",46,"el Turó de la Peira","Alta","Dona",34.9
2019,8,"Nou Barris",47,"Can Peguera","Alta","Dona",33.0
2019,8,"Nou Barris",48,"la Guineueta","Alta","Dona",34.4
2019,8,"Nou Barris",49,"Canyelles","Alta","Dona",35.0
2019,8,"Nou Barris",50,"les Roquetes","Alta","Dona",33.1
2019,8,"Nou Barris",51,"Verdun","Alta","Dona",33.2
2019,8,"Nou Barris",52,"la Prosperitat","Alta","Dona",32.8
2019,8,"Nou Barris",53,"la Trinitat Nova","Alta","Dona",29.5
2019,8,"Nou Barris",54,"Torre Baró","Alta","Dona",27.6
2019,8,"Nou Barris",55,"Ciutat Meridiana","Alta","Dona",30.9
2019,8,"Nou Barris",56,"Vallbona","Alta","Dona",31.1
2019,9,"Sant Andreu",57,"la Trinitat Vella","Alta","Dona",32.4
2019,9,"Sant Andreu",58,"Baró de Viver","Alta","Dona",32.1
2019,9,"Sant Andreu",59,"el Bon Pastor","Alta","Dona",34.8
2019,9,"Sant Andreu",60,"Sant Andreu","Alta","Dona",35.8
2019,9,"Sant Andreu",61,"la Sagrera","Alta","Dona",34.9
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Alta","Dona",35.2
2019,9,"Sant Andreu",63,"Navas","Alta","Dona",35.4
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Alta","Dona",35.3
2019,10,"Sant Martí",65,"el Clot","Alta","Dona",34.6
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Alta","Dona",32.8
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Alta","Dona",35.9
2019,10,"Sant Martí",68,"el Poblenou","Alta","Dona",34.3
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Alta","Dona",32.4
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Alta","Dona",31.5
2019,10,"Sant Martí",71,"Provençals del Poblenou","Alta","Dona",34.0
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Alta","Dona",35.1
2019,10,"Sant Martí",73,"la Verneda i la Pau","Alta","Dona",34.9
2019,1,"Ciutat Vella",1,"el Raval","Baixa","Home",32.1
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Baixa","Home",33.7
2019,1,"Ciutat Vella",3,"la Barceloneta","Baixa","Home",33.2
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Baixa","Home",33.4
2019,2,"Eixample",5,"el Fort Pienc","Baixa","Home",34.0
2019,2,"Eixample",6,"la Sagrada Família","Baixa","Home",33.0
2019,2,"Eixample",7,"la Dreta de l'Eixample","Baixa","Home",34.7
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Baixa","Home",34.2
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Baixa","Home",33.7
2019,2,"Eixample",10,"Sant Antoni","Baixa","Home",32.6
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Baixa","Home",32.4
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Baixa","Home",39.4
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Baixa","Home",32.9
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Baixa","Home",31.5
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Baixa","Home",33.0
2019,3,"Sants-Montjuïc",16,"la Bordeta","Baixa","Home",34.4
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Baixa","Home",32.2
2019,3,"Sants-Montjuïc",18,"Sants","Baixa","Home",32.9
2019,4,"Les Corts",19,"les Corts","Baixa","Home",33.3
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Baixa","Home",33.0
2019,4,"Les Corts",21,"Pedralbes","Baixa","Home",34.6
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Baixa","Home",33.9
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Baixa","Home",31.3
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Baixa","Home",34.0
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Baixa","Home",32.6
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Baixa","Home",34.3
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Baixa","Home",33.2
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Baixa","Home",32.9
2019,6,"Gràcia",29,"el Coll","Baixa","Home",33.5
2019,6,"Gràcia",30,"la Salut","Baixa","Home",30.8
2019,6,"Gràcia",31,"la Vila de Gràcia","Baixa","Home",33.7
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Baixa","Home",32.8
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Baixa","Home",32.3
2019,7,"Horta-Guinardó",34,"Can Baró","Baixa","Home",32.6
2019,7,"Horta-Guinardó",35,"el Guinardó","Baixa","Home",34.0
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Baixa","Home",35.2
2019,7,"Horta-Guinardó",37,"el Carmel","Baixa","Home",33.2
2019,7,"Horta-Guinardó",38,"la Teixonera","Baixa","Home",33.9
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Baixa","Home",31.8
2019,7,"Horta-Guinardó",40,"Montbau","Baixa","Home",34.0
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Baixa","Home",37.0
2019,7,"Horta-Guinardó",42,"la Clota","Baixa","Home",42.0
2019,7,"Horta-Guinardó",43,"Horta","Baixa","Home",32.9
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Baixa","Home",32.5
2019,8,"Nou Barris",45,"Porta","Baixa","Home",32.9
2019,8,"Nou Barris",46,"el Turó de la Peira","Baixa","Home",31.0
2019,8,"Nou Barris",47,"Can Peguera","Baixa","Home",32.3
2019,8,"Nou Barris",48,"la Guineueta","Baixa","Home",33.5
2019,8,"Nou Barris",49,"Canyelles","Baixa","Home",31.9
2019,8,"Nou Barris",50,"les Roquetes","Baixa","Home",32.1
2019,8,"Nou Barris",51,"Verdun","Baixa","Home",32.2
2019,8,"Nou Barris",52,"la Prosperitat","Baixa","Home",31.9
2019,8,"Nou Barris",53,"la Trinitat Nova","Baixa","Home",30.7
2019,8,"Nou Barris",54,"Torre Baró","Baixa","Home",31.9
2019,8,"Nou Barris",55,"Ciutat Meridiana","Baixa","Home",29.5
2019,8,"Nou Barris",56,"Vallbona","Baixa","Home",36.7
2019,9,"Sant Andreu",57,"la Trinitat Vella","Baixa","Home",31.8
2019,9,"Sant Andreu",58,"Baró de Viver","Baixa","Home",28.3
2019,9,"Sant Andreu",59,"el Bon Pastor","Baixa","Home",32.3
2019,9,"Sant Andreu",60,"Sant Andreu","Baixa","Home",32.1
2019,9,"Sant Andreu",61,"la Sagrera","Baixa","Home",32.1
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Baixa","Home",33.2
2019,9,"Sant Andreu",63,"Navas","Baixa","Home",34.4
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Baixa","Home",33.8
2019,10,"Sant Martí",65,"el Clot","Baixa","Home",32.7
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Baixa","Home",32.4
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Baixa","Home",32.9
2019,10,"Sant Martí",68,"el Poblenou","Baixa","Home",32.8
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Baixa","Home",32.1
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Baixa","Home",30.5
2019,10,"Sant Martí",71,"Provençals del Poblenou","Baixa","Home",31.3
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Baixa","Home",34.5
