"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloc_de_naixement","Nombre"
2019,1,"Ciutat Vella",1,"el Raval","Andalusia",28
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Andalusia",8
2019,1,"Ciutat Vella",3,"la Barceloneta","Andalusia",10
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Andalusia",11
2019,2,"Eixample",5,"el Fort Pienc","Andalusia",4
2019,2,"Eixample",6,"la Sagrada Família","Andalusia",13
2019,2,"Eixample",7,"la Dreta de l'Eixample","Andalusia",17
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Andalusia",7
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Andalusia",13
2019,2,"Eixample",10,"Sant Antoni","Andalusia",17
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Andalusia",16
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Andalusia",1
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Andalusia",10
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Andalusia",5
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Andalusia",6
2019,3,"Sants-Montjuïc",16,"la Bordeta","Andalusia",7
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Andalusia",8
2019,3,"Sants-Montjuïc",18,"Sants","Andalusia",18
2019,4,"Les Corts",19,"les Corts","Andalusia",8
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Andalusia",12
2019,4,"Les Corts",21,"Pedralbes","Andalusia",1
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Andalusia",0
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Andalusia",2
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Andalusia",1
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Andalusia",4
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Andalusia",9
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Andalusia",8
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Andalusia",10
2019,6,"Gràcia",29,"el Coll","Andalusia",6
2019,6,"Gràcia",30,"la Salut","Andalusia",5
2019,6,"Gràcia",31,"la Vila de Gràcia","Andalusia",21
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Andalusia",9
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Andalusia",8
