"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_quinquennal","Nombre"
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","< 25 anys",34
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","< 25 anys",11
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","< 25 anys",8
2020,7,"Horta-Guinardó",40,"Montbau","Dona","< 25 anys",4
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","< 25 anys",1
2020,7,"Horta-Guinardó",42,"la Clota","Dona","< 25 anys",1
2020,7,"Horta-Guinardó",43,"Horta","Dona","< 25 anys",25
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","< 25 anys",19
2020,8,"Nou Barris",45,"Porta","Dona","< 25 anys",12
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","< 25 anys",11
2020,8,"Nou Barris",47,"Can Peguera","Dona","< 25 anys",0
2020,8,"Nou Barris",48,"la Guineueta","Dona","< 25 anys",2
2020,8,"Nou Barris",49,"Canyelles","Dona","< 25 anys",1
2020,8,"Nou Barris",50,"les Roquetes","Dona","< 25 anys",14
2020,8,"Nou Barris",51,"Verdun","Dona","< 25 anys",15
2020,8,"Nou Barris",52,"la Prosperitat","Dona","< 25 anys",11
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","< 25 anys",7
2020,8,"Nou Barris",54,"Torre Baró","Dona","< 25 anys",2
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","< 25 anys",8
2020,8,"Nou Barris",56,"Vallbona","Dona","< 25 anys",0
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","< 25 anys",7
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","< 25 anys",2
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","< 25 anys",11
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","< 25 anys",37
2020,9,"Sant Andreu",61,"la Sagrera","Dona","< 25 anys",10
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","< 25 anys",5
2020,9,"Sant Andreu",63,"Navas","Dona","< 25 anys",17
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","< 25 anys",31
2020,10,"Sant Martí",65,"el Clot","Dona","< 25 anys",15
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","< 25 anys",15
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","< 25 anys",7
2020,10,"Sant Martí",68,"el Poblenou","Dona","< 25 anys",25
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","< 25 anys",6
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","< 25 anys",17
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","< 25 anys",11
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","< 25 anys",10
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","< 25 anys",12
2020,1,"Ciutat Vella",1,"el Raval","Dona","25-29 anys",282
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","25-29 anys",148
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","25-29 anys",148
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","25-29 anys",227
2020,2,"Eixample",5,"el Fort Pienc","Dona","25-29 anys",136
2020,2,"Eixample",6,"la Sagrada Família","Dona","25-29 anys",226
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","25-29 anys",228
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","25-29 anys",246
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","25-29 anys",276
2020,2,"Eixample",10,"Sant Antoni","Dona","25-29 anys",150
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","25-29 anys",170
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","25-29 anys",2
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","25-29 anys",46
