"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400077031,"Contenidor de Sal *Mas Sauró - Camí de la Reineta (Transformador)","#","Camí","Reineta",20,20,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.417127,2.097055,424541.323,4585457.137,424633.2,4585658.101,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400077032,"Contenidor de Sal *Camí de la Reina - Escales Ciureny","#","Camí","Reineta",12,12,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.417983,2.096321,424480.976,4585552.846,424572.85299999994,4585753.811000001,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400077034,"Contenidor de Sal *Escola Pirineu","#","C","Josep Serrano",64,64,34,"Can Baró",7,"Horta-Guinardó",8024,19,"BARCELONA",41.417164,2.162584,430017.619,4585406.244,430109.547,4585607.209,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286094,"Contenidor de Sal *Plaça Cim del Tibidabo","#","Pl","Tibidabo",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8035,19,"BARCELONA",41.421609000000004,2.1187419999999997,426358.78,4585936.051,426450.674,4586137.02,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286095,"Contenidor de Sal *Carrer Queralt - Actriu Tubau (Escales Queralt)","#","C","Queralt",16,16,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.413973999999996,2.105404,425235.468,4585099.881,425327.352,4585300.842,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286096,"Contenidor de Sal *Navarro i Reverter - Manelic","#","C","Navarro i Reverter",21,21,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.41603,2.1060659999999998,425293.124,4585327.513,425385.008,4585528.476,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286099,"Contenidor de Sal *Pelfort (Escales) - Múrgola","#","Camí","Múrgola",2,2,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.412812,2.0987400000000003,424677.16,4584976.698,424769.039,4585177.658,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286100,"Contenidor de Sal *Mont d'Orsà - Turó","#","C","Turó",4,4,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.412262,2.103574,425080.55100000004,4584911.377,425172.43299999996,4585112.336,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286101,"Contenidor de Sal *Major de Rectoret - Marco Polo","#","C","Major del Rectoret",144,144,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.429714000000004,2.0950189999999997,424385.765,4586856.355,424477.64,4587057.3319999995,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286102,"Contenidor de Sal *Vesc - Margalló","#","C","Margalló",2,2,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.425191999999996,2.09375,424274.487,4586355.379,424366.36100000003,4586556.352,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286104,"Contenidor de Sal *Violer - Madame Buterfly","#","C","Violer",8,8,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.428083,2.0994639999999998,424755.261,4586671.442,424847.14,4586872.4180000005,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286105,"Contenidor de Sal *Palafolls - Bosc","#","C","Palafolls",1,1,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.411004,2.112161,425796.721,4584764.328,425888.61,4584965.286,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286106,"Contenidor de Sal *Palafolls","#","C","Palafolls",28,28,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.409471999999994,2.1139189999999997,425941.92,4584592.7360000005,426033.81,4584793.693,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400286143,"Contenidor de Sal *Camí Boscà","#","Camí","Boscà",8,8,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.413502,2.1098310000000002,425604.83700000006,4585043.655,425696.724,4585244.616,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
