"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Vehicles","Antiguitat","Nombre"
2019,"1","Ciutat Vella","1","el Raval","Altres vehicles","D'11 a 20 anys",93
2019,"1","Ciutat Vella","1","el Raval","Altres vehicles","Més de 20 anys",50
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","Menys d'un any d'antiguitat",88
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","1 any",127
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","2 anys",178
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","3 anys",648
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","4 anys",252
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","5 anys",612
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","6 anys",98
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","7 anys",92
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","8 anys",86
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","9 anys",178
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","10 anys",94
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","D'11 a 20 anys",1645
2019,"1","Ciutat Vella","2","el Barri Gòtic","Turismes","Més de 20 anys",721
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","Menys d'un any d'antiguitat",86
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","1 any",100
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","2 anys",116
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","3 anys",146
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","4 anys",262
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","5 anys",171
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","6 anys",207
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","7 anys",223
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","8 anys",283
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","9 anys",254
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","10 anys",266
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","D'11 a 20 anys",1409
2019,"1","Ciutat Vella","2","el Barri Gòtic","Motos","Més de 20 anys",383
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","Menys d'un any d'antiguitat",6
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","1 any",1
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","2 anys",4
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","3 anys",13
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","4 anys",28
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","5 anys",34
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","6 anys",7
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","7 anys",17
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","8 anys",1
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","9 anys",15
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","10 anys",13
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","D'11 a 20 anys",378
2019,"1","Ciutat Vella","2","el Barri Gòtic","Ciclomotors","Més de 20 anys",3
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","Menys d'un any d'antiguitat",9
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","1 any",14
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","2 anys",126
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","3 anys",148
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","4 anys",63
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","5 anys",277
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","6 anys",50
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","7 anys",33
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","8 anys",61
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","9 anys",196
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","10 anys",36
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","D'11 a 20 anys",375
2019,"1","Ciutat Vella","2","el Barri Gòtic","Furgonetes","Més de 20 anys",173
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","Menys d'un any d'antiguitat",4
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","1 any",8
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","2 anys",14
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","3 anys",13
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","4 anys",14
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","5 anys",46
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","6 anys",5
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","7 anys",20
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","8 anys",10
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","9 anys",37
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","10 anys",205
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","D'11 a 20 anys",413
2019,"1","Ciutat Vella","2","el Barri Gòtic","Camions","Més de 20 anys",157
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","Menys d'un any d'antiguitat",4
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","1 any",5
2019,"1","Ciutat Vella","2","el Barri Gòtic","Altres vehicles","2 anys",32
