"Any","Codi_Districte","Nom_Districte","Codi_Barri","Desc_Barri","Tipus_vehicle","Nombre"
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Motos",96.0
2018,1,"Ciutat Vella",3,"la Barceloneta","Motos",115.0
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Motos",166.0
2018,2,"Eixample",5,"el Fort Pienc","Motos",251.0
2018,2,"Eixample",6,"la Sagrada Família","Motos",417.0
2018,2,"Eixample",7,"la Dreta de l'Eixample","Motos",505.0
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Motos",476.0
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Motos",532.0
2018,2,"Eixample",10,"Sant Antoni","Motos",242.0
2018,3,"Sants-Montjuïc",11,"el Poble Sec - AEI Parc Montjuïc","Motos",214.0
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermelll - AEI Zona Franca","Motos",33.0
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Motos",250.0
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Motos",61.0
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Motos",89.0
2018,3,"Sants-Montjuïc",16,"la Bordeta","Motos",114.0
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Motos",161.0
2018,3,"Sants-Montjuïc",18,"Sants","Motos",281.0
2018,4,"Les Corts",19,"les Corts","Motos",406.0
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Motos",227.0
2018,4,"Les Corts",21,"Pedralbes","Motos",141.0
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Motos",50.0
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Motos",240.0
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Motos",221.0
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Motos",673.0
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Motos",941.0
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Motos",378.0
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Motos",149.0
2018,6,"Gràcia",29,"el Coll","Motos",74.0
2018,6,"Gràcia",30,"la Salut","Motos",105.0
2018,6,"Gràcia",31,"la Vila de Gràcia","Motos",355.0
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Motos",298.0
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Motos",202.0
2018,7,"Horta-Guinardó",34,"Can Baró","Motos",82.0
2018,7,"Horta-Guinardó",35,"el Guinardó","Motos",274.0
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Motos",100.0
2018,7,"Horta-Guinardó",37,"el Carmel","Motos",259.0
2018,7,"Horta-Guinardó",38,"la Teixonera","Motos",107.0
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Motos",39.0
2018,7,"Horta-Guinardó",40,"Montbau","Motos",34.0
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Motos",31.0
2018,7,"Horta-Guinardó",42,"la Clota","Motos",7.0
2018,7,"Horta-Guinardó",43,"Horta","Motos",217.0
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Motos",153.0
2018,8,"Nou Barris",45,"Porta","Motos",144.0
2018,8,"Nou Barris",46,"el Turó de la Peira","Motos",90.0
2018,8,"Nou Barris",47,"Can Peguera","Motos",14.0
2018,8,"Nou Barris",48,"la Guineueta","Motos",96.0
2018,8,"Nou Barris",49,"Canyelles","Motos",45.0
2018,8,"Nou Barris",50,"les Roquetes","Motos",83.0
2018,8,"Nou Barris",51,"Verdun","Motos",51.0
2018,8,"Nou Barris",52,"la Prosperitat","Motos",160.0
2018,8,"Nou Barris",53,"la Trinitat Nova","Motos",31.0
2018,8,"Nou Barris",54,"Torre Baró","Motos",13.0
2018,8,"Nou Barris",55,"Ciutat Meridiana","Motos",27.0
2018,8,"Nou Barris",56,"Vallbona","Motos",6.0
2018,9,"Sant Andreu",57,"la Trinitat Vella","Motos",46.0
2018,9,"Sant Andreu",58,"Baró de Viver","Motos",8.0
2018,9,"Sant Andreu",59,"el Bon Pastor","Motos",91.0
2018,9,"Sant Andreu",60,"Sant Andreu","Motos",357.0
2018,9,"Sant Andreu",61,"la Sagrera","Motos",178.0
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Motos",82.0
2018,9,"Sant Andreu",63,"Navas","Motos",143.0
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Motos",258.0
2018,10,"Sant Martí",65,"el Clot","Motos",173.0
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Motos",106.0
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Motos",78.0
2018,10,"Sant Martí",68,"el Poblenou","Motos",262.0
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Motos",92.0
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Motos",81.0
2018,10,"Sant Martí",71,"Provençals del Poblenou","Motos",156.0
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Motos",139.0
2018,10,"Sant Martí",73,"la Verneda i la Pau","Motos",131.0
2018,99,"No consta",99,"No consta","Motos",2.0
2018,1,"Ciutat Vella",1,"el Raval","Ciclomotors",24.0
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Ciclomotors",2.0
2018,1,"Ciutat Vella",3,"la Barceloneta","Ciclomotors",7.0
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Ciclomotors",1.4669999999999999
2018,2,"Eixample",5,"el Fort Pienc","Ciclomotors",15.0
2018,2,"Eixample",6,"la Sagrada Família","Ciclomotors",15.0
2018,2,"Eixample",7,"la Dreta de l'Eixample","Ciclomotors",25.0
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Ciclomotors",27.0
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Ciclomotors",25.0
2018,2,"Eixample",10,"Sant Antoni","Ciclomotors",15.0
2018,3,"Sants-Montjuïc",11,"el Poble Sec - AEI Parc Montjuïc","Ciclomotors",12.0
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermelll - AEI Zona Franca","Ciclomotors",0.0
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Ciclomotors",17.0
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Ciclomotors",6.0
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Ciclomotors",4.0
2018,3,"Sants-Montjuïc",16,"la Bordeta","Ciclomotors",4.0
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Ciclomotors",6.0
2018,3,"Sants-Montjuïc",18,"Sants","Ciclomotors",13.0
2018,4,"Les Corts",19,"les Corts","Ciclomotors",316.0
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Ciclomotors",10.0
2018,4,"Les Corts",21,"Pedralbes","Ciclomotors",5.0
