"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400173986,"Punt de Recollida d'Arbres al Passeig Valldaura-Mercat Guineueta","#","Pg","Valldaura",186,186,48,"la Guineueta",8,"Nou Barris",8042,19,"BARCELONA",41.438675,2.1702630000000003,430682.214,4587788.2,430774.14700000006,4587989.188,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173986,"Punt de Recollida d'Arbres al Passeig Valldaura-Mercat Guineueta","#","Pg","Valldaura",186,186,48,"la Guineueta",8,"Nou Barris",8042,19,"BARCELONA",41.438675,2.1702630000000003,430682.214,4587788.2,430774.14700000006,4587989.188,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173987,"Punt de Recollida d'Arbres a la Plaça Olivereta","#","Pl","Olivereta",1,1,17,"Sants - Badal",3,"Sants-Montjuïc",8028,19,"BARCELONA",41.372468,2.129106,427170.023,4580471.727,427261.92600000004,4580672.646000001,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173987,"Punt de Recollida d'Arbres a la Plaça Olivereta","#","Pl","Olivereta",1,1,17,"Sants - Badal",3,"Sants-Montjuïc",8028,19,"BARCELONA",41.372468,2.129106,427170.023,4580471.727,427261.92600000004,4580672.646000001,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173988,"Punt de Recollida d'Arbres a Vilardell - Sant Roc","#","C","Vilardell",54,54,15,"Hostafrancs",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374492,2.145155,428514.31899999996,4580683.028,428606.234,4580883.949,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173988,"Punt de Recollida d'Arbres a Vilardell - Sant Roc","#","C","Vilardell",54,54,15,"Hostafrancs",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374492,2.145155,428514.31899999996,4580683.028,428606.234,4580883.949,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173989,"Punt de Recollida d'Arbres al Passeig Fabra i Puig-Pere d'Artés","#","Pg","Fabra i Puig",270,272,46,"el Turó de la Peira",8,"Nou Barris",8031,19,"BARCELONA",41.430483,2.173608,430952.982,4586876.018999999,431044.91799999995,4587076.998,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173989,"Punt de Recollida d'Arbres al Passeig Fabra i Puig-Pere d'Artés","#","Pg","Fabra i Puig",270,272,46,"el Turó de la Peira",8,"Nou Barris",8031,19,"BARCELONA",41.430483,2.173608,430952.982,4586876.018999999,431044.91799999995,4587076.998,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173990,"Punt de Recollida d'Arbres a la Plaça de Sants - Placeta Ramon Torres Casanova","#","Pl","Sants",1,1,18,"Sants",3,"Sants-Montjuïc",8028,19,"BARCELONA",41.375712,2.1347080000000003,427642.10299999994,4580827.15,427734.01,4581028.072,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173990,"Punt de Recollida d'Arbres a la Plaça de Sants - Placeta Ramon Torres Casanova","#","Pl","Sants",1,1,18,"Sants",3,"Sants-Montjuïc",8028,19,"BARCELONA",41.375712,2.1347080000000003,427642.10299999994,4580827.15,427734.01,4581028.072,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
