"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Centre Cívic Can Clariana Cultural",9,"Sant Andreu",62.0,"el Congrés i els Indians","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.42751810000001,2.178412,"http://ajuntament.barcelona.cat/ccivics/canclarianacultural",""
"Centre Cívic Can Deu",4,"Les Corts",19.0,"les Corts","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.1325020759999997,"http://www.cccandeu.com",""
"Centre Cívic Can Felipa",10,"Sant Martí",68.0,"el Poblenou","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526,"http://www.cccanfelipa.cat",""
"Centre Cívic Can Verdaguer",8,"Nou Barris",45.0,"Porta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.1790802780000003,"http://www.canverdaguer.com",""
"Centre Cívic Casa del Rellotge",3,"Sants-Montjuïc",13.0,"la Marina de Port","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.1413899219999997,"http://ccivics.bcn.cat/casadelrellotge",""
"Centre Cívic Casa Groga",7,"Horta-Guinardó",39.0,"Sant Genís dels Agudells","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.42686342,2.137450112,"http://ccivics.bcn.cat/casagroga",""
"Centre Cívic Casa Orlandai",5,"Sarrià-Sant Gervasi",23.0,"Sarrià","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447,"http://ccivics.bcn.cat/casaorlandai",""
"Centre Cívic Casinet d'Hostafrancs",3,"Sants-Montjuïc",15.0,"Hostafrancs","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377824558,2.1432042730000003,"http://www.cotxeres-casinet.org",""
"Centre Cívic Convent de Sant Agustí",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384000004,2.181711349,"http://www.bcn.cat/centrecivicsantagusti",""
"Centre Cívic Cotxeres Borrell",2,"Eixample",10.0,"Sant Antoni","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076,"http://www.cotxeresborrell.net",""
"Centre Cívic Cotxeres de Sants",3,"Sants-Montjuïc",18.0,"Sants","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024,"http://www.cotxeres-casinet.org",""
"Centre Cívic del Parc - Sandaru",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119,"http://ccivics.bcn.cat/parcsandaru",""
"Centre Cívic Drassanes",1,"Ciutat Vella",1.0,"el Raval","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395,"http://ccivics.bcn.cat/drassanes",""
"Centre Cívic El Carmel",7,"Horta-Guinardó",37.0,"el Carmel","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237,"http://ccivics.bcn.cat/carmel",""
"Centre Cívic El Coll - La Bruguera",6,"Gràcia",29.0,"el Coll","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871,"http://ccivics.bcn.cat/elcoll",""
"Centre Cívic El Sortidor",3,"Sants-Montjuïc",11.0,"el Poble-sec","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066796999995,2.1625317280000003,"http://ccivics.bcn.cat/elsortidor",""
"Centre Cívic Font de la Guatlla",3,"Sants-Montjuïc",14.0,"la Font de la Guatlla","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546,"http://ccivics.bcn.cat/fontdelaguatlla",""
"Centre Cívic Fort Pienc",2,"Eixample",5.0,"el Fort Pienc","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362,"http://www.fortpienc.org",""
