"ID","METODE","DATA","Codi_Districte","Nom_Districte","F0","F1","F2","RENDA","Q1","Q2","EDAT","ID4","ID4_PAIS","ID5","P9","ID7","ID8","ID9","P1","P1A","Q1A","P1B","P2_1","P2_2","P2_3","P2_4","P2_6","P2_7","P2_5","P2_5B","P2","P2A","P2B","P3_1","P3_2","P3_3","P3_0","P3_95","P3_98","P3_99","P4","P5A_1","P5A_2","P5A_3","P5A_4","P5A_5","P5A_6","P5A_7","P5A_8","P5A_9","P5A_10","P5A_11","P5A_12","P5A_13","P5A_14","P5A_15","P5A_16","P5A_17","P5A_18","P5A_19","P5A_20","P5A_18_cod","P6","P7","Q8","P8B","P9B","P10","P10B_1","P10B_2","P10B_3","P10B_4","P10B_5","P10B_6","P10B_95","P10B_98","P10B_99","P11_0","P11_1","P11_2","P11_3","P11_4","P11_5","P11_98","P11_99","P11B","P11C_1","P11C_2","P11C_3","P11C_4","P11C_5","P11C_6","P11C_95","P11C_98","P11C_99","P12","Q12","P13","P13B_1","P13B_2","P13B_3","P13B_4","P13B_5","P13B_98","P13B_99","ID10","ID11","P14","P14_1cod","P14_2cod","P5A_1rec","P5A_2rec","P5A_3rec","P5A_4rec","P5A_5rec","P5A_6rec","P5A_7rec","P5A_8rec","P5A_9rec","P5A_10rec","P5A_11rec","P5A_12rec","P5A_13rec","P5A_14rec","P5A_15rec","P5A_16rec","P5A_17rec","P5A_18rec","P5A_19rec","P5A_20rec","P2_LLAR","Longitud","Latitud","Pes"
5,1,20201015,2,"Eixample",3,1,1,3,1,64,5,1,"",2,"",4,3,0,1,2.0,4.0,"",3,2,1,2,0,0,0,"",1,2.0,95.0,"","","","","","",99.0,1,1.0,1.0,5.0,2.0,4.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,2.0,6,4.0,"","","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,7.0,3,"","","","","","","",3,2,"","","",1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,2.1565662999999997,41.3820816,0.741578
6,1,20201015,5,"Sarrià - Sant Gervasi",3,1,1,5,2,58,5,1,"",1,1.0,4,5,0,1,2.0,98.0,"",7,4,5,1,0,1,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,5.0,4.0,5.0,1.0,2.0,5.0,5.0,2.0,1.0,"",2.0,0,"",1.0,2.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,0.0,3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,17.0,2.140351,41.405319,0.572459
9,1,20201015,7,"Horta - Guinardó",3,1,1,2,2,60,5,1,"",1,99.0,3,2,0,1,2.0,5.0,"",2,2,0,0,0,0,0,"",1,2.0,98.0,"","","","","","",99.0,1,2.0,1.0,2.0,5.0,5.0,5.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,2.0,2.0,"",1.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,10.0,3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.1531397,41.425455799999995,1.7400630000000001
12,1,20201015,2,"Eixample",1,1,1,3,2,78,7,1,"",3,"",1,1,0,1,2.0,5.0,"",2,1,0,0,0,0,0,"",1,1.0,"","","","","","","",99.0,1,2.0,1.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,"",2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,8.0,3,"","","","","","","",3,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.1773727000000003,41.4064214,0.918977
13,1,20201015,1,"Ciutat Vella",2,1,1,3,1,47,4,3,528.0,1,1.0,4,3,1,1,2.0,4.0,"",3,1,3,0,2,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,"",2.0,0,"",1.0,2.0,1.0,"","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",1,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,2.1722853,41.3840826,0.9237799999999999
15,1,20201015,5,"Sarrià - Sant Gervasi",1,1,1,5,2,64,5,1,"",2,"",1,1,0,1,2.0,3.0,"",1,1,1,0,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,"",2.0,6,7.0,"","","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",3,"","","","","","","",4,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.1208923,41.3983698,0.572459
16,1,20201015,2,"Eixample",1,1,1,5,2,70,6,1,"",3,"",1,1,0,1,2.0,5.0,"",1,1,0,1,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,4.0,5.0,5.0,5.0,1.0,98.0,2.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,"",5.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",2,"","","","","","","",3,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,1.0,98.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.1683995,41.4014972,0.637826
18,1,20201015,2,"Eixample",1,1,1,5,1,53,4,1,"",1,4.0,5,2,1,1,2.0,5.0,"",1,1,1,2,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,5.0,1.0,4.0,99.0,5.0,2.0,1.0,"",1.0,0,"",3.0,2.0,1.0,"","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",2,"","","","","","","",4,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,99.0,2.0,1.0,1.0,5.0,2.1649601,41.3865166,0.7253569999999999
20,1,20201015,8,"Nou Barris",2,1,1,1,2,72,6,1,"",3,"",1,1,0,2,"","",6.0,1,0,0,0,0,0,0,"",1,2.0,5.0,"","","","","","",99.0,7,"","","","","","","","","","","","","","","","","","","","","","",0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",2,2,"","","","","","","","","","","","","","","","","","","","","","","",1.0,2.1807152000000003,41.466431899999996,0.5989869999999999
21,1,20201015,9,"Sant Andreu",2,1,1,2,2,51,4,1,"",1,2.0,4,4,0,1,2.0,4.0,"",4,1,3,1,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,4.0,"",1.0,0,"",2.0,0.0,"","","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",2,9.0,3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,9.0,2.1924200000000003,41.439153000000005,1.6428029999999998
23,1,20201015,1,"Ciutat Vella",2,1,1,2,1,30,2,3,68.0,2,"",1,1,0,2,"","",95.0,1,0,0,0,0,0,0,"",1,2.0,1.0,"","","","","","",99.0,2,2.0,1.0,5.0,2.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,"",2.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",3,2,"","","",1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.1799414,41.3843552,1.8377240000000001
24,1,20201015,8,"Nou Barris",1,1,1,1,2,84,7,1,"",3,"",1,1,0,2,"","",6.0,0,0,0,0,0,0,0,"",2,"","","","","","","","",99.0,7,"","","","","","","","","","","","","","","","","","","","","","",0,"",5.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",3,2,"","","","","","","","","","","","","","","","","","","","","","","",0.0,2.1827887,41.4419533,0.616644
25,1,20201015,2,"Eixample",1,1,1,4,2,72,6,1,"",3,"",4,3,0,1,2.0,3.0,"",3,0,1,1,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,"",2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",3,"","","","","","","",3,2,"","","",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.1544537999999998,41.392698700000004,0.705872
26,1,20201015,6,"Gràcia",3,1,1,3,1,74,6,1,"",3,"",3,2,0,1,2.0,4.0,"",1,0,0,1,0,0,0,"",2,"","","","","","","","",99.0,1,1.0,5.0,3.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,1.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,1.0,"",2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",1,1.0,"","","","","","",3,2,"","","",1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.1556072,41.4101006,0.940909
27,1,20201015,2,"Eixample",1,1,1,4,2,68,6,1,"",3,"",1,1,0,1,1.0,3.0,"",1,1,0,1,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,"",1.0,0,"",2.0,"","","","","","","","","","","","","","","",4.0,"","","",1.0,"","","","","","","","","",1,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.1536577,41.3899164,0.705872
28,1,20201015,2,"Eixample",3,1,1,3,1,55,5,1,"",3,"",5,2,0,2,"","",4.0,1,0,0,0,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,2.0,5.0,5.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"",1.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",2,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.1695553,41.4063827,0.741578
29,1,20201015,7,"Horta - Guinardó",3,1,1,2,1,43,3,1,"",1,5.0,1,1,0,1,2.0,5.0,"",1,0,1,0,0,0,0,"",1,1.0,"","","","","","","",99.0,1,1.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,1.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,"",2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",2,"","","","","","","",4,2,"","","",1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.1606786000000002,41.4325808,1.8220919999999998
33,1,20201019,4,"Les Corts",1,1,1,4,2,51,4,1,"",1,4.0,4,4,0,1,2.0,7.0,"",4,1,4,4,0,0,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,1,6.0,"",2.0,"","","","","","","","","","","","","",3.0,4.0,"","","",1.0,"","","","","","","","","",2,8.0,2,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,13.0,2.13746,41.3859,0.730645
34,1,20201021,6,"Gràcia",1,1,1,4,2,47,4,1,"",1,3.0,3,2,0,1,2.0,9.0,"",3,3,3,1,0,1,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,1.0,5.0,4.0,1.0,0,"",1.0,0.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,8.0,2,"","","","","","","",4,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,2.1574761000000002,41.4092276,0.730645
43,1,20201019,8,"Nou Barris",2,1,1,1,2,65,6,1,"",3,"",3,2,0,1,98.0,7.0,"",2,2,1,0,0,1,0,"",1,2.0,95.0,1.0,"","","","","","",1,4.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",2,"","","","","","","",2,2,"","","",1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,2.1837952,41.445482899999995,0.5989869999999999
44,1,20201019,8,"Nou Barris",1,1,1,1,2,63,5,1,"",3,"",4,3,0,1,1.0,5.0,"",2,1,0,1,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,4.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,"",2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",1,1.0,"","","",5.0,"","",2,2,"","","",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.1683081000000004,41.4437556,0.519469
45,1,20201019,8,"Nou Barris",2,1,1,1,1,73,6,1,"",3,"",4,3,0,1,2.0,10.0,"",3,0,0,1,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,5.0,1.0,4.0,1.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,"",1.0,3,6.0,"","","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,2.0,3,"","","","","","","",2,2,"","","",1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.1762709,41.4314422,0.6007359999999999
46,1,20201019,8,"Nou Barris",2,1,1,1,2,60,5,1,"",1,5.0,2,3,0,1,2.0,10.0,"",2,1,1,0,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,4.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,"",1.0,0,"",4.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,6.0,3,"","","","","","","",2,2,"","","",1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.1726213,41.4469075,0.519469
48,1,20201019,6,"Gràcia",2,1,1,3,1,79,7,1,"",3,"",3,2,0,2,"","",7.0,0,2,0,0,0,0,0,"",2,"","","","","",0.0,"","","",7,"","","","","","","","","","","","","","","","","","","","","","",0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",1,2,"","","","","","","","","","","","","","","","","","","","","","","",2.0,2.15044,41.418983700000005,0.925608
49,1,20201019,2,"Eixample",1,1,1,5,1,68,6,1,"",3,"",4,3,0,1,2.0,9.0,"",3,1,2,1,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,3.0,1.0,4.0,5.0,5.0,1.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,"",2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",3,"",2.0,"","",5.0,"","",2,2,"","","",1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,2.1705447999999996,41.39682979999999,0.6212770000000001
50,1,20201019,8,"Nou Barris",2,1,1,1,2,77,7,1,"",3,"",4,3,0,1,2.0,6.0,"",0,2,1,1,0,0,0,"",2,"","","","","",0.0,"","","",1,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"",2.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",3,2,"","","",2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.1745568,41.427712799999995,0.616644
54,1,20201019,5,"Sarrià - Sant Gervasi",1,1,1,5,2,85,7,1,"",3,"",3,2,0,1,1.0,10.0,"",1,0,1,1,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"",2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",2,"","","","","","","",2,2,"","","",1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.1311357999999996,41.3925243,0.6122529999999999
55,1,20201019,6,"Gràcia",2,1,1,4,2,74,6,3,40.0,3,"",1,1,0,1,2.0,7.0,"",1,2,1,0,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,"",1.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.1536075,41.4088333,0.705872
63,1,20201020,2,"Eixample",1,1,1,3,1,68,6,1,"",3,"",3,2,0,1,2.0,10.0,"",3,1,2,0,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,"",1.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,8.0,3,"","","","","","","",4,2,"","","",1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,2.1464292,41.3796794,0.940909
68,1,20201019,9,"Sant Andreu",2,1,1,1,1,48,4,1,"",1,5.0,4,4,1,1,2.0,10.0,"",2,1,1,1,0,0,0,"",2,"","",1.0,"","","","","","",1,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,"",1.0,0,"",1.0,"",1.0,"","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",2,"","","","","","","",2,2,"","","",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,2.2000551,41.446353,0.591631
72,1,20201019,10,"Sant Martí",1,1,1,4,2,58,5,1,"",1,4.0,4,3,0,1,2.0,8.0,"",3,2,2,1,0,0,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,0,"",2.0,2.0,"","","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",0,"",1,"",2.0,3.0,4.0,"","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.1947018,41.3914526,0.695347
73,1,20201019,5,"Sarrià - Sant Gervasi",2,1,1,5,2,74,6,1,"",3,"",1,1,0,1,2.0,3.0,"",1,1,0,1,0,1,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,2.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,3.0,1.0,2.0,1.0,2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.1321091,41.402318799999996,0.637826
88,1,20201019,5,"Sarrià - Sant Gervasi",1,1,1,5,2,75,7,1,"",3,"",3,2,0,2,"","",6.0,2,1,2,0,0,0,0,"",1,1.0,"","","","","","","",99.0,7,"","","","","","","","","","","","","","","","","","","","","","",0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",3,"","","","","","","",5,1,2.0,"",2.0,"","","","","","","","","","","","","","","","","","","","",5.0,2.132392,41.393989700000006,0.6122529999999999
89,1,20201019,8,"Nou Barris",2,1,1,1,2,28,2,1,"",1,4.0,4,4,0,1,2.0,7.0,"",4,0,1,0,0,1,0,"",1,1.0,"",1.0,"","","","","","",1,1.0,1.0,3.0,1.0,2.0,5.0,1.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,5.0,5.0,2.0,1.0,"",1.0,1,5.0,"",2.0,"","","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",2,9.0,3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,2.1771648,41.4608062,0.694187
90,1,20201019,2,"Eixample",2,1,1,3,1,60,5,1,"",1,2.0,3,2,0,1,2.0,8.0,"",2,2,2,0,0,0,1,2.0,1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,5.0,1.0,1.0,"",1.0,0,"",2.0,1.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,6.0,2,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,2.1963356,41.4135169,0.741578
91,1,20201019,6,"Gràcia",1,1,1,4,2,91,7,1,"",3,"",1,1,0,1,1.0,10.0,"",1,0,0,1,0,0,0,"",1,2.0,2.0,1.0,"","","","","","",2,4.0,1.0,4.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"",1.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",2,"","","","","","","",5,2,"","","",1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1503563,41.4047718,0.722758
93,1,20201019,2,"Eixample",1,1,1,4,2,63,5,2,"",1,4.0,3,2,0,1,4.0,9.0,"",2,0,2,0,0,0,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,2.0,1.0,5.0,5.0,2.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,"",1.0,0,"",1.0,0.0,"","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,98.0,2,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.1557075,41.3927174,0.695347
95,1,20201019,6,"Gràcia",2,1,1,3,2,64,5,1,"",2,"",3,2,0,1,2.0,7.0,"",2,0,1,1,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,2.0,1.0,1.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,6.0,3,"","","","","","","",3,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.1668445,41.4064915,0.8096399999999999
