"ID","METODE","DATA","Codi_Districte","Nom_Districte","F0","F1","F2","RENDA","Q1","Q2","EDAT","ID4","ID4_PAIS","ID5","P9","ID7","ID8","ID9","P1","P1A","Q1A","P1B","P2_1","P2_2","P2_3","P2_4","P2_6","P2_7","P2_5","P2_5B","P2","P2A","P2B","P3_1","P3_2","P3_3","P3_0","P3_95","P3_98","P3_99","P4","P5A_1","P5A_2","P5A_3","P5A_4","P5A_5","P5A_6","P5A_7","P5A_8","P5A_9","P5A_10","P5A_11","P5A_12","P5A_13","P5A_14","P5A_15","P5A_16","P5A_17","P5A_18","P5A_19","P5A_20","P5A_18_cod","P6","P7","Q8","P8B","P9B","P10","P10B_1","P10B_2","P10B_3","P10B_4","P10B_5","P10B_6","P10B_95","P10B_98","P10B_99","P11_0","P11_1","P11_2","P11_3","P11_4","P11_5","P11_98","P11_99","P11B","P11C_1","P11C_2","P11C_3","P11C_4","P11C_5","P11C_6","P11C_95","P11C_98","P11C_99","P12","Q12","P13","P13B_1","P13B_2","P13B_3","P13B_4","P13B_5","P13B_98","P13B_99","ID10","ID11","P14","P14_1cod","P14_2cod","P5A_1rec","P5A_2rec","P5A_3rec","P5A_4rec","P5A_5rec","P5A_6rec","P5A_7rec","P5A_8rec","P5A_9rec","P5A_10rec","P5A_11rec","P5A_12rec","P5A_13rec","P5A_14rec","P5A_15rec","P5A_16rec","P5A_17rec","P5A_18rec","P5A_19rec","P5A_20rec","P2_LLAR","Longitud","Latitud","Pes"
1941,1,20201022,7,"Horta - Guinardó",2,1,1,2,1,43,3,3,218.0,1,5.0,4,4,1,1,2.0,8.0,"",4,1,1,1,0,1,1,1.0,1,1.0,"",1.0,"","","","","","",1,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,1.0,5.0,2.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,"",1.0,0,"",2.0,"",1.0,"","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,7.0,3,"","","","","","","",4,2,"","","",1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0,2.1606405,41.4215461,1.8220919999999998
1944,1,20201022,9,"Sant Andreu",1,1,2,2,1,45,4,1,"",2,"",3,2,0,1,2.0,7.0,"",2,1,1,1,0,0,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,5.0,2.0,5.0,4.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,1.0,4.0,2.0,5.0,3.0,1.0,1.0,2.0,2.0,6,9.0,"","","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",2,2,"","","",1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.1877383,41.4240172,1.8575540000000001
1945,1,20201022,2,"Eixample",1,1,1,3,2,74,6,1,"",3,"",1,1,0,1,2.0,7.0,"",1,0,1,0,0,0,0,"",1,1.0,"",1.0,"","","","","","",1,3.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"",1.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",1,"",3,"","","","","","","",3,2,"","","",1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1429443999999997,41.384497499999995,0.91384
1947,1,20201022,2,"Eixample",1,1,1,5,1,71,6,1,"",3,"",3,2,0,1,2.0,8.0,"",2,1,1,0,0,1,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,5.0,1.0,5.0,5.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,0,"",2.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,7.0,3,"","","","","","","",5,2,"","","",1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.1667312,41.3954115,0.6212770000000001
1952,1,20201022,6,"Gràcia",3,1,1,3,2,64,5,1,"",2,"",2,3,0,2,"","",1.0,2,1,0,0,0,0,0,"",2,"","",1.0,"","","","","","",1,2.0,1.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,"",1.0,0,"",3.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,8.0,2,"","","","","","","",4,2,"","","",1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,"","",0.8096399999999999
1953,1,20201022,3,"Sants - Montjuïc",1,1,1,2,1,54,4,3,504.0,2,"",1,1,0,2,"","",2.0,1,0,0,0,0,0,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,1.0,2.0,1.0,0,"",3.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,5.0,1,"","",3.0,4.0,"","","",3,1,2.0,"",3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.171432,41.3773998,1.8575540000000001
1954,1,20201022,4,"Les Corts",2,1,1,4,2,21,1,1,"",5,"",5,3,0,1,2.0,6.0,"",3,1,1,2,2,1,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,5.0,1.0,3.0,5.0,1.0,2.0,2.0,3.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,"",1.0,5,7.0,"","","","","","","","","","","","","",1.0,"","","","","","",1.0,"","","","","","","","","",2,8.0,3,"","","","","","","",4,2,"","","",1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,2.126748,41.3869152,0.818024
1956,1,20201102,2,"Eixample",2,1,1,3,1,28,2,1,"",1,5.0,2,4,0,1,2.0,10.0,"",4,3,4,2,1,1,2,3.0,1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,2.0,2.0,5.0,5.0,1.0,5.0,5.0,3.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,5.0,1.0,1.0,"",1.0,6,5.0,"","","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",0,"",3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,13.0,2.1836949,41.4020844,0.952199
1960,1,20201022,8,"Nou Barris",2,1,1,1,2,56,5,1,"",2,"",4,3,0,1,2.0,9.0,"",2,1,2,0,0,1,0,"",1,1.0,"",1.0,"","","","","","",1,4.0,1.0,3.0,1.0,2.0,5.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,0,"",1.0,"","","","","","","","","","","",0.0,"","","","","","","","","","","","","","","","","",2,10.0,2,"","","","","","","",3,2,"","","",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.1694633999999997,41.3976466,0.519469
1961,1,20201022,8,"Nou Barris",1,1,1,1,2,34,2,1,"",1,99.0,6,5,1,1,2.0,7.0,"",4,2,3,0,0,1,0,"",1,1.0,"",1.0,2.0,"","","","","",1,1.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,0,"",1.0,"",3.0,"","","","","","","","","","","","",3.0,"","","","",1.0,"","","","","","","","","",2,2.0,3,"","","","","","","",5,2,"","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,2.1846596000000003,41.4446995,0.694187
