"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Nacionalitat_propietari","Nombre"
2019,"1","Ciutat Vella","1","el Raval","17","Turismes","Altres nacionalitats",61
2019,"1","Ciutat Vella","1","el Raval","17","Motos","Nacionalitat espanyola",109
2019,"1","Ciutat Vella","1","el Raval","17","Motos","Altres nacionalitats",39
2019,"1","Ciutat Vella","1","el Raval","18","Turismes","Nacionalitat espanyola",135
2019,"1","Ciutat Vella","1","el Raval","18","Turismes","Altres nacionalitats",23
2019,"1","Ciutat Vella","1","el Raval","18","Motos","Nacionalitat espanyola",79
2019,"1","Ciutat Vella","1","el Raval","18","Motos","Altres nacionalitats",21
2019,"1","Ciutat Vella","1","el Raval","19","Turismes","Nacionalitat espanyola",234
2019,"1","Ciutat Vella","1","el Raval","19","Turismes","Altres nacionalitats",95
2019,"1","Ciutat Vella","1","el Raval","19","Motos","Nacionalitat espanyola",124
2019,"1","Ciutat Vella","1","el Raval","19","Motos","Altres nacionalitats",61
2019,"1","Ciutat Vella","1","el Raval","20","Turismes","Nacionalitat espanyola",299
2019,"1","Ciutat Vella","1","el Raval","20","Turismes","Altres nacionalitats",45
2019,"1","Ciutat Vella","1","el Raval","20","Motos","Nacionalitat espanyola",143
2019,"1","Ciutat Vella","1","el Raval","20","Motos","Altres nacionalitats",48
2019,"1","Ciutat Vella","1","el Raval","21","Turismes","Nacionalitat espanyola",393
2019,"1","Ciutat Vella","1","el Raval","21","Turismes","Altres nacionalitats",45
2019,"1","Ciutat Vella","1","el Raval","21","Motos","Nacionalitat espanyola",152
2019,"1","Ciutat Vella","1","el Raval","21","Motos","Altres nacionalitats",51
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Turismes","Nacionalitat espanyola",233
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Turismes","Altres nacionalitats",33
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Motos","Nacionalitat espanyola",120
2019,"1","Ciutat Vella","2","el Barri Gòtic","22","Motos","Altres nacionalitats",27
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Turismes","Nacionalitat espanyola",397
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Turismes","Altres nacionalitats",52
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Motos","Nacionalitat espanyola",207
2019,"1","Ciutat Vella","2","el Barri Gòtic","23","Motos","Altres nacionalitats",54
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Turismes","Nacionalitat espanyola",2037
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Turismes","Altres nacionalitats",32
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Motos","Nacionalitat espanyola",569
2019,"1","Ciutat Vella","2","el Barri Gòtic","25","Motos","Altres nacionalitats",27
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Turismes","Nacionalitat espanyola",240
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Turismes","Altres nacionalitats",66
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Motos","Nacionalitat espanyola",1009
2019,"1","Ciutat Vella","2","el Barri Gòtic","26","Motos","Altres nacionalitats",44
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Turismes","Nacionalitat espanyola",296
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Turismes","Altres nacionalitats",43
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Motos","Nacionalitat espanyola",727
2019,"1","Ciutat Vella","2","el Barri Gòtic","27","Motos","Altres nacionalitats",43
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Turismes","Nacionalitat espanyola",278
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Turismes","Altres nacionalitats",63
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Motos","Nacionalitat espanyola",146
2019,"1","Ciutat Vella","2","el Barri Gòtic","28","Motos","Altres nacionalitats",55
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Turismes","Nacionalitat espanyola",150
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Turismes","Altres nacionalitats",81
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Motos","Nacionalitat espanyola",114
2019,"1","Ciutat Vella","2","el Barri Gòtic","29","Motos","Altres nacionalitats",42
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Turismes","Nacionalitat espanyola",380
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Turismes","Altres nacionalitats",99
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Motos","Nacionalitat espanyola",432
2019,"1","Ciutat Vella","2","el Barri Gòtic","30","Motos","Altres nacionalitats",58
2019,"1","Ciutat Vella","2","el Barri Gòtic","31","Turismes","Nacionalitat espanyola",244
2019,"1","Ciutat Vella","2","el Barri Gòtic","31","Turismes","Altres nacionalitats",95
2019,"1","Ciutat Vella","2","el Barri Gòtic","31","Motos","Nacionalitat espanyola",177
2019,"1","Ciutat Vella","2","el Barri Gòtic","31","Motos","Altres nacionalitats",55
2019,"1","Ciutat Vella","3","la Barceloneta","32","Turismes","Nacionalitat espanyola",387
2019,"1","Ciutat Vella","3","la Barceloneta","32","Turismes","Altres nacionalitats",69
2019,"1","Ciutat Vella","3","la Barceloneta","32","Motos","Nacionalitat espanyola",366
2019,"1","Ciutat Vella","3","la Barceloneta","32","Motos","Altres nacionalitats",73
2019,"1","Ciutat Vella","3","la Barceloneta","33","Turismes","Nacionalitat espanyola",162
2019,"1","Ciutat Vella","3","la Barceloneta","33","Turismes","Altres nacionalitats",48
2019,"1","Ciutat Vella","3","la Barceloneta","33","Motos","Nacionalitat espanyola",93
2019,"1","Ciutat Vella","3","la Barceloneta","33","Motos","Altres nacionalitats",48
2019,"1","Ciutat Vella","3","la Barceloneta","34","Turismes","Nacionalitat espanyola",174
2019,"1","Ciutat Vella","3","la Barceloneta","34","Turismes","Altres nacionalitats",46
2019,"1","Ciutat Vella","3","la Barceloneta","34","Motos","Nacionalitat espanyola",76
2019,"1","Ciutat Vella","3","la Barceloneta","34","Motos","Altres nacionalitats",22
2019,"1","Ciutat Vella","3","la Barceloneta","35","Turismes","Nacionalitat espanyola",202
2019,"1","Ciutat Vella","3","la Barceloneta","35","Turismes","Altres nacionalitats",44
2019,"1","Ciutat Vella","3","la Barceloneta","35","Motos","Nacionalitat espanyola",82
2019,"1","Ciutat Vella","3","la Barceloneta","35","Motos","Altres nacionalitats",32
2019,"1","Ciutat Vella","3","la Barceloneta","36","Turismes","Nacionalitat espanyola",251
2019,"1","Ciutat Vella","3","la Barceloneta","36","Turismes","Altres nacionalitats",28
2019,"1","Ciutat Vella","3","la Barceloneta","36","Motos","Nacionalitat espanyola",95
2019,"1","Ciutat Vella","3","la Barceloneta","36","Motos","Altres nacionalitats",17
2019,"1","Ciutat Vella","3","la Barceloneta","37","Turismes","Nacionalitat espanyola",263
2019,"1","Ciutat Vella","3","la Barceloneta","37","Turismes","Altres nacionalitats",26
2019,"1","Ciutat Vella","3","la Barceloneta","37","Motos","Nacionalitat espanyola",138
2019,"1","Ciutat Vella","3","la Barceloneta","37","Motos","Altres nacionalitats",18
2019,"1","Ciutat Vella","3","la Barceloneta","38","Turismes","Nacionalitat espanyola",198
2019,"1","Ciutat Vella","3","la Barceloneta","38","Turismes","Altres nacionalitats",71
2019,"1","Ciutat Vella","3","la Barceloneta","38","Motos","Nacionalitat espanyola",93
2019,"1","Ciutat Vella","3","la Barceloneta","38","Motos","Altres nacionalitats",50
2019,"1","Ciutat Vella","3","la Barceloneta","39","Turismes","Nacionalitat espanyola",234
2019,"1","Ciutat Vella","3","la Barceloneta","39","Turismes","Altres nacionalitats",37
2019,"1","Ciutat Vella","3","la Barceloneta","39","Motos","Nacionalitat espanyola",126
2019,"1","Ciutat Vella","3","la Barceloneta","39","Motos","Altres nacionalitats",31
2019,"1","Ciutat Vella","3","la Barceloneta","40","Turismes","Nacionalitat espanyola",203
2019,"1","Ciutat Vella","3","la Barceloneta","40","Turismes","Altres nacionalitats",51
2019,"1","Ciutat Vella","3","la Barceloneta","40","Motos","Nacionalitat espanyola",92
2019,"1","Ciutat Vella","3","la Barceloneta","40","Motos","Altres nacionalitats",34
2019,"1","Ciutat Vella","3","la Barceloneta","41","Turismes","Nacionalitat espanyola",221
