"ID_TRAM","UTM_IX","UTM_FX","UTM_IY","UTM_FY","LATITUD_I","LONGITUD_I","LATITUD_F","LONGITUD_F","ID_TARIFA","ID_HORARIO","ID_TARIFA1","ID_HORARIO1","TIPUS_TRAM","ADREÇA","COLOR_RGB","PLACES"
4857,428358.41,428361.76700000005,4580973.225,4580975.353999999,41.377086937663,2.143253057515,41.377106411068,2.1432929448599998,56,13,52.0,13,"VM","ERMENGARDA, 27, C","00FF00",8.0
4857,428368.013,428382.651,4580979.906,4580989.185,41.377147964055,2.143367089097,41.37723283698,2.14354101651,56,13,52.0,13,"VM","ERMENGARDA, 27, C","00FF00",8.0
4859,429745.186,429725.74799999996,4580285.848999999,4580309.848,41.371018399225,2.159914149752,41.371232847582,2.159678972973,56,13,52.0,13,"VM","JULIA, 33, C","00FF00",6.0
4860,429733.055,429702.564,4580274.999,4580180.261,41.370919620673,2.159770372084,41.370063708004,2.1594168131869997,56,13,52.0,13,"VM","MARTRAS, 25, PTGE","00FF00",17.0
4861,429892.18200000003,429887.338,4580274.012,4580262.004,41.370924606370004,2.161672963418,41.370816035291,2.161616438337,56,13,52.0,13,"VM","BLASCO DE GARAY, 66, C","00FF00",8.0
4861,429895.97799999994,429904.00899999996,4580282.91,4580303.343,41.371005076162,2.161717318621,41.371189803872,2.1618109730970003,56,13,52.0,13,"VM","BLASCO DE GARAY, 66, C","00FF00",8.0
4861,429902.584,429894.385,4580299.76,4580279.433999999,41.371157409752,2.161794350327,41.370973631085,2.16169867501,56,13,52.0,13,"VM","BLASCO DE GARAY, 66, C","00FF00",8.0
4861,429909.451,429913.66,4580312.625,4580324.907,41.371273875406,2.161874963477,41.371384858828,2.161923865769,56,13,52.0,13,"VM","BLASCO DE GARAY, 66, C","00FF00",8.0
4862,429917.87700000004,429912.42600000004,4580323.662,4580307.802,41.371374012993,2.1619744272870003,41.371230696454,2.1619110894010003,56,13,52.0,13,"VM","BLASCO DE GARAY, 77, C","00FF00",2.0
4866,429807.965,429814.85799999995,4580250.18,4580246.254,41.370702625899,2.160668847528,41.370667867712996,2.160751712403,56,13,52.0,13,"VM","JULIA, 18, C","00FF00",15.0
