"POLIGON","CAPACITAT","GEOM_WKT"
26257,"C3","MULTIPOLYGON (((429938.314807955 4578762.71123736,429938.312206212 4578762.70949965,429938.309194827 4578762.70865097,429938.306068573 4578762.7087744,429938.303133471 4578762.70985786,429938.300676829 4578762.71179528,429938.29893912 4578762.71439702,429938.298090443 4578762.71740841,429938.298213872 4578762.72053466,429938.299297326 4578762.72346976,429938.301234749 4578762.7259264,430282.081791106 4579080.39151982,430282.084392849 4579080.39325753,430282.087404234 4579080.3941062,430282.090530488 4579080.39398277,430282.09346559 4579080.39289932,430282.095922232 4579080.3909619,430282.097659941 4579080.38836015,430282.098508619 4579080.38534877,430282.098385189 4579080.38222252,430282.097301735 4579080.37928741,430282.095364313 4579080.37683077,429938.314807955 4578762.71123736)))"
31901,"C3","MULTIPOLYGON (((432605.972427596 4585185.72420194,432605.974361758 4585185.72174273,432605.975441317 4585185.71880619,432605.9755606 4585185.71567977,432605.974707929 4585185.71266952,432605.97296677 4585185.71007008,432605.97050756 4585185.70813592,432605.967571023 4585185.70705636,432605.964444608 4585185.70693708,432605.961434351 4585185.70778975,432605.958834916 4585185.70953091,432429.221529948 4585349.45631308,432429.219595786 4585349.45877229,432429.218516226 4585349.46170883,432429.218396944 4585349.46483524,432429.219249615 4585349.4678455,432429.220990774 4585349.47044493,432429.223449984 4585349.47237909,432429.22638652 4585349.47345865,432429.229512935 4585349.47357794,432429.232523192 4585349.47272526,432429.235122627 4585349.47098411,432605.972427596 4585185.72420194)))"
26260,"C3","MULTIPOLYGON (((429170.670729964 4578133.53004938,429170.667673588 4578133.5293806,429170.664560138 4578133.52968902,429170.661694379 4578133.53094446,429170.659356832 4578133.53302402,429170.657776312 4578133.53572414,429170.657107532 4578133.53878051,429170.657415955 4578133.54189396,429170.658671393 4578133.54475972,429170.660750953 4578133.54709727,429170.663451074 4578133.54867779,429419.430814624 4578230.752356,429419.433870999 4578230.75302478,429419.436984449 4578230.75271636,429419.439850208 4578230.75146092,429419.442187755 4578230.74938136,429419.443768275 4578230.74668124,429419.444437056 4578230.74362486,429419.444128632 4578230.74051141,429419.442873195 4578230.73764565,429419.440793635 4578230.73530811,429419.438093514 4578230.73372759,429170.670729964 4578133.53004938)))"
25851,"B2","MULTIPOLYGON (((428869.768011382 4578023.07830935,428869.764964106 4578023.07760026,428869.761846854 4578023.07786754,428869.758964765 4578023.07908503,428869.756599959 4578023.08113353,428869.754983918 4578023.08381255,428869.754274833 4578023.08685982,428869.754542113 4578023.08997707,428869.755759595 4578023.09285916,428869.757808103 4578023.09522397,428869.760487116 4578023.09684001,429165.594538072 4578143.21852162,429165.597585349 4578143.2192307,429165.6007026 4578143.21896342,429165.603584689 4578143.21774594,429165.605949496 4578143.21569743,429165.607565536 4578143.21301842,429165.608274622 4578143.20997114,429165.608007342 4578143.20685389,429165.60678986 4578143.2039718,429165.604741351 4578143.201607,429165.602062339 4578143.19999096,428869.768011382 4578023.07830935)))"
18662,"B1","MULTIPOLYGON (((427666.574418232 4580796.0443269,427666.575763788 4580796.04150233,427666.57617065 4580796.03840021,427666.575598989 4580796.03532419,427666.574104765 4580796.03257537,427666.571834243 4580796.03042283,427666.569009677 4580796.02907728,427666.565907555 4580796.02867042,427666.562831535 4580796.02924208,427666.560082718 4580796.0307363,427666.557930179 4580796.03300682,427636.374838513 4580839.99564671,427636.373492957 4580839.99847127,427636.373086095 4580840.0015734,427636.373657755 4580840.00464942,427636.375151979 4580840.00739823,427636.377422502 4580840.00955077,427636.380247068 4580840.01089633,427636.38334919 4580840.01130319,427636.38642521 4580840.01073153,427636.389174027 4580840.00923731,427636.391326566 4580840.00696678,427666.574418232 4580796.0443269)))"
8396,"C2","MULTIPOLYGON (((433245.976410677 4587023.63363046,433245.974046684 4587023.63567991,433245.972431708 4587023.63835957,433245.971723832 4587023.64140712,433245.971992349 4587023.64452427,433245.973210976 4587023.64740587,433245.975260423 4587023.64976987,433245.977940077 4587023.65138484,433245.980987635 4587023.65209272,433245.98410478 4587023.6518242,433245.986986385 4587023.65060557,433533.471313008 4586844.54425426,433533.473677001 4586844.54220481,433533.475291977 4586844.53952516,433533.475999853 4586844.5364776,433533.475731336 4586844.53336046,433533.474512709 4586844.53047885,433533.472463262 4586844.52811486,433533.469783608 4586844.52649988,433533.46673605 4586844.52579201,433533.463618905 4586844.52606052,433533.4607373 4586844.52727915,433245.976410677 4587023.63363046)))"
8399,"C2","MULTIPOLYGON (((433363.479068806 4587027.05622925,433363.476806682 4587027.05839061,433363.475323173 4587027.06114522,433363.474763494 4587027.06422345,433363.475182431 4587027.06732396,433363.476538975 4587027.07014327,433363.478700339 4587027.07240539,433363.481454952 4587027.0738889,433363.484533175 4587027.07444858,433363.487633689 4587027.07402964,433363.490452995 4587027.0726731,433437.64311841 4586975.73628249,433437.645380534 4586975.73412113,433437.646864043 4586975.73136652,433437.647423722 4586975.72828829,433437.647004785 4586975.72518778,433437.645648241 4586975.72236847,433437.643486877 4586975.72010635,433437.640732264 4586975.71862284,433437.637654041 4586975.71806316,433437.634553526 4586975.7184821,433437.631734221 4586975.71983864,433363.479068806 4587027.05622925)))"
8395,"C2","MULTIPOLYGON (((433473.010681538 4586746.43540989,433473.012987235 4586746.43329507,433473.014526568 4586746.43057126,433473.015148857 4586746.42750508,433473.014793187 4586746.42439668,433473.013494375 4586746.42155031,433473.011379556 4586746.41924462,433473.008655745 4586746.41770528,433473.005589566 4586746.417083,433473.002481158 4586746.41743866,433472.999634795 4586746.41873748,433101.095395415 4586992.83355138,433101.093089718 4586992.8356662,433101.091550384 4586992.83839001,433101.090928096 4586992.84145619,433101.091283765 4586992.8445646,433101.092582578 4586992.84741096,433101.094697396 4586992.84971665,433101.097421208 4586992.85125599,433101.100487387 4586992.85187828,433101.103595794 4586992.85152261,433101.106442157 4586992.8502238,433473.010681538 4586746.43540989)))"
17487,"B2","MULTIPOLYGON (((429524.245965587 4586802.10176917,429524.244873638 4586802.10470112,429524.244741157 4586802.107827,429524.245581111 4586802.11084083,429524.247311279 4586802.1134476,429524.249762301 4586802.11539212,429524.252694253 4586802.11648407,429524.255820136 4586802.11661655,429524.258833967 4586802.1157766,429524.26144073 4586802.11404643,429524.263385258 4586802.11159541,429564.46089287 4586730.8506502,429564.461984818 4586730.84771825,429564.4621173 4586730.84459237,429564.461277346 4586730.84157854,429564.459547178 4586730.83897177,429564.457096156 4586730.83702725,429564.454164203 4586730.8359353,429564.45103832 4586730.83580282,429564.44802449 4586730.83664277,429564.445417726 4586730.83837294,429564.443473199 4586730.84082396,429524.245965587 4586802.10176917)))"
5740,"C3","MULTIPOLYGON (((428582.925221658 4586918.30848268,428582.926808062 4586918.31117935,428582.929150138 4586918.31325381,428582.932018627 4586918.314503,428582.935132742 4586918.31480463,428582.938187652 4586918.31412919,428582.94088432 4586918.31254278,428582.942958779 4586918.31020071,428582.944207964 4586918.30733222,428582.944509599 4586918.3042181,428582.943834155 4586918.30116319,428502.158156891 4586712.8738567,428502.156570487 4586712.87116003,428502.154228411 4586712.86908557,428502.151359922 4586712.86783639,428502.148245807 4586712.86753475,428502.145190897 4586712.86821019,428502.142494229 4586712.8697966,428502.14041977 4586712.87213867,428502.139170585 4586712.87500716,428502.13886895 4586712.87812128,428502.139544394 4586712.88117619,428582.925221658 4586918.30848268)))"
25161,"C3","MULTIPOLYGON (((428168.881344642 4585870.72481814,428168.880016811 4585870.7219852,428168.877878543 4585870.71970123,428168.875139144 4585870.71818981,428168.872066766 4585870.71759889,428168.868962155 4585870.7179863,428168.866129213 4585870.71931413,428168.863845246 4585870.7214524,428168.862333826 4585870.7241918,428168.861742901 4585870.72726418,428168.862130315 4585870.73036879,428178.597362886 4585904.43021761,428178.598690716 4585904.43305055,428178.600828985 4585904.43533452,428178.603568384 4585904.43684594,428178.606640761 4585904.43743686,428178.609745372 4585904.43704945,428178.612578315 4585904.43572162,428178.614862281 4585904.43358335,428178.616373701 4585904.43084395,428178.616964626 4585904.42777157,428178.616577212 4585904.42466696,428168.881344642 4585870.72481814)))"
17381,"A4","MULTIPOLYGON (((432767.166915069 4582680.16320021,432767.169982208 4582680.16258267,432767.172708401 4582680.16104755,432767.174826789 4582680.15874514,432767.176130008 4582680.15590079,432767.176490492 4582680.15279293,432767.175872953 4582680.1497258,432767.174337841 4582680.1469996,432767.172035423 4582680.14488121,432767.169191075 4582680.143578,432767.166083222 4582680.14321751,432744.549918209 4582681.0846919,432744.54685107 4582681.08530944,432744.544124877 4582681.08684455,432744.54200649 4582681.08914697,432744.54070327 4582681.09199132,432744.540342786 4582681.09509917,432744.540960325 4582681.09816631,432744.542495437 4582681.1008925,432744.544797856 4582681.10301089,432744.547642204 4582681.10431411,432744.550750057 4582681.10467459,432767.166915069 4582680.16320021)))"
25784,"C3","MULTIPOLYGON (((428711.164439547 4587265.97841868,428711.165944596 4587265.98116159,428711.168223587 4587265.98330516,428711.171053436 4587265.98463957,428711.174157138 4587265.9850342,428711.177230881 4587265.98445041,428711.179973785 4587265.98294536,428711.182117356 4587265.98066637,428711.183451766 4587265.97783653,428711.183846394 4587265.97473282,428711.183262611 4587265.97165908,428654.289289461 4587107.54242248,428654.287784411 4587107.53967957,428654.28550542 4587107.537536,428654.282675571 4587107.53620159,428654.279571869 4587107.53580697,428654.276498127 4587107.53639075,428654.273755223 4587107.5378958,428654.271611652 4587107.54017479,428654.270277241 4587107.54300464,428654.269882613 4587107.54610834,428654.270466396 4587107.54918208,428711.164439547 4587265.97841868)))"
8723,"B2","MULTIPOLYGON (((427816.674425065 4580672.56149451,427816.674438431 4580672.55836585,427816.673484333 4580672.55538619,427816.671656166 4580672.55284719,427816.669132882 4580672.5509974,427816.666161479 4580672.55001788,427816.663032818 4580672.55000451,427816.660053155 4580672.55095861,427816.657514159 4580672.55278678,427816.655664365 4580672.55531006,427816.654684844 4580672.55828147,427811.881364529 4580701.88444933,427811.881351163 4580701.88757799,427811.882305261 4580701.89055765,427811.884133429 4580701.89309665,427811.886656712 4580701.89494644,427811.889628115 4580701.89592596,427811.892756776 4580701.89593933,427811.89573644 4580701.89498523,427811.898275435 4580701.89315706,427811.900125229 4580701.89063378,427811.90110475 4580701.88766237,427816.674425065 4580672.56149451)))"
25869,"C3","MULTIPOLYGON (((430387.714465354 4588102.68707904,430387.717441703 4588102.68804342,430387.720570392 4588102.68804087,430387.723545161 4588102.68707162,430387.726074819 4588102.68523055,430387.727911747 4588102.68269788,430387.728876132 4588102.67972153,430387.728873575 4588102.67659285,430387.727904324 4588102.67361808,430387.726063258 4588102.67108842,430387.723530593 4588102.66925149,430284.381972057 4588050.12046343,430284.378995708 4588050.11949905,430284.375867019 4588050.1195016,430284.37289225 4588050.12047085,430284.370362592 4588050.12231192,430284.368525664 4588050.12484459,430284.367561279 4588050.12782094,430284.367563836 4588050.13094962,430284.368533086 4588050.13392439,430284.370374152 4588050.13645405,430284.372906818 4588050.13829098,430387.714465354 4588102.68707904)))"
25807,"C3","MULTIPOLYGON (((430284.488256086 4588050.22246077,430284.491267676 4588050.22330872,430284.4943939 4588050.22318454,430284.497328741 4588050.22210039,430284.499784919 4588050.22016237,430284.501522003 4588050.21756021,430284.502369958 4588050.21454863,430284.502245778 4588050.2114224,430284.501161619 4588050.20848756,430284.499223607 4588050.20603138,430284.496621448 4588050.2042943,430104.6842922 4587967.40367549,430104.681280611 4587967.40282754,430104.678154387 4587967.40295172,430104.675219545 4587967.40403588,430104.672763368 4587967.40597389,430104.671026283 4587967.40857605,430104.670178329 4587967.41158764,430104.670302509 4587967.41471386,430104.671386667 4587967.4176487,430104.673324679 4587967.42010488,430104.675926839 4587967.42184197,430284.488256086 4588050.22246077)))"
25799,"C3","MULTIPOLYGON (((429961.962734664 4587924.74029119,429961.965862972 4587924.74034005,429961.96885327 4587924.73941983,429961.971412846 4587924.73762059,429961.973291152 4587924.73511846,429961.974304326 4587924.73215836,429961.974353192 4587924.72903005,429961.973432965 4587924.72603975,429961.971633725 4587924.72348018,429961.969131594 4587924.72160187,429961.966171496 4587924.7205887,429823.067372965 4587900.49157999,429823.064244658 4587900.49153113,429823.06125436 4587900.49245135,429823.058694784 4587900.49425059,429823.056816477 4587900.49675272,429823.055803303 4587900.49971282,429823.055754438 4587900.50284113,429823.056674664 4587900.50583143,429823.058473904 4587900.508391,429823.060976036 4587900.51026931,429823.063936133 4587900.51128248,429961.962734664 4587924.74029119)))"
