"N_EXPEDIENT","DISTRICTE","BARRI","TIPUS_CARRER","CARRER","TIPUS_NUM","NUM1","LLETRA1","NUM2","LLETRA2","BLOC","PORTAL","ESCALA","PIS","PORTA","NUMERO_REGISTRE_GENERALITAT","NUMERO_PLACES","LONGITUD_X","LATITUD_Y"
"02-2008-1232","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","DIPUTACIO",1,197,"","","","","","","5","2","HUTB-003212",6.0,2.159964417,41.38418606
"10-2008-0685","SANT MARTI","Diagonal Mar i el Front Marítim del Poblenou","Passeig","TAULAT",1,231,"","","","","","E","4","3","HUTB-001819",6.0,2.20932842,41.40159856
"06-2008-0381","GRACIA","Vallcarca i els Penitents","Carrer","BOLIVAR",1,17,"","","","","","","PR","1","HUTB-004040",8.0,2.146147199,41.40767513
"10-2008-0715","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDUSTRIA",2,198,"","","","","","","5","2","HUTB-014728",7.0,2.175796927,41.40944093
"10-2008-0716","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDUSTRIA",2,198,"","","","","","","1","1","HUTB-000806",7.0,2.175796927,41.40944093
"02-2009-0160","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","ARAGO",1,373,"","","","","","","2","1","HUTB-003741",3.0,2.1717249130000003,41.39652512
"06-2008-0437","GRACIA","la Vila de Gràcia","Travessera","GRACIA",1,133,"","","","","","","3","2","HUTB-000588",7.0,2.155049516,41.39854671
"06-2008-0438","GRACIA","la Vila de Gràcia","Travessera","GRACIA",1,133,"","","","","","","4","1","HUTB-000586",4.0,2.155049516,41.39854671
"06-2008-0439","GRACIA","la Vila de Gràcia","Travessera","GRACIA",1,133,"","","","","","","4","2","HUTB-000587",7.0,2.155049516,41.39854671
"02-2008-0722","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","DIPUTACIO",1,135,"","","","","","","3","1","","",2.156427499,41.38152686
"02-2008-1238","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Gran Via","CORTS CATALANES",1,439,"","","","","","","2","1","HUTB-003620",11.0,2.15225643,41.37669182
"02-2008-1233","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","DIPUTACIO",1,307,"","","","","","B","2","1","HUTB-003190",7.0,2.169065504,41.39103766
"02-2008-1239","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Gran Via","CORTS CATALANES",1,439,"","","","","","","2","2","HUTB-003619",11.0,2.15225643,41.37669182
"02-2008-1241","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Gran Via","CORTS CATALANES",1,439,"","","","","","","5","1","HUTB-006587",5.0,2.15225643,41.37669182
"02-2008-0919","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","GIRONA",1,97,"","","","","","","2","4","HUTB-000373",6.0,2.168088163,41.39429517
