"N_EXPEDIENT","DISTRICTE","BARRI","TIPUS_CARRER","CARRER","TIPUS_NUM","NUM1","LLETRA1","NUM2","LLETRA2","BLOC","PORTAL","ESCALA","PIS","PORTA","NUMERO_REGISTRE_GENERALITAT","NUMERO_PLACES","LONGITUD_X","LATITUD_Y"
"06-2012-0254","GRACIA","la Vila de Gràcia","Carrer","MONISTROL",2,8,"","","","","","","5","2","HUTB-002369",4.0,2.161833794,41.39914514
"10-2012-0280","SANT MARTI","el Poblenou","Carrer","FERROCARRIL",1,27,"","","","","","","1","5","HUTB-000179",6.0,2.2059672480000003,41.39695923
"02-2012-0469","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","4","2","HUTB-002059",6.0,2.17142913,41.40275375
"02-2012-0470","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","4","3","HUTB-002081",5.0,2.17142913,41.40275375
"02-2012-0471","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","4","4","HUTB-002082",6.0,2.17142913,41.40275375
"02-2012-0661","L'EIXAMPLE","la Sagrada Família","Carrer","SICILIA",2,322,"","","","","","","3","1","HUTB-001918",4.0,2.170710053,41.40112367
"02-2012-0662","L'EIXAMPLE","la Sagrada Família","Carrer","SICILIA",2,322,"","","","","","","3","2","HUTB-001917",4.0,2.170710053,41.40112367
"02-2012-0663","L'EIXAMPLE","la Sagrada Família","Carrer","SICILIA",2,322,"","","","","","","4","1","HUTB-001916",4.0,2.170710053,41.40112367
"02-2012-0664","L'EIXAMPLE","la Sagrada Família","Carrer","SICILIA",2,322,"","","","","","","4","2","HUTB-001915",4.0,2.170710053,41.40112367
"02-2012-0665","L'EIXAMPLE","la Sagrada Família","Carrer","SICILIA",2,322,"","","","","","","AT","","HUTB-001914",4.0,2.170710053,41.40112367
"02-2012-0049","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","PROVENÇA",2,244,"","","","","","B","3","C","HUTB-002827",9.0,2.156965466,41.39015853
"10-2012-0046","SANT MARTI","Diagonal Mar i el Front Marítim del Poblenou","Passeig","TAULAT",1,283,"","","","","","","20","1","HUTB-001824",8.0,2.214817323,41.40615368
"10-2012-0041","SANT MARTI","el Poblenou","Carrer","BAC DE RODA",1,35,"","","","","","","BJ","2","HUTB-003914",6.0,2.208018551,41.40158869
"10-2012-0042","SANT MARTI","el Poblenou","Carrer","BAC DE RODA",1,35,"","","","","","","BJ","1","HUTB-003915",5.0,2.208018551,41.40158869
"07-2012-0130","HORTA-GUINARDÓ","el Carmel","Carrer","CALDERON DE LA BARCA",2,112,"",114.0,"","","","","2","2","HUTB-002898",4.0,2.1559338219999997,41.41787073
"07-2012-0131","HORTA-GUINARDÓ","el Carmel","Carrer","CALDERON DE LA BARCA",2,112,"",114.0,"","","","","2","3","HUTB-002899",7.0,2.1559338219999997,41.41787073
"07-2012-0132","HORTA-GUINARDÓ","el Carmel","Carrer","CALDERON DE LA BARCA",2,112,"",114.0,"","","","","3","1","HUTB-002900",7.0,2.1559338219999997,41.41787073
"07-2012-0133","HORTA-GUINARDÓ","el Carmel","Carrer","CALDERON DE LA BARCA",2,112,"",114.0,"","","","","3","2","HUTB-002901",4.0,2.1559338219999997,41.41787073
"07-2012-0134","HORTA-GUINARDÓ","el Carmel","Carrer","CALDERON DE LA BARCA",2,112,"",114.0,"","","","","3","3","HUTB-002902",7.0,2.1559338219999997,41.41787073
"07-2012-0136","HORTA-GUINARDÓ","el Carmel","Carrer","CALDERON DE LA BARCA",2,112,"",114.0,"","","","","4","3","HUTB-002903",7.0,2.1559338219999997,41.41787073
"07-2012-0138","HORTA-GUINARDÓ","el Carmel","Carrer","CALDERON DE LA BARCA",2,112,"",114.0,"","","","","5","2","HUTB-002904",4.0,2.1559338219999997,41.41787073
"10-2012-0168","SANT MARTI","el Poblenou","Plaça","PRIM",1,3,"","","","","","","2","3","HUTB-002809",4.0,2.205786819,41.39746145
"10-2012-0281","SANT MARTI","el Poblenou","Carrer","FERROCARRIL",1,27,"","","","","","","1","6","HUTB-000180",5.0,2.2059672480000003,41.39695923
"10-2012-0282","SANT MARTI","el Poblenou","Carrer","FERROCARRIL",1,27,"","","","","","","1","7","HUTB-000181",10.0,2.2059672480000003,41.39695923
"02-2012-0565","L'EIXAMPLE","la Dreta de l'Eixample","Plaça","TETUAN",1,25,"","","","","","","8","3","HUTB-001171",15.0,2.1739022230000002,41.39380174
"03-2012-0177","SANTS-MONTJUÏC","Sants - Badal","Avinguda","MADRID",2,114,"","","","","","","1","C","HUTB-001039",4.0,2.127354821,41.37699593
"04-2012-0130","LES CORTS","les Corts","Carrer","TAQUIGRAF GARRIGA",1,91,"",99.0,"","","","B","3","8","HUTB-001806",5.0,2.135691364,41.38685214
"10-2012-0159","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDUSTRIA",1,201,"",203.0,"","","","","1","1","HUTB-000819",6.0,2.175740959,41.40967836
"02-2012-0670","L'EIXAMPLE","el Fort Pienc","Carrer","SARDENYA",2,160,"","","","","","","4","3","HUTB-001709",8.0,2.182346725,41.39403467
"02-2012-0677","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","PROVENÇA",2,282,"",284.0,"","","","","3","4","HUTB-002828",7.0,2.159633777,41.39217709
"02-2012-0134","L'EIXAMPLE","la Sagrada Família","Avinguda","GAUDI",2,26,"",28.0,"","","","","EN","1","HUTB-000326",8.0,2.173460494,41.40477315
"02-2012-0135","L'EIXAMPLE","la Sagrada Família","Avinguda","GAUDI",2,26,"",28.0,"","","","","EN","2","HUTB-000327",7.0,2.173460494,41.40477315
"02-2012-0136","L'EIXAMPLE","la Sagrada Família","Avinguda","GAUDI",2,26,"",28.0,"","","","","5","1","HUTB-000328",8.0,2.173460494,41.40477315
"02-2012-0137","L'EIXAMPLE","la Sagrada Família","Avinguda","GAUDI",2,26,"",28.0,"","","","","5","2","HUTB-000329",9.0,2.173460494,41.40477315
"02-2012-0138","L'EIXAMPLE","la Dreta de l'Eixample","Passeig","GRACIA",2,44,"","","","","","","6","C","HUTB-000445",5.0,2.164875898,41.38987253
"02-2012-0711","L'EIXAMPLE","Sant Antoni","Ronda","SANT PAU",1,1,"","","","","","","3","2","HUTB-002245",11.0,2.166184719,41.37347167
"02-2012-0472","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","5","5","HUTB-002083",8.0,2.17142913,41.40275375
"02-2012-0473","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","5","4","HUTB-002084",6.0,2.17142913,41.40275375
"02-2012-0474","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","5","1","HUTB-002085",11.0,2.17142913,41.40275375
"02-2012-0476","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","5","2","HUTB-002086",6.0,2.17142913,41.40275375
"02-2012-0477","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","2","4","HUTB-002060",5.0,2.17142913,41.40275375
"02-2012-0513","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ROCAFORT",1,159,"","","","","","","4","2","HUTB-001948",4.0,2.148690505,41.37995835
"05-2012-0055","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Via","AUGUSTA",1,153,"","","","","","","2","6","HUTB-003864",4.0,2.142537669,41.3971281
"06-2012-0250","GRACIA","la Vila de Gràcia","Carrer","SANT CRISTOFOL",2,12,"","","","","","","2","2","HUTB-002186",8.0,2.153138067,41.39778721
"02-2012-0674","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","DIPUTACIO",1,167,"","","","","","","1","1","HUTB-003209",12.0,2.1580952719999997,41.38277743
"05-2012-0163","SARRIA-SANT GERVASI","el Putxet i el Farró","Carrer","OSONA",1,1,"","","","","","","BJ","","HUTB-002538",6.0,2.143180666,41.40584196
"01-2012-0186","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","1","2","HUTB-013112",4.0,2.173398634,41.37880625
"01-2012-0185","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","1","1","HUTB-013111",3.0,2.173398634,41.37880625
"01-2012-0187","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","1","3","HUTB-013113",5.0,2.173398634,41.37880625
"01-2012-0188","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","2","1","HUTB-013114",6.0,2.173398634,41.37880625
"01-2012-0189","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","2","2","HUTB-013115",4.0,2.173398634,41.37880625
"01-2012-0190","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","2","3","HUTB-013116",5.0,2.173398634,41.37880625
"01-2012-0191","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","3","1","HUTB-013117",6.0,2.173398634,41.37880625
"01-2012-0192","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","3","2","HUTB-014595",4.0,2.173398634,41.37880625
"01-2012-0193","CIUTAT VELLA","el Barri Gòtic","Carrer","FERRAN",1,7,"","","","","","","3","3","HUTB-013119",5.0,2.173398634,41.37880625
"10-2012-0238","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","VALENCIA",2,556,"","","","","","","6","2","HUTB-001399",10.0,2.181747261,41.40536449
"06-2012-0212","GRACIA","la Vila de Gràcia","Carrer","PUIGMARTI",1,19,"","","","","","","1","1","HUTB-002855",6.0,2.1591216369999997,41.40039713
"09-2012-0153","SANT ANDREU","la Sagrera","Carrer","FELIP II",2,128,"","","","","","","1","2","HUTB-000151",6.0,2.183447256,41.42062782
"01-2012-0164","CIUTAT VELLA","el Raval","Carrer","HOSPITAL",1,133,"","","","","","","PR","2","HUTB-000727",12.0,2.166378592,41.37771159
"01-2012-0166","CIUTAT VELLA","el Raval","Carrer","SALVADOR",1,7,"B","","","","","","1","3","HUTB-002124",2.0,2.163592688,41.37674021
"01-2012-0167","CIUTAT VELLA","el Raval","Carrer","SALVADOR",1,7,"B","","","","","","1","4","HUTB-002125",3.0,2.163592688,41.37674021
"02-2012-0555","L'EIXAMPLE","la Sagrada Família","Carrer","PROVENÇA",2,474,"","","","","","B","2","4","HUTB-002837",5.0,2.1749018490000003,41.40364476
"03-2012-0174","SANTS-MONTJUÏC","el Poble Sec","Carrer","VALLHONRAT",2,22,"",24.0,"","","","","2","5","HUTB-001441",4.0,2.155663363,41.3720325
"02-2012-0638","L'EIXAMPLE","la Sagrada Família","Carrer","MARINA",2,240,"","","","","","","1","6","HUTB-001131",3.0,2.17605046,41.40071417
"03-2012-0128","SANTS-MONTJUÏC","el Poble Sec","Carrer","LLEIDA",1,35,"","","","","","","EN","4","HUTB-001020",2.0,2.154492591,41.37053872
"10-2012-0074","SANT MARTI","el Poblenou","Carrer","BAC DE RODA",1,43,"","","","","","","2","2","HUTB-003912",5.0,2.207597465,41.40196939
"02-2012-0390","L'EIXAMPLE","Sant Antoni","Ronda","SANT PAU",1,65,"","","","","","","EN","2","HUTB-002248",4.0,2.162732803,41.37610358
"02-2012-0687","L'EIXAMPLE","Sant Antoni","Carrer","SEPULVEDA",1,85,"","","","","","","SA","","HUTB-001765",8.0,2.155971921,41.37740588
"03-2012-0127","SANTS-MONTJUÏC","el Poble Sec","Carrer","ROSER",2,72,"","","","","","","3","1","HUTB-002027",3.0,2.164611034,41.37014084
"10-2012-0274","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","FRESER",2,230,"","","","","","","3","2","HUTB-000255",6.0,2.182306716,41.41522728
"06-2012-0183","GRACIA","la Vila de Gràcia","Carrer","VILAFRANCA",2,2,"",4.0,"","","","","1","3","HUTB-001534",4.0,2.155925768,41.40501485
"10-2012-0218","SANT MARTI","Provençals del Poblenou","Avinguda","DIAGONAL",2,160,"","","","","","","6","1","HUTB-003068",7.0,2.195429644,41.40411045
"02-2012-0289","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Avinguda","ROMA",2,78,"","","","","","","5","1","HUTB-002020",11.0,2.1483058859999997,41.38104175
"02-2012-0291","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","EN","","HUTB-003138",3.0,2.146580637,41.38012274
"02-2012-0292","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","PR","1","HUTB-003135",6.0,2.146580637,41.38012274
"02-2012-0293","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","PR","2","HUTB-003139",7.0,2.146580637,41.38012274
"02-2012-0294","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","PR","3","HUTB-003140",4.0,2.146580637,41.38012274
"02-2012-0296","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","1","1","HUTB-003141",6.0,2.146580637,41.38012274
"02-2012-0297","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","1","2","HUTB-003142",5.0,2.146580637,41.38012274
"06-2012-0251","GRACIA","la Vila de Gràcia","Carrer","MARIA",2,14,"","","","","","","3","","HUTB-001119",4.0,2.156189993,41.39734904
"02-2012-0686","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Avinguda","JOSEP TARRADELLAS",2,54,"","","","","","","7","1","HUTB-000931",7.0,2.141790274,41.38293444
"02-2012-0535","L'EIXAMPLE","Sant Antoni","Ronda","SANT PAU",1,1,"","","","","","","5","1","HUTB-002239",3.0,2.166184719,41.37347167
"02-2012-0536","L'EIXAMPLE","Sant Antoni","Ronda","SANT PAU",1,1,"","","","","","","1","2","HUTB-002240",11.0,2.166184719,41.37347167
"02-2012-0537","L'EIXAMPLE","Sant Antoni","Ronda","SANT PAU",1,1,"","","","","","","1","1","HUTB-002241",9.0,2.166184719,41.37347167
"10-2012-0134","SANT MARTI","el Poblenou","Carrer","PUJADES",2,172,"","","","","","","1","3","HUTB-005294",5.0,2.1987195109999997,41.39902838
"02-2012-0120","L'EIXAMPLE","la Dreta de l'Eixample","Ronda","SANT PERE",1,3,"","","","","","","2","2","HUTB-002273",11.0,2.169587317,41.38650016
"02-2012-0121","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ARAGO",2,58,"","","","","","","5","1","HUTB-005271",5.0,2.150172934,41.37994589
"02-2012-0122","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ARAGO",2,58,"","","","","","","5","2","HUTB-003756",5.0,2.150172934,41.37994589
"05-2012-0174","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","7","2","HUTB-003055",13.0,2.145097202,41.39156091
"05-2012-0175","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","6","2","HUTB-003056",13.0,2.145097202,41.39156091
"05-2012-0176","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","5","1","HUTB-003057",12.0,2.145097202,41.39156091
"05-2012-0177","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","5","2","HUTB-003058",13.0,2.145097202,41.39156091
"09-2012-0094","SANT ANDREU","Sant Andreu","Carrer","CASTELLBELL",1,19,"",23.0,"","","","","BJ","1","HUTB-003280",4.0,2.1847828540000003,41.43180131
"09-2012-0095","SANT ANDREU","Sant Andreu","Carrer","CASTELLBELL",1,19,"",23.0,"","","","","BJ","4","HUTB-003281",5.0,2.1847828540000003,41.43180131
"09-2012-0096","SANT ANDREU","Sant Andreu","Carrer","CASTELLBELL",1,25,"",29.0,"","","","2","BJ","3","HUTB-003282",5.0,2.1847828540000003,41.43180131
"07-2012-0096","HORTA-GUINARDÓ","el Guinardó","Passatge","FLAUGIER",1,39,"","","","","","","BJ","2","HUTB-000188",5.0,2.175238356,41.41405273
"09-2012-0154","SANT ANDREU","la Sagrera","Carrer","MARTI MOLINS",2,2,"","","","","","","BJ","","HUTB-000044",11.0,2.1896334769999997,41.4222086
"02-2012-0298","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","1","3","HUTB-003143",4.0,2.146580637,41.38012274
"02-2012-0299","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","2","1","HUTB-003144",6.0,2.146580637,41.38012274
"02-2012-0300","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","2","2","HUTB-003145",5.0,2.146580637,41.38012274
"02-2012-0301","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","2","3","HUTB-003146",4.0,2.146580637,41.38012274
"02-2012-0302","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","3","1","HUTB-003147",6.0,2.146580637,41.38012274
"02-2012-0303","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","3","2","HUTB-003148",5.0,2.146580637,41.38012274
"02-2012-0304","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","3","3","HUTB-003149",4.0,2.146580637,41.38012274
"02-2012-0305","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","4","1","HUTB-003150",6.0,2.146580637,41.38012274
"06-2012-0195","GRACIA","la Vila de Gràcia","Carrer","PUIGMARTI",2,48,"","","","","","","1","1","HUTB-002856",4.0,2.159609391,41.40058083
"08-2012-0102","NOU BARRIS","Porta","Carrer","PIFERRER",1,129,"","","","","","","4","1","HUTB-002734",5.0,2.176782406,41.43040711
"03-2012-0088","SANTS-MONTJUÏC","Hostafrancs","Carrer","CALLAO",2,20,"","","","","","","BJ","1","HUTB-002911",12.0,2.141682506,41.37466846
"03-2012-0090","SANTS-MONTJUÏC","Hostafrancs","Carrer","CALLAO",2,20,"","","","","","","1","2","HUTB-002912",5.0,2.141682506,41.37466846
"03-2012-0091","SANTS-MONTJUÏC","Hostafrancs","Carrer","CALLAO",2,20,"","","","","","","2","1","HUTB-002915",5.0,2.141682506,41.37466846
"03-2012-0092","SANTS-MONTJUÏC","Hostafrancs","Carrer","CALLAO",2,20,"","","","","","","2","2","HUTB-002913",5.0,2.141682506,41.37466846
"03-2012-0093","SANTS-MONTJUÏC","Hostafrancs","Carrer","CALLAO",2,20,"","","","","","","1","1","HUTB-002914",5.0,2.141682506,41.37466846
"03-2012-0094","SANTS-MONTJUÏC","Hostafrancs","Carrer","CALLAO",2,20,"","","","","","","BJ","2","HUTB-002910",14.0,2.141682506,41.37466846
"03-2012-0095","SANTS-MONTJUÏC","el Poble Sec","Carrer","TAPIOLES",2,36,"","","","","","","BJ","2","HUTB-001799",10.0,2.162896813,41.37114546
"03-2012-0096","SANTS-MONTJUÏC","el Poble Sec","Carrer","TAPIOLES",2,36,"","","","","","","BJ","1","HUTB-001800",9.0,2.162896813,41.37114546
"07-2012-0051","HORTA-GUINARDÓ","el Carmel","Carrer","SANTUARI",1,23,"",25.0,"","","","","","","HUTB-001705",5.0,2.149688881,41.41844439
"05-2012-0178","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","4","2","HUTB-003059",13.0,2.145097202,41.39156091
"05-2012-0179","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","3","1","HUTB-003060",12.0,2.145097202,41.39156091
"05-2012-0181","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","2","1","HUTB-003061",12.0,2.145097202,41.39156091
"10-2012-0289","SANT MARTI","el Poblenou","Carrer","BADAJOZ",2,26,"","","","","","","2","1","HUTB-003927",3.0,2.198702816,41.39359045
"02-2012-0306","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","4","2","HUTB-003151",5.0,2.146580637,41.38012274
"02-2012-0307","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Carrer","ENTENÇA",2,140,"","","","","","","4","3","HUTB-003152",4.0,2.146580637,41.38012274
"02-2012-0308","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","GIRONA",1,27,"","","","","","","1","1A","HUTB-000404",5.0,2.173722008,41.39004138
"02-2012-0309","L'EIXAMPLE","la Sagrada Família","Carrer","VALENCIA",1,377,"",379.0,"","","","E","EN","3","HUTB-001376",8.0,2.172373171,41.39862670000001
"10-2012-0072","SANT MARTI","el Poblenou","Plaça","PRIM",1,3,"","","","","","","2","4","HUTB-002808",4.0,2.205786819,41.39746145
"03-2012-0083","SANTS-MONTJUÏC","el Poble Sec","Carrer","NOU DE LA RAMBLA",2,136,"","","","","","","BJ","2","HUTB-002493",3.0,2.16702101,41.37140781
"06-2012-0231","GRACIA","la Vila de Gràcia","Carrer","GOYA",1,7,"","","","","","","2","1","HUTB-000426",4.0,2.1558577519999997,41.39763275
"07-2012-0090","HORTA-GUINARDÓ","el Baix Guinardó","Carrer","CASTILLEJOS",1,427,"","","","","","","3","1","HUTB-003289",6.0,2.167697193,41.41175455
"02-2012-0087","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","DIPUTACIO",2,160,"","","","","","","4","2","HUTB-003207",15.0,2.1569313340000003,41.3816282
"02-2012-0088","L'EIXAMPLE","Sant Antoni","Carrer","COMTE BORRELL",2,40,"","","","","","","1","2","HUTB-003362",3.0,2.161874345,41.37538972
"10-2012-0288","SANT MARTI","Sant Martí de Provençals","Carrer","ANDRADE",2,80,"",82.0,"","","","","2","1","HUTB-003703",6.0,2.196571556,41.41139993
"01-2012-0209","CIUTAT VELLA","el Barri Gòtic","Carrer","COMTAL",1,33,"","","","","","","EN","2","HUTB-003352",5.0,2.172935203,41.38509213
"01-2012-0210","CIUTAT VELLA","el Barri Gòtic","Carrer","COMTAL",1,33,"","","","","","","PR","1","HUTB-003353",2.0,2.172935203,41.38509213
"01-2012-0211","CIUTAT VELLA","el Barri Gòtic","Carrer","COMTAL",1,33,"","","","","","","PR","2","HUTB-003354",5.0,2.172935203,41.38509213
"01-2012-0212","CIUTAT VELLA","el Barri Gòtic","Carrer","COMTAL",1,33,"","","","","","","1","1","HUTB-003348",2.0,2.172935203,41.38509213
"02-2012-0510","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","2","2","HUTB-002088",4.0,2.17142913,41.40275375
"02-2012-0511","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","3","4","HUTB-002089",4.0,2.17142913,41.40275375
"02-2012-0512","L'EIXAMPLE","la Sagrada Família","Carrer","ROSSELLO",2,380,"",382.0,"","","","","3","5","HUTB-002090",4.0,2.17142913,41.40275375
"02-2012-0704","L'EIXAMPLE","el Fort Pienc","Carrer","ROGER DE FLOR",1,87,"","","","","","","3","2","HUTB-001958",10.0,2.1773391380000002,41.39241728
"05-2012-0182","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Avinguda","DIAGONAL",2,594,"","","","","","","AT","1","HUTB-003062",15.0,2.145097202,41.39156091
"04-2012-0030","LES CORTS","la Maternitat i Sant Ramon","Carrer","ARIZALA",1,51,"","","","","","","BJ","4","HUTB-005274",5.0,2.1227520859999998,41.3761423
"10-2012-0294","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","SALVADOR ESPRIU",1,25,"","","","","","","5","2","HUTB-002130",14.0,2.195192167,41.38678565
"06-2012-0141","GRACIA","Vallcarca i els Penitents","Carrer","BARO DE LA BARRE",2,44,"","","","","","","1","2","HUTB-004009",4.0,2.141503275,41.41451565
"09-2012-0120","SANT ANDREU","la Sagrera","Carrer","CORTIT",1,11,"",19.0,"","","","","1","1","HUTB-003033",5.0,2.188659543,41.42378663
"09-2012-0122","SANT ANDREU","la Sagrera","Carrer","PACIFIC",1,23,"",27.0,"","","","","BJ","3","HUTB-002550",8.0,2.188496127,41.42403875
"02-2012-0371","L'EIXAMPLE","la Sagrada Família","Carrer","INDUSTRIA",1,93,"","","","","","","5","2","HUTB-000787",8.0,2.168959214,41.40457419
"05-2012-0158","SARRIA-SANT GERVASI","Sant Gervasi - Galvany","Carrer","LAFORJA",2,40,"","","","","","","4","1","HUTB-000954",14.0,2.148000625,41.39688843
"04-2012-0152","LES CORTS","la Maternitat i Sant Ramon","Carrer","ARIZALA",1,55,"","","","","","","BJ","2","HUTB-003844",4.0,2.122686033,41.37624242
"03-2012-0142","SANTS-MONTJUÏC","el Poble Sec","Carrer","NOU DE LA RAMBLA",2,144,"","","","","","","2","2","HUTB-002496",7.0,2.16661533,41.37101669
"02-2012-0580","L'EIXAMPLE","la Dreta de l'Eixample","Carrer","CASP",1,19,"","","","","","","6","2","HUTB-003245",6.0,2.169415397,41.3875096
"02-2012-0585","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","ENRIC GRANADOS",2,46,"","","","","","","PR","1","HUTB-003115",20.0,2.156973023,41.38933657
"04-2012-0048","LES CORTS","la Maternitat i Sant Ramon","Carrer","COMTE DE GUELL",2,30,"","","","","","","1","2","HUTB-003394",4.0,2.121504307,41.3756525
"10-2012-0098","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","BJ","","HUTB-005290",10.0,2.189637167,41.39037749
"10-2012-0099","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","1","1","HUTB-005291",4.0,2.189637167,41.39037749
"10-2012-0100","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","1","2","HUTB-005289",4.0,2.189637167,41.39037749
"10-2012-0101","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","2","1","HUTB-005288",4.0,2.189637167,41.39037749
"10-2012-0102","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","2","2","HUTB-005287",4.0,2.189637167,41.39037749
"10-2012-0103","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","3","1","HUTB-005286",4.0,2.189637167,41.39037749
"10-2012-0104","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","3","2","HUTB-005285",4.0,2.189637167,41.39037749
"10-2012-0105","SANT MARTI","la Vila Olímpica del Poblenou","Carrer","MARINA",2,70,"","","","","","","4","1","HUTB-005284",4.0,2.189637167,41.39037749
"05-2012-0224","SARRIA-SANT GERVASI","el Putxet i el Farró","Carrer","SARAGOSSA",2,6,"","","","","","","BJ","","HUTB-001706",79.0,2.149504171,41.39930271
"06-2012-0151","GRACIA","el Camp d'en Grassot i Gràcia Nova","Passeig","SANT JOAN",2,162,"","","","","","","BJ","","HUTB-002206",13.0,2.164828611,41.40064154
"02-2012-0705","L'EIXAMPLE","la Nova Esquerra de l'Eixample","Gran Via","CORTS CATALANES",1,421,"","","","","","","PR","1","HUTB-003614",8.0,2.151304222,41.37597488
