"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",427690.89200000005,4585915.706,427598.987,4585714.738,2.133608,41.419728000000006,"BUS -124--",6,28,"Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428023.145,4585676.226,427931.237,4585475.26,2.137612,41.417601,"BUS -124--",6,28,"Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429580.81200000003,4584879.67,429488.88899999997,4584678.711,2.156342,41.410565000000005,"BUS -24-H6-D40--",6,30,"Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns",432400.92600000004,4589002.944,432308.97799999994,4588801.946,2.189619,41.447944,"BUS -11--",9,57,"Sant Andreu","la Trinitat Vella","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429359.658,4587497.717,429267.73799999995,4587296.734,2.1533900000000004,41.434125,"BUS -102-V25--",7,43,"Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427778.0,4583557.308999999,427686.093,4583356.363,2.134932,41.398495000000004,"BUS -70--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K014","Transports i serveis relacionats","Autobusos diürns",424965.091,4587023.505,424873.211,4586822.528,2.1008560000000003,41.429455,"BUS -128--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431711.06899999996,4585370.749,431619.126,4585169.785,2.181772,41.415172,"BUS -117-192-H8--",10,64,"Sant Martí","el Camp de l'Arpa del Clot","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431635.76399999997,4585480.444,431543.82200000004,4585279.478999999,2.180859,41.416154,"BUS -117-192--",10,64,"Sant Martí","el Camp de l'Arpa del Clot","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",427477.395,4581584.501,427385.49,4581383.574,2.131573,41.3807,"NITBUS -N3--",4,19,"Les Corts","les Corts","",""
"K014","Transports i serveis relacionats","Autobusos diürns",428199.635,4581673.25,428107.724,4581472.322,2.140199,41.381564000000004,"BUS -115--",3,18,"Sants-Montjuïc","Sants","",""
"K015","Transports i serveis relacionats","Autobusos nocturns",433235.93700000003,4584634.899,433143.98,4584433.942,2.200098,41.408673,"NITBUS -N8--",10,71,"Sant Martí","Provençals del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430143.537,4586275.609,430051.609,4586074.637,2.162913,41.423187,"BUS -117--",7,36,"Horta-Guinardó","la Font d'en Fargues","",""
"K014","Transports i serveis relacionats","Autobusos diürns",430206.255,4586243.056,430114.32700000005,4586042.085,2.163667,41.422899,"BUS -117--",7,36,"Horta-Guinardó","la Font d'en Fargues","",""
