"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Total Activitats Difusió","Centre Cívic Golferichs",123,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2019,"Total Assistents Activitats Difusio","Centre Cultural Albareda",8051,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",3,"Sants-Montjuïc",11,"el Poble-sec","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934000004,2.173269239
2019,"Total Activitats Difusió","Centre Cívic Fort Pienc",99,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",2,"Eixample",5,"el Fort Pienc","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2019,"Total Assistents Activitats Difusio","Centre Cívic Vil·la Urània",4277,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.3986429,2.14276
2019,"Total Assistents Activitats Difusio","Centre Cívic Zona Nord",17443,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",8,"Nou Barris",55,"Ciutat Meridiana","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
2019,"Total Activitats Difusió","Centre Cívic Guinardó",97,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",7,"Horta-Guinardó",35,"el Guinardó","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.1733228909999998
2019,"Total Assistents Activitats Difusio","Centre Cívic Vil·la Florida",2084,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40533741,2.135294028
2019,"Total Assistents Activitats Difusio","Centre Cívic Can Felipa",7679,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",10,"Sant Martí",68,"el Poblenou","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2019,"Total Activitats Difusió","Centre Cívic La Sedeta",151,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40554894,2.167665468
2019,"Total Assistents Activitats Difusio","Centre Cívic Can Deu",2346,"A partir de 2018 inclou espectacles i xerrades, i no les activitats relacionades amb les exposicions, que sí que s'havien comptat fins 2017.","",4,"Les Corts",19,"les Corts","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.1325020759999997
