"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
10,8542,"084","70","Sant Martí","el Besòs i el Maresme","219",872,316,35383,34640,0,743,2496846,2463296,33550,"","",193746,"02/04/2021 00:07:11"
10,8551,"085","70","Sant Martí","el Besòs i el Maresme","220",422,182,37492,34398,0,3094,2687594,2687594,0,"","",427518,"02/04/2021 00:07:11"
10,8552,"085","70","Sant Martí","el Besòs i el Maresme","220",439,165,33990,30360,0,3630,2458335,2458335,0,"","",388740,"02/04/2021 00:07:11"
10,8561,"086","70","Sant Martí","el Besòs i el Maresme","220",346,138,5928,5384,0,529,409417,409417,0,"","",38530,"02/04/2021 00:07:11"
10,8562,"086","70","Sant Martí","el Besòs i el Maresme","220",396,161,29785,28336,0,1449,2129064,2129064,0,"","",177583,"02/04/2021 00:07:11"
10,8570,"087","70","Sant Martí","el Besòs i el Maresme","220",261,102,11832,11220,0,612,824772,824772,0,"","",69972,"02/04/2021 00:07:11"
10,8580,"087","70","Sant Martí","el Besòs i el Maresme","220",44,25,1085,420,2,663,85513,82073,3440,"","",22781,"02/04/2021 00:07:11"
10,8590,"087","70","Sant Martí","el Besòs i el Maresme","220",2,1,2,0,0,2,1775,1775,0,"","",8565,"02/04/2021 00:07:11"
10,8600,"087","70","Sant Martí","el Besòs i el Maresme","220",183,84,10004,7216,2296,492,727094,655262,71832,"","",76448,"02/04/2021 00:07:11"
10,8610,"087","70","Sant Martí","el Besòs i el Maresme","220",0,1,5,0,0,5,2582,2582,0,"","",2066,"02/04/2021 00:07:11"
10,8625,"087","70","Sant Martí","el Besòs i el Maresme","220",185,85,10668,7392,2352,924,735420,661836,73584,"","",78540,"02/04/2021 00:07:11"
10,8640,"087","70","Sant Martí","el Besòs i el Maresme","220",200,66,4752,4752,0,0,316338,316338,0,"","",56628,"02/04/2021 00:07:11"
10,8650,"087","70","Sant Martí","el Besòs i el Maresme","220",176,62,4464,4464,0,0,296980,296980,0,"","",53754,"02/04/2021 00:07:11"
10,8660,"087","70","Sant Martí","el Besòs i el Maresme","220",182,58,4176,4176,0,0,277820,277820,0,"","",50286,"02/04/2021 00:07:11"
10,8670,"087","70","Sant Martí","el Besòs i el Maresme","220",25,12,24,24,0,0,1680,1680,0,"","",1703,"02/04/2021 00:07:11"
10,8680,"087","70","Sant Martí","el Besòs i el Maresme","220",23,13,26,26,0,0,1820,1820,0,"","",1800,"02/04/2021 00:07:11"
10,8690,"087","70","Sant Martí","el Besòs i el Maresme","220",31,12,24,24,0,0,1680,1680,0,"","",1717,"02/04/2021 00:07:11"
10,8700,"087","70","Sant Martí","el Besòs i el Maresme","220",206,65,4680,4680,0,0,310895,310895,0,"","",56225,"02/04/2021 00:07:11"
10,8710,"087","70","Sant Martí","el Besòs i el Maresme","220",188,65,4680,4680,0,0,280410,280410,0,"","",56030,"02/04/2021 00:07:11"
10,8720,"087","70","Sant Martí","el Besòs i el Maresme","220",172,66,4752,4752,0,0,316140,316140,0,"","",57222,"02/04/2021 00:07:11"
10,8730,"086","70","Sant Martí","el Besòs i el Maresme","220",40,17,578,289,0,0,18564,18564,0,"","",16150,"02/04/2021 00:07:11"
10,8740,"086","70","Sant Martí","el Besòs i el Maresme","220",38,16,544,272,0,0,17344,17344,0,"","",15424,"02/04/2021 00:07:11"
10,8750,"086","70","Sant Martí","el Besòs i el Maresme","220",44,16,544,272,0,0,17472,17472,0,"","",17488,"02/04/2021 00:07:11"
