"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_locals","Nombre"
2020,1,"Ciutat Vella",1,"el Raval",10,"més de 100",3
2020,1,"Ciutat Vella",1,"el Raval",11,"cap",2
2020,1,"Ciutat Vella",1,"el Raval",11,"1 local",14
2020,1,"Ciutat Vella",1,"el Raval",11,"2 locals",19
2020,1,"Ciutat Vella",1,"el Raval",11,"de 3 a 5",15
2020,1,"Ciutat Vella",1,"el Raval",11,"de 6 a 10",51
2020,1,"Ciutat Vella",1,"el Raval",11,"d'11 a 20",57
2020,1,"Ciutat Vella",1,"el Raval",11,"de 21 a 50",17
2020,1,"Ciutat Vella",1,"el Raval",11,"més de 100",1
2020,1,"Ciutat Vella",1,"el Raval",12,"1 local",7
2020,1,"Ciutat Vella",1,"el Raval",12,"2 locals",4
2020,1,"Ciutat Vella",1,"el Raval",12,"de 3 a 5",12
2020,1,"Ciutat Vella",1,"el Raval",12,"de 6 a 10",28
2020,1,"Ciutat Vella",1,"el Raval",12,"d'11 a 20",50
2020,1,"Ciutat Vella",1,"el Raval",12,"de 21 a 50",7
2020,1,"Ciutat Vella",1,"el Raval",12,"de 51 a 100",2
2020,1,"Ciutat Vella",1,"el Raval",13,"1 local",1
2020,1,"Ciutat Vella",1,"el Raval",13,"2 locals",5
2020,1,"Ciutat Vella",1,"el Raval",13,"de 3 a 5",4
2020,1,"Ciutat Vella",1,"el Raval",13,"de 6 a 10",6
2020,1,"Ciutat Vella",1,"el Raval",13,"d'11 a 20",9
2020,1,"Ciutat Vella",1,"el Raval",13,"de 21 a 50",12
2020,1,"Ciutat Vella",1,"el Raval",13,"més de 100",2
2020,1,"Ciutat Vella",1,"el Raval",14,"1 local",2
2020,1,"Ciutat Vella",1,"el Raval",14,"2 locals",4
2020,1,"Ciutat Vella",1,"el Raval",14,"de 3 a 5",3
2020,1,"Ciutat Vella",1,"el Raval",14,"de 6 a 10",9
2020,1,"Ciutat Vella",1,"el Raval",14,"d'11 a 20",44
2020,1,"Ciutat Vella",1,"el Raval",14,"de 21 a 50",8
2020,1,"Ciutat Vella",1,"el Raval",14,"de 51 a 100",1
2020,1,"Ciutat Vella",1,"el Raval",15,"1 local",2
2020,1,"Ciutat Vella",1,"el Raval",15,"2 locals",6
2020,1,"Ciutat Vella",1,"el Raval",15,"de 3 a 5",3
2020,1,"Ciutat Vella",1,"el Raval",15,"de 6 a 10",10
2020,1,"Ciutat Vella",1,"el Raval",15,"d'11 a 20",31
2020,1,"Ciutat Vella",1,"el Raval",15,"de 21 a 50",21
2020,1,"Ciutat Vella",1,"el Raval",15,"de 51 a 100",6
2020,1,"Ciutat Vella",1,"el Raval",16,"cap",1
2020,1,"Ciutat Vella",1,"el Raval",16,"1 local",3
2020,1,"Ciutat Vella",1,"el Raval",16,"2 locals",4
2020,1,"Ciutat Vella",1,"el Raval",16,"de 3 a 5",7
2020,1,"Ciutat Vella",1,"el Raval",16,"de 6 a 10",14
2020,1,"Ciutat Vella",1,"el Raval",16,"d'11 a 20",55
2020,1,"Ciutat Vella",1,"el Raval",16,"de 21 a 50",13
2020,1,"Ciutat Vella",1,"el Raval",17,"1 local",5
2020,1,"Ciutat Vella",1,"el Raval",17,"2 locals",3
2020,1,"Ciutat Vella",1,"el Raval",17,"de 3 a 5",4
2020,1,"Ciutat Vella",1,"el Raval",17,"de 6 a 10",12
2020,1,"Ciutat Vella",1,"el Raval",17,"d'11 a 20",50
2020,1,"Ciutat Vella",1,"el Raval",17,"de 21 a 50",17
2020,1,"Ciutat Vella",1,"el Raval",18,"1 local",2
2020,1,"Ciutat Vella",1,"el Raval",18,"2 locals",1
2020,1,"Ciutat Vella",1,"el Raval",18,"de 3 a 5",8
2020,1,"Ciutat Vella",1,"el Raval",18,"de 6 a 10",17
2020,1,"Ciutat Vella",1,"el Raval",18,"d'11 a 20",28
2020,1,"Ciutat Vella",1,"el Raval",18,"de 21 a 50",9
2020,1,"Ciutat Vella",1,"el Raval",18,"de 51 a 100",2
2020,1,"Ciutat Vella",1,"el Raval",19,"cap",1
2020,1,"Ciutat Vella",1,"el Raval",19,"1 local",6
2020,1,"Ciutat Vella",1,"el Raval",19,"2 locals",10
2020,1,"Ciutat Vella",1,"el Raval",19,"de 3 a 5",31
2020,1,"Ciutat Vella",1,"el Raval",19,"de 6 a 10",81
2020,1,"Ciutat Vella",1,"el Raval",19,"d'11 a 20",61
2020,1,"Ciutat Vella",1,"el Raval",19,"de 21 a 50",12
2020,1,"Ciutat Vella",1,"el Raval",19,"de 51 a 100",1
2020,1,"Ciutat Vella",1,"el Raval",19,"més de 100",2
2020,1,"Ciutat Vella",1,"el Raval",20,"cap",2
2020,1,"Ciutat Vella",1,"el Raval",20,"1 local",14
2020,1,"Ciutat Vella",1,"el Raval",20,"2 locals",12
2020,1,"Ciutat Vella",1,"el Raval",20,"de 3 a 5",19
2020,1,"Ciutat Vella",1,"el Raval",20,"de 6 a 10",38
2020,1,"Ciutat Vella",1,"el Raval",20,"d'11 a 20",66
2020,1,"Ciutat Vella",1,"el Raval",20,"de 21 a 50",17
2020,1,"Ciutat Vella",1,"el Raval",20,"de 51 a 100",1
2020,1,"Ciutat Vella",1,"el Raval",20,"més de 100",1
