"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Sector de Serveis Personals","","Barcelona","2001. 2002. 2003. 2004","","2001","2001","","","","","","application/pdf","30 p.","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84933","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones maltractades. Violència familiar","Societat i benestar","plans estratègics","Pla Municipal contra la Violència vers les Dones 2001-2004 (Barcelona)","Pla Operatiu contra la Violència vers les Dones : 2001-2004 : Programa Municipal per a les Dones 2001-2004","","text",""
"","Regidoria de Feminismes i LGTBI. Regidoria d'Infància, Joventut i Gent Gran. Àrea de Drets Socials. Àrea de Treball, Economia i Planificació Estratègica. Barcelona Activa, S.A.","","Barcelona","2016. 2017. 2018. 2019. 2020","","2016-11-25","2016-11","","Citada a la Gaseta Municipal de Barcelona, núm. 34 (30-12-2016). Presentada al Consell Municipal de 25-11-2016","","","","application/pdf","36 p.","","","","societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/99351","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació. Joves. Formació ocupacional. Política laboral","Ocupació","mesures de govern. plans estratègics","Pla per al Foment de l'Ocupació Juvenil i de Qualitat 2016-2020 (Barcelona)","Pla per al Foment de l'Ocupació Juvenil i de Qualitat 2016-2020: mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","2006. 2007. 2008. 2009. 2010. 2011","","2002-10","2007","","Document presentat i informat al Plenari del Consell Municipal del 24-11-2006.","","","","application/pdf","85 p.","Programa_Families_2006_2010","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96360","cat","","","","","http://hdl.handle.net/11703/86260. http://hdl.handle.net/11703/84950","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Família","Societat i benestar","plans estratègics","Programa Municipal per a les Famílies 2006-2010 (Barcelona)","Programa municipal per a les famílies 2006-2010","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior. Gerència de Serveis Generals i Coordinació Territorial","","Montbau (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","51 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85005","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de Montbau 2010-2020 (Barcelona)","Pla de futur del barri de Montbau : 2010-2020","","text",""
"","Sector de Serveis Personals","","Barcelona","2001. 2002. 2003. 2004","","2001","2001","","","","","","application/pdf","84 p.","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84934","cat","Ajuntament de Barcelona. Departament de Comunicació. Direcció de Serveis de Planificació i Recerca","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dones maltractades. Violència familiar","Societat i benestar","plans estratègics","Pla Municipal contra la Violència vers les Dones 2001-2004 (Barcelona)","Pla Operatiu contra la Violència vers les Dones : 2001-2004 : Programa Municipal per a les Dones 2001-2004 [versió editada]","","text",""
"","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris","2008. 2009. 2010. 2011","","2008-06","2008-06","","","","","","application/pdf","44 p.","PAD2008_2012_NB_DEF","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/96374","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Equipaments col·lectius. Ordenació del territori. Rehabilitació urbana. Espais públics. Política ambiental. Política econòmica. Política pública","Sector públic","plans estratègics","Programa d'Actuació del Districte de Nou Barris (PAD) 2008-2011 (Barcelona)","Programa d'Actuació del Districte de Nou Barris: 2008-2011: proposta de Programa d'Actuació del Districte informat favorablement pel Consell Plenari del Districte","","text",""
"","Àrea de Medi Ambient. Direcció d'Espais Verds i Biodiversitat","","Barcelona","2008","","2009","2009-06","","","","","","application/pdf","71 p.","2929","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86302","cat","Àrea de Medi Ambient. Direcció d'Espais Verds","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbres en les ciutats","Medi ambient","plans estratègics","Pla de Gestió de l'Arbrat Viari de Barcelona","Pla de gestió de l'arbrat viari de Barcelona 2008","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2014. 2015","Si","2014","2014","","","","","","application/pdf","11 p.","13044","","","","Mandat 2011-2015","http://hdl.handle.net/11703/83391","cat","","","","","","","","","","","","","CC-BY","openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Qualitat de vida. Conciliació de la vida personal i laboral. Organització del temps. Desenvolupament sostenible","Societat i benestar","plans estratègics","Pacte del Temps (Barcelona)","Pacte del Temps : per una ciutat amb qualitat de vida i sostenible","","text",""
"","Direcció de Benestar Social. Sector de Serveis Personals. Àrea d'Acció Social i Ciutadania","","Barcelona","2007","","2007","2007","","Document presentat com a mesura de govern en el Consell Plenari del 02-02-2007","","","","application/pdf","31 p.","PLACASALS","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96395","cat","Àrea d'Acció Social i Ciutadania","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans. Residències de persones grans","Societat i benestar","plans estratègics","Pla de Millora dels Casals i Espais de Gent Gran Municipals (Barcelona)","Pla de millora dels casals i espais de gent gran municipals","","text",""
"","Sector de Serveis Personals","","Barcelona","2004. 2005. 2006. 2007","","2006","2006","","Presentada al Plenari del Consell Municipal de 28-04-2016","","","","application/pdf","60 p.","Persones_sense_sostre_1","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96364","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Indigents","Societat i benestar","plans estratègics","Programa Municipal d'Atenció Social a Persones Sense Sostre (Barcelona)","Programa municipal d'atenció a persones sense sostre de l'Ajuntament de Barcelona : abril de 2006","","text",""
"","Sector de Serveis Personals","","Barcelona","2004. 2005. 2006. 2007","","2005","2005","","","","","","application/pdf","10 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84946","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes","Urbanisme i infraestructures","plans estratègics","Pla d'Equipaments 2005-2015 (Barcelona)","Pla d'Equipaments","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2016. 2017. 2018","","2016-10-28","2016","","Presentada al Plenari del Consell Municipal de 28-10-2016","","","","application/pdf","40 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/98747","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infraestructures urbanes. Mobilitat urbana","Medi ambient. Transport. Urbanisme i infraestructures","mesures de govern. plans estratègics","Pacte d'Infraestructures de la Ciutat de Barcelona 2016-2018","Bases per a un pacte municipal d'infraestructures per a la ciutat de Barcelona : mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","2005. 2006. 2007. 2008. 2009. 2010. 2011","","2011","2011","","","","","","application/pdf","8 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85135","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació permanent. Política educativa","Educació","plans estratègics","Programa Temps de Barri (Barcelona)","Temps de Barri, temps educatiu compartit : Intervenció des de la proximitat","","text",""
