"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 36"
"","","Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2018","Si","2017-12-14","2018-03-05","","2018-03-06","Aprovades per la Comissió de Govern de 14-12-2017","","application/pdf","2 documents","","","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (19-01-2018). Convocatòria i aprovació definitiva [no inclou les Bases]: Butlletí Oficial de la Província de Barcelona (05-03-2018)","districtes","http://hdl.handle.net/11703/108407","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Punts de Llibre Sant Jordi. Punts de llibre. Diada de Sant Jordi","Cultura i oci","premis","","Concurs Punts de Llibre de Sant Jordi 2018 : convocatòria i bases","","text",""
"","","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2014","","2014-03-21","2014-04-01","","2014-04-02","Aprovat per Decret de l'Alcaldia de 21-03-2014","","application/pdf","6 p.","13317","","Butlletí Oficial de la Província de Barcelona (01-04-2014)","","http://hdl.handle.net/11703/86957","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Brot. Festival Brot (Barcelona). Festivals de música","Cultura i oci","premis","","Premis El Brot 2014 : convocatòria i bases","","text",""
"Anual","","Institut Barcelona Esports","","Barcelona","2015","","2015-11-11","2015-11-13","","2015-11-14","Aprovada pel President de l'Institut d'Esports el 11-11-2015. Text íntegre de les bases, publicat al Butlletí Oficial de la Província de Barcelona (05-10-2015) : http://hdl.handle.net/11703/84109","","application/pdf","2 p.","","","Butlletí Oficial de la Província de Barcelona (13-11-2015)","organismes autònoms","http://hdl.handle.net/11703/84108","cat","http://hdl.handle.net/11703/84109","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Córrer per Compromís. Solidaritat. Esports","Esport. Societat i benestar","premis","","Premis Córrer per Compromís 2015 : convocatòria","","text",""
"","","Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2017","Si","2016-12-22","2017-02-27","","2017-02-28","Aprovades per la Comissió de Govern de 22-12-2016","","application/pdf","2 documents","","","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (27-02-2017). Aprovació definitiva [no inclou les Bases]: Butlletí Oficial de la Província de Barcelona (20-01-2016)","districtes","http://hdl.handle.net/11703/100846","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Punts de Llibre Sant Jordi. Punts de llibre. Diada de Sant Jordi","Cultura i oci","premis","","Concurs Punts de Llibre de Sant Jordi 2017 : convocatòria i bases","","text",""
"","","Gerència d'Ocupació, Empresa i Turisme","","Poble Sec (Barcelona : Barri)","2016","","2015-12-03","2015-12-17","","2015-12-03","","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (17-12-2015)","","http://hdl.handle.net/11703/85246","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cultura de Proximitat al barri del Poble-Sec. Política cultural","Cultura i oci","premis","","Convocatòria i bases del concurs ""Cultura de Proximitat al barri del Poble-Sec""","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2006","","2006-07-06","2006-07-12","","","Aprovat per Decret de l'Alcaldia de 06-07-2006","","application/pdf","","12347","","Butlletí Oficial de la Província de Barcelona, núm. 165 (12-07-2006)","","http://hdl.handle.net/11703/89311","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2006 : convocatòria","","text",""
"","","Institut Barcelona Esports","","Barcelona","2016","","2016-05-19","2016-05-23","2016-05-25","2016-05-20","Aprovada per la presidenta de l'Institut Barcelona Esport el 19-05-2016","","application/pdf","2 p.","","Núm. Reg. 022016008569","Butlletí Oficial de la Província de Barcelona (23-05-2016)","organismes autònoms","http://hdl.handle.net/11703/97316","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis compta fins a tres. Competicions esportives. Esports escolars","Educació. Esport","premis","","Premis compta fins a tres 2016: convocatòria","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2018","","2018-02-08","2018-04-17","","2018-04-06","Aprovació inicial per la Comissió de Govern de 08-02-2018. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","4 documents","","Núm. Exp. 20182016","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (20-02-2018). Aprovació inicial [inclou les Bases]: Gaseta Municipal de Barcelona (19-02-2018). Butlletí Oficial de la Província de Barcelona (17-04-2018). Gaseta Municipal de Barcelona (05-04-2018)","districtes","http://hdl.handle.net/11703/108639","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cartells. Concursos. Festes majors. Concurs de Cartells de la Festa Major de Sants","Cultura i oci","premis","","23è Concurs de Cartells de la Festa Major de Sants 2018 : convocatòria i bases","","text",""
"Anual","Obert","Ajuntament de Barcelona","","Barcelona","2017","Si","2017-06-01","2017-06-19","","2017-06-20","Aprovat per la Comissió de Govern d'01-06-2017","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (19-06-2017)","","http://hdl.handle.net/11703/102735","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Emigració i immigració. Premi Consell Municipal d'Immigració de Barcelona","Demografia","premis","","Premi Consell Municipal d'Immigració de Barcelona 2017: bases i convocatòria","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2013","","2013-11-18","2013-09-11","","","De conformitat amb el decret de Presidència de l'Institut de Cultura de Barcelona de data 18 de novembre de 2013, i en compliment d'allò que disposen els articles 124.2 del Reglament d'obres, activitats i serveis dels ens locals (ROAS) i 48.1 de la Llei 30/92, s'exposen al públic les Bases que han de regir la convocatòria del ""Primer premi Borni""","","application/pdf","","12451","","Butlletí Oficial de la Província de Barcelona (11-09-2013)","entitats públiques empresarials","http://hdl.handle.net/11703/86945","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Borni","Cultura i oci","premis","","Premi Borni 2013 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2007","","2007-07-06","2007-07-20","","","Aprovat per Decret de l'Alcaldia de 06-07-2007","","application/pdf","","12442","","Butlletí Oficial de la Província de Barcelona, núm.  173 (20-07-2007)","","http://hdl.handle.net/11703/89333","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound","Cultura i oci. Ciència i tecnologia","premis","","Premi per a la creació de la nova pàgina web del Festival audiovisual Barcelona Visualsound de creació jove 2007 : convocatòria","","text",""
"","","Centre de Cultura Contemporània de Barcelona","","Barcelona","2018","","2017-12-19","2018-01-05","","2018-01-06","Aprovat pel Decret de la Direcció General del Consorci de 19-12-2017","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (05-01-2018)","consorcis","http://hdl.handle.net/11703/107235","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Europeu a l’Espai Públic Urbà. Espais públics. Desenvolupament urbà sostenible","Urbanisme i infraestructures","premis","","Premi Europeu a l’Espai Públic Urbà 2018 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2005","","2005-01-20","2005-04-01","","","Aprovat per Decret de l'Alcaldia de 20-01-2005","","application/pdf","","12344","","Butlletí Oficial de la Província de Barcelona, núm. 78 (01-04-2005)","","http://hdl.handle.net/11703/89310","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2005 : convocatòria","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2016","Si","2016-09-08","2016-10-03","","2016-10-04","Aprovat per la Comissió de Govern de 13-06-2015","","application/pdf","","","","Butlletí Oficial de la Província de Barcelona (03-10-2016)","consells","http://hdl.handle.net/11703/98364","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Ignasi Fina de Salut Laboral","Ocupació","premis","","Premi Ignasi Fina de Salut Laboral 2016 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2012","","2012-07-13","2012-08-01","","","Aprovat per Decret de l'Alcaldia 13-07-2012","","application/pdf","","12365","","Butlletí Oficial de la Província de Barcelona (01-08-2012)","","http://hdl.handle.net/11703/86932","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2012 : convocatòria i bases","","text",""
"","","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2017","Si","2017-07-26","2017-07-28","","2017-07-29","Aprovació inicial per la Comissió de Govern de 26-07-2017. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","5 p.","","","Gaseta Municipal de Barcelona (28-07-2017)","districtes","http://hdl.handle.net/11703/106026","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Literatura. Biblioteca Vapor Vell (Barcelona). Premis Concurs Internacional de Literatura Ràpida L'Exprés","Cultura i oci","premis","","IX Concurs Internacional de Literatura Ràpida L'Exprés 2017 : convocatòria i bases","","text",""
"","","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2015","","2015-05-20","2015-07-16","","2015-07-16","","","application/pdf","1 p.","Exp. SJ-15-056","","Butlletí Oficial de la Província de Barcelona (16-07-2015)","districtes","http://hdl.handle.net/11703/83440","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2015: convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2008","","2007-12-19","2008-01-15","","","Aprovat per Decret de l'Alcaldia de 19-12-2007. Les Bases van ser aprovades per DA de 21-07-200","","application/pdf","","12446","","Butlletí Oficial de la Província de Barcelona, núm. 13 (15-01-2008)","","http://hdl.handle.net/11703/89336","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Associacions","Societat i benestar","premis","","Premi Barcelona Associacions 2008 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2015","","2014-07-18","2014-08-11","","2014-08-12","Aprovat per la Presidència de l'Institut de Cultura de Barcelona el 18-07-2014","","application/pdf","1 p.","14094","","Butlletí Oficial de la Província de Barcelona (11-08-2014)","entitats públiques empresarials","http://hdl.handle.net/11703/86966","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Jocs Florals de Barcelona. Jocs Florals","Cultura i oci","premis","","Premis Jocs Florals de Barcelona 2015 : convocatòria","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2006","","2006-10-19","2006-10-25","","","Aprovades per decret de Presidència de l'Institut de Cultura de Barcelona el 19-10-2006","","application/pdf","","12434","","Butlletí Oficial de la Província de Barcelona, núm. 255 (25-10-2006)","entitats públiques empresarials","http://hdl.handle.net/11703/89326","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Ciutat de Barcelona","Cultura i oci","premis","","Premis Ciutat de Barcelona 2006 : bases","","text",""
"","","Districte 10. Sant Martí","","Barcelona","2010","","2010-07-06","2010-07-26","","","Aprovades pel regidor del districte de Sant Martí el 06-07-2010","","application/pdf","","12228","","Butlletí Oficial de la Província de Barcelona (26-07-2010)","districtes","http://hdl.handle.net/11703/86923","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2010 : bases","","text",""
"Anual","","Ajuntament de Barcelona. Gerència d'Ocupació, Empresa i Turisme","","Barcelona","2016","Si","2016-05-19","2016-06-13","","2016-06-14","Aprovat per Decret de l'Alcaldia de 19-05-2016","","application/pdf","3 p.","","Núm. Reg. 022016009664","Butlletí Oficial de la Província de Barcelona (13-06-2016)","","http://hdl.handle.net/11703/97438","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Comerç de Barcelona","Comerç","premis","","Premi Comerç de Barcelona 2016: bases","","text",""
"","","Institut Barcelona Esports","","Barcelona","2018","","2018-04-03","2018-04-05","2018-04-18","2018-04-06","Aprovat per la Presidència de l'Institut Barcelona Esports el 03-04-2018","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (05-04-2018)","organismes autònoms","http://hdl.handle.net/11703/108638","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Dona i Esport. Dones. Esports. Clubs esportius","Esport","premis","","Premi Dona i Esport 2018: convocatòria","Convocatòria del XI Premi Dona i Esport","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","","2015-10-07","2015-10-20","","2015-10-21","","","application/pdf","6 p.","","","Butlletí Oficial de la Província de Barcelona (20-10-2015)","","http://hdl.handle.net/11703/84004","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Cultura i oci","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2015 :  convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2017","","2017-01-19","2017-01-24","","","Aprovat per la Comissió de Govern de 19-01-2017","","application/pdf","4 p.","","","Butlletí Oficial de la Província de Barcelona (24-01-2017)","","http://hdl.handle.net/11703/99780","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany. Dones. Cultura","Cultura i oci. Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2017 : convocatòria","","text",""
"","","Institut Barcelona Esports","","Barcelona","2006","No","2007-07-17","2007-09-06","","","Aprovat per resolució del president de l'Institut Barcelona Esports el 17-07-2007","","application/pdf","","","12370","Butlletí Oficial de la Província de Barcelona, núm. 214 (06-09-2007)","organismes autònoms","http://hdl.handle.net/11703/89315","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Dona i Esport","Esport","premis","","Premi Dona i Esport ""Mireia Tapiador"" 2006 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","","2015-01-30","2015-02-09","","","Aprovat per Decret de l'Alcaldia de 30-01-2015. Bases aprovades per DA de 20-11-2013 (BOP 26-11-2013)","","application/pdf","","17816","","Butlletí Oficial de la Província de Barcelona (09-02-2015)","","http://hdl.handle.net/11703/86975","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Associacions","Societat i benestar","premis","","Premi Barcelona Associacions 2015: convocatòria","","text",""
"","","Districte 10. Sant Martí","","Barcelona","2011","","2011-09-22","2011-09-30","","","Aprovades pel regidor del districte de Sant Martí el 22-09-2011","","application/pdf","","12229","","Butlletí Oficial de la Província de Barcelona (30-09-2011)","districtes","http://hdl.handle.net/11703/86924","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen Literari Paraules a Icària. Certàmens literaris","Cultura i oci","premis","","Certamen literari Paraules a Icària 2011 : convocatòria i bases","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Bordeta (Barcelona : Barri). Barcelona. Districte 3. Sants-Montjuïc","2017","Si","2017-02-09","2017-03-27","","2017-03-28","Aprovació inicial per la Comissió de Govern de 09-02-2017. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","","Núm. Exp. 20172018","Butlletí Oficial de la Província de Barcelona (27-03-2017). Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (21-02-2017)","districtes","http://hdl.handle.net/11703/101551","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concursos. Festes majors. Concurs de Cartells de la Festa Major de la Bordeta. Cartells","Cultura i oci","premis","","I Concurs de Cartells de la Festa Major de la Bordeta 2017: convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2003","","2003-02-06","2003-03-25","","","Aprovat per Decret de l'Alcaldia de 06-02-2003","","application/pdf","","12340","","Butlletí Oficial de la Província de Barcelona, núm. 72 (25-03-2003)","","http://hdl.handle.net/11703/89308","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2003 : convocatòria","","text",""
"Anual","","Gerència de Presidència i Economia","","Barcelona","2016","","2016","2016-09-26","","2016-09-27","Aprovat pel Comissionat d'Economia Cooperativa, Social i Solidaria i Consum","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (26-09-2016)","","http://hdl.handle.net/11703/98300","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Empresa Innovadora en Conciliació i Temps. Conciliació de la vida personal i laboral. Empreses","Ocupació","premis","","Premi Barcelona Empresa Innovadora en Conciliació i Temps 2016 : bases","Premi Barcelona a l'empresa innovadora en mesures de temps i conciliació 2016 : bases","text",""
"","","Comissió de Govern","","Barcelona","2016. 2017","","2016-04-21","2016-05-20","","2016-04-21","Aprovades per la Comissió de Govern de 21-04-2016","","application/pdf","3 p.","","Núm. Reg. 022016007960","Butlletí Oficial de la Província de Barcelona (20-05-2016)","","http://hdl.handle.net/11703/97300","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis. El Comerç i les Escoles (Barcelona). Premi Punt de Llibre d'El Comerç i les Escoles","Cultura i oci","premis","","Premi Punt de Llibre del programa educatiu El Comerç i les Escoles, curs 2016/2017: bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2007","","2007-06-25","2007-06-29","","","Aprovat per Decret de l'Alcaldia de 25-06-2007","","application/pdf","","12348","","Butlletí Oficial de la Província de Barcelona, núm. 155 (29-06-2007)","","http://hdl.handle.net/11703/89312","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2007 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","","","2015-02-02","","","","","application/pdf","","17751","","Butlletí Oficial de la Província de Barcelona (02-02-2015)","","http://hdl.handle.net/11703/86974","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2015 : convocatòria : correccions","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2011","","2011-06-01","2011-07-25","","","Aprovat per Decret de l'Alcaldia de 01-06-2011","","application/pdf","","12322","","Butlletí Oficial de la Província de Barcelona (25-07-2011)","","http://hdl.handle.net/11703/86929","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 25 de novembre - Dia Internacional per a l'eliminació de la violència vers les dones. Violència envers les dones","Societat i benestar","premis","","Premi 25 de Novembre - Dia Internacional per a l'eliminació de la violència vers les dones 2011 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2006","","2006-07-03","2006-07-12","","","Aprovada per la Gerent del Sector de Serveis Personals el 03-07-2006","","application/pdf","","12395","","Butlletí Oficial de la Província de Barcelona, núm. 165 (12-07-2006)","","http://hdl.handle.net/11703/89318","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Joves. Creativitat. Audiovisuals","Cultura i oci","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2006 : convocatòria","","text",""
"","","Àrea d'Economia, Empresa i Ocupació","","Barcelona","2014","","2014-12-03","2014-12-05","","","Les bases van ser aprovades per Acord de la Comissió de Govern de  03 de desembre de 2014","","application/pdf","","17240","","Butlletí Oficial de la Província de Barcelona (05-12-2014)","","http://hdl.handle.net/11703/86971","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs per a l'Ornamentació Nadalenca d'aparadors dels comerços","Cultura i oci","premis","","Premi per a l'ornamentació nadalenca de façanes, balcons i aparadors a la ciutat de Barcelona 2014 : convocatòria i bases","","text",""
"Anual","","Institut de Cultura de Barcelona","","Barcelona","2016","Si","2016-09-07","2016-09-27","","2016-09-28","Aprovat pel President de l'Institut de Cultura de Barcelona el 07-09-2016","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (27-09-2016)","entitats públiques empresarials","http://hdl.handle.net/11703/98339","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Joves Creadores","Cultura i oci","premis","","Premi Joves Creadores 2016 : convocatòria i bases","","text",""
"","","Departament de Joventut. Àrea de Drets Socials","","Barcelona","2017","","2016-09-08","2016-09-26","","2016-09-27","Aprovat per la Comissió de Govern de 08-09-2016","","application/pdf","4 p.","","","Butlletí Oficial de la Província de Barcelona (26-09-2016)","","http://hdl.handle.net/11703/98301","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs de Cartells dels Festivals per a Joves. Cartells. Festivals de música. Festivals de dansa. Festival Brot (Barcelona). Festival Barcelona VisualSound. Rough Diamonds BCN","Cultura i oci","premis","","Concurs de Cartells dels Festivals per a Joves 2017 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2006","","2006-07-21","2006-08-04","","","Aprovat per Decret de l'Alcaldia de 21-07-2006","","application/pdf","","12444","","Butlletí Oficial de la Província de Barcelona, núm. 185, Annex I (04-08-2006)","","http://hdl.handle.net/11703/89334","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Associacions","Societat i benestar","premis","","Premi Barcelona Associacions per a projectes de participació i el foment de l'associacionisme 2006 : bases","","text",""
"","","Institut Barcelona Esports","","Barcelona","2015","No","2016-03-24","2016-04-05","","2016-04-06","Aprovada per la Presidenta de l'Institut Barcelona Esports el 24-03-2016","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (05-04-2016)","organismes autònoms","http://hdl.handle.net/11703/96553","cat","","","","http://hdl.handle.net/11703/86976","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Dona i Esport","Esport","premis","","Premi Dona i Esport 2015: convocatòria i bases","","text",""
"Biennal","","Centre de Cultura Contemporània de Barcelona","","Barcelona","2016. 2017","","2016-09-23","2016-10-07","","2016-10-08","Aprovat per la Direcció General del Consorci de del Centre de Cultura Contemporània el 23-09-2016","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (07-10-2016)","consorcis","http://hdl.handle.net/11703/98448","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Internacional a la Innovació Cultural. Cultura","Ciència i tecnologia","premis","","Premi d'Innovació Cultural 2016-2017 : convocatòria i bases","","text",""
"","","Gerència de Presidència i Economia","","Bon Pastor (Barcelona : Barri). Baró de Viver (Barcelona : Barri). Trinitat Vella (Barcelona : Barri). Torre Baró (Barcelona : Barri). Ciutat Meridiana (Barcelona : Barri). Trinitat Nova (Barcelona : Barri). Besòs (Barcelona : Barri). Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2016","","2016-11-10","2016-11-24","","2016-11-10","Aprovat per Acord de la Comissió de Govern de 10-11-2016","","application/pdf","4 p.","","","Butlletí Oficial de la Província de Barcelona (24-11-2016)","","http://hdl.handle.net/11703/99133","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs per a l'Ornamentació Nadalenca d'aparadors dels comerços","Cultura i oci","premis","","Concurs per l'Ornamentació Nadalenca d'aparadors dels comerços de diferents barris de la ciutat de Barcelona (Bon Pastor, Baró de Viver, Trinitat Vella, Torre Baró, Ciutat Meridiana, Trinitat Nova, Besòs-Maresme i la Marina)","","text",""
"","","Centre de Cultura Contemporània de Barcelona","","Barcelona","2014","No","2014-10-14","2014-10-28","2014-11-16","2014-10-15","Aprovat per la Direcció General del Consorci del Centre de Cultura Contemporània de Barcelona el 14-10-2014","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (28-10-2014)","consorcis","http://hdl.handle.net/11703/98463","cas","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Visitant de l'Any de l'exposició Big Bang Data","Ciència i tecnologia","premis","","Premios Visitantes del Año vinculadas a la exposición Big Bang Data","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Poble Sec (Barcelona : Barri). Barcelona. Districte 3. Sants-Montjuïc","2017","Si","2017-02-09","2017-03-27","","2017-03-28","Aprovació inicial per la Comissió de Govern de 09-02-2017. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","Núm. Exp. 20172016","","Butlletí Oficial de la Província de Barcelona (27-03-2017). Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (21-02-2017)","districtes","http://hdl.handle.net/11703/101549","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concursos. Festes majors. Concurs de Cartells de la Festa Major de Poble-Sec. Cartells","Cultura i oci","premis","","XX Concurs de Cartells de la Festa Major del Poble-Sec 2017 : convocatòria i bases","","text",""
