"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2004-02-20","2004-02-26","","2004-02-27","Aprovat pel Plenari del Consell Municipal de 20-02-2004","","","","","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 49 (26-02-2004), p. 27-29","","","http://hdl.handle.net/11703/106140","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/106138""> Reglament de Participació de l'Ajuntament de Barcelona [2017]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana | Associacions, institucions, etc. | Citizen participation | Associations, institutions, etc. | Participación ciudadana | Asociaciones, instituciones, etc.","Sector públic | Societat i benestar","reglaments","","Reglament del fitxer general d'entitats ciutadanes [2004]","Normes reguladores del fitxer general d'entitats ciutadanes [2004]","text","info:eu-repo/semantics/other",""
"World Association of the Major Metropolises","Barcelona | Barcelona | Barcelona","","No","2000-11","2000-11","","","","","","","","","application/pdf","6 p.","application/pdf","","","","associacions","","http://hdl.handle.net/11703/108774","spa","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Asociación Mundial de las Grandes Metrópolis","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | World Association of the Major Metropolises | Organization and flowcharts | World Association of the Major Metropolises | Organización y organigramas | World Association of the Major Metropolises","Sector públic","reglaments","","Reglamento interno : Asociación Mundial de las Grandes Metrópolis [2000]","","text","info:eu-repo/semantics/other",""
"Parcs i Jardins de Barcelona, Institut Municipal | Districte 5. Sarrià-Sant Gervasi. Gerència","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi","","No","2014-04-30","2014","","","","","","","","","application/pdf","2 p.","application/pdf","16649","","","districtes","","http://hdl.handle.net/11703/111815","cat","","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Districte 5. Sarrià-Sant Gervasi | Horts | Districte 5. Sarrià-Sant Gervasi | Vegetable gardening | Districte 5. Sarrià-Sant Gervasi | Huertos","Cultura i oci | Legislació i justícia","reglaments","","Reglament de règim intern i funcionament de l'ús per temps determinat de les parcel·les a l'hort Can Pujades pel projecte ""Horts Urbans"" [2014]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1982-02-26","1982-03-30","","1982-03-30","Aprovades per la Comissió Municipal Permanent de 26-02-1982","","Deroguen les ""Normas para la actuación de los Servicios jurídicos del Ayuntamiento"", aprovades per Decret de l'Alcaldia de 25-02-1966 | Deroguen la ""Creación de la Junta de Letrados del Ayuntamiento"", aprovades per Decret de l'Alcaldia de 13-06-1965","Digitalitzat pel SEDAC","","","application/pdf","","application/pdf","10007","","Gaseta Municipal de Barcelona, núm. 9 (30-03-1982)","","","http://hdl.handle.net/11703/91698","spa","","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Contractes administratius | Public contracts | Contratos administrativos","Sector públic","reglaments | documents digitalitzats","","Normas reguladoras de la desconcentración funcional de la contratación [1982]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1905-05-04","1919","","","Aprovat pel Plenari del Consell Municipal de 04-05-1905","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","17 p.","application/pdf","14119","","","","","http://hdl.handle.net/11703/91750","spa","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Policia local | Tramvies | Organització i organigrames | Municipal police | Street-railroads | Organization and flowcharts | Policía municipal | Tranvías | Organización y organigramas","Seguretat | Transport","monografies | reglaments | documents digitalitzats","","Reglamento de policía para la explotación de tranvías en Barcelona [1905]","","text","info:eu-repo/semantics/book",""
"Ministerio de Hacienda","Barcelona | Barcelona | Barcelona","","No","1964-12-17","1964-12-29","","1964-12-29","","","","","","","application/pdf","2 p.","application/pdf","","","Boletín Oficial del Estado, núm. 312 (29-12-1964), p. 17406-17407","","","http://hdl.handle.net/11703/106463","spa","","","","","","","Reproducció digital del document en suport original","","","<a href=""http://hdl.handle.net/11703/106462"" target=""_blank"">Reglamento de hacienda municipal de Barcelona [1961]</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Economia | Legislació i justícia","reglaments | documents digitalitzats","","Reglamento de hacienda municipal de Barcelona [1964] : modificació [1964-12-17]","Decreto 4107/1964, de 17 de diciembre, por el que se aclara el 2086/1961, de 9 de noviembre, que aprobó el Reglamento de Hacienda Municipal de Barcelona","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1997-10-24","1998-02-20","2011-11-02","1998-02-21","Aprovat pel Plenari del Consell Municipal de 24-10-1997","","","Digitalitzat pel SEDAC","","","application/pdf","","application/pdf","5501","","Gaseta Municipal de Barcelona, núm. 5 (20-02-1998)","consells","","http://hdl.handle.net/11703/91670","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/110811"">Procediment d’incorporació de noves entitats al CMIB de 2008</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Consell Municipal d'Immigració (Barcelona) | Organization and flowcharts | Consell Municipal d'Immigració (Barcelona) | Organización y organigramas | Consell Municipal d'Immigració (Barcelona)","Societat i benestar","reglaments | documents digitalitzats","","Normes reguladores del Consell Municipal d'Immigració de Barcelona [1997]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1968-06-28","1968-11-11","","","Aprovada pel Plenari del Consell Municipal del 28-06-1968","","","","","","application/pdf","4 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 31 (11-11-1968), p. 655-658","","","http://hdl.handle.net/11703/106680","spa","","dc.relation: <a href=""http://hdl.handle.net/11703/91748""> Edició llibre (1968)</a>","","","","","","","<a href=""http://hdl.handle.net/11703/97137"">Reglament sobre l'ús de les instal·lacions municipals esportives [1968]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Instal·lacions esportives | Organization and flowcharts | Sports facilities | Organización y organigramas | Instalaciones deportivas","Esport | Urbanisme i infraestructures","reglaments | documents digitalitzats","","Reglamento sobre uso de instalaciones deportivas municipales [1968]","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Associacions de Barcelona","Barcelona | Barcelona | Barcelona","","No","2005-11-23","2005","2015-04-23","2005-12-23","Aprovat pel Plenari del Consell Municipal de 23-12-2005","","","","","","application/pdf","18 p.","application/pdf","4279","","","consells | consells","","http://hdl.handle.net/11703/96844","cat","Ajuntament de Barcelona. Participació Ciutadana","","","","","","","","<a href=""http://hdl.handle.net/11703/83454"">Reglament de funcionament intern del Consell Municipal d'Entitats de Barcelona [2015]</a","","","<a href=""http://hdl.handle.net/11703/91717"">Normes reguladores del Consell Municipal d'Associacions de Barcelona [2001]</a>","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Consell Municipal d'Associacions de Barcelona | Organization and flowcharts | Consell Municipal d'Associacions de Barcelona | Organización y organigramas | Consell Municipal d'Associacions de Barcelona","Societat i benestar","reglaments","","Reglament intern del Consell Municipal d'Associacions de Barcelona [2005]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1998-07-09","1998","2014-05-20","1998-07-09","Aprovades pel Decret de l'Alcaldia de 09-07-1998","","","Digitalitzat pel SEDAC","","","application/pdf","8 p.","application/pdf","13954","","","","","http://hdl.handle.net/11703/91737","cat","Ponència del Nomenclàtor dels carrers de Barcelona","","","","","","Reproducció digital del document en suport original","","Modificades i refoses per les  <a href=""http://hdl.handle.net/11703/97106"">Normes de funcionament de la Ponència del Nomenclàtor dels carrers de Barcelona [2014]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Nomenclatura | Carrers | Ponència de Nomenclàtor dels Carrers de Barcelona | Organització i organigrames | Names | Streets | Ponència de Nomenclàtor dels Carrers de Barcelona | Organization and flowcharts | Nombres | Calles | Ponència de Nomenclàtor dels Carrers de Barcelona | Organización y organigramas","Urbanisme i infraestructures","reglaments | documents digitalitzats","","Normes de funcionament de la Ponència del Nomenclàtor dels carrers de Barcelona [1998]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2014-04-23","2014-07-11","","2014-07-12","Aprovat pel Decret de l'Alcaldia de 23-04-2014","","","","","","application/pdf","8 p.","application/pdf","13886","","Butlletí Oficial de la Província de Barcelona (11-07-2014)","","","http://hdl.handle.net/11703/83465","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/98446"">Sistema municipal d'ordenació de l'autoprotecció de l'Ajuntament de Barcelona (SOAP) [2016 text refós]</a>","<a href=""http://hdl.handle.net/11703/86181"" target=""_blank"">Instrucció de la Protecció Civil Municipal</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Seguretat en el treball | Espais públics | Seguretat ciutadana | Industrial safety | Public spaces | Public security | Seguridad industrial | Espacios públicos | Seguridad ciudadana","Seguretat","reglaments","","Sistema municipal d'ordenació de l'autoprotecció de l'Ajuntament de Barcelona (SOAP) [2014]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona. Districte 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí | Barcelona. Distrito 1. Ciutat Vella","","No","1987-09-15","1987-11-11","2001-10-23","1987-11-12","Aprovades inicialment pel Plenari del Consell Municipal de 28-07-1987 i definitivament el 15-09-1987","","","","","","application/pdf","1 p.","application/pdf","10036","","Butlletí Oficial de la Província de Barcelona, núm. 270 (11-11-1987), p. 24-27","districtes","","http://hdl.handle.net/11703/106503","cat","","","","","","","Reproducció digital del document en suport original","","","<a href=""http://hdl.handle.net/11703/106501"" target=""_blank"">Normes reguladores de l'organització dels districtes [1986]</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Districtes municipals | Ordenació del territori | Organization and flowcharts | Local districts | Regional planning | Organización y organigramas | Distritos municipales | Ordenación del territorio","Legislació i justícia | Sector públic","reglaments | documents digitalitzats","","Normes reguladores de l'organització dels districtes [1986] : modificació [1987-09-15]","","text","info:eu-repo/semantics/other",""
"Consell Assessor de la Gent Gran de Barcelona","Barcelona | Barcelona | Barcelona","","No","1990-06-01","1990","2008-03-21","1990-06-01","Aprovades per Decret de l'Alcaldia de 01-06-1990","","","","","","application/pdf","5 p.","application/pdf","17874","","","consells","","http://hdl.handle.net/11703/83402","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/83399"">Reglament de funcionament intern del Consell Assessor de la Gent Gran de Barcelona [2008]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans | Organització i organigrames | Consell Assessor de la Gent Gran de Barcelona | Older people | Organization and flowcharts | Consell Assessor de la Gent Gran de Barcelona | Ancianos | Organización y organigramas | Consell Assessor de la Gent Gran de Barcelona","Societat i benestar","reglaments","","Normes reguladores del Consell Assessor de Gent Gran de Barcelona [1990]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 2. Eixample | Barcelona. Districte 3. Sants-Montjuïc | Barcelona. Districte 4. Les Corts | Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 9. Sant Andreu | Barcelona. Districte 10. Sant Martí | Barcelona. District 1. Ciutat Vella | Barcelona. District 2. Eixample | Barcelona. District 3. Sants-Montjuïc | Barcelona. District 4. Les Corts | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 9. Sant Andreu | Barcelona. District 10. Sant Martí | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 2. Eixample | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Distrito 4. Les Corts | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 9. Sant Andreu | Barcelona. Distrito 10. Sant Martí","","No","2002-11-22","2002-12-13","","2002-12-14","Aprovades pel Plenari del Consell Municipal de 22-11-2002","","","","","","application/pdf","7 p.","application/pdf","5568","","Butlletí Oficial de la Província de Barcelona,  núm. 298 (13-12-2002), p. 18 – 24","districtes","","http://hdl.handle.net/11703/84850","cat","","<a href=""http://hdl.handle.net/11703/99393"">Procés per a la revisió de les Normes Reguladores de la Participació Ciutadana: pla de treball 2016-2019]</a>","","","","","","<a href=""http://hdl.handle.net/11703/99393"">Procés per a la revisió de les Normes Reguladores de la Participació Ciutadana: pla de treball 2016-2019</a>","<a href=""http://hdl.handle.net/11703/106138""> Reglament de participació ciutadana [2017]</a>","","","<a href=""http://hdl.handle.net/11703/106506"">Normes reguladores de l'organització de la participació ciutadana [1986]]</a>","<a href=""http://hdl.handle.net/11703/86348"">Normes reguladores del funcionament dels Districtes [2001] : modificació [2009-10-02]</a> | <a href=""http://hdl.handle.net/11703/86361"">Reglament intern del Consell de Ciutat [2014]</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana | Citizen participation | Participación ciudadana","Sector públic | Societat i benestar","reglaments","","Normes reguladores de la participació ciutadana [2002]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1957-07-29","1957","","1957-07-29","Aprovat pel Plenari del Consell Municipal de  29-07-1957","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","13 p.","application/pdf","7954","","","","","http://hdl.handle.net/11703/91761","spa","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Beques | Scholarships | Becas","Economia","monografies | reglaments | documents digitalitzats","","Normas de protección económica docente [1957]","","text","info:eu-repo/semantics/book",""
"Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona)","Barcelona | Barcelona | Barcelona","","No","1980-07-11","1980","","1980-07-11","Aprovat pel Plenari del Consell Municipal de  11-07-1980","Aquest reglament ja no està vigent, no n'hi ha cap altre. Es regeixen pels Estatuts de l'Institut Municipal de Prestacions d'Assistència Mèdica al Personal Municipal Estatuts","","Digitalitzat pel SEDAC","","","application/pdf","27 p.","application/pdf","13952","","","","","http://hdl.handle.net/11703/97111","spa","","","","","","","Reproducció digital del document en suport original","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona) | Assistència mèdica | Organization and flowcharts | Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona) | Medical care | Organización y organigramas | Institut de Prestacions d’Assistència Mèdica al Personal Municipal (Barcelona) | Asistencia sanitaria","Salut","reglaments | documents digitalitzats","","Reglamento para la Prestación de los Servicios de Asisténcia médico-farmaceútica a los Empleados Municipales (P.A.M.E.M) [1980]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1938-05-16","1938-05-30","","","Aprovat pel Comitè Permanent Municipal de 16-05-1938","","","","","","application/pdf","4 p.","application/pdf","","","Gaseta municipal de Barcelona, núm. 18-22 (30-05-1938), p. 125-128","","","http://hdl.handle.net/11703/106659","cat","","<a href=""http://hdl.handle.net/11703/96970""> Edició llibre (1938)</a>","","","","","","","","","","<a href=""http://hdl.handle.net/11703/97143"">Reglament del règim interior del Ple Municipal [1934]</a>","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Política i govern | Organization and flowcharts | Politics and government | Organización y organigramas | Política y gobierno","Legislació i justícia | Sector públic","reglaments | documents digitalitzats","","Reglament de règim interior de l'Ajuntament de Barcelona [1938]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1882-11-29","1882","","1882-11-29","Aprovat pel Plenari del Consell Municipal de 26-01-1882. Sancionat el 27-02-1882","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","10 p.","application/pdf","8001","","","","","http://hdl.handle.net/11703/96980","spa","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/96980"">Reglamento económico facultativo para las canalizaciones de gas en las vias públicas de esta capital, y para utilizarse de este fluido en los edificios públicos y particulares [1882]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Gas | Canonades | Gas | Pipe | Gas | Tuberías","Energia","monografies | reglaments | documents digitalitzats","","Reglamento económico facultativo para las canalizaciones de gas en las vias públicas de esta capital, y para utilizarse de este fluido en los edificios públicos y particulares [1882]","","text","info:eu-repo/semantics/book",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1995-02-03","1995-02-28","2001-07-29","1995-02-28","Aprovades pel Plenari del Consell Municipal de 03-02-1995","","","Digitalitzat pel SEDAC","","","application/pdf","3 p.","application/pdf","13077","","Gaseta Municipal de Barcelona, núm. 6 (28-02-1995)","consells","","http://hdl.handle.net/11703/91715","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/96408"">Normes reguladores del Consell de les Dones de Barcelona [1995] : modificació [2001-06-29]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Consell de les Dones de Barcelona | Organization and flowcharts | Consell de les Dones de Barcelona | Organización y organigramas | Consell de les Dones de Barcelona","Sector públic | Societat i benestar","reglaments | documents digitalitzats","","Normes reguladores del Consell de les Dones de Barcelona [1995]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1999-02-19","1999-03-20","","1999-03-21","Aprovat pel Plenari del Consell Municipal de 19-02-1999","","","Digitalitzat pel SEDAC","","","application/pdf","2 p.","application/pdf","5457","","Gaseta Municipal de Barcelona, núm. 8 (20-03-1999)","","","http://hdl.handle.net/11703/91664","cat","","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Comissió de Lectura Pública de Barcelona | Lectura | Organització i organigrames | Comissió de Lectura Pública de Barcelona | Reading | Organization and flowcharts | Comissió de Lectura Pública de Barcelona | Lectura | Organización y organigramas","Cultura i oci","reglaments | documents digitalitzats","","Normes reguladores de la Comissió de Lectura Pública de Barcelona [1999]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1932-11-18","1932","1950-05-13","1932-11-18","Aprovat pel Plenari del Consell Municipal de 18-11-1932","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","","application/pdf","7993","","","","","http://hdl.handle.net/11703/91755","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/91754"">Reglamento del Montepío y Asociación del Cuerpo de Serenos de Barcelona [1945]</a> | <a href=""http://hdl.handle.net/11703/96842"">Reglamento del Cuerpo de Serenos del Ayuntamiento de Barcelona [1950]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Vigilants | Organization and flowcharts | Watchmen | Organización y organigramas | Vigilantes jurados de seguridad","Seguretat","monografies | reglaments | documents digitalitzats","","Reglaments del Cos de Serenos Municipals de Barcelona [1932]","Reglamento del Montepío y Asociación del Cuerpo de Serenos de Barcelona | Reglament del Cos de Serenos Municipals de Barcelona","text","info:eu-repo/semantics/book",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1996-03-15","1996-03-29","2005-02-05","1996-03-30","Aprovat pel Plenari del Consell Municipal de 15-03-1996","","","","","","application/pdf","","application/pdf","13924","","Butlletí Oficial de la Província de Barcelona, núm. 77 (29-03-1996)","","","http://hdl.handle.net/11703/91725","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703//91680"">Normativa general reguladora de les subvencions [2005]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Subvencions | Subsidies | Subvenciones públicas","Economia","reglaments","","Normativa general reguladora de les subvencions a atorgar per l'Ajuntament [1996]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1940-11-12","1942-12-14","","","Aprovat per la Comissió Municipal Permanente de 16-01-1940 i pel Consell Plenari de 24-01-1940","","","","","","application/pdf","","application/pdf","","","Gaceta municipal de Barcelona, núm 50 (14-12-1942), p. 628-631","","","http://hdl.handle.net/11703/106658","cat","","<a href=""http://hdl.handle.net/11703/90401""> Edició llibre (1942)</a>","","","","","","","","","","<a href=""http://hdl.handle.net/11703/106657"">Reglamento del Mercado Central de Frutas y Verduras [1928]</a>","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Mercats | Organization and flowcharts | Markets | Organización y organigramas | Mercados","Comerç","reglaments | documents digitalitzats","","Reglamento del Mercado Central de Frutas y Verduras [1940]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1928-06-19","1928-06-25","","","Aprovada per la Comisión Municipal Permanente de 12-06-1928","","","","","","application/pdf","1 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 25 (25-06-1928), p. 514","","","http://hdl.handle.net/11703/106937","spa","","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Salut pública | Serveis sanitaris | Organització i organigrames | Public health | Health services | Organization and flowcharts | Salud pública | Servicios de salud | Organización y organigramas","Comerç | Salut","reglaments | documents digitalitzats","","Reglamento de la oficina municipal de sanidad [1928]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2001-04-27","2001-05-28","2015-07-08","2001-05-29","Aprovat per Decret de l'Alcaldia de 27-04-2001","","","","","","application/pdf","","application/pdf","13673","","Butlletí Oficial de la Província de Barcelona, núm. 127 (28-05-2001) | Publicat també a la Gaseta Municipal de Barcelona, núm. 18 (10-06-2001), p. 1083-1084","","","http://hdl.handle.net/11703/91723","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/86191"">Instrucció relativa al procediment d'habilitació dels gestors de runa mitjançant recipients fins a un metre cúbic de capacitat [2015]</a> | <a href=""http://hdl.handle.net/11703/83416"">Derogació de les disposicions municipals obsoletes [2015]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Residus | Construcció | Waste products | Building | Residuos | Construcción","Medi ambient","reglaments","","Normativa d'homologació de les empreses responsables dels sacs de runes [2001]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1982-11-26","1982-11-30","","1982-12-01","Aprovat per la Comissió Municipal Permanent el 26-11-1982","","","Digitalitzat pel SEDAC","","","application/pdf","2 p.","application/pdf","10013","","Gaseta Municipal de Barcelona, núm. 33 (30-11-1982), p. 621-622","","","http://hdl.handle.net/11703/91700","cat","","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Oficina per a la Candidatura de Barcelona en els Jocs Olímpics de 1992 | Jocs Olímpics | Organization and flowcharts | Oficina per a la Candidatura de Barcelona en els Jocs Olímpics de 1992 | Olympics | Organización y organigramas | Oficina per a la Candidatura de Barcelona en els Jocs Olímpics de 1992 | Juegos Olímpicos","Esport","reglaments | documents digitalitzats","","Normes reguladores de l'Oficina per a la Candidatura de Barcelona en els Jocs Olímpics 1992 [1982]","","text","info:eu-repo/semantics/other",""
