"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1924-02-25","1924-03-06","","","Aprovat pel Plenari del Consell Municipal de 25-02-1924","","","","","","application/pdf","7 p.","application/pdf","","","Gaceta municipal de Barcelona. núm. 09 (06-03-1924), p. 161-167","","","http://hdl.handle.net/11703/106905","spa","","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Serveis funeraris | Organization and flowcharts | Undertakers and undertaking | Organización y organigramas | Servicios funerarios","Societat i benestar","reglaments | documents digitalitzats","","Reglamento para los servicios de Pompas fúnebres y conducción de cadáveres en el término municipal de Barcelona [1924]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Direcció de Comunicació Corporativa i Qualitat","Barcelona | Barcelona | Barcelona","","No","1997-02-07","1997","2007-12-19","1997-02-07","Aprovada per Decret d'Alcaldia de 07-02-1997","","","Digitalitzat pel SEDAC","","","application/pdf","5 p.","application/pdf","6060","","","","","http://hdl.handle.net/11703/96637","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/90404"">Normativa gràfica de l'Ajuntament de Barcelona [2007]</a>","","","<a href=""http://hdl.handle.net/11703/91678"">Normativa per a la informació i senyalització d'obres a la ciutat de Barcelona [1990]</a>","<a href=""http://hdl.handle.net/11703/91678"">Normativa per a la informació i senyalització d'obres a la ciutat de Barcelona [1990]</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Comunicació en l'administració | Obres públiques | Senyalització viària | Mobiliari urbà | Communication in public administration | Public works | Traffic signs and signals | Outdoor furniture | Comunicación en la administración pública | Obras públicas | Señales de tráfico | Mobiliario urbano","Urbanisme i infraestructures","reglaments | decrets | documents digitalitzats","","Normativa de comunicació per a les obres municipals [1997]","Normativa per a la comunicació de les obres municipals | Normativa per a la informació i senyalització d'obres a la ciutat de Barcelona","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","","No","2008-02-11","2008-02-29","2015-05-14","2008-03-01","Aprovat per Decret de l'Alcaldia de 11-02-2008","","","","","","application/pdf","4 p.","application/pdf","5451","","Gaseta Municipal de Barcelona, núm. 7 (29-02-2008), p. 768-771","","","http://hdl.handle.net/11703/84884","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/84129"">Assignació i denominació de les funcions del Servei de Documentació i Accés al Coneixement (SEDAC) [2015]</a>","","","<a href=""http://hdl.handle.net/11703/105900"">Funcions de la Biblioteca General de l'Ajuntament de Barcelona [1986]</a>","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Biblioteca General (Barcelona) | Biblioteques especialitzades | Organization and flowcharts | Biblioteca General (Barcelona) | Special libraries | Organización y organigramas | Biblioteca General (Barcelona) | Bibliotecas especializadas","Cultura i oci","reglaments","","Funcions de la Biblioteca General de l'Ajuntament de Barcelona i normes de préstec i servei d'obtenció de documents [2008]","","text","info:eu-repo/semantics/other",""
"Àrea de Serveis Socials","Barcelona | Barcelona | Barcelona","","No","1982","1982","","","Substituït per les Normes generals d'organització i funcionament dels casals de jubilats [1987] | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/115523","","","Digitalitzat pel SEDAC","","","application/pdf","6 p.","application/pdf","10255","10255","","","","http://hdl.handle.net/11703/97092","cat","","http://hdl.handle.net/11703/115523","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/97105","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans | Residències de persones grans | Organització i organigrames | Older people | Old age homes | Organization and flowcharts | Ancianos | Hogares para ancianos | Organización y organigramas","Societat i benestar","reglaments | documents digitalitzats","","Casals de jubilats : normes generals d'organització i funcionament [1982]","Normes generals d'organització i funcionament dels casals de jubilats [1982]","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1982-07-16","1982-11-10","1997-03-20","1982-11-05","Aprovat pel Plenari del Consell Municipal de 16-07-1982","","","Digitalitzat pel SEDAC","","","application/pdf","2 p.","application/pdf","10014","10014","Gaseta Municipal de Barcelona, núm. 31 (10-11-1982), p. 573-574","","","http://hdl.handle.net/11703/91701","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/91702"">Normativa reguladora del Registre Municipal de Licitadors [1997]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Registres públics | Contractes administratius | Public records | Public contracts | Registros públicos | Contratos administrativos","Sector públic | Economia","reglaments | documents digitalitzats","","Reglament del registre municipal de contractistes [1982]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2000-12-22","2001-01-30","","2001-02-01","Aprovades pel Plenari del Consell Municipal de 22-12-2000","","","Digitalitzat pel SEDAC","","","application/pdf","2 p.","application/pdf","6393","6393","Gaseta Municipal de Barcelona, núm. 3 (30-01-2001), p. 110-111","","","http://hdl.handle.net/11703/91765","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/105111"">Normes reguladores de la Comissió de Protecció Civil Municipal de l'Ajuntament de Barcelona [2017 text refós]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Comissió de Protecció Civil Municipal | Protecció civil | Organization and flowcharts | Comissió de Protecció Civil Municipal | Civil defense | Organización y organigramas | Comissió de Protecció Civil Municipal | Protección civil","Legislació i justícia | Sector públic | Seguretat","reglaments | documents digitalitzats","","Normes reguladores de la Comissió de Protecció Civil Municipal i creació [2000]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1909-06-01","1923","","1918-06-10","Aprovat pel Plenari del Consell Municipal de 01-06-1909 | Modificació aprovada pel Plenari del Consell Municipal de 10-06-1918","","","Digitalitzat pel SEDAC","","","application/pdf","27 p.","application/pdf","19965","19965","","","","http://hdl.handle.net/11703/110163","spa","Imprenta de  E. Bosch","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/97239","","","<a href=""http://hdl.handle.net/11703/110159"">Reglamento de los cementerios municipales de Barcelona [1909]</a>","<a href=""http://hdl.handle.net/11703/110159"">Reglamento de los cementerios municipales de Barcelona [1909]</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Cementiris | Organització i organigrames | Cemeteries | Organization and flowcharts | Cementerios | Organización y organigramas","Sector públic","monografies | reglaments | documents digitalitzats","","Reglamento de los cementerios municipales de Barcelona [1909] [ed. 1923]","Reglamento de los cementerios municipales aprobado el 1 de junio de 1909 y modificado en 10 junio 1918","text","info:eu-repo/semantics/book",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1883-11-09","1924","1891-05-29","1883-11-09","Aprovat pel Plenari del Consell Municipal de  09-11-1883","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","21 p.","application/pdf","8009","8009","","","","http://hdl.handle.net/11703/96984","spa","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/97124 | http://hdl.handle.net/11703/97089","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Política i govern | Organization and flowcharts | Politics and government | Organización y organigramas | Política y gobierno","Sector públic","monografies | reglaments | documents digitalitzats","","Reglamento para el régimen interior del Ayuntamiento de Barcelona [1883]","","text","info:eu-repo/semantics/book",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1933-06-09","1933-06-12","","","Aprovat pel Plenari del Consell Municipal de 09-06-1933 | Vigent des de 15-07-1933 per a tot quant fa referencia a augments graduals, jubilacions i pensions | Vigent des de 27-01-1934 per a tota la resta | Adaptat a la Llei Municipal de Catalunya","","","","","","application/pdf","18 p.","application/pdf","","","Gaseta municipal de Barcelona. núm. 23 (12-06-1933), p. 542-556","","","http://hdl.handle.net/11703/106663","cat","","<a href=""http://hdl.handle.net/11703/111782"">Edició 1933 (en català)</a> | <a href=""http://hdl.handle.net/11703/91752"">Edició 1933 (en castellà)</a>","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/106665"">Reglamento general de empleados [1941]</a>","","","<a href=""http://hdl.handle.net/11703/106662"">Reglamento general de Empleados del Ayuntamiento de Barcelona [1925]</a>","<a href=""http://hdl.handle.net/11703/106662"">Reglamento general de Empleados del Ayuntamiento de Barcelona [1925]</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Funcionaris i empleats municipals | Organització i organigrames | Municipal officials and employees | Organization and flowcharts | Funcionarios locales | Organización y organigramas","Sector públic","reglaments","","Reglament general d'Empleats de l'Ajuntament de Barcelona [1933]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1928-01-31","1928-02-06","","","Aprovats per la Comissió Municipal Permanent de 31-01-1928","","","","","","application/pdf","3 p.","application/pdf","","","Gaceta Municipal de Barcelona, núm 05 (06-02-1928), p.99-101","","","http://hdl.handle.net/11703/106654","spa","","<a href=""http://hdl.handle.net/11703/90402"">Edició 1928 (en castellà)</a>","","","","","","","<a href=""http://hdl.handle.net/11703/106653"">Reglamento del Mercado Central de Pescado [1940]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Mercats | Organization and flowcharts | Markets | Organización y organigramas | Mercados","Comerç","reglaments | documents digitalitzats","","Reglamento para el régimen interior del Mercado Central de Pescado [1928]","","text","info:eu-repo/semantics/other",""
