"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts","2018","","2018-03-06","2018-03-06","Presentada al Plenari del Consell del Districte de Les Corts de 06-03-2018","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-","http://hdl.handle.net/11703/108866","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Feminisme | Igualtat entre els sexes | Vagues","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional per un districte feminista","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Acord Ciutadà per una Barcelona Inclusiva | Àrea d'Acció Social i Ciutadania","Barcelona | Barcelona | Barcelona","","","2008-10-14","2008","","","","","application/pdf","8 p.","application/pdf","17859","","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/89748","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pobresa | Integració social | Serveis socials | Poverty | Social integration | Human services | Pobreza | Integración social | Servicios sociales","Societat i benestar","declaracions institucionals","","Barcelona social fa front a la crisi i a l'exclusió","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Immigració | Consell Municipal d'Immigració (Barcelona) | Gerència de Drets de Ciutadania, Participació i Transparència","Barcelona | Barcelona | Barcelona","","","2016-10-25","2016-10-25","","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/110828","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Centres d'internament d'estrangers | Immigrants | Drets civils | Alien detention centers | Immigrants | Civil rights | Centros de internamiento de extranjeros | Emigrantes | Derechos políticos y civiles","Sector públic | Societat i benestar","declaracions institucionals","","Manifest del Consell Municipal d’Immigració de BCN pel tancament del CIE de Barcelona","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Cultura, Participació i Transparència","Barcelona | Barcelona | Barcelona","2017","","2017-12-12","2017-12-12","Referenciat per l'Informe del Pla municipal de lluita contra la islamofòbia : primer any d'aplicació de la mesura [http://hdl.handle.net/11703/108295]","","","","application/pdf","1 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/108296","","cat","","","","","","http://hdl.handle.net/11703/108295","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Islamofòbia | Discriminació | Municipis | Islamophobia | Discrimination | Municipal corporations | Islamofobia | Discriminación | Municipios","Societat i benestar","declaracions institucionals","","Manifest dels municipis en la celebració del dia internacional de lluita contra la islamofòbia","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","","","","2016-05-04","2016-05-04","","","","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/102693","","spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Manifestacions | Venezuela | Demonstrations | Venezuela | Manifestaciones","Legislació i justícia","declaracions institucionals | documents digitalitzats","","Declaració Institucional relativa a la situació Veneçuela","","text","info:eu-repo/semantics/other",""
"Àrea de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Diversitat | Consell Municipal d'Immigració (Barcelona) | Gerència de Drets de Ciutadania, Participació i Transparència","Barcelona | Barcelona | Barcelona","","","2017-10-22","2017-10-22","Podeu consultar la versió en català a: http://hdl.handle.net/11703/110833 | You can see catalan version at: http://hdl.handle.net/11703/110833 | Pueden consultar la versión en catalán en: http://hdl.handle.net/11703/110833","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/110835","","spa","","http://hdl.handle.net/11703/110833","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.es","Treball domèstic | Cura de malalts | Housekeeping | Care of the sick | Tareas domésticas | Cuidados a los enfermos","","declaracions institucionals","","Manifiesto del Consejo Municipal de Inmigración de Barcelona por la Dignificación del trabajo del hogar y los cuidados","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2020","","2020-04-17","2020-04-17","Presentada al Plenari del Consell Municipal de 17-04-2020","Declaració institucional en el context de confinament davant l’emergència provocada per la COVID-19 | Institutional statement in the context of confinement to the emergency caused by COVID-19 | Declaración institucional en el contexto de confinamiento ante la emergencia provocada por la COVID-19","","","application/pdf","2 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/118506","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Coronavirus | Ciutadania | Víctimes | Malalts | Personal sanitari | Desenvolupament sostenible | Coronaviruses | Citizenship | Victims | Sick | Public health personnel | Sustainable development | Coronavirus | Ciudadanía | Víctimas | Enfermos | Personal sanitario | Desarrollo sostenible","Salut | Sector públic | Societat i benestar","declaracions institucionals","","Declaració institucional davant l'epidèmia internacional del COVID19","","text","info:eu-repo/semantics/other",""
"Associació Internacional de Ciutats Educadores (Barcelona)","Barcelona | Barcelona | Barcelona","","","2014-04-06","2014","","","","","application/pdf","7 p.","application/pdf","18624","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89757","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació inclusiva | Associació Internacional de Ciutats Educadores (Barcelona) | Inclusive education | Associació Internacional de Ciutats Educadores (Barcelona) | Educación inclusiva | Associació Internacional de Ciutats Educadores (Barcelona)","Educació","declaracions institucionals","","Declaració del XIII Congrés Internacional de Ciutats Educadores, 2014","Congrés Internacional de Ciutats Educadores (13è : 2014 : Barcelona)","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2012-05-15","2012","","","","","application/pdf","3 p.","application/pdf","13332","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89767","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets dels homosexuals | Homofòbia | Gay rights | Homophobia | Derechos de los homosexuales | Homofobia","Societat i benestar","declaracions institucionals","","Declaració institucional contra l'homofòbia i la transfòbia","","text","info:eu-repo/semantics/other",""
"Consell Assessor de la Gent Gran de Barcelona","Barcelona | Barcelona | Barcelona","","","2011-01-03","2011","","","","","application/pdf","9 p.","application/pdf","17766","","","","Mandat 2007-2011","http://hdl.handle.net/11703/89743","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans | Integració social | Older people | Social integration | Ancianos | Integración social","Societat i benestar","declaracions institucionals","","Declaració del Consell Assessor de la Gent Gran de Barcelona sobre la situació econòmica i el risc d'exclusió social de les persones grans","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona. Districte 4. Les Corts | Barcelona | Barcelona. District 4. Les Corts | Barcelona | Barcelona. Distrito 4. Les Corts","","","2013-11-05","2013","Aquesta Declaració, que sorgeix dels principis que conté la Mesura de Govern ""Les Corts, un compromís vers la inclusió"", va ser presentada als membres de l'Espai d'Inclusió Les Corts en la sessió fundacional que va tenir lloc al Monestir de Pedralbes el dimarts de 2013-11-05","","","","application/pdf","8 p.","application/pdf","18501","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/89758","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social | Social integration | Integración social","Societat i benestar","declaracions institucionals","","Declaració per a la Inclusió del Districte de les Corts","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2008-07-22","2008-07-22","","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/110814","","cat","","","","","","","","","Llei orgànica 4/2000. Drets i llibertats dels estrangers a Espanya i la seva integració social","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Reagrupament familiar | Immigrants | Family reunification | Emigrantes | Reagrupación familiar","Societat i benestar","declaracions institucionals","","Manifest del Consell Municipal d'Immigració respecte a possibles modificacions de la Llei sobre drets i llibertats dels estrangers a Espanya i la seva integració social i el Reglament que la desenvolupa, pel que fa a les condicions pel Reagrupament Familiar","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2019-12-16","2019-12-16","Presentada al Plenari del Consell del Districte de Les Corts de 16-12-2019","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2019-","http://hdl.handle.net/11703/116239","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones | Política pública | Mitjans de comunicació de massa | Violence against women | Government policy | Mass media | Violencia contra las mujeres | Política gubernamental | Medios de comunicación social","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional en contra de la violència masclista","","text","info:eu-repo/semantics/other",""
"Xarxa Europea de Ciutats i Pobles per als Nous Usos del Temps","Barcelona | Barcelona | Barcelona","","","2009-10-30","2009","","","","","application/pdf","2 p.","application/pdf","4347","","","","Mandat 2007-2011","http://hdl.handle.net/11703/89712","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització del temps | Time management | Organización del tiempo","Societat i benestar","declaracions institucionals","","Declaració Xarxa Europea de Ciutats i Pobles per als Nous Usos del Temps","","text","info:eu-repo/semantics/other",""
"Xarxa de Ciutats i Pobles cap a la Sostenibilitat","Barcelona | Barcelona | Barcelona","","","1997-07-16","1997","","","","","application/pdf","1 p.","application/pdf","6403","","","","Mandat 1995-1999","http://hdl.handle.net/11703/89716","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Medi ambient | Environment | Medio ambiente","Medi ambient","declaracions institucionals","","Declaració de Manresa","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","2018","","2018-03-06","2018-03-06","Presentada al Plenari del Consell del Districte de Les Corts de 06-03-2018","","Digitalitzat el 2018","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/108867","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura catalana | Fabra, Pompeu | Abelló, Montserrat | Pedrolo, Manuel de | Activitats culturals | Activitats educatives | Catalonian culture | Fabra, Pompeu | Abelló, Montserrat | Pedrolo, Manuel de | Cultural animation | Creative activities and seat work | Cultura catalana | Fabra, Pompeu | Abelló, Montserrat | Pedrolo, Manuel de | Animación cultural | Actividades educativas","Cultura i oci | Educació","declaracions institucionals | documents digitalitzats","","Declaració institucional de suport a figures cabdals de la cultura catalana","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2019-12-02","2019-12-16","Presentada al Plenari del Consell del Districte de Les Corts de 16-12-2019","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2019-","http://hdl.handle.net/11703/116240","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discapacitats | Igualtat | Accessibilitat | Participació ciutadana | People with disabilities | Equality | Accessibility | Citizen participation | Personas con discapacidad | Igualdad | Accesibilidad | Participación ciudadana","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional sobre les persones amb discapacitat","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2019-03-06","2019-03-11","","","","","application/pdf","","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112708","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Dret | Llibertat | Law | Liberty | Derecho | Libertad","","declaracions institucionals","","Declaració institucional pels drets i llibertats","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2018-02-12","2018-02-12","Fa referència a la Declaració institucional davant l'empresonament de Jordi Sànchez i Jordi Cuixart [http://hdl.handle.net/11703/106027]Presentada a la Comissió de Presidència, Drets de Ciutadania, Participació, Seguretat i Prevenció de 12-02-2018","","","","application/pdf","4 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/108297","","cat","","","","","","","","","http://hdl.handle.net/11703/106027","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils | Presó provisional | Família | Forn Chiariello, Joaquim | Junqueras Vies, Oriol | Cuixart Navarro, Jordi | Sánchez Picanyol, Jordi | Drets civils | Turull i Negre, Jordi | Rull i Andreu, Josep | Civil rights | Remand (detention) | Family | Forn Chiariello, Joaquim | Junqueras Vies, Oriol | Cuixart Navarro, Jordi | Sánchez Picanyol, Jordi | Civil rights | Turull i Negre, Jordi | Rull i Andreu, Josep | Derechos políticos y civiles | Prisión provisional | Familia | Forn Chiariello, Joaquim | Junqueras Vies, Oriol | Cuixart Navarro, Jordi | Sánchez Picanyol, Jordi | Derechos políticos y civiles | Turull i Negre, Jordi | Rull i Andreu, Josep","Societat i benestarLegislació i justícia","declaracions institucionals","","Declaració institucional sobre la presó preventiva i el trasllat dels càrrecs electes i representants de dues de les entitats més importants de Catalunya","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2004","","2004-11","2004-11","","","","","application/pdf","7 p.","application/pdf","AC_DON1","","","","Mandat 2003-2007","http://hdl.handle.net/11703/111695","","cat","","<a href=""http://hdl.handle.net/11703/117456"">Renovació de l'acord 2003 [versió presentació]</a> | <a href=""http://hdl.handle.net/11703/111696"">Ratificació de l'acord 2004 [versió presentació]</a>","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones | Violence against women | Violencia contra las mujeres","Societat i benestar","declaracions institucionals","Pla Municipal contra la Violència vers les Dones 2001-2004 (Barcelona) | Acord Ciutadà per una Barcelona lliure de violència vers les dones 2002-","Acord ciutadà per una Barcelona lliure de violència vers les dones","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2017-03","2017-03","","","Digitalitzat pel Districte de Les Corts","","application/pdf","4 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/102313","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Refugiats | Racisme | Homofòbia | Transfòbia | Bifòbia | Masclisme | Refugees | Racism | Homophobia | Transphobia | Biphobia | Machismo | Refugiados | Racismo | Homofobia | Transfobia | Bifobia | Machismo","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració Institucional a favor de l'acollida de les persones refugiades i en contra de les manifestacions xenòfobes, feixistes, LGTBIfòbiques, masclistes o de qualsevol forma d'odi al Districte de les Corts","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2007-03-29","2007-03-29","Aprovat pel Plenari del Consell Municipal d'Immigració de 29-03-2007","","","","application/pdf","1 p.","application/pdf","","","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/110810","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Campanyes electorals | Immigrants | Integració social | Political campaigns | Immigrants | Social integration | Campañas electorales | Emigrantes | Integración social","Sector públic | Societat i benestar","declaracions institucionals","","Manifest de les entitats Consell Municipal d’Immigració davant la propera campanya electoral","","text","info:eu-repo/semantics/other",""
"Associació Internacional de Ciutats Educadores (Barcelona)","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","application/pdf","24 p.","application/pdf","18609","","","associacions","Mandat 2007-2011","http://hdl.handle.net/11703/89754","","spa | eng | fra","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política educativa | Educació cívica | Educational policy | Civics education | Política educativa | Educación cívica","Educació","declaracions institucionals","","Carta de ciutats educadores [versió en anglès, francès i castellà]","Charter of educating cities [versió en anglès, francès i castellà] | Charte des villes éducatrices [versió en anglès, francès i castellà] | Carta de ciudades educadoras [versió en anglès, francès i castellà]","text","info:eu-repo/semantics/other",""
"Xarxa de Ciutats i Pobles cap a la Sostenibilitat","Barcelona | Barcelona | Barcelona","","","2012-01-31","2012","","","","","application/pdf","4 p.","application/pdf","9389","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89722","","spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament sostenible | Canvis climàtics | Noves tecnologies de la informació i de la comunicació | Sustainable development | Climatic changes | Information technology | Desarrollo sostenible | Cambios climáticos | Tecnología de la información","Ciència i tecnologia | Medi ambient","declaracions institucionals","","Carta verda digital de la Comissió Europa per a l'ús sostenible de les TIC (versió en castellà]","Green digital charter | Carta verde digital","text","info:eu-repo/semantics/other",""
"Acord Ciutadà per una Barcelona Inclusiva. Consell de Govern","Barcelona | Barcelona | Barcelona","","","2007-02-22","2007","Aprovada pel Ple del Consell Econòmic i Social de Barcelona el 2007-02-22","","","","application/pdf","3 p.","application/pdf","17856","","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/89745","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política social | Integració social | Social policy | Social integration | Política social | Integración social","Societat i benestar","declaracions institucionals","","A Barcelona despleguem una estratègia compartida que compromet institucions i entitats socials de la ciutat per fer front a la crisi social","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona) | Associació Catalana per la Integració d'Homosexuals, Bisexuals i Transsexuals Immigrants (ACATHI) | Asociación Comisión Católica Española de Migración | Fundació ACSAR | Comissions Obreres del Barcelonès | Comissió Catalana d'Ajuda al Refugiat | Alt Comissariat de les Nacions Unides per als Refugiats | Creu Roja Espanyola | Asociación EXIL | Col·legi d'Advocats de Barcelona | Institut de Drets Humans de Catalunya | Fundació Casa del Tibet | Centre Català del PEN | Associació Respect Refugiados","Barcelona | Barcelona | Barcelona","2011","","2011-06-20","2011-06-20","","","","","application/pdf","2 p.","application/pdf","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/110920","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració (Barcelona) | Associació Catalana per la Integració d'Homosexuals, Bisexuals i Transsexuals Immigrants (ACATHI) | Asociación Comisión Católica Española de Migración | Fundació ACSAR | Comissions Obreres del Barcelonès | Comissió Catalana d'Ajuda al Refugiat | Alt Comissariat de les Nacions Unides per als Refugiats | Creu Roja Espanyola | Asociación EXIL | Col·legi d'Advocats de Barcelona | Institut de Drets Humans de Catalunya | Fundació Casa del Tibet | Centre Català del PEN | Associació Respect Refugiados","http://creativecommons.org/licenses/by/4.0/deed.ca","Refugiats | Asil, Dret d' | Refugees | Asylum, Right of | Refugiados | Derecho de asilo","Societat i benestar","declaracions institucionals","","20 de juny : Dia Mundial de les Persones Refugiades","","text","info:eu-repo/semantics/other",""
"Fòrum d'Alcaldes sobre Mobilitat, Migracions i Desenvolupament","Barcelona | Barcelona | Barcelona","","","2014-06-20","2014","","","","","application/pdf","4 p.","application/pdf","13857","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89729","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social | Social integration | Integración social","Societat i benestar","declaracions institucionals","","Declaració de Barcelona sobre les migracions humanes i el paper de les ciutats","","text","info:eu-repo/semantics/other",""
"Eurocities","Europa | Europa | Europa","","","2012","2012","","","","","application/pdf","4 p.","application/pdf","9389","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89769","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Canvis climàtics | Desenvolupament sostenible | Noves tecnologies de la informació i de la comunicació | Climatic changes | Sustainable development | Information technology | Cambios climáticos | Desarrollo sostenible | Tecnología de la información","Medi ambient | Ciència i tecnologia","declaracions institucionals","","La Carta Verde Digital","Green Digital Charter","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2015-10-01","2015-10-01","Presentada al Plenari del Consell del Districte de Les Corts de 01-10-2015","","","","application/pdf","4 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/97558","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut mental | Joventut | Mental health | Youth | Salud mental | Jóvenes","Salut","declaracions institucionals | documents digitalitzats","","Declaració internacional sobre salut mental jove","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona | Barcelona","","","2016-04-26","2016-04-26","Presentada al Plenari del Consell del Districte de Les Corts de  26-04-2016","","","","application/pdf","3 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/101745","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Discapacitats | Discapacitats mentals | People with disabilities | People with mental disabilities | Personas con discapacidad | Disminuidos mentales","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració Institucional relativa a les persones amb discapacitat del Districte de les Corts","","text","info:eu-repo/semantics/other",""
"Consell Econòmic i Social de Barcelona","Barcelona | Barcelona | Barcelona","2017","","2017","2017","","","","","application/pdf","1 p.","application/pdf","","","","consells","Mandat 2015-2019","http://hdl.handle.net/11703/117020","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Econòmic i Social de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Crisis polítiques | Empreses | Seus socials | Political crisis | Business enterprises | Domicile of corporations | Crisi política | Empresas | Domicilio social","Sector públic","declaracions institucionals","","Declaració sobre la crisi política","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2011-11-24","2011","","","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","17568","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89736","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cooperatives | Cooperative societies | Cooperativas","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració institucional Any Internacional de les Cooperatives","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2010-12-20","2010","","","","","application/pdf","9 p.","application/pdf","9487","","","","Mandat 2007-2011","http://hdl.handle.net/11703/89723","","cat | spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme sostenible | Política turística | Ecotourism | Politics of tourism | Ecoturismo | Política turística","Turisme","declaracions institucionals","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Carta de Turisme Responsable","","text","info:eu-repo/semantics/other",""
"Àmbit d'Urbanisme i Medi Ambient","Barcelona | Barcelona | Barcelona","","","1994-05-27","1994","","","","","application/pdf","5 p.","application/pdf","6404","","","consells","Mandat 1991-1995","http://hdl.handle.net/11703/89717","","cat","","","","","Reproducció digital del document en suport original","http://hdl.handle.net/11703/96315 | http://hdl.handle.net/11703/97784","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Desenvolupament sostenible | Ecologia urbana | Sustainable development | Urban ecology | Desarrollo sostenible | Ecología urbana","","declaracions institucionals | documents digitalitzats","","Carta Aalborg - Agenda 21 Local","","text","info:eu-repo/semantics/other",""
