"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2016-06-29","2016-06-29","Presentada al Plenari del Consell del Districte de Les Corts de 29-06-2016","","Digitalitzat pel Districte de Les Corts","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/102347","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ètica professional | Drets polítics | Professional ethics | Political rights | Deontología | Derechos políticos","Sector públic","declaracions institucionals | documents digitalitzats","","Declaració Institucional com a persones non grates del Ministre d'Interior en funcions i el cap de l'Oficina Antifrau de Catalunya","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2012-11-16","2012","","","","","application/pdf","2 p.","application/pdf","18319","","","","Mandat 2011-2015","http://hdl.handle.net/11703/89749","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets dels animals | Animal rights | Derechos de los animales","Societat i benestar","declaracions institucionals","","Declaració Municipal per la  Convivència i els drets dels animals","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Hereu Boher, Jordi","Barcelona | Barcelona | Barcelona","2009","","2009-12","2009-12","Podeu consultar la declaració institucional de Consell Municipal de Cooperació Internacional per al Desenvolupament sobre aquest fet a: http://hdl.handle.net/11703/108289","","","","application/pdf","6 p.","application/pdf","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/108287","","cat","","http://hdl.handle.net/11703/108289","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Associació Barcelona Acció Solidària - Caravana Solidària | Ajuda humanitària | Cooperació internacional | Segrest | Associació Barcelona Acció Solidària - Caravana Solidària | Humanitarian assistance | International cooperation | Kidnapping | Associació Barcelona Acció Solidària - Caravana Solidària | Ayuda humanitaria | Cooperación internacional | Secuestro","Seguretat | Societat i benestar","declaracions institucionals","","Declaració institucional de l'Alcalde Jordi Hereu davant del segrest de 3 membres de l'Associació Barcelona Acció Solidària","","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia. Consell Plenari","Barcelona. Districte 6. Gràcia | Barcelona. District 6. Gràcia | Barcelona. Distrito 6. Gràcia","","","2010-07-06","2010","","","","","application/pdf","2 p.","application/pdf","5704","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/89713","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institucions públiques | Districte 6. Gràcia | Autonomia | Public institutions | Districte 6. Gràcia | Autonomy | Instituciones públicas | Districte 6. Gràcia | Autonomía","Legislació i justícia","declaracions institucionals","","Declaració de rebuig a la sentència del Tribunal Constitucional","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2004-12-14","2004-12-14","","","","","application/pdf","1 p.","application/pdf","","","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/110808","","cat","","","","","","","","","Llei orgànica 4/2000. Drets i llibertats dels estrangers a Espanya i la seva integració social","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Drets civils | Immigrants | Civil rights | Emigrantes | Derechos políticos y civiles","Societat i benestar","declaracions institucionals","","Manifest del Consell Municipal d’Immigració sobre el reglament de la llei d’estrangeria","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. Distrito 4. Les Corts | Barcelona. District 4. Les Corts","2017 | 2018","","2018-10-09","2018-10-09","Presentada al Plenari del Consell del Districte de Les Corts de 09-10-2018","","Digitalitzat pel Districte de Les Corts","","application/pdf","3 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/111200","","cat","","","","","Reproducció digital del document  en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ciutadania | Llibertat d'expressió | Vot | Citizenship | Freedom of speech | Voting | Ciudadanía | Libertad de expresión | Voto","Legislació i justícia | Societat i benestar","declaracions institucionalsdocuments digitalitzats","","Declaració institucional des de la Candidatura Unitat Popular - Poble Actiu de Les Corts (Referèndum 1 d'octubre 2017)","","text","info:eu-repo/semantics/other",""
"Districte 5. Sarrià-Sant Gervasi. Consell Plenari","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi","2020","","2020-05-05","2020-05","Presentada al Plenari del Consell del Districte de Sarrià-Sant Gervasi de 05-05-2020","Declaració institucional elaborada en el context de confinament davant l’emergència provocada per la COVID-19. | Institutional statement prepared in the context of confinement to the emergency caused by COVID-19. | Declaración institucional elaborada en el contexto de confinamiento ante la emergencia provocada por la COVID-19.","","","application/pdf","2 p.","application/pdf","","","","districtes","Mandat 2019-","http://hdl.handle.net/11703/118684","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Coronavirus | Ciutadania | Víctimes | Malalts | Personal sanitari | Desenvolupament sostenible | Confinament | Coronaviruses | Citizenship | Victims | Sick | Public health personnel | Sustainable development | Confinement | Coronavirus | Ciudadanía | Víctimas | Enfermos | Personal sanitario | Desarrollo sostenible | Confinamiento","Salut | Sector públic | Societat i benestar","declaracions institucionals","","Declaració institucional davant la pandèmia internacional de la COVID-19","","text","info:eu-repo/semantics/other",""
"Consell Econòmic i Social de Barcelona","Barcelona | Barcelona | Barcelona","","","2009-07-14","2009","","","","","application/pdf","6 p.","application/pdf","2864DECL_CESB_CRISI","","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/89768","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Crisi financera global, 2007-2009 | Integració social | Global Financial Crisis, 2008-2009 | Social integration | Crisis económicas -- 2008- | Integración social","Economia","declaracions institucionals","","Declaració del Consell Econòmic i Social de Barcelona sobre les repercussions socioeconòmiques de la crisi a Barcelona","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2019-03-06","2019-03-11","","","","","application/pdf","","application/pdf","","Declaració institucional nova llar residència per a persones amb discapacitat intel·lectual","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112707","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Residències per a discapacitats | Group homes for people with disabilities | Residencias de minusválidos","Societat i benestar","declaracions institucionalsdocuments digitalitzats","","Declaració institucional nova llar residència per a persones amb discapacitat intel·lectual","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona | Barcelona | Barcelona","","","2015-11-25","2015-11-25","Presentada al Plenari del Consell del Districte de Les Corts de 25-11-2015","","","","application/pdf","1 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/97571","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Terrorisme | Terrorism | Terrorismo","Societat i benestar","declaracions institucionals","","Declaració institucional de condemna del terrorisme","","text","info:eu-repo/semantics/other",""
