"dcAccrualPeriodicity","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcformat","dcformatextent","dcformatmimetype","dcidentifiermandat","dcidentifieruri","dclanguage","dcrelation","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","dctypedriver","Unnamed: 25"
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2014.0,"","2017-05-11","2017-05-11","","application/pdf | application/vnd.ms-excel | application/csvm+json","9 documents","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117512","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Esports | Activity-based costing | Cost accounting | Sports | Costes basados en actividades | Contabilidad de costes | Deportes","Economia | Esport","costos","Memoria de costes 2014 : Deportes","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc",2015.0,"","2017","2017-05-11","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/102231","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Districte 3. Sants-Montjuïc | Activity-based costing | Cost accounting | Districte 3. Sants-Montjuïc | Costes basados en actividades | Contabilidad de costes | Districte 3. Sants-Montjuïc","Economia","costos","Memòria de costos 2015 : Districte Sants-Montjuïc","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona. Districte 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Distrito 2. Eixample",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117352","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Districte 2. Eixample | Activity-based costing | Cost accounting | Districte 2. Eixample | Costes basados en actividades | Contabilidad de costes|Districte 2. Eixample","Economia","costos","Memòria de costos 2017 : Districte Eixample","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2019-06-09","2019-06-09","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117796","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Prevention, Fire Extinguishing and Rescue cost memory 2017","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2015.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117546","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Habitatge | Activity-based costing | Cost accounting | Housing | Costes basados en actividades | Contabilidad de costes | Vivienda","Economia | Habitatge","costos","Memoria de costes 2015 : Vivienda","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2017-11-05","2017-11-05","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117666","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Social Rights cost memory 2014","text | text","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2017-11-05","2017-11-05","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117670","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Prevention, Fire Extinguishing and Rescue cost memory 2014","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117356","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Districte 5. Sarrià-Sant Gervasi | Activity-based costing | Cost accounting | Districte 5. Sarrià-Sant Gervasi | Costes basados en actividades | Contabilidad de costes | Districte 5. Sarrià-Sant Gervasi","Economia","costos","Memòria de costos 2017 : Districte Sarrià-Sant Gervasi","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi",2016.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117325","cat","<a href=""http://hdl.handle.net/11703/117410"">Versió en castellà</a>","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Districte 5. Sarrià-Sant Gervasi | Activity-based costing | Cost accounting | Districte 5. Sarrià-Sant Gervasi | Costes basados en actividades | Contabilidad de costes | Districte 5. Sarrià-Sant Gervasi","Economia","costos","Memòria de costos 2016 : Districte Sarrià-Sant Gervasi","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117345","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Seguretat ciutadana | Activity-based costing | Cost accounting | Public security | Costes basados en actividades | Contabilidad de costes | Seguridad ciudadana","Economia | Seguretat","costos","Memòria de costos 2017 : Prevenció, Extinció d'Incendis i Salvament","text | dataset","info:eu-repo/semantics/other",""
