"dcAccrualPeriodicity","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcformat","dcformatextent","dcformatmimetype","dcidentifiermandat","dcidentifieruri","dclanguage","dcrelation","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","dctypedriver","Unnamed: 25"
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2019-05-06","2019-05-06","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117705","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Prevention, Fire Extinguishing and Rescue cost memory 2015","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2014.0,"","2016-11-16","2016-11-16","","application/pdf | application/vnd.ms-excel | application/csvm+json","9 documents","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/102120","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Mobilitat urbana | Activity-based costing | Cost accounting | Urban mobility | Costes basados en actividades | Contabilidad de costes | Movilidad urbana","Economia | Transport","costos","Memòria de costos 2014 : mobilitat","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2015.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117544","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Promoció econòmica | Activity-based costing | Cost accounting | Economic development | Costes basados en actividades | Contabilidad de costes | Promoción económica","Economia","costos","Memoria de costes 2015 : Promoción Económica","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2014.0,"","2017-05-11","2017-05-11","","application/pdf | application/vnd.ms-excel | application/csvm+json","9 documents","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117514","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Policia local | Activity-based costing | Cost accounting | Municipal police | Costes basados en actividades | Contabilidad de costes | Policía municipal","Economia | Seguretat","costos","Memoria de costes 2014 : Guardia Urbana","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2017-11-05","2017-11-05","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117676","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Ciutat Vella cost memory 2014","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2016.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117393","spa","<a href="" http://hdl.handle.net/11703/117306"">Versió en català</a>","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Esports | Activity-based costing | Cost accounting | Sports | Costes basados en actividades | Contabilidad de costes | Deportes","Economia | Esport","costos","Memoria de costes 2016 : Deportes","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2016.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel","2 documents","application/pdf | application/vnd.ms-excel","Mandat 2015-2019","http://hdl.handle.net/11703/117316","cat","<a href="" http://hdl.handle.net/11703/117397"">Versió en castellà</a>","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Costos basats en activitats | Comptabilitat de costos | Ensenyament | Activity-based costing | Cost accounting | Teaching | Costes basados en actividades | Contabilidad de costes | Enseñanza","Economia | Educació","costos","Memòria de costos 2016 : Ensenyament","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2017-11-05","2017-11-05","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117686","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Sant Martí cost memory 2014","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117343","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Policia local | Activity-based costing | Cost accounting | Municipal police | Costes basados en actividades | Contabilidad de costes | Policía municipal","Economia | Seguretat","costos","Memòria de costos 2017 : Guàrdia Urbana","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2015.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117535","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Urbanisme | Activity-based costing | Cost accounting | City planning | Costes basados en actividades | Contabilidad de costes | Urbanismo","Economia | Urbanisme i infraestructures","costos","Memoria de costes 2015 : Urbanismo","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona. Districte 7. Horta-Guinardó | Barcelona. District 7. Horta-Guinardó | Barcelona. Distrito 7. Horta-Guinardó",2015.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117553","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Districte 7. Horta-Guinardó | Activity-based costing | Cost accounting | Districte 7. Horta-Guinardó | Costes basados en actividades | Contabilidad de costes | Districte 7. Horta-Guinardó","Economia","costos","Memoria de costes 2015 : Distrito Horta-Guinardó","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2019-05-06","2019-05-06","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117781","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Nou Barris cost memory 2016","text | text","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","219-05-06","2019-05-06","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117768","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Infrastructure and Urban coordination cost memory 2016","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2015.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117538","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Esports | Activity-based costing | Cost accounting | Sports | Costes basados en actividades | Contabilidad de costes | Deportes","Economia | Esport","costos","Memoria de costes 2015 : Deportes","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117337","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Urbanisme | Activity-based costing | Cost accounting | City planning | Costes basados en actividades | Contabilidad de costes | Urbanismo","Economia | Urbanisme i infraestructures","costos","Memòria de costos 2017 : Urbanisme","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2019-06-09","2019-06-09","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117813","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Sants-Montjuïc cost memory 2017","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2016.0,"","2019-06-05","2019-06-05","","application/pdf","114 p.","application/pdf","Mandat 2015-2019","http://hdl.handle.net/11703/117332","cat","<a href="" http://hdl.handle.net/11703/117388"">Versió en castellà</a>","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados en actividades | Contabilidad de costes","Economia","costos","Memòria de costos 2016 : Indicadors","text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc",2015.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117549","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Districte 3. Sants-Montjuïc | Activity-based costing | Cost accounting | Districte 3. Sants-Montjuïc | Costes basados en actividades | Contabilidad de costes | Districte 3. Sants-Montjuïc","Economia","costos","Memoria de costes 2015 : Distrito Sants-Montjuïc","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2016.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117314","cat","<a href="" http://hdl.handle.net/11703/117395"">Versió en castellà</a>","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Policia local | Activity-based costing | Cost accounting | Municipal police | Costes basados en actividades | Contabilidad de costes | Policía municipal","Economia | Seguretat","costos","Memòria de costos 2016 : Guàrdia Urbana","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2014.0,"","2016-11-16","2016-11-16","","application/pdf | application/vnd.ms-excel | application/csvm+json","9 documents","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/102106","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Urbanisme | Activity-based costing | Cost accounting | City planning | Costes basados en actividades | Contabilidad de costes | Urbanismo","Economia | Urbanisme i infraestructures","costos","Memòria de costos 2014 : Urbanisme","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117479","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Medi ambient | Serveis públics | Activity-based costing | Cost accounting | Environment | Public utilities | Costes basados en actividades | Contabilidad de costes | Medio ambiente | Servicios públicos","Economia | Medi ambient","costos","Memoria de costes 2017 : Medio Ambiente y Servicios Urbanos","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117342","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Mobilitat urbana | Activity-based costing | Cost accounting | Urban mobility | Costes basados en actividades | Contabilidad de costes | Movilidad urbana","Economia | Transport","costos","Memòria de costos 2017 : Mobilitat","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2019-05-06","2019-05-06","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117756","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Corporate report cost memory 2016","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2014.0,"","2017-05-11","2017-05-11","","application/pdf | application/vnd.ms-excel | application/csvm+json","9 documents","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117511","spa","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Drets socials | Activity-based costing | Cost accounting | Social rights | Costes basados en actividades | Contabilidad de costes | Derechos civiles y políticos","Economia | Societat i benestar","costos","Memoria de costes 2014 : Derechos Sociales","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona. Districte 3. Sants-Montjuïc | Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc",2016.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117323","cat","<a href="" http://hdl.handle.net/11703/117408"">Versió en castellà</a>","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Districte 3. Sants-Montjuïc | Activity-based costing | Cost accounting | Districte 3. Sants-Montjuïc | Costes basados en actividades | Contabilidad de costes | Districte 3. Sants-Montjuïc","Economia","costos","Memòria de costos 2016 : Districte Sants-Montjuïc","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2017.0,"","2019-09-06","2019-09-06","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117350","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Habitatge | Activity-based costing | Cost accounting | Housing | Costes basados en actividades | Contabilidad de costes | Vivienda","Economia | Habitatge","costos","Memòria de costos 2017 : Habitatge","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2019-05-06","2019-05-06","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117760","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Social Rights cost memory 2016","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2015.0,"","2016-11-16","2016-11-16","","application/pdf | application/vnd.ms-excel","2 documents","application/pdf | application/vnd.ms-excel","Mandat 2015-2019","http://hdl.handle.net/11703/102128","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Ensenyament | Activity-based costing | Cost accounting | Teaching | Costes basados en actividades | Contabilidad de costes | Enseñanza","Economia | Educació","costos","Memòria de costos 2015 : Ensenyament","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2014.0,"","2016-11-16","2016-11-16","","application/pdf | application/vnd.ms-excel | application/csvm+json","9 documents","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/102129","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Cultura | Activity-based costing | Cost accounting | Culture | Costes basados en actividades | Contabilidad de costes | Cultura","Economia | Cultura i oci","costos","Memòria de costos 2014 : Cultura","text | dataset","info:eu-repo/semantics/other",""
"Diari","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","Si","2017-11-05","2017-11-05","","application/vnd.ms-excel","","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2011-2015","http://hdl.handle.net/11703/117682","eng","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados ​​en actividades | Contabilidad de costes","Economia","costos","Gràcia cost memory 2014","text | text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2016.0,"","2019-06-05","2019-06-05","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/117396","spa","<a href="" http://hdl.handle.net/11703/117315"">Versió en castellà</a>","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Seguretat ciutadana | Activity-based costing | Cost accounting | Public security | Costes basados en actividades | Contabilidad de costes | Seguridad ciudadana","Economia | Seguretat","costos","Memoria de costes 2016 : Prevención, Extinción de Incendios y Salvamento","text | dataset","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona","","","2016","2016","","application/pdf","25 p.","application/pdf","Mandat 2015-2019","http://hdl.handle.net/11703/115518","cat","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados en actividades | Contabilidad de costes","Economia","costos","Memòria de costos : document de suport","text","info:eu-repo/semantics/other",""
"","Direcció de Serveis de Gestió de Costos i Avaluació | Direcció de Pressupostos i Política Fiscal | Gerència de Presidència i Economia","Barcelona | Barcelona | Barcelona",2015.0,"","2016-11-16","2016-11-16","","application/pdf | application/vnd.ms-excel | application/csvm+json","3 documents (4 fitxers)","application/pdf | application/vnd.ms-excel | application/csvm+json","Mandat 2015-2019","http://hdl.handle.net/11703/102105","cat","","CC-BY [només pel text] | CC0 [conjunt de dades]","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | https://creativecommons.org/choose/zero/?lang=ca","Costos basats en activitats | Comptabilitat de costos | Activity-based costing | Cost accounting | Costes basados en actividades | Contabilidad de costes","Economia","costos","Memòria de costos 2015 : informe corporatiu","text | dataset","info:eu-repo/semantics/other",""
